ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C64_C65,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"1.38(1.09,1.66)","1.34(1.04,1.63)","1.22(0.91,1.53)","1.22(0.88,1.55)",0.0002,0.0002,0.0002,0.0002,1.0000,1.0012,1.0014,1.0017,4026,2783,2668,2623,3980,3428,3351,3263
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.72(0.37,1.06)","0.65(0.30,1.00)","0.62(0.26,0.97)","0.48(0.12,0.86)","0.0002","0.0002","0.0015","0.0069","1.0032","1.0039","1.0046","1.0048",1971,1562,1475,1382,2907,2853,2658,2400
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.05(-0.40,0.28)","0.18(-0.17,0.52)","0.12(-0.19,0.45)","0.04(-0.32,0.39)","0.7667","0.3172","0.4522","0.8321","1.0003","1.0019","1.0019","1.0028",2201,2103,2031,1927,3011,2985,2890,2656
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.07(-0.21,0.35)","0.32(0.02,0.62)","0.26(-0.06,0.59)","0.50(0.16,0.84)","0.5988","0.0394","0.1169","0.0044","1.0022","1.0019","1.0019","1.0017",2195,1884,1835,1949,3403,2556,2835,2872
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.59(0.24,0.93)","0.70(0.34,1.07)","0.59(0.21,0.97)","0.74(0.33,1.14)","0.0010","0.0002","0.0019","0.0002","1.0032","1.0064","1.0057","1.0062",1859,1553,1526,1582,3314,2813,2827,2640
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","-0.23(-0.47,0.03)","-0.26(-0.53,0.03)","-0.07(-0.37,0.22)","-0.25(-0.59,0.10)","0.0756","0.0848","0.6463","0.1639","1.0014","1.0002","1.0012","1.0015",2941,2581,2300,2079,3412,3509,3426,3236
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","0.69(0.47,0.92)","0.98(0.75,1.22)","0.94(0.69,1.19)","0.94(0.67,1.21)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0013","1.0022","1.0018",3957,2925,2585,2706,3748,3727,3074,3326
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.56(0.31,0.82)","0.63(0.37,0.89)","0.56(0.30,0.82)","0.49(0.21,0.77)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0030","1.0032","1.0035",2418,1659,1500,1530,3519,3072,2625,2413
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.26(0.02,0.51)","0.30(0.06,0.56)","0.24(-0.00,0.48)","0.25(0.00,0.51)","0.0344","0.0135","0.0548","0.0498","1.0021","1.0030","1.0027","1.0028",2786,2643,2507,2215,3580,3090,3054,2784
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.19(-0.03,0.41)","0.19(-0.03,0.41)","0.19(-0.05,0.43)","0.32(0.07,0.57)","0.0823","0.0948","0.1360","0.0140","1.0010","0.9996","1.0005","1.0004",2798,2526,2291,2395,3321,3320,3056,3037
