ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C64_C65,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.45(1.33,1.58)","1.44(1.32,1.57)","1.40(1.28,1.53)","1.40(1.27,1.54)",0.0002,0.0002,0.0002,0.0002,1.0000,1.0012,1.0014,1.0017,4026,2783,2668,2623,3980,3428,3351,3263
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.25(1.12,1.39)","1.22(1.10,1.37)","1.21(1.08,1.36)","1.17(1.04,1.31)","0.0002","0.0002","0.0015","0.0069","1.0032","1.0039","1.0046","1.0048",1971,1562,1475,1382,2907,2853,2658,2400
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.98(0.87,1.11)","1.06(0.94,1.19)","1.04(0.94,1.16)","1.01(0.90,1.14)","0.7667","0.3172","0.4522","0.8321","1.0003","1.0019","1.0019","1.0028",2201,2103,2031,1927,3011,2985,2890,2656
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.03(0.93,1.13)","1.11(1.01,1.23)","1.09(0.98,1.22)","1.17(1.05,1.31)","0.5988","0.0394","0.1169","0.0044","1.0022","1.0019","1.0019","1.0017",2195,1884,1835,1949,3403,2556,2835,2872
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.21(1.08,1.34)","1.24(1.11,1.39)","1.20(1.07,1.35)","1.25(1.11,1.41)","0.0010","0.0002","0.0019","0.0002","1.0032","1.0064","1.0057","1.0062",1859,1553,1526,1582,3314,2813,2827,2640
"C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","0.92(0.84,1.01)","0.91(0.82,1.01)","0.98(0.88,1.08)","0.92(0.80,1.04)","0.0756","0.0848","0.6463","0.1639","1.0014","1.0002","1.0012","1.0015",2941,2581,2300,2079,3412,3509,3426,3236
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","1.00(1.00,1.00)","1.34(1.21,1.48)","1.48(1.34,1.64)","1.46(1.31,1.63)","1.46(1.31,1.64)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0013","1.0022","1.0018",3957,2925,2585,2706,3748,3727,3074,3326
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.45(1.23,1.75)","1.50(1.26,1.81)","1.45(1.21,1.75)","1.39(1.15,1.69)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0030","1.0032","1.0035",2418,1659,1500,1530,3519,3072,2625,2413
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.22(1.01,1.46)","1.24(1.04,1.49)","1.19(1.00,1.43)","1.20(1.00,1.46)","0.0344","0.0135","0.0548","0.0498","1.0021","1.0030","1.0027","1.0028",2786,2643,2507,2215,3580,3090,3054,2784
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.16(0.98,1.36)","1.15(0.97,1.36)","1.15(0.96,1.38)","1.25(1.05,1.50)","0.0823","0.0948","0.1360","0.0140","1.0010","0.9996","1.0005","1.0004",2798,2526,2291,2395,3321,3320,3056,3037
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.78(1.51,2.14)","1.58(1.34,1.88)","1.63(1.38,1.96)","1.54(1.29,1.85)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0011","1.0028","1.0016",2530,1790,1647,1741,3257,2968,2378,2671
"C64_C65","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.06(0.90,1.24)","0.99(0.83,1.18)","0.94(0.76,1.12)","0.96(0.76,1.18)","0.5076","0.9071","0.4768","0.6463","0.9998","1.0016","1.0001","1.0016",3365,2650,2529,2146,3700,3449,3431,3121
"C64_C65","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","1.00(1.00,1.00)","1.18(1.09,1.28)","1.22(1.12,1.32)","1.20(1.10,1.30)","1.19(1.08,1.30)","0.0002","0.0002","0.0002","0.0006","1.0005","1.0041","1.0031","1.0028",3512,3011,2698,2558,3514,3636,3049,3213
"C64_C65","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.31(1.18,1.46)","1.27(1.13,1.41)","1.29(1.15,1.43)","1.22(1.09,1.36)","0.0002","0.0002","0.0002","0.0010","1.0039","1.0052","1.0071","1.0056",2325,1781,1609,1562,2847,2968,2797,2674
