ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J43_J44,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"0.15(-1.62,1.90)","1.06(-0.88,3.00)","-0.75(-2.85,1.32)","-0.69(-2.97,1.65)",0.8729,0.2768,0.4726,0.5634,1.0012,1.0010,1.0015,1.0013,2910,2273,2061,1919,3299,3018,2963,3011
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.98(-0.91,2.83)","0.58(-1.45,2.50)","2.05(0.02,4.06)","-1.30(-3.45,0.77)","0.3014","0.5534","0.0481","0.2381","1.0025","1.0031","1.0036","1.0023",2258,1935,1887,1754,3196,3196,3155,3149
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","2.76(0.48,5.08)","0.40(-1.85,2.68)","3.07(0.80,5.44)","2.78(0.20,5.31)","0.0190","0.7388","0.0119","0.0327","1.0009","1.0024","1.0030","1.0023",1943,1850,1719,1788,3085,2752,2265,2385
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.51(-2.30,1.28)","-0.86(-2.70,1.07)","0.36(-1.72,2.57)","0.95(-1.31,3.18)","0.5763","0.3701","0.7405","0.4130","1.0008","1.0018","1.0017","1.0008",2519,2076,1931,1826,3208,3052,2881,3326
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.39(-1.49,2.30)","-0.65(-2.66,1.31)","-0.64(-2.78,1.47)","-0.93(-3.21,1.34)","0.6676","0.5255","0.5622","0.4343","1.0026","1.0050","1.0044","1.0052",2232,1791,1690,1619,3285,3066,2928,2494
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.43(-1.20,2.05)","0.29(-1.54,2.12)","0.78(-1.14,2.69)","-1.08(-3.28,1.08)","0.6213","0.7388","0.4318","0.3218","1.0006","1.0013","1.0012","1.0008",2348,1999,1834,1732,3432,3544,2911,2811
"J43_J44","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","0.42(-1.37,2.21)","0.85(-1.08,2.84)","-1.08(-3.17,1.10)","-1.27(-3.64,1.16)","0.6551","0.3847","0.3056","0.2843","1.0010","1.0015","1.0014","1.0018",2704,2022,1636,1758,3321,2913,2376,2620
"J43_J44","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.64(-1.19,2.44)","0.85(-1.08,2.74)","1.40(-0.56,3.35)","-2.14(-4.26,-0.07)","0.4984","0.3839","0.1743","0.0423","1.0022","1.0011","1.0011","1.0008",2637,2087,2049,1978,3483,3274,3039,3082
"J43_J44","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","2.76(0.37,5.13)","0.70(-1.61,3.08)","3.81(1.53,6.08)","3.61(1.11,6.04)","0.0190","0.5668","0.0002","0.0052","1.0022","1.0018","1.0018","1.0023",1830,1786,1609,1691,2728,2643,2611,2722
"J43_J44","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.71(-2.53,1.01)","-1.42(-3.31,0.47)","-0.04(-2.17,2.08)","1.25(-0.95,3.51)","0.4455","0.1456","0.9696","0.2697","1.0006","1.0016","1.0010","1.0001",2811,2315,2071,2070,3456,3077,3080,3259
