ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J84_D86,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"1.31(0.92,1.71)","1.43(1.02,1.85)","1.30(0.86,1.73)","1.49(1.02,1.99)",0.0002,0.0002,0.0002,0.0002,1.0008,1.0014,1.0027,1.0023,3202,2152,1998,2046,3588,3147,2857,3141
"J84_D86","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","1.13(0.71,1.56)","1.35(0.93,1.79)","1.26(0.79,1.69)","1.11(0.63,1.58)","0.0002","0.0002","0.0002","0.0002","1.0028","1.0031","1.0043","1.0039",2327,1942,1673,1606,3144,2865,2630,2344
"J84_D86","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.05(-0.38,0.49)","0.34(-0.09,0.79)","0.51(0.08,0.96)","0.07(-0.37,0.52)","0.8138","0.1202","0.0131","0.7734","1.0012","1.0007","1.0013","1.0014",2137,2080,1909,1909,2961,3023,3006,2959
"J84_D86","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.12(-0.26,0.49)","0.13(-0.26,0.52)","0.24(-0.19,0.67)","0.40(-0.07,0.86)","0.5018","0.5293","0.2668","0.0923","1.0002","1.0005","1.0015","1.0011",2774,2313,2156,2268,3465,3310,3079,3120
"J84_D86","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.59(0.14,1.03)","0.40(-0.06,0.85)","0.66(0.18,1.15)","0.79(0.27,1.31)","0.0123","0.0848","0.0085","0.0023","1.0019","1.0022","1.0029","1.0035",2047,1583,1411,1424,3508,2593,2569,2440
"J84_D86","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.26(-0.09,0.61)","-0.04(-0.42,0.33)","-0.12(-0.52,0.28)","0.04(-0.41,0.50)","0.1339","0.8434","0.5443","0.8575","1.0008","1.0011","1.0030","1.0028",2518,2030,1739,1760,3416,3115,2682,3219
"J84_D86","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","0.89(0.50,1.28)","1.09(0.68,1.50)","1.05(0.63,1.47)","1.09(0.63,1.53)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0027","1.0048","1.0039",2305,1888,1791,1799,3136,2521,2874,2809
"J84_D86","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.90(0.50,1.29)","0.86(0.45,1.27)","0.89(0.47,1.31)","0.78(0.33,1.22)","0.0002","0.0002","0.0002","0.0006","1.0046","1.0049","1.0048","1.0058",1984,1463,1401,1294,3359,2565,2270,2136
"J84_D86","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.01(-0.40,0.41)","0.17(-0.24,0.58)","0.44(0.03,0.83)","0.22(-0.22,0.63)","0.9683","0.4180","0.0398","0.3039","1.0005","1.0010","1.0007","1.0009",1866,1524,1570,1678,2954,2355,2677,2470
"J84_D86","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.27(-0.06,0.59)","0.25(-0.11,0.59)","0.12(-0.26,0.49)","0.10(-0.30,0.52)","0.1077","0.1664","0.5430","0.6147","1.0013","1.0009","1.0013","1.0013",2322,2003,1734,1754,3207,3156,2971,2814
"J84_D86","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.61(0.20,1.01)","0.57(0.17,0.97)","0.59(0.16,1.01)","0.77(0.31,1.25)","0.0044","0.0065","0.0098","0.0006","1.0022","1.0048","1.0058","1.0051",1783,1286,1156,1170,3275,2458,1979,2287
"J84_D86","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.16(-0.14,0.45)","0.24(-0.09,0.57)","0.23(-0.13,0.58)","0.07(-0.34,0.46)","0.2914","0.1460","0.1868","0.7267","1.0020","1.0019","1.0024","1.0015",2332,1791,1653,1538,3138,2786,2637,2482
"J84_D86","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","0.00","0.99(0.64,1.32)","1.24(0.87,1.60)","1.02(0.64,1.40)","1.21(0.78,1.62)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0021","1.0021","1.0016",4069,2579,2419,2625,3809,3134,3589,3765
"J84_D86","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.33(-0.05,0.72)","0.49(0.08,0.90)","0.37(-0.07,0.79)","0.19(-0.24,0.62)","0.0923","0.0219","0.0848","0.3805","1.0009","1.0018","1.0025","1.0015",2177,1621,1625,1524,3482,2937,2659,2705
"J84_D86","2000_2005","2016_2020",15,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.19(-0.23,0.60)","0.49(0.07,0.91)","0.63(0.25,1.03)","0.52(0.11,0.94)","0.3793","0.0206","0.0019","0.0140","1.0015","1.0019","1.0029","1.0021",2066,1723,1945,1924,3254,2774,2775,3222
"J84_D86","2000_2005","2016_2020",15,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.23(-0.08,0.55)","0.18(-0.15,0.53)","0.23(-0.14,0.61)","0.25(-0.14,0.65)","0.1614","0.2872","0.2231","0.2135","1.0059","1.0046","1.0041","1.0033",2393,2031,1825,1959,3553,3262,2668,2671
"J84_D86","2000_2005","2016_2020",15,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.71(0.31,1.11)","0.69(0.29,1.09)","0.90(0.48,1.33)","0.99(0.54,1.46)","0.0006","0.0002","0.0002","0.0002","1.0017","1.0010","1.0009","1.0014",2208,1601,1457,1485,2933,2372,2102,2116
"J84_D86","2000_2005","2016_2020",15,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.24(-0.05,0.53)","0.07(-0.26,0.39)","0.01(-0.34,0.35)","-0.06(-0.46,0.34)","0.1039","0.6726","0.9558","0.7813","1.0008","1.0013","1.0024","1.0022",2884,2293,2204,2061,3505,3029,3195,2698
"J84_D86","2000_2005","2021_2024",20,"RUCC1_EQI+SM+PA+OB","0.00","0.81(0.38,1.22)","1.18(0.73,1.63)","1.14(0.66,1.62)","0.96(0.41,1.50)","0.0002","0.0002","0.0002","0.0006","1.0003","1.0013","1.0009","1.0013",3073,2290,2112,2016,3477,3328,3271,3137
"J84_D86","2000_2005","2021_2024",20,"RUCC1_EQI_Air+SM+PA+OB","0.00","1.05(0.60,1.51)","0.93(0.46,1.38)","0.69(0.22,1.18)","0.61(0.09,1.12)","0.0002","0.0002","0.0048","0.0210","1.0027","1.0047","1.0031","1.0045",2504,1902,1702,1635,3480,2821,2764,2401
"J84_D86","2000_2005","2021_2024",20,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.33(-0.20,0.88)","0.47(-0.04,1.01)","0.67(0.16,1.18)","0.51(-0.07,1.10)","0.2302","0.0723","0.0094","0.0860","1.0049","1.0083","1.0064","1.0046",1781,1387,1399,1428,2553,2660,2537,2773
"J84_D86","2000_2005","2021_2024",20,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.18(-0.22,0.58)","-0.09(-0.52,0.34)","0.05(-0.45,0.54)","0.13(-0.41,0.66)","0.3789","0.6980","0.8275","0.6301","1.0005","1.0006","1.0003","1.0010",2344,1780,1728,1658,3051,3028,2554,2286
"J84_D86","2000_2005","2021_2024",20,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.31(-0.17,0.76)","0.38(-0.13,0.85)","0.61(0.07,1.11)","0.63(0.04,1.18)","0.1868","0.1306","0.0277","0.0348","1.0008","1.0012","1.0010","1.0014",1964,1649,1392,1393,3245,2785,2423,2466
"J84_D86","2000_2005","2021_2024",20,"RUCC1_EQI_Social+SM+PA+OB","0.00","-0.09(-0.45,0.27)","-0.30(-0.70,0.11)","-0.13(-0.57,0.32)","-0.13(-0.64,0.38)","0.6388","0.1560","0.5701","0.6117","1.0004","1.0009","1.0024","1.0009",2409,2052,1873,1647,3212,3345,3057,2682
"J84_D86","2000_2005","2006_2010",5,"RUCC2_EQI+SM+PA+OB","0.00","0.03(-0.66,0.73)","0.22(-0.49,0.93)","0.55(-0.24,1.35)","-0.12(-0.95,0.71)","0.9342","0.5626","0.1752","0.7617","1.0001","1.0006","1.0005","1.0013",4565,3712,3505,3678,3652,3642,3516,3732
"J84_D86","2000_2005","2006_2010",5,"RUCC2_EQI_Air+SM+PA+OB","0.00","0.15(-0.58,0.91)","0.28(-0.49,1.05)","0.64(-0.18,1.44)","0.34(-0.52,1.18)","0.6884","0.4718","0.1218","0.4205","1.0010","1.0011","1.0001","1.0007",4079,3537,3412,3000,4147,3995,4190,3174
"J84_D86","2000_2005","2006_2010",5,"RUCC2_EQI_Water+SM+PA+OB","0.00","0.80(-0.02,1.58)","0.69(-0.12,1.49)","0.43(-0.37,1.21)","0.67(-0.13,1.47)","0.0552","0.0919","0.2710","0.1039","1.0005","1.0009","1.0015","1.0006",3232,4171,3061,3657,3841,3655,3638,3922
"J84_D86","2000_2005","2006_2010",5,"RUCC2_EQI_Land+SM+PA+OB","0.00","0.02(-0.70,0.73)","-0.48(-1.25,0.26)","-0.40(-1.17,0.39)","-0.37(-1.18,0.43)","0.9600","0.2035","0.3156","0.3622","1.0000","1.0003","1.0008","1.0017",4859,4356,3934,4031,3933,4029,3850,4047
"J84_D86","2000_2005","2006_2010",5,"RUCC2_EQI_Built+SM+PA+OB","0.00","-0.15(-0.87,0.56)","-0.15(-0.88,0.58)","0.06(-0.72,0.87)","0.04(-0.82,0.88)","0.6726","0.6751","0.8821","0.9342","1.0010","1.0018","1.0007","1.0006",4537,3888,4051,4100,3771,3509,3866,4157
"J84_D86","2000_2005","2006_2010",5,"RUCC2_EQI_Social+SM+PA+OB","0.00","-0.16(-0.92,0.64)","0.57(-0.33,1.47)","0.20(-0.72,1.13)","0.07(-0.92,1.08)","0.6634","0.2210","0.6876","0.9021","1.0005","1.0013","1.0022","1.0004",3395,2700,2211,2745,3585,3425,3337,3785
"J84_D86","2000_2005","2011_2015",10,"RUCC2_EQI+SM+PA+OB","0.00","0.04(-0.59,0.66)","-0.04(-0.76,0.61)","0.50(-0.22,1.17)","0.07(-0.72,0.83)","0.8846","0.9179","0.1660","0.8567","1.0006","1.0010","1.0017","1.0009",3894,3326,2735,2757,3577,3913,3146,3363
