ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N18_N19,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"0.58(-0.18,1.37)","1.54(0.69,2.38)","1.72(0.83,2.61)","1.88(0.88,2.84)",0.1343,0.0002,0.0010,0.0006,1.0012,1.0018,1.0025,1.0023,2721,2303,2075,2134,3281,2905,2932,2682
"N18_N19","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.38(-0.41,1.18)","0.24(-0.61,1.09)","1.02(0.14,1.88)","1.63(0.68,2.54)","0.3597","0.5738","0.0185","0.0006","1.0007","1.0021","1.0012","1.0011",2325,1969,1915,1824,3525,3121,3079,2934
"N18_N19","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.63(-1.63,0.33)","0.13(-0.86,1.10)","0.72(-0.25,1.69)","-0.40(-1.51,0.69)","0.2018","0.7892","0.1443","0.4472","1.0031","1.0023","1.0020","1.0016",2119,2000,1975,1982,3072,3045,2968,3021
"N18_N19","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.46(-1.22,0.29)","-0.65(-1.45,0.14)","-0.86(-1.77,0.04)","-1.02(-1.99,-0.07)","0.2118","0.1202","0.0602","0.0360","1.0012","1.0023","1.0014","1.0014",2599,2143,1854,1868,3438,3306,2740,3052
"N18_N19","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.24(-0.55,1.07)","0.04(-0.83,0.90)","0.56(-0.35,1.49)","1.06(0.09,2.02)","0.5784","0.9396","0.2247","0.0348","1.0008","1.0006","1.0022","1.0034",2072,1626,1534,1488,2795,2599,2593,2721
"N18_N19","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.44(-0.20,1.06)","0.63(-0.07,1.36)","0.51(-0.25,1.30)","1.26(0.39,2.15)","0.1985","0.0831","0.2060","0.0060","1.0001","1.0012","1.0011","1.0010",3002,2372,2185,2031,3494,3174,3110,3092
"N18_N19","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","-0.08(-0.80,0.66)","0.52(-0.28,1.34)","1.19(0.32,2.09)","1.45(0.49,2.43)","0.8350","0.2097","0.0098","0.0035","1.0005","1.0000","1.0007","1.0016",3562,2476,2584,2627,3751,3541,3566,3203
"N18_N19","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.47(-0.29,1.21)","0.55(-0.27,1.34)","1.08(0.24,1.87)","1.83(0.93,2.70)","0.2343","0.1948","0.0123","0.0002","1.0016","1.0017","1.0017","1.0021",2384,1992,1938,1825,3160,2897,3054,2671
"N18_N19","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.16(-1.13,0.80)","0.24(-0.75,1.19)","0.59(-0.39,1.53)","-0.11(-1.15,0.93)","0.7438","0.6134","0.2256","0.8475","1.0045","1.0027","1.0038","1.0021",1869,1833,1603,1767,3135,2839,2757,2468
"N18_N19","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.61(-1.33,0.10)","-0.37(-1.18,0.41)","-0.44(-1.35,0.43)","-0.82(-1.78,0.14)","0.0869","0.3568","0.3364","0.0927","1.0002","1.0015","1.0015","1.0013",2632,2127,1889,1959,3119,2702,2645,2760
"N18_N19","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.07(-0.70,0.82)","-0.01(-0.81,0.79)","0.14(-0.73,1.01)","0.79(-0.15,1.73)","0.8446","0.9758","0.7476","0.0960","1.0015","1.0016","1.0021","1.0012",2330,1915,1772,1718,3409,2921,2594,2515
"N18_N19","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.11(-0.53,0.78)","0.13(-0.55,0.85)","0.31(-0.48,1.09)","0.45(-0.45,1.34)","0.7388","0.7184","0.4301","0.3231","1.0001","1.0005","1.0012","1.0017",2578,2129,1928,1933,2960,2859,2841,2832
"N18_N19","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","0.00","0.53(-0.17,1.24)","1.34(0.55,2.11)","1.95(1.14,2.78)","2.26(1.30,3.19)","0.1493","0.0023","0.0002","0.0002","1.0013","1.0024","1.0014","1.0009",3357,2839,2598,2560,3557,3710,3623,3192
"N18_N19","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","0.00","-0.01(-0.73,0.70)","0.19(-0.57,0.96)","0.85(0.05,1.64)","1.50(0.68,2.34)","0.9825","0.6288","0.0373","0.0002","1.0008","1.0016","1.0013","1.0024",2661,2002,2037,1885,3363,3269,2721,3052
"N18_N19","2000_2005","2016_2020",15,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.63(-1.60,0.34)","-0.16(-1.16,0.81)","-0.41(-1.37,0.54)","-0.56(-1.57,0.46)","0.1964","0.7480","0.4047","0.2885","1.0017","1.0015","1.0022","1.0021",1721,1633,1517,1680,2439,2594,2226,2576
"N18_N19","2000_2005","2016_2020",15,"RUCC1_EQI_Land+SM+PA+OB","0.00","-0.27(-0.94,0.42)","-0.26(-0.98,0.49)","-0.23(-1.03,0.60)","-0.79(-1.68,0.09)","0.4347","0.4780","0.5926","0.0852","1.0012","1.0018","1.0011","1.0023",3274,2437,2150,2083,3812,3681,3073,2989
"N18_N19","2000_2005","2016_2020",15,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.45(-0.30,1.17)","0.66(-0.11,1.46)","1.09(0.26,1.92)","1.88(1.00,2.80)","0.2302","0.0969","0.0085","0.0002","1.0011","1.0017","1.0013","1.0024",3130,1863,1903,1863,3369,2972,2695,2969
"N18_N19","2000_2005","2016_2020",15,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.45(-0.15,1.05)","0.51(-0.15,1.17)","0.47(-0.26,1.21)","0.80(-0.01,1.64)","0.1356","0.1235","0.2002","0.0548","1.0003","1.0000","1.0010","1.0011",3029,2439,2379,1913,3737,3763,3321,3080
"N18_N19","2000_2005","2021_2024",20,"RUCC1_EQI+SM+PA+OB","0.00","0.64(-0.22,1.46)","2.13(1.22,3.03)","2.16(1.19,3.08)","2.70(1.63,3.75)","0.1464","0.0002","0.0002","0.0002","1.0006","1.0011","1.0020","1.0010",3033,2715,2480,2433,3626,3736,3237,3089
"N18_N19","2000_2005","2021_2024",20,"RUCC1_EQI_Air+SM+PA+OB","0.00","0.17(-0.66,0.99)","0.30(-0.58,1.16)","0.65(-0.25,1.53)","1.31(0.37,2.26)","0.6805","0.5068","0.1648","0.0069","1.0011","1.0010","1.0005","1.0005",2551,1988,2027,1990,3523,2920,3410,3229
"N18_N19","2000_2005","2021_2024",20,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.75(-1.84,0.36)","-0.65(-1.72,0.41)","-0.10(-1.17,0.94)","-1.47(-2.61,-0.32)","0.1835","0.2335","0.8479","0.0106","1.0006","1.0012","1.0019","1.0025",1764,1557,1568,1689,2972,2739,2555,2967
