ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
N00_N29_C64_C65,5,EQI,"-0.42(-0.94,0.10)","0.24(-0.43,0.92)","-2.12(-2.81,-1.43)***","0.01(-0.20,0.21)",0.1268,0.4880,1.0020,1.0008,4745,5128,3810,4086,1.0021,3137
"N00_N29_C64_C65",5,"Air","-0.42(-0.96,0.12)","-0.11(-0.81,0.62)","-2.07(-2.78,-1.35)***","0.01(-0.20,0.21)","0.1310","0.7563","1.0009","1.0012",4352,5287,3627,3963,1.0012,3137
"N00_N29_C64_C65",5,"Water","-0.10(-1.12,0.87)","0.37(-0.37,1.12)","-2.29(-2.90,-1.68)***","0.02(-0.19,0.22)","0.8504","0.3276","1.0004","1.0007",5752,5691,3671,3951,1.0021,3137
"N00_N29_C64_C65",5,"Land","-0.19(-0.77,0.40)","-0.07(-0.74,0.63)","-2.16(-2.91,-1.41)***","0.01(-0.20,0.23)","0.5484","0.8338","1.0020","1.0001",4825,4391,4030,3835,1.002,3137
"N00_N29_C64_C65",5,"Built","-0.14(-0.80,0.50)","0.18(-0.53,0.87)","-2.24(-3.04,-1.43)***","0.02(-0.19,0.22)","0.6588","0.5997","1.0005","1.0008",4515,4796,4087,4005,1.0008,3137
"N00_N29_C64_C65",5,"Social","-0.25(-1.00,0.49)","0.34(-0.52,1.19)","-2.24(-3.10,-1.40)***","-0.02(-0.24,0.19)","0.5226","0.4443","1.0016","1.0014",4890,5299,3556,3566,1.0021,3137
"N00_N29_C64_C65",5,"Cluster_EQI_A_EQI","0.72(-2.35,3.77)","-0.61(-2.44,1.22)","-2.10(-3.84,-0.37)*","-0.20(-0.86,0.47)","0.6417","0.5201","1.0003","1.0008",4964,4031,3764,3419,1.0023,1010
"N00_N29_C64_C65",5,"Cluster_EQI_A_Air","-0.35(-3.02,2.47)","-1.13(-3.08,0.80)","-1.81(-3.56,-0.02)*","-0.18(-0.82,0.49)","0.8025","0.2581","1.0007","1.0014",5063,2378,3810,3302,1.003,1010
"N00_N29_C64_C65",5,"Cluster_EQI_A_Water","-0.42(-3.68,2.86)","0.73(-1.83,3.21)","-2.38(-3.94,-0.91)**","-0.17(-0.84,0.52)","0.8005","0.5580","1.0021","1.0003",6172,7056,3384,3773,1.0021,1010
"N00_N29_C64_C65",5,"Cluster_EQI_A_Land","-2.25(-4.34,-0.09)*","-1.13(-3.22,1.02)","-1.06(-2.98,0.85)","-0.15(-0.78,0.50)","0.0406","0.2918","1.0009","1.0004",4493,4508,3761,3815,1.0018,1010
"N00_N29_C64_C65",5,"Cluster_EQI_A_Built","0.31(-2.42,2.95)","-0.51(-2.71,1.55)","-2.04(-4.18,0.22)","-0.19(-0.85,0.47)","0.8134","0.6372","1.0019","1.0040",3211,2624,3548,2988,1.004,1010
"N00_N29_C64_C65",5,"Cluster_EQI_A_Social","-1.07(-4.66,2.62)","-1.97(-4.38,0.52)","-0.67(-3.25,1.76)","-0.20(-0.84,0.43)","0.5768","0.1031","1.0031","1.0006",5151,2696,3860,2915,1.0031,1010
"N00_N29_C64_C65",5,"Cluster_EQI_B_EQI","-0.49(-1.37,0.41)","-0.42(-1.57,0.79)","-2.33(-3.62,-1.10)***","-0.05(-0.33,0.24)","0.2810","0.4880","1.0019","1.0006",4454,4739,3890,3968,1.0019,747
"N00_N29_C64_C65",5,"Cluster_EQI_B_Air","0.48(-0.37,1.37)","-0.09(-1.48,1.33)","-2.94(-4.19,-1.72)***","-0.04(-0.32,0.25)","0.2702","0.8871","1.0017","1.0007",6257,6432,3711,3939,1.0017,747
"N00_N29_C64_C65",5,"Cluster_EQI_B_Water","-0.53(-2.36,1.38)","-0.57(-1.74,0.55)","-2.58(-3.72,-1.47)***","-0.06(-0.34,0.25)","0.5909","0.3401","1.0016","1.0011",4898,4967,3725,3646,1.0045,747
"N00_N29_C64_C65",5,"Cluster_EQI_B_Land","0.06(-0.97,1.11)","0.36(-0.74,1.45)","-2.77(-3.98,-1.53)***","-0.03(-0.31,0.27)","0.9346","0.5430","1.0017","1.0000",4997,4572,3631,3611,1.0017,747
"N00_N29_C64_C65",5,"Cluster_EQI_B_Built","-0.21(-1.23,0.78)","0.02(-1.22,1.22)","-2.52(-3.85,-1.16)***","-0.03(-0.32,0.26)","0.6859","0.9450","1.0008","1.0022",5055,4938,3439,4170,1.0022,747
"N00_N29_C64_C65",5,"Cluster_EQI_B_Social","0.56(-0.48,1.61)","0.96(-0.53,2.48)","-3.18(-4.53,-1.83)***","-0.02(-0.31,0.27)","0.3018","0.2097","1.0019","1.0005",4719,4324,4003,3817,1.0019,747
"N00_N29_C64_C65",5,"Cluster_EQI_C_EQI","-0.10(-0.73,0.52)","-0.19(-1.11,0.76)","-2.31(-3.24,-1.38)***","0.08(-0.23,0.39)","0.7521","0.6888","1.0005","1.0010",6425,7608,3848,3642,1.001,1380
"N00_N29_C64_C65",5,"Cluster_EQI_C_Air","-0.31(-0.94,0.33)","0.01(-0.99,1.04)","-2.23(-3.13,-1.31)***","0.07(-0.24,0.38)","0.3443","0.9946","1.0013","1.0007",5280,7105,3914,3839,1.0019,1380
"N00_N29_C64_C65",5,"Cluster_EQI_C_Water","0.05(-1.08,1.22)","0.11(-0.89,1.10)","-2.40(-3.24,-1.59)***","0.08(-0.22,0.38)","0.9475","0.8309","1.0020","0.9999",6153,6183,3723,3902,1.002,1380
"N00_N29_C64_C65",5,"Cluster_EQI_C_Land","0.24(-0.42,0.92)","0.26(-0.64,1.15)","-2.60(-3.60,-1.59)***","0.07(-0.23,0.38)","0.4934","0.5638","1.0016","1.0015",6583,5709,3890,4068,1.0034,1380
"N00_N29_C64_C65",5,"Cluster_EQI_C_Built","1.03(0.15,1.87)*","0.87(-0.08,1.78)","-3.25(-4.33,-2.17)***","0.08(-0.22,0.39)","0.0244","0.0660","1.0008","1.0000",4059,4551,3461,3484,1.0021,1380
"N00_N29_C64_C65",5,"Cluster_EQI_C_Social","0.76(-0.24,1.79)","0.19(-1.22,1.69)","-2.95(-4.12,-1.82)***","0.13(-0.17,0.45)","0.1373","0.8000","1.0010","1.0010",3924,4450,3528,3538,1.0012,1380
"N00_N29_C64_C65",5,"Cluster_NLCD_A_EQI","-0.30(-1.10,0.50)","0.84(-0.04,1.69)","-1.85(-2.78,-0.95)***","0.10(-0.22,0.42)","0.4330","0.0619","1.0005","1.0003",4302,4414,3591,3952,1.0009,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Air","-0.84(-1.66,-0.05)*","0.16(-0.79,1.15)","-1.57(-2.44,-0.69)***","0.03(-0.30,0.34)","0.0373","0.7584","1.0003","1.0003",3704,4161,3688,3766,1.0021,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Water","-0.65(-2.06,0.77)","0.95(-0.18,2.05)","-1.90(-2.72,-1.07)***","0.08(-0.24,0.40)","0.3730","0.0948","1.0035","1.0014",4617,4522,3891,3254,1.0045,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Land","0.19(-0.71,1.08)","-0.10(-1.32,1.11)","-1.97(-3.05,-0.88)***","0.08(-0.24,0.39)","0.6726","0.8629","1.0000","1.0003",5280,6183,3751,4006,1.001,1593
"N00_N29_C64_C65",5,"Cluster_NLCD_A_Built","-0.42(-1.40,0.56)","0.23(-0.80,1.21)","-1.71(-2.80,-0.61)**","0.09(-0.23,0.42)","0.4097","0.6526","1.0001","1.0000",5370,5459,4072,3707,1.0013,1593
