ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
N00_N29_C64_C65,5,EQI,"-0.42(-0.94,0.10)","0.24(-0.43,0.92)","-2.12(-2.81,-1.43)***","0.01(-0.20,0.21)",0.1268,0.4880,1.0020,1.0008,4745,5128,3810,4086,1.0021,3137
"N00_N29_C64_C65",5,"Air","-0.42(-0.96,0.12)","-0.11(-0.81,0.62)","-2.07(-2.78,-1.35)***","0.01(-0.20,0.21)","0.1310","0.7563","1.0009","1.0012",4352,5287,3627,3963,1.0012,3137
"N00_N29_C64_C65",5,"Water","-0.10(-1.12,0.87)","0.37(-0.37,1.12)","-2.29(-2.90,-1.68)***","0.02(-0.19,0.22)","0.8504","0.3276","1.0004","1.0007",5752,5691,3671,3951,1.0021,3137
"N00_N29_C64_C65",5,"Land","-0.19(-0.77,0.40)","-0.07(-0.74,0.63)","-2.16(-2.91,-1.41)***","0.01(-0.20,0.23)","0.5484","0.8338","1.0020","1.0001",4825,4391,4030,3835,1.002,3137
"N00_N29_C64_C65",5,"Built","-0.14(-0.80,0.50)","0.18(-0.53,0.87)","-2.24(-3.04,-1.43)***","0.02(-0.19,0.22)","0.6588","0.5997","1.0005","1.0008",4515,4796,4087,4005,1.0008,3137
"N00_N29_C64_C65",5,"Social","-0.25(-1.00,0.49)","0.34(-0.52,1.19)","-2.24(-3.10,-1.40)***","-0.02(-0.24,0.19)","0.5226","0.4443","1.0016","1.0014",4890,5299,3556,3566,1.0021,3137
"N00_N29_C64_C65",5,"RUCC_1_EQI","-0.19(-0.75,0.37)","-0.45(-1.22,0.32)","-2.12(-2.86,-1.41)***","0.14(-0.09,0.36)","0.4905","0.2497","1.0005","1.0000",5282,5991,4350,3906,1.0005,1089
"N00_N29_C64_C65",5,"RUCC_1_Air","0.06(-0.48,0.60)","-0.43(-1.68,0.92)","-2.32(-3.09,-1.55)***","0.13(-0.11,0.37)","0.8496","0.5184","1.0008","1.0008",5678,7455,3737,3492,1.0026,1089
"N00_N29_C64_C65",5,"RUCC_1_Water","0.50(-0.57,1.56)","-0.21(-1.04,0.60)","-2.33(-3.00,-1.67)***","0.13(-0.11,0.35)","0.3589","0.6197","1.0004","1.0011",4971,4618,3636,3450,1.0016,1089
"N00_N29_C64_C65",5,"RUCC_1_Land","0.44(-0.14,1.00)","0.47(-0.31,1.25)","-2.64(-3.42,-1.86)***","0.14(-0.10,0.37)","0.1231","0.2352","1.0003","1.0004",5451,5690,3650,4181,1.0021,1089
"N00_N29_C64_C65",5,"RUCC_1_Built","0.30(-0.43,1.00)","0.56(-0.24,1.33)","-2.63(-3.50,-1.71)***","0.13(-0.09,0.36)","0.4047","0.1598","1.0007","1.0009",4816,4982,4028,4063,1.0021,1089
"N00_N29_C64_C65",5,"RUCC_1_Social","0.50(-0.46,1.49)","-0.11(-1.52,1.32)","-2.73(-3.79,-1.67)***","0.14(-0.09,0.37)","0.2976","0.8854","1.0004","1.0000",3239,4156,3460,3769,1.001,1089
"N00_N29_C64_C65",5,"RUCC_2_EQI","-0.54(-2.15,1.16)","-0.61(-2.80,1.53)","-2.57(-4.35,-0.79)**","-0.24(-0.94,0.44)","0.5105","0.6022","0.9998","0.9998",4165,2796,3577,3409,1.0027,323
"N00_N29_C64_C65",5,"RUCC_2_Air","-0.29(-2.01,1.49)","0.62(-1.30,2.56)","-2.87(-4.91,-0.86)**","-0.23(-0.92,0.45)","0.7476","0.5222","1.0017","1.0011",4302,5088,3845,4270,1.0026,323
"N00_N29_C64_C65",5,"RUCC_2_Water","-2.25(-4.68,0.39)","-0.44(-2.83,1.87)","-2.74(-4.23,-1.28)***","-0.25(-0.94,0.43)","0.0956","0.7242","1.0008","1.0036",6403,6806,3634,3442,1.0036,323
"N00_N29_C64_C65",5,"RUCC_2_Land","-0.25(-2.09,1.63)","-0.46(-2.29,1.33)","-2.67(-4.62,-0.73)**","-0.25(-0.93,0.42)","0.7842","0.6305","1.0017","1.0006",3670,3830,4285,3986,1.0017,323
"N00_N29_C64_C65",5,"RUCC_2_Built","1.05(-0.78,2.89)","1.01(-1.09,3.19)","-3.77(-5.82,-1.76)***","-0.23(-0.95,0.47)","0.2568","0.3601","1.0014","1.0018",3086,3147,4101,3746,1.0018,323
"N00_N29_C64_C65",5,"RUCC_2_Social","1.63(-0.25,3.46)","1.65(-0.47,3.73)","-4.08(-5.93,-2.16)***","-0.15(-0.84,0.54)","0.0839","0.1231","1.0013","1.0017",3942,3766,3666,3129,1.0035,323
"N00_N29_C64_C65",5,"RUCC_3_EQI","0.97(-0.89,2.73)","0.62(-1.25,2.43)","-2.59(-4.31,-0.78)**","-0.07(-0.67,0.55)","0.2939","0.5030","1.0014","1.0002",4841,5287,3854,3832,1.0024,1057
"N00_N29_C64_C65",5,"RUCC_3_Air","0.20(-1.60,1.95)","-0.25(-1.84,1.32)","-1.95(-3.53,-0.31)*","-0.07(-0.70,0.57)","0.8404","0.7588","1.0010","1.0002",6062,6252,3945,3442,1.0031,1057
"N00_N29_C64_C65",5,"RUCC_3_Water","0.46(-1.94,2.79)","1.17(-0.80,3.11)","-2.12(-3.46,-0.73)**","-0.01(-0.65,0.65)","0.6984","0.2543","1.0008","1.0015",7000,6992,3770,3412,1.0015,1057
"N00_N29_C64_C65",5,"RUCC_3_Land","-0.17(-1.87,1.59)","-0.25(-2.02,1.57)","-1.81(-3.64,0.01)","-0.05(-0.66,0.56)","0.8429","0.8034","1.0003","0.9999",4183,4209,3846,3607,1.0005,1057
"N00_N29_C64_C65",5,"RUCC_3_Built","-0.99(-3.06,1.12)","-1.75(-3.85,0.35)","-0.87(-3.00,1.31)","-0.09(-0.71,0.57)","0.3655","0.1106","1.0011","1.0016",3038,3025,3550,3197,1.0023,1057
"N00_N29_C64_C65",5,"RUCC_3_Social","0.37(-1.70,2.50)","-0.91(-3.03,1.22)","-1.67(-3.69,0.32)","-0.02(-0.64,0.58)","0.7367","0.3885","0.9996","1.0004",4662,4120,4048,3412,1.0011,1057
"N00_N29_C64_C65",5,"RUCC_4_EQI","-1.44(-4.10,1.23)","-0.44(-2.68,1.83)","-1.82(-3.79,0.19)","-0.32(-1.15,0.47)","0.3139","0.7067","1.0007","1.0004",4718,4714,4029,3756,1.0007,668
"N00_N29_C64_C65",5,"RUCC_4_Air","-0.49(-5.98,4.97)","-1.15(-3.42,1.11)","-1.72(-3.68,0.24)","-0.31(-1.11,0.47)","0.8688","0.3035","1.0007","0.9999",6971,4760,4126,3323,1.0017,668
"N00_N29_C64_C65",5,"RUCC_4_Water","0.06(-3.49,3.61)","0.45(-2.35,3.31)","-2.33(-4.16,-0.64)**","-0.29(-1.07,0.49)","0.9742","0.7467","1.0024","1.0020",5548,4476,3596,3762,1.0024,668
"N00_N29_C64_C65",5,"RUCC_4_Land","-2.11(-4.59,0.28)","-1.84(-4.44,0.79)","-0.84(-3.13,1.39)","-0.29(-1.07,0.52)","0.0852","0.1906","1.0003","1.0004",2988,3580,3384,3954,1.0013,668
"N00_N29_C64_C65",5,"RUCC_4_Built","0.37(-2.32,3.30)","-0.19(-2.69,2.29)","-2.24(-4.63,0.16)","-0.28(-1.09,0.52)","0.7921","0.8863","1.0017","1.0002",4427,4419,4126,3838,1.0017,668
"N00_N29_C64_C65",5,"RUCC_4_Social","-3.03(-6.42,0.41)","-1.09(-3.53,1.43)","-1.12(-3.67,1.29)","-0.35(-1.11,0.43)","0.0852","0.3935","1.0002","1.0014",6068,4365,3722,3985,1.0014,668
