ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
K70_K76_C22,5,EQI,"0.21(-0.25,0.68)","-0.21(-0.77,0.37)","2.17(1.63,2.75)***","0.11(-0.07,0.30)",0.3735,0.4839,1.0023,1.0011,4636,4131,3780,3464,1.0031,3137
"K70_K76_C22",5,"Air","0.42(-0.08,0.91)","-0.29(-0.88,0.31)","2.14(1.57,2.70)***","0.14(-0.05,0.33)","0.1035","0.3389","1.0001","1.0024",3781,3252,3463,3491,1.0024,3137
"K70_K76_C22",5,"Water","-0.56(-1.35,0.23)","-0.00(-0.63,0.62)","2.26(1.74,2.77)***","0.11(-0.07,0.29)","0.1664","0.9988","1.0001","0.9999",4877,4259,4147,3893,1.001,3137
"K70_K76_C22",5,"Land","-0.19(-0.70,0.31)","0.36(-0.25,0.96)","2.21(1.60,2.80)***","0.10(-0.08,0.28)","0.4847","0.2460","1.0005","0.9999",4118,4701,3763,3910,1.0008,3137
"K70_K76_C22",5,"Built","0.68(0.09,1.26)*","0.22(-0.43,0.83)","1.77(1.12,2.44)***","0.11(-0.07,0.30)","0.0215","0.4951","1.0003","1.0012",4064,3802,4045,3657,1.0028,3137
"K70_K76_C22",5,"Social","0.21(-0.51,0.89)","0.01(-0.75,0.74)","2.11(1.37,2.91)***","0.13(-0.05,0.32)","0.5388","0.9688","1.0003","1.0010",5050,4889,3776,3623,1.0018,3137
"K70_K76_C22",10,"EQI","0.11(-0.41,0.62)","0.96(0.27,1.69)**","2.02(1.37,2.70)***","0.22(0.00,0.45)*","0.6905","0.0040","1.0022","1.0005",4547,3040,3683,3413,1.0023,3136
"K70_K76_C22",10,"Air","0.47(-0.08,1.00)","0.83(0.13,1.55)*","1.90(1.28,2.51)***","0.25(0.04,0.45)*","0.0910","0.0240","1.0008","1.0002",4288,4961,3300,3210,1.0018,3136
"K70_K76_C22",10,"Water","1.01(0.15,1.84)*","-0.55(-1.23,0.18)","2.23(1.68,2.79)***","0.26(0.05,0.47)*","0.0235","0.1310","1.0016","0.9998",5533,4830,3789,3408,1.0016,3136
"K70_K76_C22",10,"Land","-0.54(-1.14,0.03)","0.03(-0.65,0.73)","2.52(1.88,3.20)***","0.25(0.03,0.46)*","0.0619","0.9233","1.0019","1.0001",5114,5724,3964,3909,1.0033,3136
"K70_K76_C22",10,"Built","-0.35(-1.05,0.35)","0.46(-0.30,1.23)","2.30(1.52,3.10)***","0.25(0.03,0.46)*","0.3276","0.2414","1.0025","1.0033",3668,2884,3705,3496,1.0033,3136
"K70_K76_C22",10,"Social","0.15(-0.73,1.00)","0.76(-0.16,1.68)","1.91(1.03,2.82)***","0.21(-0.03,0.43)","0.7088","0.1073","1.0019","1.0017",3072,3251,3650,3049,1.002,3136
"K70_K76_C22",15,"EQI","0.89(0.08,1.73)*","1.04(0.07,2.04)*","7.38(5.82,8.88)***","0.35(0.03,0.67)*","0.0310","0.0390","0.9997","1.0006",5242,5319,3865,3491,1.0108,3136
"K70_K76_C22",15,"Air","0.78(-0.02,1.60)","-0.42(-1.49,0.62)","7.82(6.36,9.27)***","0.39(0.07,0.71)*","0.0564","0.4235","1.0015","0.9996",5719,6690,3628,3622,1.0131,3136
"K70_K76_C22",15,"Water","0.57(-0.82,1.92)","-0.15(-1.27,0.96)","7.96(6.52,9.41)***","0.36(0.03,0.67)*","0.4135","0.7917","1.0004","0.9998",6376,6742,3692,3761,1.0035,3136
"K70_K76_C22",15,"Land","-1.17(-2.01,-0.33)**","1.98(1.04,2.95)***","7.92(6.39,9.35)***","0.30(-0.01,0.61)","0.0077","0.0006","1.0001","1.0002",5650,5768,3792,3947,1.0104,3136
"K70_K76_C22",15,"Built","0.98(-0.04,1.95)","0.63(-0.43,1.67)","7.25(5.57,8.88)***","0.34(0.02,0.66)*","0.0577","0.2381","0.9996","1.0004",4556,4528,3802,3482,1.0066,3136
"K70_K76_C22",15,"Social","-0.69(-1.85,0.50)","0.09(-1.19,1.42)","8.33(6.59,10.03)***","0.29(-0.03,0.62)","0.2460","0.8988","1.0021","1.0012",3357,3307,3316,3255,1.0039,3136
