ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
J40_J47_J60_J70_J84_D86_C34,5,EQI,"0.02(-1.21,1.26)","2.05(0.57,3.53)*","-4.00(-5.48,-2.53)***","0.71(0.22,1.18)**",0.9813,0.0102,1.0005,1.0015,4112,4275,3609,3997,1.0047,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Air","-1.41(-2.65,-0.16)*","1.60(-0.03,3.25)","-3.09(-4.60,-1.55)***","0.71(0.21,1.22)**","0.0269","0.0539","1.0001","1.0004",4445,4595,3103,4071,1.0039,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Water","0.99(-1.10,3.06)","-0.38(-2.10,1.33)","-3.58(-4.91,-2.27)***","0.73(0.24,1.21)**","0.3481","0.6713","1.0016","1.0011",5344,5667,3410,3860,1.0016,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Land","-1.10(-2.35,0.18)","-0.51(-2.01,0.96)","-2.88(-4.40,-1.34)***","0.72(0.23,1.22)**","0.0927","0.5097","1.0006","1.0003",4495,4236,3916,3854,1.0034,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Built","-0.67(-2.21,0.84)","0.84(-0.82,2.48)","-3.36(-5.08,-1.53)***","0.77(0.29,1.25)**","0.3835","0.3176","1.0003","1.0015",4747,4612,3729,3522,1.0015,3137
"J40_J47_J60_J70_J84_D86_C34",5,"Social","-4.57(-6.29,-2.85)***","0.09(-1.80,2.00)","-1.29(-3.19,0.58)","0.29(-0.21,0.80)","0.0002","0.9342","1.0018","1.0013",5457,4849,3603,3966,1.0018,3137
"J40_J47_J60_J70_J84_D86_C34",10,"EQI","-1.08(-2.23,0.10)","2.26(0.76,3.74)**","-7.60(-9.05,-6.14)***","0.94(0.47,1.40)***","0.0702","0.0035","1.0014","1.0018",4298,4351,3663,3589,1.0018,3136
"J40_J47_J60_J70_J84_D86_C34",10,"Air","-2.70(-3.81,-1.56)***","0.42(-1.20,2.04)","-6.42(-7.89,-4.93)***","0.90(0.42,1.37)***","0.0002","0.6122","1.0010","1.0002",4521,5064,3588,4025,1.0017,3136
"J40_J47_J60_J70_J84_D86_C34",10,"Water","-0.26(-2.38,1.92)","-0.21(-1.85,1.49)","-7.63(-8.87,-6.43)***","0.95(0.49,1.40)***","0.8080","0.7988","1.0010","1.0003",4115,4555,3717,3233,1.0023,3136
"J40_J47_J60_J70_J84_D86_C34",10,"Land","-1.08(-2.40,0.22)","0.32(-1.09,1.79)","-7.33(-8.83,-5.87)***","0.91(0.44,1.39)***","0.1039","0.6767","1.0003","1.0035",4633,5033,3950,4157,1.0035,3136
"J40_J47_J60_J70_J84_D86_C34",10,"Built","-0.51(-2.00,0.98)","1.29(-0.29,2.93)","-7.73(-9.50,-5.97)***","1.00(0.54,1.48)***","0.5064","0.1181","1.0010","1.0024",5249,5457,3821,4155,1.0024,3136
"J40_J47_J60_J70_J84_D86_C34",10,"Social","-1.79(-3.53,-0.05)*","3.47(1.43,5.53)***","-7.76(-9.65,-5.89)***","0.62(0.12,1.11)*","0.0452","0.0006","0.9998","1.0003",4236,4327,3765,4062,1.0022,3136
"J40_J47_J60_J70_J84_D86_C34",15,"EQI","0.47(-0.90,1.79)","6.82(5.26,8.34)***","2.44(-0.47,5.30)","1.96(1.44,2.51)***","0.4876","0.0002","1.0003","1.0001",5651,5742,3926,4288,1.0151,3136
"J40_J47_J60_J70_J84_D86_C34",15,"Air","-2.71(-4.05,-1.39)***","3.09(1.32,4.75)***","4.47(1.36,7.51)**","1.86(1.30,2.42)***","0.0002","0.0002","1.0008","1.0007",4675,5428,3849,3817,1.0199,3136
"J40_J47_J60_J70_J84_D86_C34",15,"Water","-1.96(-4.14,0.31)","1.62(-0.21,3.47)","3.83(0.89,6.79)**","2.03(1.47,2.59)***","0.0906","0.0877","1.0004","1.0004",4333,5751,3772,3123,1.0084,3136
"J40_J47_J60_J70_J84_D86_C34",15,"Land","-1.52(-3.02,-0.00)*","3.07(1.42,4.69)***","4.01(1.01,6.88)**","1.93(1.38,2.49)***","0.0498","0.0006","1.0008","1.0007",4552,4952,3949,3603,1.0123,3136
"J40_J47_J60_J70_J84_D86_C34",15,"Built","-1.93(-3.64,-0.28)*","-0.50(-2.29,1.30)","5.15(2.05,8.23)**","2.05(1.51,2.59)***","0.0227","0.5788","1.0011","1.0022",3407,3155,3418,3341,1.0153,3136
"J40_J47_J60_J70_J84_D86_C34",15,"Social","-6.02(-7.85,-4.23)***","4.26(2.20,6.33)***","5.75(2.47,9.00)***","1.28(0.74,1.83)***","0.0002","0.0002","0.9999","1.0015",3446,3424,3791,3785,1.0108,3136
