ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
I00_I99,5,EQI,"-0.48(-1.56,0.65)","-0.27(-1.54,1.02)","-18.61(-20.71,-16.45)***","1.11(0.66,1.54)***",0.3918,0.6801,1.0023,1.0006,5870,5438,3795,3471,1.0101,12548
"I00_I99",5,"Air","-1.48(-2.60,-0.38)**","0.91(-0.49,2.32)","-18.48(-20.59,-16.38)***","1.01(0.56,1.45)***","0.0098","0.1977","1.0015","1.0002",5520,6348,3331,3697,1.0057,12548
"I00_I99",5,"Water","1.88(0.09,3.71)*","3.37(1.75,5.06)***","-19.29(-21.36,-17.23)***","1.15(0.69,1.62)***","0.0390","0.0006","1.0002","1.0011",5793,7396,4078,3911,1.0089,12548
"I00_I99",5,"Land","-1.71(-2.87,-0.52)**","-2.57(-3.87,-1.25)***","-17.33(-19.36,-15.15)***","1.15(0.70,1.59)***","0.0040","0.0002","1.0003","1.0009",5554,5909,3708,3951,1.0049,12548
"I00_I99",5,"Built","0.79(-0.66,2.20)","-0.07(-1.58,1.43)","-19.26(-21.62,-16.86)***","1.10(0.64,1.58)***","0.2693","0.9367","1.0008","1.0003",4206,4203,3461,3702,1.0057,12548
"I00_I99",5,"Social","-1.98(-3.55,-0.36)*","-0.80(-2.51,0.88)","-17.59(-19.94,-15.25)***","0.99(0.52,1.45)***","0.0135","0.3605","0.9999","1.0003",3798,3974,3646,3804,1.0032,12548
"I00_I99",5,"Cluster_EQI_A_EQI","-2.57(-7.40,2.27)","0.61(-2.95,4.25)","-17.26(-21.87,-12.63)***","-0.93(-2.28,0.46)","0.2806","0.7546","1.0003","1.0010",4463,4128,3748,3734,1.0047,4040
"I00_I99",5,"Cluster_EQI_A_Air","-0.71(-5.13,3.85)","6.05(2.52,9.50)***","-19.06(-23.35,-14.65)***","-0.82(-2.17,0.49)","0.7492","0.0006","1.0006","1.0013",4574,4060,3492,3614,1.0042,4040
"I00_I99",5,"Cluster_EQI_A_Water","4.27(-1.02,9.63)","4.19(-0.97,9.16)","-18.00(-22.12,-13.78)***","-0.94(-2.30,0.38)","0.1085","0.1106","1.0001","1.0008",4669,5208,3709,3716,1.0035,4040
"I00_I99",5,"Cluster_EQI_A_Land","-1.92(-6.16,2.26)","-7.68(-11.50,-3.79)***","-14.77(-19.26,-10.25)***","-0.99(-2.34,0.37)","0.3680","0.0002","1.0011","1.0000",3636,3897,3147,3700,1.0065,4040
"I00_I99",5,"Cluster_EQI_A_Built","4.89(0.55,9.41)*","2.21(-1.81,6.21)","-19.59(-24.34,-14.50)***","-0.99(-2.37,0.40)","0.0327","0.2760","1.0007","1.0005",4618,4558,3924,3818,1.004,4040
"I00_I99",5,"Cluster_EQI_A_Social","3.67(-1.97,9.31)","-5.15(-9.11,-1.13)*","-13.90(-18.98,-8.80)***","-0.83(-2.17,0.53)","0.2077","0.0135","0.9998","1.0005",7126,5973,4228,3372,1.0034,4040
"I00_I99",5,"Cluster_EQI_B_EQI","0.65(-1.45,2.73)","-0.97(-3.30,1.40)","-20.58(-24.00,-17.05)***","2.03(1.24,2.82)***","0.5534","0.4168","1.0026","1.0015",6593,6904,3901,4348,1.0028,2988
"I00_I99",5,"Cluster_EQI_B_Air","0.09(-1.89,2.12)","-1.70(-4.39,1.03)","-20.23(-23.65,-16.59)***","2.06(1.28,2.85)***","0.9288","0.2122","1.0004","1.0023",6752,6757,3491,3875,1.0044,2988
"I00_I99",5,"Cluster_EQI_B_Water","1.28(-2.36,4.94)","3.86(1.21,6.63)**","-21.14(-24.36,-17.65)***","2.08(1.28,2.88)***","0.4847","0.0048","1.0003","1.0016",4956,6118,3894,3368,1.0076,2988
"I00_I99",5,"Cluster_EQI_B_Land","-4.20(-6.52,-1.93)***","-2.18(-4.46,0.12)","-18.47(-21.88,-14.77)***","1.99(1.19,2.78)***","0.0010","0.0606","1.0013","1.0009",7052,5869,4194,3412,1.0018,2988
"I00_I99",5,"Cluster_EQI_B_Built","2.29(0.05,4.63)*","0.67(-1.94,3.37)","-21.92(-25.59,-18.26)***","2.00(1.23,2.77)***","0.0464","0.6217","1.0016","1.0027",5049,5706,4000,3579,1.0037,2988
"I00_I99",5,"Cluster_EQI_B_Social","1.91(-0.74,4.63)","1.14(-1.81,4.19)","-21.71(-25.54,-17.70)***","2.12(1.32,2.90)***","0.1548","0.4630","1.0005","1.0016",4770,4683,3974,3986,1.0033,2988
"I00_I99",5,"Cluster_EQI_C_EQI","1.05(-0.19,2.32)","-2.48(-4.18,-0.86)**","-19.18(-21.34,-17.01)***","1.04(0.51,1.59)***","0.0935","0.0044","1.0010","1.0010",5624,6223,3943,3437,1.0019,5520
