ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
I00_I99,5,EQI,"-0.48(-1.56,0.65)","-0.27(-1.54,1.02)","-18.61(-20.71,-16.45)***","1.11(0.66,1.54)***",0.3918,0.6801,1.0023,1.0006,5870,5438,3795,3471,1.0101,12548
"I00_I99",5,"Air","-1.48(-2.60,-0.38)**","0.91(-0.49,2.32)","-18.48(-20.59,-16.38)***","1.01(0.56,1.45)***","0.0098","0.1977","1.0015","1.0002",5520,6348,3331,3697,1.0057,12548
"I00_I99",5,"Water","1.88(0.09,3.71)*","3.37(1.75,5.06)***","-19.29(-21.36,-17.23)***","1.15(0.69,1.62)***","0.0390","0.0006","1.0002","1.0011",5793,7396,4078,3911,1.0089,12548
"I00_I99",5,"Land","-1.71(-2.87,-0.52)**","-2.57(-3.87,-1.25)***","-17.33(-19.36,-15.15)***","1.15(0.70,1.59)***","0.0040","0.0002","1.0003","1.0009",5554,5909,3708,3951,1.0049,12548
"I00_I99",5,"Built","0.79(-0.66,2.20)","-0.07(-1.58,1.43)","-19.26(-21.62,-16.86)***","1.10(0.64,1.58)***","0.2693","0.9367","1.0008","1.0003",4206,4203,3461,3702,1.0057,12548
"I00_I99",5,"Social","-1.98(-3.55,-0.36)*","-0.80(-2.51,0.88)","-17.59(-19.94,-15.25)***","0.99(0.52,1.45)***","0.0135","0.3605","0.9999","1.0003",3798,3974,3646,3804,1.0032,12548
"I00_I99",10,"EQI","-0.12(-1.20,0.93)","-1.13(-2.36,0.13)","-0.59(-2.33,1.17)","0.79(0.37,1.20)***","0.8504","0.0764","1.0006","1.0001",4579,5234,3114,3700,1.008,12544
"I00_I99",10,"Air","-0.01(-1.06,0.98)","-2.88(-4.13,-1.64)***","-0.27(-1.93,1.38)","0.84(0.42,1.25)***","0.9725","0.0002","1.0008","0.9999",4002,4432,3680,3653,1.0029,12544
"I00_I99",10,"Water","-1.05(-2.76,0.67)","-1.39(-2.85,0.08)","-0.66(-2.29,0.96)","0.75(0.35,1.17)***","0.2185","0.0652","1.0006","1.0001",5605,5447,3999,3656,1.0044,12544
"I00_I99",10,"Land","1.51(0.34,2.63)*","1.49(0.28,2.72)*","-1.98(-3.78,-0.26)*","0.78(0.37,1.18)***","0.0119","0.0135","1.0019","1.0014",4484,4891,3805,3688,1.003,12544
"I00_I99",10,"Built","0.67(-0.70,2.03)","0.43(-0.99,1.84)","-1.38(-3.35,0.53)","0.77(0.35,1.17)***","0.3385","0.5405","1.0008","1.0008",3985,4043,3498,3897,1.0009,12544
"I00_I99",10,"Social","1.03(-0.40,2.52)","1.92(0.34,3.55)*","-2.06(-4.06,-0.10)*","0.74(0.34,1.17)***","0.1660","0.0194","1.0005","1.0018",4200,4124,3562,3798,1.0018,12544
"I00_I99",15,"EQI","3.26(1.28,5.32)**","10.30(8.10,12.52)***","20.77(13.82,26.99)***","4.08(3.28,4.88)***","0.0015","0.0002","1.0027","1.0049",2523,2403,3197,2949,1.0144,6272
"I00_I99",15,"Air","-0.90(-2.81,1.00)","6.46(4.26,8.66)***","21.57(14.80,28.05)***","4.03(3.25,4.79)***","0.3506","0.0002","1.0008","1.0005",2771,2932,3273,3270,1.0552,6272
"I00_I99",15,"Water","1.59(-1.41,4.62)","1.16(-1.72,4.00)","22.09(15.55,28.40)***","4.27(3.47,5.06)***","0.3093","0.4268","1.0007","1.0003",2767,3127,3174,3554,1.0249,6272
"I00_I99",15,"Land","-4.43(-6.53,-2.36)***","2.99(0.80,5.12)**","23.20(16.40,29.75)***","4.14(3.33,4.93)***","0.0002","0.0090","1.0001","1.0012",2668,2684,3309,3040,1.0157,6272
"I00_I99",15,"Built","0.93(-1.49,3.35)","1.71(-0.84,4.16)","21.91(14.73,28.79)***","4.26(3.44,5.03)***","0.4401","0.1789","1.0006","1.0016",2124,2079,2857,3120,1.0213,6272
"I00_I99",15,"Social","-7.10(-9.67,-4.49)***","9.96(7.17,12.73)***","22.66(16.05,29.56)***","2.98(2.17,3.75)***","0.0002","0.0002","1.0025","1.0022",1806,1812,2904,2671,1.0131,6272
