ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
C00_C97,5,EQI,"-1.31(-2.91,0.31)","1.74(-0.21,3.66)","-9.57(-11.50,-7.64)***","0.24(-0.39,0.86)",0.1089,0.0848,1.0004,1.0004,3754,3745,3110,3293,1.0013,3137
"C00_C97",5,"Air","-3.35(-4.95,-1.75)***","0.94(-1.19,3.04)","-8.38(-10.30,-6.53)***","0.22(-0.38,0.85)","0.0002","0.3755","1.0011","1.0019",3782,3787,3370,3221,1.0035,3137
"C00_C97",5,"Water","-1.30(-3.92,1.36)","1.48(-0.77,3.80)","-9.65(-11.36,-7.97)***","0.37(-0.28,1.01)","0.3335","0.2018","1.0012","1.0011",4468,4663,3860,3819,1.0021,3137
"C00_C97",5,"Land","-1.67(-3.43,0.07)","-1.40(-3.43,0.58)","-8.53(-10.59,-6.45)***","0.33(-0.32,0.97)","0.0631","0.1656","1.0000","1.0003",5489,5222,3981,3554,1.0023,3137
"C00_C97",5,"Built","-2.20(-4.25,-0.05)*","-0.47(-2.66,1.71)","-8.35(-10.78,-6.03)***","0.33(-0.32,0.96)","0.0427","0.6767","1.0003","0.9998",4917,5077,3921,3618,1.0018,3137
"C00_C97",5,"Social","-5.84(-8.15,-3.53)***","1.05(-1.42,3.52)","-7.27(-9.71,-5.01)***","-0.31(-0.95,0.31)","0.0002","0.4064","1.0005","1.0013",4301,4935,3587,4005,1.002,3137
"C00_C97",5,"Cluster_EQI_A_EQI","-2.57(-8.81,4.11)","-2.72(-6.79,1.32)","-5.31(-9.35,-1.34)*","-0.65(-2.31,1.05)","0.4322","0.2006","1.0040","1.0008",5976,4845,4215,3767,1.004,1010
"C00_C97",5,"Cluster_EQI_A_Air","-7.69(-13.03,-2.09)*","-2.36(-6.35,1.87)","-5.15(-8.78,-1.67)**","-0.77(-2.41,0.87)","0.0106","0.2514","1.0002","1.0007",6145,5752,3749,3885,1.0007,1010
"C00_C97",5,"Cluster_EQI_A_Water","-0.70(-7.66,5.87)","2.27(-3.30,7.82)","-7.17(-10.56,-4.04)***","-0.63(-2.43,1.14)","0.8371","0.4189","1.0033","1.0015",9063,8767,3390,3492,1.0033,1010
"C00_C97",5,"Cluster_EQI_A_Land","1.52(-3.10,5.86)","-6.57(-10.87,-2.28)**","-4.52(-8.66,-0.51)*","-0.43(-2.00,1.15)","0.4889","0.0040","1.0005","1.0007",4306,4349,3582,3880,1.0013,1010
