ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
C00_C97,5,EQI,"-1.31(-2.91,0.31)","1.74(-0.21,3.66)","-9.57(-11.50,-7.64)***","0.24(-0.39,0.86)",0.1089,0.0848,1.0004,1.0004,3754,3745,3110,3293,1.0013,3137
"C00_C97",5,"Air","-3.35(-4.95,-1.75)***","0.94(-1.19,3.04)","-8.38(-10.30,-6.53)***","0.22(-0.38,0.85)","0.0002","0.3755","1.0011","1.0019",3782,3787,3370,3221,1.0035,3137
"C00_C97",5,"Water","-1.30(-3.92,1.36)","1.48(-0.77,3.80)","-9.65(-11.36,-7.97)***","0.37(-0.28,1.01)","0.3335","0.2018","1.0012","1.0011",4468,4663,3860,3819,1.0021,3137
"C00_C97",5,"Land","-1.67(-3.43,0.07)","-1.40(-3.43,0.58)","-8.53(-10.59,-6.45)***","0.33(-0.32,0.97)","0.0631","0.1656","1.0000","1.0003",5489,5222,3981,3554,1.0023,3137
"C00_C97",5,"Built","-2.20(-4.25,-0.05)*","-0.47(-2.66,1.71)","-8.35(-10.78,-6.03)***","0.33(-0.32,0.96)","0.0427","0.6767","1.0003","0.9998",4917,5077,3921,3618,1.0018,3137
"C00_C97",5,"Social","-5.84(-8.15,-3.53)***","1.05(-1.42,3.52)","-7.27(-9.71,-5.01)***","-0.31(-0.95,0.31)","0.0002","0.4064","1.0005","1.0013",4301,4935,3587,4005,1.002,3137
"C00_C97",10,"EQI","-1.90(-3.47,-0.32)*","2.07(0.20,4.00)*","-8.47(-10.52,-6.42)***","1.12(0.49,1.74)***","0.0165","0.0306","1.0014","1.0013",4441,4577,3807,3404,1.0014,3136
"C00_C97",10,"Air","-3.01(-4.61,-1.45)***","-0.22(-2.40,1.98)","-7.47(-9.43,-5.45)***","1.09(0.48,1.74)***","0.0002","0.8317","1.0010","1.0003",5114,5628,4006,3685,1.0016,3136
"C00_C97",10,"Water","-0.29(-2.95,2.36)","0.49(-1.74,2.73)","-8.90(-10.64,-7.11)***","1.18(0.54,1.80)***","0.8317","0.6584","1.0011","1.0000",4546,4754,3231,3120,1.0011,3136
"C00_C97",10,"Land","-1.05(-2.74,0.62)","-0.07(-1.95,1.82)","-8.44(-10.50,-6.38)***","1.14(0.51,1.77)***","0.2372","0.9425","1.0002","1.0004",5177,5139,3985,3942,1.001,3136
"C00_C97",10,"Built","-1.61(-3.65,0.44)","1.91(-0.22,4.08)","-8.44(-10.82,-6.13)***","1.24(0.59,1.87)***","0.1239","0.0773","1.0010","1.0023",4708,5031,3702,3324,1.0023,3136
"C00_C97",10,"Social","-1.22(-3.35,0.94)","3.85(1.44,6.27)**","-9.53(-11.92,-7.20)***","0.81(0.18,1.45)*","0.2560","0.0027","0.9996","0.9996",5081,4921,3848,3889,1.001,3136
"C00_C97",15,"EQI","1.85(-0.00,3.74)","5.88(3.67,7.98)***","18.64(15.82,21.42)***","1.82(1.10,2.56)***","0.0510","0.0002","1.0010","1.0004",3899,4134,3849,3790,1.0052,3136
"C00_C97",15,"Air","0.47(-1.39,2.27)","4.00(1.70,6.31)**","19.81(17.08,22.47)***","1.80(1.08,2.56)***","0.6067","0.0019","1.0003","1.0003",4690,5638,3831,3966,1.0042,3136
"C00_C97",15,"Water","-0.99(-4.12,1.93)","-0.68(-3.39,2.02)","20.90(18.14,23.55)***","1.88(1.12,2.60)***","0.5197","0.6105","1.0012","1.0023",4403,4778,3602,3906,1.0027,3136
"C00_C97",15,"Land","-2.70(-4.63,-0.75)**","4.60(2.47,6.73)***","20.76(18.00,23.47)***","1.80(1.06,2.54)***","0.0073","0.0002","1.0001","0.9997",5068,5148,3680,4120,1.0029,3136
"C00_C97",15,"Built","0.81(-1.43,3.15)","1.09(-1.30,3.45)","20.02(16.96,23.03)***","1.92(1.19,2.65)***","0.5034","0.3943","0.9995","0.9997",5531,5264,3910,3928,1.0013,3136
"C00_C97",15,"Social","-3.07(-5.63,-0.51)*","6.00(3.20,8.79)***","20.04(16.79,23.21)***","1.20(0.44,1.98)**","0.0194","0.0002","1.0005","1.0036",5311,5343,4098,4011,1.0036,3136
