ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
C00_C97,5,EQI,"-1.31(-2.91,0.31)","1.74(-0.21,3.66)","-9.57(-11.50,-7.64)***","0.24(-0.39,0.86)",0.1089,0.0848,1.0004,1.0004,3754,3745,3110,3293,1.0013,3137
"C00_C97",5,"Air","-3.35(-4.95,-1.75)***","0.94(-1.19,3.04)","-8.38(-10.30,-6.53)***","0.22(-0.38,0.85)","0.0002","0.3755","1.0011","1.0019",3782,3787,3370,3221,1.0035,3137
"C00_C97",5,"Water","-1.30(-3.92,1.36)","1.48(-0.77,3.80)","-9.65(-11.36,-7.97)***","0.37(-0.28,1.01)","0.3335","0.2018","1.0012","1.0011",4468,4663,3860,3819,1.0021,3137
"C00_C97",5,"Land","-1.67(-3.43,0.07)","-1.40(-3.43,0.58)","-8.53(-10.59,-6.45)***","0.33(-0.32,0.97)","0.0631","0.1656","1.0000","1.0003",5489,5222,3981,3554,1.0023,3137
"C00_C97",5,"Built","-2.20(-4.25,-0.05)*","-0.47(-2.66,1.71)","-8.35(-10.78,-6.03)***","0.33(-0.32,0.96)","0.0427","0.6767","1.0003","0.9998",4917,5077,3921,3618,1.0018,3137
"C00_C97",5,"Social","-5.84(-8.15,-3.53)***","1.05(-1.42,3.52)","-7.27(-9.71,-5.01)***","-0.31(-0.95,0.31)","0.0002","0.4064","1.0005","1.0013",4301,4935,3587,4005,1.002,3137
"C00_C97",5,"RUCC_1_EQI","-0.22(-1.89,1.45)","2.15(-0.12,4.48)","-13.19(-15.20,-11.16)***","-0.06(-0.75,0.65)","0.7984","0.0631","1.0009","0.9996",6021,5792,3636,3869,1.0018,1089
"C00_C97",5,"RUCC_1_Air","-0.03(-1.64,1.57)","-2.92(-6.48,0.69)","-12.77(-14.90,-10.61)***","-0.01(-0.71,0.70)","0.9825","0.1144","1.0008","1.0003",4159,6131,3952,4260,1.0021,1089
"C00_C97",5,"RUCC_1_Water","0.23(-2.40,2.84)","0.39(-2.29,3.05)","-13.06(-14.81,-11.30)***","-0.05(-0.76,0.63)","0.8696","0.7713","1.0020","1.0008",8915,8538,3525,3684,1.0025,1089
"C00_C97",5,"RUCC_1_Land","-1.79(-3.51,-0.07)*","0.09(-2.08,2.21)","-12.31(-14.40,-10.27)***","-0.21(-0.91,0.46)","0.0402","0.9342","0.9995","1.0004",4905,5840,4077,3857,1.001,1089
