ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
G20_G30_G12.2_F01_F03,5,EQI,"0.10(-1.09,1.35)","0.40(-0.99,1.81)","9.18(7.41,10.93)***","-0.21(-0.70,0.28)",0.8896,0.5626,1.0014,1.0015,5549,5514,3902,3497,1.0015,3137
"G20_G30_G12.2_F01_F03",5,"Air","1.08(-0.09,2.26)","-0.15(-1.61,1.31)","8.93(7.23,10.68)***","-0.14(-0.61,0.33)","0.0681","0.8463","1.0010","1.0008",5947,5767,3923,4138,1.0034,3137
"G20_G30_G12.2_F01_F03",5,"Water","-0.29(-2.19,1.64)","-0.02(-1.72,1.61)","9.35(7.75,11.00)***","-0.20(-0.68,0.29)","0.7625","0.9746","1.0018","1.0006",5622,6304,3683,3499,1.0018,3137
"G20_G30_G12.2_F01_F03",5,"Land","-1.59(-2.89,-0.27)*","-0.25(-1.67,1.20)","10.09(8.28,11.87)***","-0.23(-0.72,0.26)","0.0173","0.7284","1.0008","1.0002",5041,4747,3806,3700,1.0008,3137
"G20_G30_G12.2_F01_F03",5,"Built","-0.33(-1.92,1.22)","-0.21(-1.86,1.41)","9.57(7.64,11.52)***","-0.20(-0.68,0.29)","0.6980","0.8105","1.0002","1.0004",4005,3641,3697,3899,1.0007,3137
"G20_G30_G12.2_F01_F03",5,"Social","-0.11(-1.79,1.54)","-0.27(-2.07,1.60)","9.47(7.41,11.57)***","-0.18(-0.70,0.32)","0.8854","0.7605","1.0004","1.0001",3887,3939,3608,3596,1.0017,3137
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_A_EQI","-1.25(-5.72,3.54)","2.47(-0.93,5.87)","7.07(3.38,10.68)***","-0.03(-1.30,1.19)","0.5913","0.1498","1.0014","1.0013",4521,3592,3781,3564,1.0014,1010
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_A_Air","1.69(-2.54,5.73)","1.44(-1.90,4.73)","7.38(4.09,10.76)***","-0.06(-1.36,1.22)","0.4218","0.3964","1.0002","1.0005",4204,3668,3802,3419,1.0018,1010
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_A_Water","0.18(-4.50,5.06)","-3.46(-8.08,1.17)","8.43(5.35,11.42)***","-0.09(-1.32,1.17)","0.9521","0.1552","1.0003","1.0008",7196,7449,3929,3559,1.0011,1010
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_A_Land","-3.98(-7.85,-0.06)*","0.97(-2.55,4.47)","9.00(5.43,12.48)***","-0.16(-1.44,1.09)","0.0473","0.5713","1.0002","1.0010",4045,3741,3558,3574,1.0016,1010
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_A_Built","-2.31(-6.56,2.11)","-1.90(-5.68,1.83)","9.74(5.68,13.72)***","-0.06(-1.35,1.21)","0.2885","0.3135","1.0007","1.0011",3903,3091,3896,3208,1.0024,1010
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_A_Social","1.01(-4.79,6.91)","3.26(-0.81,7.51)","5.65(1.13,10.05)*","-0.05(-1.33,1.23)","0.7251","0.1264","1.0012","1.0003",5033,3861,3970,3619,1.002,1010
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_B_EQI","-0.30(-2.41,1.85)","0.09(-2.30,2.48)","9.77(7.33,12.17)***","0.03(-0.75,0.80)","0.7721","0.9338","1.0004","1.0003",4089,4814,3629,3779,1.0009,747
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_B_Air","0.10(-1.87,2.08)","0.87(-1.73,3.40)","9.49(7.12,11.83)***","0.03(-0.73,0.83)","0.9321","0.5022","1.0017","1.0006",4249,5206,3463,3913,1.0022,747
"G20_G30_G12.2_F01_F03",5,"Cluster_EQI_B_Water","0.05(-3.27,3.33)","0.33(-2.24,2.88)","9.60(7.59,11.65)***","0.05(-0.73,0.81)","0.9679","0.8005","1.0002","1.0003",3894,5130,3412,3870,1.0018,747
