ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
G20_G30_G12.2_F01_F03,5,EQI,"0.10(-1.09,1.35)","0.40(-0.99,1.81)","9.18(7.41,10.93)***","-0.21(-0.70,0.28)",0.8896,0.5626,1.0014,1.0015,5549,5514,3902,3497,1.0015,3137
"G20_G30_G12.2_F01_F03",5,"Air","1.08(-0.09,2.26)","-0.15(-1.61,1.31)","8.93(7.23,10.68)***","-0.14(-0.61,0.33)","0.0681","0.8463","1.0010","1.0008",5947,5767,3923,4138,1.0034,3137
"G20_G30_G12.2_F01_F03",5,"Water","-0.29(-2.19,1.64)","-0.02(-1.72,1.61)","9.35(7.75,11.00)***","-0.20(-0.68,0.29)","0.7625","0.9746","1.0018","1.0006",5622,6304,3683,3499,1.0018,3137
"G20_G30_G12.2_F01_F03",5,"Land","-1.59(-2.89,-0.27)*","-0.25(-1.67,1.20)","10.09(8.28,11.87)***","-0.23(-0.72,0.26)","0.0173","0.7284","1.0008","1.0002",5041,4747,3806,3700,1.0008,3137
"G20_G30_G12.2_F01_F03",5,"Built","-0.33(-1.92,1.22)","-0.21(-1.86,1.41)","9.57(7.64,11.52)***","-0.20(-0.68,0.29)","0.6980","0.8105","1.0002","1.0004",4005,3641,3697,3899,1.0007,3137
"G20_G30_G12.2_F01_F03",5,"Social","-0.11(-1.79,1.54)","-0.27(-2.07,1.60)","9.47(7.41,11.57)***","-0.18(-0.70,0.32)","0.8854","0.7605","1.0004","1.0001",3887,3939,3608,3596,1.0017,3137
"G20_G30_G12.2_F01_F03",5,"RUCC_1_EQI","-0.44(-1.74,0.90)","0.28(-1.50,2.05)","10.69(8.68,12.62)***","-0.04(-0.59,0.52)","0.5097","0.7363","1.0011","1.0002",5434,5730,3533,3765,1.0017,1089
"G20_G30_G12.2_F01_F03",5,"RUCC_1_Air","-0.34(-1.72,1.04)","-0.33(-2.68,1.88)","10.77(8.78,12.76)***","-0.03(-0.63,0.51)","0.6434","0.7817","1.0004","1.0005",5601,7949,3696,3827,1.0021,1089
"G20_G30_G12.2_F01_F03",5,"RUCC_1_Water","-0.06(-2.24,2.10)","-0.03(-2.08,1.91)","10.51(8.75,12.20)***","-0.05(-0.61,0.51)","0.9525","0.9696","1.0016","0.9996",4887,5120,3609,3782,1.0022,1089
"G20_G30_G12.2_F01_F03",5,"RUCC_1_Land","-1.68(-3.00,-0.33)*","-0.47(-2.11,1.23)","11.44(9.47,13.43)***","-0.06(-0.62,0.51)","0.0148","0.5793","1.0005","1.0025",5194,6059,3706,3520,1.0028,1089
"G20_G30_G12.2_F01_F03",5,"RUCC_1_Built","-1.17(-2.87,0.48)","0.03(-1.76,1.87)","11.20(8.98,13.38)***","-0.02(-0.61,0.56)","0.1789","0.9783","1.0009","1.0044",4294,4456,3953,3840,1.0044,1089
"G20_G30_G12.2_F01_F03",5,"RUCC_1_Social","-2.72(-4.84,-0.55)*","0.04(-2.81,2.85)","12.55(10.12,14.99)***","-0.18(-0.75,0.37)","0.0131","0.9908","1.0018","1.0002",4545,5282,3972,4195,1.0018,1089
"G20_G30_G12.2_F01_F03",5,"RUCC_2_EQI","0.61(-2.10,3.42)","1.20(-1.93,4.44)","6.21(3.25,9.24)***","-1.88(-3.09,-0.69)**","0.6630","0.4589","1.0003","1.0004",5883,5824,3451,3869,1.0021,323
"G20_G30_G12.2_F01_F03",5,"RUCC_2_Air","-0.10(-2.88,2.79)","-2.33(-5.65,1.07)","7.31(4.17,10.46)***","-1.86(-3.04,-0.69)**","0.9383","0.1748","1.0008","1.0022",4152,4750,3336,3708,1.0022,323
"G20_G30_G12.2_F01_F03",5,"RUCC_2_Water","0.42(-3.93,5.03)","-0.39(-3.92,3.14)","6.71(4.16,9.13)***","-1.91(-3.13,-0.76)**","0.8663","0.8392","1.0006","1.0004",8808,8505,3808,3491,1.004,323
"G20_G30_G12.2_F01_F03",5,"RUCC_2_Land","-0.94(-3.85,2.07)","0.50(-2.57,3.56)","6.80(3.72,9.88)***","-1.94(-3.08,-0.75)**","0.5272","0.7409","1.0008","1.0013",5726,5698,3756,3732,1.0019,323
