ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
X60_X84_Y87.0,5,EQI,"-0.06(-0.42,0.31)","0.07(-0.38,0.51)","0.83(0.43,1.24)***","-0.00(-0.13,0.14)",0.7417,0.7442,1.0011,0.9998,5092,5303,3588,4179,1.0011,3137
"X60_X84_Y87.0",5,"Air","0.61(0.21,1.01)**","0.01(-0.41,0.43)","0.67(0.29,1.08)***","0.04(-0.10,0.18)","0.0023","0.9650","1.0022","1.0010",5748,5747,4030,3858,1.0022,3137
"X60_X84_Y87.0",5,"Water","0.24(-0.40,0.88)","-0.33(-0.79,0.11)","0.85(0.51,1.21)***","0.01(-0.13,0.15)","0.4489","0.1431","1.0034","1.0008",5824,6233,3468,3663,1.0034,3137
"X60_X84_Y87.0",5,"Land","0.01(-0.37,0.39)","0.48(0.05,0.93)*","0.66(0.22,1.09)**","-0.02(-0.16,0.12)","0.9563","0.0331","1.0012","1.0011",3665,4712,3730,3694,1.0038,3137
"X60_X84_Y87.0",5,"Built","0.02(-0.41,0.45)","0.43(-0.02,0.91)","0.69(0.23,1.18)**","0.01(-0.13,0.15)","0.9250","0.0589","0.9993","0.9998",4725,4878,3797,3944,1.0015,3137
"X60_X84_Y87.0",5,"Social","0.76(0.26,1.26)**","-0.17(-0.68,0.33)","0.64(0.15,1.15)*","0.12(-0.03,0.26)","0.0040","0.5034","1.0002","1.0017",3705,3648,3786,3698,1.003,3137
"X60_X84_Y87.0",10,"EQI","0.61(0.19,1.04)**","-0.07(-0.55,0.44)","0.39(-0.07,0.84)","-0.04(-0.20,0.13)","0.0052","0.7717","1.0024","1.0010",5433,5989,3180,3975,1.0024,3136
"X60_X84_Y87.0",10,"Air","0.67(0.25,1.09)**","0.07(-0.42,0.57)","0.37(-0.04,0.78)","-0.02(-0.18,0.13)","0.0035","0.7859","1.0013","1.0009",5776,5530,3835,4133,1.0013,3136
"X60_X84_Y87.0",10,"Water","0.83(0.08,1.58)*","-0.21(-0.71,0.30)","0.52(0.14,0.92)**","-0.06(-0.22,0.09)","0.0260","0.4330","1.0018","1.0027",7387,8648,3511,4144,1.0027,3136
"X60_X84_Y87.0",10,"Land","-0.30(-0.76,0.15)","-0.01(-0.53,0.51)","0.72(0.22,1.25)**","-0.07(-0.23,0.10)","0.1839","0.9821","1.0016","1.0007",4889,5075,3459,3969,1.0016,3136
"X60_X84_Y87.0",10,"Built","0.29(-0.22,0.78)","-0.21(-0.76,0.30)","0.51(-0.02,1.05)","-0.06(-0.22,0.10)","0.2506","0.4205","1.0006","1.0031",4583,4955,3947,3846,1.0031,3136
"X60_X84_Y87.0",10,"Social","0.30(-0.32,0.92)","-0.69(-1.33,-0.05)*","0.82(0.22,1.48)*","0.05(-0.12,0.22)","0.3489","0.0340","1.0011","1.0002",4001,4012,3654,3460,1.0012,3136
"X60_X84_Y87.0",15,"EQI","0.33(-0.22,0.83)","-0.13(-0.74,0.48)","0.82(0.07,1.57)*","-0.00(-0.21,0.19)","0.2256","0.6859","1.0021","1.0029",5353,4646,3926,3909,1.0029,3136
"X60_X84_Y87.0",15,"Air","1.43(0.88,1.98)***","-0.01(-0.63,0.64)","0.47(-0.29,1.22)","0.06(-0.15,0.26)","0.0002","0.9817","1.0013","1.0007",4138,4248,3746,3533,1.0028,3136
"X60_X84_Y87.0",15,"Water","0.19(-0.76,1.13)","0.47(-0.21,1.15)","0.85(0.14,1.59)*","-0.01(-0.22,0.19)","0.6930","0.1677","1.0005","1.0002",4737,5132,3536,3902,1.0033,3136
"X60_X84_Y87.0",15,"Land","0.03(-0.55,0.62)","0.73(0.07,1.40)*","0.68(-0.13,1.51)","-0.04(-0.24,0.17)","0.9167","0.0281","1.0007","1.0012",3934,3865,2976,3569,1.0032,3136
"X60_X84_Y87.0",15,"Built","0.12(-0.53,0.77)","-0.23(-0.89,0.48)","0.92(-0.01,1.83)","-0.02(-0.22,0.19)","0.7226","0.5022","1.0006","1.0001",3568,3830,3566,3837,1.0006,3136
"X60_X84_Y87.0",15,"Social","0.04(-0.76,0.82)","-0.95(-1.76,-0.17)*","1.31(0.37,2.27)**","0.06(-0.15,0.28)","0.9138","0.0156","1.0015","1.0014",3356,3775,3794,3877,1.0039,3136
