ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C30_C39,2000_2005,2006_2010,5,EQI,0.00,"-1.07(-2.57, 0.42)","-4.19(-5.73, -2.65)***","-4.94(-6.59, -3.30)***","-4.69(-6.54, -2.84)***"
C30_C39,2000_2005,2006_2010,5,EQI_air,0.00,"-5.41(-7.01, -3.81)***","-4.52(-6.19, -2.86)***","-3.82(-5.53, -2.11)***","-2.85(-4.68, -1.02)**"
C30_C39,2000_2005,2006_2010,5,EQI_water,0.00,"-1.63(-3.83, 0.56)","-2.07(-4.33, 0.18)","-2.21(-4.47, 0.04)","-3.72(-6.08, -1.36)**"
C30_C39,2000_2005,2006_2010,5,EQI_land,0.00,"-1.38(-2.89, 0.12)","-1.78(-3.42, -0.14)*","-2.19(-4.05, -0.34)*","-3.81(-5.78, -1.85)***"
C30_C39,2000_2005,2006_2010,5,EQI_built,0.00,"-0.39(-1.85, 1.07)","-1.82(-3.31, -0.33)*","-2.59(-4.10, -1.08)***","-3.21(-4.83, -1.60)***"
C30_C39,2000_2005,2006_2010,5,EQI_Sociodemographic,0.00,"-0.10(-1.54, 1.35)","-0.83(-2.38, 0.72)","-1.70(-3.36, -0.04)*","-2.41(-4.27, -0.56)*"
C30_C39,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.86(-2.35, 0.62)","-1.65(-3.23, -0.07)*","-0.85(-2.56, 0.87)","1.42(-0.52, 3.36)"
C30_C39,2000_2005,2006_2010,5,RUCC1_EQI_air,0.00,"-1.04(-2.51, 0.44)","-1.07(-2.60, 0.46)","1.48(-0.12, 3.08)","0.86(-0.82, 2.54)"
C30_C39,2000_2005,2006_2010,5,RUCC1_EQI_water,0.00,"-1.70(-3.92, 0.53)","-0.83(-3.14, 1.48)","-1.27(-3.55, 1.02)","-2.02(-4.47, 0.44)"
C30_C39,2000_2005,2006_2010,5,RUCC1_EQI_land,0.00,"0.18(-1.45, 1.81)","-1.49(-3.28, 0.30)","-1.48(-3.46, 0.50)","-1.05(-3.16, 1.05)"
C30_C39,2000_2005,2006_2010,5,RUCC1_EQI_built,0.00,"-1.76(-3.24, -0.27)*","-1.33(-2.88, 0.23)","-1.74(-3.35, -0.13)*","-1.47(-3.19, 0.25)"
C30_C39,2000_2005,2006_2010,5,RUCC1_EQI_Sociodemographic,0.00,"-0.85(-2.40, 0.70)","-1.26(-2.90, 0.38)","-1.67(-3.39, 0.04)","-1.87(-3.69, -0.06)*"
C30_C39,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"3.10(0.12, 6.08)*","2.59(-0.74, 5.92)","-0.51(-4.12, 3.10)","-0.36(-4.15, 3.44)"
C30_C39,2000_2005,2006_2010,5,RUCC2_EQI_air,0.00,"4.06(1.03, 7.09)**","6.08(2.87, 9.29)***","3.16(-0.27, 6.58)","5.94(2.39, 9.48)**"
C30_C39,2000_2005,2006_2010,5,RUCC2_EQI_water,0.00,"-1.55(-5.82, 2.71)","-2.67(-7.15, 1.82)","-4.03(-8.35, 0.30)","-5.21(-9.86, -0.57)*"
C30_C39,2000_2005,2006_2010,5,RUCC2_EQI_land,0.00,"-2.15(-5.24, 0.93)","-1.06(-4.47, 2.35)","-2.81(-6.42, 0.79)","-2.79(-6.51, 0.92)"
C30_C39,2000_2005,2006_2010,5,RUCC2_EQI_built,0.00,"1.22(-1.69, 4.14)","1.49(-1.53, 4.51)","0.25(-2.85, 3.34)","-0.24(-3.54, 3.07)"
C30_C39,2000_2005,2006_2010,5,RUCC2_EQI_Sociodemographic,0.00,"3.45(0.37, 6.53)*","0.89(-2.39, 4.16)","-1.06(-4.46, 2.34)","-1.88(-5.46, 1.70)"
C30_C39,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"1.35(-1.03, 3.73)","1.44(-1.19, 4.06)","0.00(-2.81, 2.81)","-0.29(-3.42, 2.84)"
C30_C39,2000_2005,2006_2010,5,RUCC3_EQI_air,0.00,"1.20(-1.15, 3.55)","2.48(-0.03, 4.99)","3.82(1.23, 6.42)**","4.18(1.42, 6.94)**"
C30_C39,2000_2005,2006_2010,5,RUCC3_EQI_water,0.00,"-0.58(-3.52, 2.35)","0.13(-2.91, 3.17)","-1.28(-4.35, 1.78)","-2.49(-5.64, 0.66)"
C30_C39,2000_2005,2006_2010,5,RUCC3_EQI_land,0.00,"-3.80(-6.14, -1.46)**","-3.43(-5.92, -0.95)**","-4.96(-7.75, -2.17)***","-4.65(-7.75, -1.55)**"
C30_C39,2000_2005,2006_2010,5,RUCC3_EQI_built,0.00,"2.08(-0.13, 4.29)","2.69(0.44, 4.93)*","2.22(-0.13, 4.56)","1.13(-1.45, 3.72)"
C30_C39,2000_2005,2006_2010,5,RUCC3_EQI_Sociodemographic,0.00,"2.21(-0.01, 4.43)","1.09(-1.32, 3.49)","0.43(-2.33, 3.20)","-0.66(-3.88, 2.57)"
C30_C39,2000_2005,2006_2010,5,RUCC4_EQI,0.00,"3.33(-2.42, 9.07)","0.53(-5.66, 6.72)","-0.63(-7.31, 6.05)","-8.03(-15.37, -0.69)*"
C30_C39,2000_2005,2006_2010,5,RUCC4_EQI_air,0.00,"3.28(-4.27, 10.82)","-4.71(-12.03, 2.60)","-6.49(-14.10, 1.12)","-6.61(-14.43, 1.21)"
C30_C39,2000_2005,2006_2010,5,RUCC4_EQI_water,0.00,"0.27(-6.33, 6.87)","-6.27(-13.02, 0.49)","-3.47(-10.17, 3.23)","-5.05(-11.71, 1.62)"
C30_C39,2000_2005,2006_2010,5,RUCC4_EQI_land,0.00,"-2.13(-7.64, 3.37)","-2.70(-8.42, 3.02)","4.99(-1.67, 11.66)","-5.33(-11.98, 1.33)"
C30_C39,2000_2005,2006_2010,5,RUCC4_EQI_built,0.00,"7.63(1.91, 13.34)**","5.95(0.14, 11.75)*","7.22(1.31, 13.13)*","-4.87(-11.00, 1.25)"
C30_C39,2000_2005,2006_2010,5,RUCC4_EQI_Sociodemographic,0.00,"-3.01(-8.31, 2.28)","-7.06(-13.07, -1.05)*","-2.13(-9.00, 4.75)","-13.27(-20.53, -6.00)***"
C30_C39,2000_2005,2011_2015,10,EQI,0.00,"-1.08(-2.56, 0.39)","-4.95(-6.47, -3.43)***","-6.32(-7.94, -4.69)***","-7.45(-9.27, -5.62)***"
C30_C39,2000_2005,2011_2015,10,EQI_air,0.00,"-6.09(-7.69, -4.49)***","-5.54(-7.20, -3.88)***","-5.66(-7.37, -3.96)***","-6.34(-8.17, -4.51)***"
C30_C39,2000_2005,2011_2015,10,EQI_water,0.00,"-1.39(-3.55, 0.77)","-3.99(-6.21, -1.77)***","-4.36(-6.58, -2.14)***","-6.15(-8.46, -3.84)***"
C30_C39,2000_2005,2011_2015,10,EQI_land,0.00,"-1.29(-2.79, 0.21)","-1.35(-2.98, 0.29)","-0.84(-2.68, 1.00)","-2.79(-4.74, -0.83)**"
C30_C39,2000_2005,2011_2015,10,EQI_built,0.00,"-0.19(-1.64, 1.26)","-1.79(-3.27, -0.30)*","-2.94(-4.44, -1.43)***","-3.31(-4.92, -1.71)***"
C30_C39,2000_2005,2011_2015,10,EQI_Sociodemographic,0.00,"-0.54(-1.97, 0.89)","-1.95(-3.48, -0.42)*","-3.34(-4.98, -1.69)***","-4.77(-6.61, -2.93)***"
C30_C39,2000_2005,2011_2015,10,RUCC1_EQI,0.00,"-1.44(-2.84, -0.03)*","-1.91(-3.40, -0.42)*","-2.07(-3.69, -0.45)*","-0.71(-2.54, 1.11)"
C30_C39,2000_2005,2011_2015,10,RUCC1_EQI_air,0.00,"-0.67(-2.07, 0.72)","-1.28(-2.73, 0.17)","-0.08(-1.59, 1.44)","-0.78(-2.37, 0.80)"
C30_C39,2000_2005,2011_2015,10,RUCC1_EQI_water,0.00,"2.06(-0.01, 4.13)","0.95(-1.20, 3.11)","0.84(-1.29, 2.97)","-0.17(-2.45, 2.11)"
C30_C39,2000_2005,2011_2015,10,RUCC1_EQI_land,0.00,"-1.11(-2.65, 0.43)","-2.19(-3.87, -0.51)*","-1.15(-3.00, 0.70)","-1.73(-3.70, 0.23)"
C30_C39,2000_2005,2011_2015,10,RUCC1_EQI_built,0.00,"-1.46(-2.85, -0.06)*","-2.38(-3.83, -0.92)**","-2.12(-3.63, -0.61)**","-1.88(-3.49, -0.27)*"
C30_C39,2000_2005,2011_2015,10,RUCC1_EQI_Sociodemographic,0.00,"0.16(-1.31, 1.62)","-0.55(-2.10, 1.00)","-1.18(-2.81, 0.44)","-1.12(-2.84, 0.59)"
C30_C39,2000_2005,2011_2015,10,RUCC2_EQI,0.00,"2.11(-0.36, 4.58)","1.53(-1.26, 4.33)","-0.63(-3.70, 2.44)","-2.14(-5.40, 1.11)"
C30_C39,2000_2005,2011_2015,10,RUCC2_EQI_air,0.00,"4.48(1.94, 7.03)***","6.35(3.63, 9.07)***","5.46(2.57, 8.35)***","4.63(1.63, 7.62)**"
C30_C39,2000_2005,2011_2015,10,RUCC2_EQI_water,0.00,"-2.00(-5.71, 1.70)","-3.26(-7.14, 0.61)","-4.70(-8.48, -0.93)*","-6.62(-10.70, -2.54)**"
C30_C39,2000_2005,2011_2015,10,RUCC2_EQI_land,0.00,"-1.66(-4.22, 0.89)","-0.89(-3.77, 1.98)","-2.86(-5.92, 0.21)","-3.21(-6.38, -0.05)*"
C30_C39,2000_2005,2011_2015,10,RUCC2_EQI_built,0.00,"0.88(-1.52, 3.28)","0.95(-1.55, 3.45)","1.00(-1.56, 3.57)","-0.55(-3.30, 2.21)"
C30_C39,2000_2005,2011_2015,10,RUCC2_EQI_Sociodemographic,0.00,"1.07(-1.51, 3.65)","-1.17(-3.94, 1.59)","-1.73(-4.61, 1.16)","-2.99(-6.04, 0.05)"
C30_C39,2000_2005,2011_2015,10,RUCC3_EQI,0.00,"2.20(0.05, 4.36)*","0.67(-1.68, 3.03)","-0.97(-3.48, 1.54)","-2.39(-5.18, 0.40)"
C30_C39,2000_2005,2011_2015,10,RUCC3_EQI_air,0.00,"1.48(-0.69, 3.66)","1.77(-0.57, 4.12)","3.54(1.11, 5.98)**","3.18(0.61, 5.76)*"
C30_C39,2000_2005,2011_2015,10,RUCC3_EQI_water,0.00,"-0.30(-2.94, 2.35)","-0.57(-3.32, 2.19)","-1.78(-4.55, 0.99)","-2.99(-5.83, -0.15)*"
C30_C39,2000_2005,2011_2015,10,RUCC3_EQI_land,0.00,"-2.50(-4.63, -0.36)*","-2.76(-5.04, -0.49)*","-3.81(-6.34, -1.29)**","-4.25(-7.06, -1.45)**"
C30_C39,2000_2005,2011_2015,10,RUCC3_EQI_built,0.00,"2.17(0.16, 4.18)*","3.13(1.08, 5.17)**","1.49(-0.65, 3.62)","2.68(0.32, 5.05)*"
C30_C39,2000_2005,2011_2015,10,RUCC3_EQI_Sociodemographic,0.00,"1.72(-0.32, 3.75)","-0.03(-2.22, 2.16)","-1.28(-3.77, 1.22)","-2.50(-5.43, 0.42)"
C30_C39,2000_2005,2011_2015,10,RUCC4_EQI,0.00,"4.32(-1.81, 10.44)","4.47(-2.12, 11.06)","1.28(-5.74, 8.29)","-2.50(-10.17, 5.17)"
C30_C39,2000_2005,2011_2015,10,RUCC4_EQI_air,0.00,"10.34(2.12, 18.56)*","-0.13(-8.33, 8.06)","-3.22(-11.77, 5.34)","-2.14(-10.92, 6.64)"
C30_C39,2000_2005,2011_2015,10,RUCC4_EQI_water,0.00,"-3.86(-10.81, 3.09)","-7.34(-14.53, -0.15)*","-8.14(-15.22, -1.06)*","-10.54(-17.72, -3.35)**"
C30_C39,2000_2005,2011_2015,10,RUCC4_EQI_land,0.00,"0.67(-5.22, 6.57)","0.41(-5.65, 6.47)","9.82(2.75, 16.90)**","1.54(-5.67, 8.75)"
C30_C39,2000_2005,2011_2015,10,RUCC4_EQI_built,0.00,"6.89(0.67, 13.11)*","6.01(-0.27, 12.30)","8.12(1.73, 14.51)*","1.71(-4.93, 8.35)"
C30_C39,2000_2005,2011_2015,10,RUCC4_EQI_Sociodemographic,0.00,"-1.08(-6.68, 4.51)","-4.43(-10.68, 1.83)","-0.94(-8.02, 6.14)","-12.43(-19.97, -4.88)**"
C30_C39,2006_2010,2011_2015,5,EQI,0.00,"-2.01(-3.65, -0.38)*","-4.00(-5.74, -2.26)***","-4.12(-5.96, -2.27)***","-3.87(-5.81, -1.94)***"
C30_C39,2006_2010,2011_2015,5,EQI_air,0.00,"-0.06(-1.69, 1.57)","0.38(-1.33, 2.09)","1.03(-0.76, 2.82)","0.75(-1.12, 2.62)"
C30_C39,2006_2010,2011_2015,5,EQI_water,0.00,"-0.31(-2.08, 1.45)","-3.22(-5.07, -1.36)***","-3.68(-5.53, -1.84)***","-4.95(-6.90, -3.00)***"
C30_C39,2006_2010,2011_2015,5,EQI_land,0.00,"0.98(-0.49, 2.45)","0.89(-0.62, 2.40)","1.20(-0.37, 2.77)","-0.47(-2.09, 1.15)"
C30_C39,2006_2010,2011_2015,5,EQI_built,0.00,"-3.96(-5.47, -2.45)***","-4.45(-6.06, -2.83)***","-4.31(-5.96, -2.66)***","-5.09(-6.78, -3.40)***"
C30_C39,2006_2010,2011_2015,5,EQI_Sociodemographic,0.00,"1.36(-0.18, 2.89)","3.03(1.38, 4.69)***","5.05(3.27, 6.83)***","6.62(4.64, 8.61)***"
C30_C39,2006_2010,2011_2015,5,RUCC1_EQI,0.00,"-0.41(-1.89, 1.08)","-0.71(-2.27, 0.85)","0.36(-1.32, 2.04)","1.68(-0.17, 3.53)"
