ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C34,2000_2005,2006_2010,5,EQI,0.00,"-0.87(-2.34, 0.59)","-3.93(-5.44, -2.42)***","-4.75(-6.36, -3.13)***","-4.53(-6.35, -2.71)***"
C34,2000_2005,2006_2010,5,EQI_air,0.00,"-5.34(-6.92, -3.77)***","-4.58(-6.21, -2.95)***","-3.82(-5.49, -2.14)***","-2.88(-4.67, -1.08)**"
C34,2000_2005,2006_2010,5,EQI_water,0.00,"-1.27(-3.43, 0.89)","-2.01(-4.22, 0.21)","-2.10(-4.32, 0.11)","-3.56(-5.88, -1.25)**"
C34,2000_2005,2006_2010,5,EQI_land,0.00,"-1.38(-2.85, 0.10)","-1.68(-3.28, -0.07)*","-2.13(-3.95, -0.31)*","-3.69(-5.62, -1.76)***"
C34,2000_2005,2006_2010,5,EQI_built,0.00,"-0.31(-1.74, 1.13)","-1.80(-3.26, -0.34)*","-2.60(-4.08, -1.11)***","-3.24(-4.82, -1.65)***"
C34,2000_2005,2006_2010,5,EQI_Sociodemographic,0.00,"-0.12(-1.54, 1.30)","-0.71(-2.23, 0.81)","-1.60(-3.23, 0.03)","-2.08(-3.90, -0.26)*"
C34,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.94(-2.39, 0.52)","-1.68(-3.23, -0.13)*","-1.03(-2.72, 0.65)","1.11(-0.79, 3.01)"
C34,2000_2005,2006_2010,5,RUCC1_EQI_air,0.00,"-1.17(-2.61, 0.27)","-1.13(-2.63, 0.36)","1.29(-0.27, 2.86)","0.60(-1.05, 2.24)"
C34,2000_2005,2006_2010,5,RUCC1_EQI_water,0.00,"-1.38(-3.56, 0.80)","-0.46(-2.73, 1.80)","-1.08(-3.33, 1.16)","-1.90(-4.31, 0.51)"
C34,2000_2005,2006_2010,5,RUCC1_EQI_land,0.00,"0.01(-1.58, 1.61)","-1.59(-3.34, 0.16)","-1.48(-3.42, 0.46)","-1.03(-3.08, 1.03)"
C34,2000_2005,2006_2010,5,RUCC1_EQI_built,0.00,"-1.70(-3.15, -0.24)*","-1.29(-2.81, 0.23)","-1.85(-3.42, -0.27)*","-1.65(-3.33, 0.03)"
C34,2000_2005,2006_2010,5,RUCC1_EQI_Sociodemographic,0.00,"-0.76(-2.28, 0.76)","-1.24(-2.84, 0.36)","-1.51(-3.20, 0.17)","-2.16(-3.93, -0.39)*"
C34,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"2.65(-0.27, 5.57)","2.25(-1.01, 5.51)","-0.53(-4.06, 3.00)","-0.38(-4.09, 3.33)"
C34,2000_2005,2006_2010,5,RUCC2_EQI_air,0.00,"4.13(1.17, 7.08)**","5.99(2.86, 9.12)***","3.01(-0.33, 6.35)","5.89(2.44, 9.35)***"
C34,2000_2005,2006_2010,5,RUCC2_EQI_water,0.00,"-1.45(-5.62, 2.72)","-2.68(-7.06, 1.70)","-3.91(-8.14, 0.32)","-4.84(-9.38, -0.29)*"
C34,2000_2005,2006_2010,5,RUCC2_EQI_land,0.00,"-2.43(-5.43, 0.57)","-1.20(-4.53, 2.12)","-2.65(-6.17, 0.87)","-2.97(-6.59, 0.66)"
C34,2000_2005,2006_2010,5,RUCC2_EQI_built,0.00,"0.97(-1.88, 3.81)","1.34(-1.60, 4.29)","0.20(-2.82, 3.22)","-0.16(-3.39, 3.06)"
C34,2000_2005,2006_2010,5,RUCC2_EQI_Sociodemographic,0.00,"3.68(0.67, 6.69)*","1.23(-1.97, 4.42)","-0.51(-3.83, 2.81)","-1.37(-4.87, 2.12)"
C34,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"1.96(-0.40, 4.32)","2.17(-0.52, 4.86)","0.79(-2.13, 3.71)","0.53(-2.72, 3.78)"
C34,2000_2005,2006_2010,5,RUCC3_EQI_air,0.00,"1.06(-1.24, 3.36)","2.16(-0.30, 4.61)","3.60(1.06, 6.13)**","4.16(1.46, 6.86)**"
C34,2000_2005,2006_2010,5,RUCC3_EQI_water,0.00,"-0.39(-3.27, 2.48)","0.40(-2.58, 3.38)","-1.27(-4.27, 1.73)","-2.29(-5.38, 0.80)"
C34,2000_2005,2006_2010,5,RUCC3_EQI_land,0.00,"-3.77(-6.06, -1.48)**","-3.18(-5.61, -0.74)*","-4.84(-7.57, -2.10)***","-4.35(-7.39, -1.32)**"
C34,2000_2005,2006_2010,5,RUCC3_EQI_built,0.00,"2.24(0.08, 4.41)*","2.54(0.34, 4.74)*","2.24(-0.05, 4.54)","1.25(-1.27, 3.78)"
C34,2000_2005,2006_2010,5,RUCC3_EQI_Sociodemographic,0.00,"2.29(0.11, 4.46)*","1.09(-1.27, 3.44)","0.37(-2.34, 3.07)","-0.68(-3.84, 2.48)"
C34,2000_2005,2006_2010,5,RUCC4_EQI,0.00,"2.45(-3.20, 8.10)","0.80(-5.24, 6.83)","-0.08(-6.58, 6.42)","-7.32(-14.42, -0.21)*"
