ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C50,2000_2005,2006_2010,5,EQI,0.00,"1.78(1.06, 2.50)***","1.32(0.61, 2.03)***","0.86(0.12, 1.59)*","0.69(-0.11, 1.50)"
C50,2000_2005,2006_2010,5,EQI_Air,0.00,"4.27(3.42, 5.13)***","1.83(0.99, 2.68)***","1.09(0.24, 1.94)*","1.39(0.51, 2.28)**"
C50,2000_2005,2006_2010,5,EQI_Water,0.00,"0.08(-0.86, 1.02)","0.23(-0.71, 1.18)","0.76(-0.17, 1.70)","0.34(-0.63, 1.31)"
C50,2000_2005,2006_2010,5,EQI_Land,0.00,"0.18(-0.44, 0.80)","-0.01(-0.68, 0.66)","-0.30(-1.04, 0.44)","0.92(0.14, 1.70)*"
C50,2000_2005,2006_2010,5,EQI_Built,0.00,"0.78(0.09, 1.46)*","0.90(0.22, 1.58)**","0.58(-0.10, 1.26)","1.07(0.35, 1.79)**"
C50,2000_2005,2006_2010,5,EQI_Social,0.00,"-1.05(-1.68, -0.41)**","-1.23(-1.89, -0.56)***","-1.14(-1.84, -0.44)**","-1.03(-1.80, -0.25)**"
C50,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.63(-1.21, -0.05)*","-0.76(-1.36, -0.16)*","-0.66(-1.30, -0.02)*","-0.43(-1.14, 0.27)"
C50,2000_2005,2006_2010,5,RUCC1_EQI_Air,0.00,"-1.39(-1.96, -0.82)***","-1.38(-1.95, -0.80)***","-1.17(-1.76, -0.58)***","-0.47(-1.08, 0.14)"
C50,2000_2005,2006_2010,5,RUCC1_EQI_Water,0.00,"-0.19(-0.89, 0.51)","-0.29(-1.01, 0.44)","-0.59(-1.27, 0.10)","-0.85(-1.57, -0.13)*"
C50,2000_2005,2006_2010,5,RUCC1_EQI_Land,0.00,"0.07(-0.51, 0.65)","-0.32(-0.94, 0.29)","-0.05(-0.70, 0.60)","0.07(-0.60, 0.74)"
C50,2000_2005,2006_2010,5,RUCC1_EQI_Built,0.00,"-0.40(-0.99, 0.18)","-0.68(-1.27, -0.09)*","-0.48(-1.09, 0.13)","-0.38(-1.02, 0.26)"
C50,2000_2005,2006_2010,5,RUCC1_EQI_Social,0.00,"0.03(-0.53, 0.58)","-0.65(-1.24, -0.05)*","-0.06(-0.69, 0.56)","0.31(-0.34, 0.96)"
C50,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.24(-0.68, 1.16)","0.40(-0.59, 1.40)","0.64(-0.41, 1.68)","-0.11(-1.20, 0.99)"
C50,2000_2005,2006_2010,5,RUCC2_EQI_Air,0.00,"1.11(0.19, 2.03)*","1.75(0.80, 2.70)***","0.78(-0.22, 1.77)","1.01(-0.01, 2.04)"
C50,2000_2005,2006_2010,5,RUCC2_EQI_Water,0.00,"-0.70(-1.82, 0.42)","-0.73(-1.91, 0.45)","-0.86(-1.98, 0.25)","-1.00(-2.17, 0.17)"
C50,2000_2005,2006_2010,5,RUCC2_EQI_Land,0.00,"0.04(-0.90, 0.97)","-0.27(-1.27, 0.73)","0.19(-0.84, 1.22)","-0.04(-1.09, 1.01)"
C50,2000_2005,2006_2010,5,RUCC2_EQI_Built,0.00,"0.26(-0.64, 1.15)","0.15(-0.78, 1.07)","-0.19(-1.13, 0.74)","0.62(-0.37, 1.60)"
C50,2000_2005,2006_2010,5,RUCC2_EQI_Social,0.00,"-1.17(-2.11, -0.24)*","-0.70(-1.67, 0.27)","-1.13(-2.13, -0.14)*","-1.09(-2.14, -0.04)*"
C50,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"-1.45(-2.58, -0.33)*","-0.61(-1.82, 0.59)","-1.54(-2.82, -0.27)*","-1.69(-3.07, -0.30)*"
C50,2000_2005,2006_2010,5,RUCC3_EQI_Air,0.00,"0.80(-0.45, 2.04)","-1.78(-3.02, -0.53)**","-2.63(-3.89, -1.36)***","-3.19(-4.46, -1.91)***"
