ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C51_C58,2000_2005,2006_2010,5,EQI,0.00,"2.18(1.54, 2.82)***","1.90(1.28, 2.53)***","1.73(1.09, 2.37)***","1.42(0.74, 2.11)***"
C51_C58,2000_2005,2006_2010,5,EQI_Air,0.00,"6.54(5.83, 7.25)***","4.61(3.94, 5.29)***","3.69(3.02, 4.36)***","3.58(2.88, 4.28)***"
C51_C58,2000_2005,2006_2010,5,EQI_Water,0.00,"0.85(-0.00, 1.71)","1.07(0.21, 1.94)*","1.13(0.27, 1.98)**","1.35(0.45, 2.24)**"
C51_C58,2000_2005,2006_2010,5,EQI_Land,0.00,"-0.39(-0.92, 0.14)","-0.08(-0.66, 0.49)","-0.46(-1.11, 0.18)","0.50(-0.19, 1.18)"
C51_C58,2000_2005,2006_2010,5,EQI_Built,0.00,"1.66(1.05, 2.27)***","2.03(1.43, 2.63)***","1.77(1.18, 2.36)***","2.09(1.48, 2.71)***"
C51_C58,2000_2005,2006_2010,5,EQI_Social,0.00,"-0.33(-0.88, 0.22)","-0.83(-1.40, -0.26)**","-0.78(-1.37, -0.19)**","-0.87(-1.52, -0.21)**"
C51_C58,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.92(-1.41, -0.43)***","-1.18(-1.69, -0.66)***","-1.37(-1.91, -0.82)***","-1.38(-1.98, -0.77)***"
C51_C58,2000_2005,2006_2010,5,RUCC1_EQI_Air,0.00,"-1.90(-2.40, -1.41)***","-2.07(-2.58, -1.57)***","-1.88(-2.40, -1.36)***","-1.64(-2.18, -1.11)***"
C51_C58,2000_2005,2006_2010,5,RUCC1_EQI_Water,0.00,"0.89(0.31, 1.47)**","0.30(-0.29, 0.88)","-0.12(-0.68, 0.44)","-0.15(-0.73, 0.43)"
C51_C58,2000_2005,2006_2010,5,RUCC1_EQI_Land,0.00,"-0.35(-0.83, 0.13)","-0.46(-0.97, 0.05)","-0.43(-0.98, 0.11)","-0.27(-0.84, 0.30)"
C51_C58,2000_2005,2006_2010,5,RUCC1_EQI_Built,0.00,"-0.85(-1.35, -0.36)***","-0.85(-1.35, -0.36)***","-0.86(-1.37, -0.35)***","-0.59(-1.12, -0.06)*"
C51_C58,2000_2005,2006_2010,5,RUCC1_EQI_Social,0.00,"0.43(-0.01, 0.88)","0.17(-0.30, 0.64)","0.51(0.01, 1.00)*","1.51(0.98, 2.03)***"
C51_C58,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.52(-0.14, 1.18)","0.69(-0.03, 1.40)","0.48(-0.28, 1.24)","0.76(-0.03, 1.55)"
C51_C58,2000_2005,2006_2010,5,RUCC2_EQI_Air,0.00,"0.53(-0.15, 1.20)","1.22(0.54, 1.91)***","0.69(-0.03, 1.41)","0.97(0.23, 1.72)*"
C51_C58,2000_2005,2006_2010,5,RUCC2_EQI_Water,0.00,"0.14(-0.62, 0.91)","-0.11(-0.91, 0.70)","-0.24(-0.99, 0.52)","-0.72(-1.51, 0.08)"
C51_C58,2000_2005,2006_2010,5,RUCC2_EQI_Land,0.00,"0.28(-0.39, 0.95)","0.19(-0.54, 0.92)","0.70(-0.06, 1.46)","0.62(-0.15, 1.39)"
C51_C58,2000_2005,2006_2010,5,RUCC2_EQI_Built,0.00,"0.10(-0.55, 0.75)","0.02(-0.65, 0.68)","0.23(-0.46, 0.92)","0.36(-0.35, 1.07)"
C51_C58,2000_2005,2006_2010,5,RUCC2_EQI_Social,0.00,"-0.20(-0.88, 0.48)","-0.07(-0.77, 0.63)","-0.26(-1.00, 0.48)","0.22(-0.55, 0.99)"
