ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C60_C63,2000_2005,2006_2010,5,EQI,0.00,"0.97(0.23, 1.70)*†","0.61(-0.10, 1.32)","-0.44(-1.17, 0.29)","-1.53(-2.33, -0.74)***†"
C60_C63,2000_2005,2006_2010,5,EQI_Air,0.00,"3.19(2.36, 4.02)***†","1.04(0.23, 1.84)*†","-0.58(-1.39, 0.22)","-1.17(-2.00, -0.33)*†"
C60_C63,2000_2005,2006_2010,5,EQI_Water,0.00,"-0.34(-1.30, 0.62)","0.52(-0.44, 1.48)","0.70(-0.24, 1.65)","0.52(-0.45, 1.49)"
C60_C63,2000_2005,2006_2010,5,EQI_Land,0.00,"-0.54(-1.16, 0.08)","-0.39(-1.06, 0.28)","-0.80(-1.55, -0.06)","0.08(-0.70, 0.86)"
C60_C63,2000_2005,2006_2010,5,EQI_Built,0.00,"1.69(0.99, 2.39)***†","1.45(0.76, 2.14)***†","0.72(0.03, 1.41)","0.87(0.15, 1.59)*†"
C60_C63,2000_2005,2006_2010,5,EQI_Social,0.00,"-1.39(-2.01, -0.76)***†","-2.26(-2.92, -1.61)***†","-2.08(-2.75, -1.40)***†","-2.81(-3.56, -2.07)***†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.93(-1.52, -0.34)**†","-1.72(-2.33, -1.10)***†","-2.37(-3.02, -1.71)***†","-2.49(-3.20, -1.77)***†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_Air,0.00,"-1.99(-2.58, -1.41)***†","-2.96(-3.55, -2.37)***†","-2.66(-3.26, -2.06)***†","-2.73(-3.34, -2.11)***†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_Water,0.00,"-0.00(-0.72, 0.72)","-0.20(-0.92, 0.52)","-0.24(-0.93, 0.46)","0.07(-0.65, 0.79)"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_Land,0.00,"-0.01(-0.61, 0.59)","-0.56(-1.18, 0.07)","-0.52(-1.19, 0.15)","-0.28(-0.97, 0.41)"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_Built,0.00,"-0.38(-0.98, 0.22)","-1.32(-1.93, -0.72)***†","-1.34(-1.96, -0.72)***†","-1.04(-1.70, -0.39)**†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_Social,0.00,"0.22(-0.34, 0.78)","0.25(-0.33, 0.84)","0.44(-0.17, 1.04)","1.24(0.60, 1.88)***†"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.34(-0.50, 1.19)","-0.30(-1.22, 0.62)","-0.71(-1.68, 0.26)","-0.49(-1.50, 0.52)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_Air,0.00,"0.07(-0.81, 0.94)","0.04(-0.87, 0.95)","-0.12(-1.08, 0.84)","-0.30(-1.29, 0.69)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_Water,0.00,"-0.79(-1.91, 0.32)","-0.64(-1.80, 0.53)","-0.70(-1.81, 0.41)","-0.81(-2.00, 0.38)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_Land,0.00,"-0.33(-1.17, 0.51)","-0.57(-1.48, 0.35)","0.85(-0.10, 1.81)","0.33(-0.64, 1.30)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_Built,0.00,"0.16(-0.66, 0.97)","0.18(-0.67, 1.03)","-0.21(-1.07, 0.65)","-0.09(-0.99, 0.81)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_Social,0.00,"-1.50(-2.35, -0.65)**†","-1.67(-2.55, -0.78)***†","-1.67(-2.58, -0.75)**†","-1.45(-2.42, -0.48)*†"
C60_C63,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"-1.13(-2.32, 0.05)","-1.65(-2.94, -0.36)*†","-1.90(-3.23, -0.57)*†","-2.02(-3.48, -0.56)*†"
C60_C63,2000_2005,2006_2010,5,RUCC3_EQI_Air,0.00,"-0.42(-1.76, 0.92)","-2.19(-3.51, -0.87)**†","-3.13(-4.47, -1.80)***†","-4.44(-5.81, -3.08)***†"
C60_C63,2000_2005,2006_2010,5,RUCC3_EQI_Water,0.00,"-0.34(-1.71, 1.03)","0.11(-1.32, 1.54)","0.88(-0.53, 2.29)","0.35(-1.07, 1.77)"
C60_C63,2000_2005,2006_2010,5,RUCC3_EQI_Land,0.00,"-1.38(-2.46, -0.29)*†","-1.27(-2.46, -0.09)","-1.02(-2.36, 0.32)","-0.39(-1.87, 1.09)"
C60_C63,2000_2005,2006_2010,5,RUCC3_EQI_Built,0.00,"-1.06(-2.14, 0.02)","-1.30(-2.37, -0.23)*†","-0.48(-1.62, 0.66)","-1.04(-2.32, 0.24)"
C60_C63,2000_2005,2006_2010,5,RUCC3_EQI_Social,0.00,"-2.27(-3.35, -1.19)***†","-2.41(-3.57, -1.25)***†","-3.24(-4.55, -1.93)***†","-3.54(-5.06, -2.01)***†"
C60_C63,2000_2005,2006_2010,5,RUCC4_EQI,0.00,"0.54(-2.35, 3.44)","1.00(-2.34, 4.34)","4.45(1.14, 7.77)*†","1.78(-1.82, 5.39)"
C60_C63,2000_2005,2006_2010,5,RUCC4_EQI_Air,0.00,"3.09(-0.40, 6.57)","14.94(11.31, 18.57)***†","15.02(11.58, 18.46)***†","12.96(9.45, 16.48)***†"
C60_C63,2000_2005,2006_2010,5,RUCC4_EQI_Water,0.00,"-3.27(-7.29, 0.74)","-1.28(-5.49, 2.94)","-1.49(-5.65, 2.67)","-3.55(-8.18, 1.07)"
C60_C63,2000_2005,2006_2010,5,RUCC4_EQI_Land,0.00,"0.45(-2.42, 3.32)","-0.04(-3.49, 3.41)","-1.81(-5.69, 2.07)","0.79(-3.59, 5.18)"
C60_C63,2000_2005,2006_2010,5,RUCC4_EQI_Built,0.00,"2.47(-0.77, 5.70)","3.91(0.88, 6.95)*†","4.89(1.99, 7.79)**†","4.25(1.20, 7.30)*†"
C60_C63,2000_2005,2006_2010,5,RUCC4_EQI_Social,0.00,"-0.73(-3.77, 2.32)","-0.80(-4.30, 2.70)","1.81(-1.96, 5.58)","-1.69(-5.62, 2.25)"
C60_C63,2000_2005,2011_2015,10,EQI,0.00,"1.68(0.93, 2.42)***†","1.49(0.77, 2.21)***†","0.20(-0.53, 0.94)","-0.59(-1.38, 0.20)"
C60_C63,2000_2005,2011_2015,10,EQI_Air,0.00,"4.57(3.73, 5.40)***†","1.90(1.09, 2.70)***†","0.58(-0.22, 1.39)","-0.31(-1.13, 0.51)"
C60_C63,2000_2005,2011_2015,10,EQI_Water,0.00,"0.00(-0.94, 0.94)","0.67(-0.27, 1.61)","0.51(-0.41, 1.44)","0.59(-0.36, 1.54)"
C60_C63,2000_2005,2011_2015,10,EQI_Land,0.00,"-0.44(-1.05, 0.18)","-0.81(-1.48, -0.15)*†","-0.72(-1.45, 0.02)","0.34(-0.42, 1.11)"
C60_C63,2000_2005,2011_2015,10,EQI_Built,0.00,"1.35(0.65, 2.06)***†","1.48(0.79, 2.17)***†","0.63(-0.06, 1.31)","0.99(0.28, 1.71)*†"
C60_C63,2000_2005,2011_2015,10,EQI_Social,0.00,"-0.81(-1.44, -0.17)*†","-2.04(-2.70, -1.38)***†","-1.85(-2.52, -1.17)***†","-2.04(-2.78, -1.30)***†"
C60_C63,2000_2005,2011_2015,10,RUCC1_EQI,0.00,"-1.13(-1.67, -0.59)***†","-1.58(-2.14, -1.01)***†","-2.07(-2.67, -1.47)***†","-2.43(-3.08, -1.77)***†"
C60_C63,2000_2005,2011_2015,10,RUCC1_EQI_Air,0.00,"-2.10(-2.61, -1.58)***†","-3.09(-3.61, -2.58)***†","-3.03(-3.56, -2.50)***†","-2.89(-3.43, -2.35)***†"
C60_C63,2000_2005,2011_2015,10,RUCC1_EQI_Water,0.00,"0.10(-0.57, 0.77)","-0.18(-0.84, 0.48)","-0.33(-0.97, 0.32)","-0.18(-0.87, 0.51)"
C60_C63,2000_2005,2011_2015,10,RUCC1_EQI_Land,0.00,"0.06(-0.47, 0.60)","-0.29(-0.85, 0.27)","-0.01(-0.60, 0.58)","-0.10(-0.71, 0.51)"
C60_C63,2000_2005,2011_2015,10,RUCC1_EQI_Built,0.00,"-0.73(-1.27, -0.19)*†","-1.44(-1.97, -0.90)***†","-1.51(-2.05, -0.96)***†","-1.40(-1.97, -0.82)***†"
C60_C63,2000_2005,2011_2015,10,RUCC1_EQI_Social,0.00,"0.10(-0.39, 0.58)","-0.04(-0.56, 0.47)","0.00(-0.52, 0.53)","1.15(0.60, 1.71)***†"
C60_C63,2000_2005,2011_2015,10,RUCC2_EQI,0.00,"-0.12(-0.85, 0.60)","-0.86(-1.65, -0.06)","-0.75(-1.59, 0.09)","-0.50(-1.37, 0.38)"
C60_C63,2000_2005,2011_2015,10,RUCC2_EQI_Air,0.00,"0.52(-0.22, 1.26)","0.40(-0.37, 1.18)","-0.22(-1.05, 0.60)","-0.89(-1.74, -0.04)"
C60_C63,2000_2005,2011_2015,10,RUCC2_EQI_Water,0.00,"-0.64(-1.63, 0.34)","-0.60(-1.63, 0.43)","-0.15(-1.13, 0.83)","-0.40(-1.43, 0.64)"
