ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C60_C63,2000_2005,2006_2010,5,EQI,0.00,"0.95(0.22, 1.69)*†","0.54(-0.17, 1.26)","-0.59(-1.32, 0.14)","-1.84(-2.63, -1.05)***†"
C60_C63,2000_2005,2006_2010,5,EQI_air,0.00,"3.19(2.35, 4.02)***†","1.03(0.22, 1.84)*†","-0.66(-1.47, 0.15)","-1.33(-2.16, -0.49)**†"
C60_C63,2000_2005,2006_2010,5,EQI_water,0.00,"-0.32(-1.28, 0.65)","0.51(-0.46, 1.48)","0.71(-0.25, 1.66)","0.45(-0.53, 1.43)"
C60_C63,2000_2005,2006_2010,5,EQI_land,0.00,"-0.64(-1.26, -0.02)","-0.54(-1.21, 0.14)","-0.96(-1.71, -0.21)*†","-0.12(-0.90, 0.66)"
C60_C63,2000_2005,2006_2010,5,EQI_built,0.00,"1.64(0.93, 2.34)***†","1.37(0.68, 2.07)***†","0.63(-0.06, 1.33)","0.73(0.01, 1.46)"
C60_C63,2000_2005,2006_2010,5,EQI_Sociodemographic,0.00,"-1.41(-2.04, -0.79)***†","-2.36(-3.02, -1.71)***†","-2.25(-2.93, -1.57)***†","-3.16(-3.90, -2.42)***†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.97(-1.56, -0.38)**†","-1.78(-2.40, -1.17)***†","-2.49(-3.14, -1.83)***†","-2.68(-3.39, -1.96)***†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_air,0.00,"-2.02(-2.61, -1.44)***†","-3.02(-3.61, -2.43)***†","-2.72(-3.32, -2.12)***†","-2.82(-3.44, -2.21)***†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_water,0.00,"0.05(-0.67, 0.77)","-0.21(-0.94, 0.51)","-0.23(-0.92, 0.47)","0.03(-0.69, 0.75)"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_land,0.00,"-0.06(-0.66, 0.54)","-0.62(-1.25, 0.01)","-0.61(-1.28, 0.05)","-0.38(-1.07, 0.31)"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_built,0.00,"-0.43(-1.04, 0.17)","-1.41(-2.01, -0.80)***†","-1.43(-2.06, -0.81)***†","-1.18(-1.84, -0.53)**†"
C60_C63,2000_2005,2006_2010,5,RUCC1_EQI_Sociodemographic,0.00,"0.27(-0.29, 0.83)","0.37(-0.22, 0.95)","0.55(-0.05, 1.15)","1.40(0.77, 2.03)***†"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.36(-0.49, 1.20)","-0.29(-1.22, 0.63)","-0.72(-1.69, 0.25)","-0.50(-1.51, 0.51)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_air,0.00,"0.09(-0.79, 0.96)","0.06(-0.85, 0.97)","-0.09(-1.05, 0.87)","-0.29(-1.28, 0.71)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_water,0.00,"-0.80(-1.92, 0.32)","-0.65(-1.82, 0.52)","-0.73(-1.83, 0.38)","-0.84(-2.03, 0.35)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_land,0.00,"-0.35(-1.19, 0.49)","-0.59(-1.50, 0.33)","0.81(-0.14, 1.77)","0.31(-0.66, 1.28)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_built,0.00,"0.16(-0.66, 0.97)","0.20(-0.66, 1.05)","-0.22(-1.08, 0.65)","-0.10(-1.01, 0.81)"
C60_C63,2000_2005,2006_2010,5,RUCC2_EQI_Sociodemographic,0.00,"-1.47(-2.32, -0.63)**†","-1.66(-2.54, -0.78)**†","-1.69(-2.60, -0.77)**†","-1.50(-2.46, -0.53)**†"
C60_C63,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"-1.26(-2.45, -0.07)","-1.87(-3.18, -0.57)*†","-2.34(-3.70, -0.99)**†","-2.68(-4.18, -1.18)**†"
