ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C61,2000_2005,2006_2010,5,EQI,0.00,"0.86(0.13, 1.58)","0.64(-0.06, 1.34)","-0.42(-1.14, 0.31)","-1.50(-2.29, -0.71)***†"
C61,2000_2005,2006_2010,5,EQI_Air,0.00,"3.45(2.63, 4.27)***†","1.28(0.48, 2.07)**†","-0.34(-1.14, 0.45)","-0.93(-1.76, -0.11)"
C61,2000_2005,2006_2010,5,EQI_Water,0.00,"-0.31(-1.26, 0.64)","0.52(-0.43, 1.46)","0.73(-0.21, 1.66)","0.56(-0.40, 1.52)"
C61,2000_2005,2006_2010,5,EQI_Land,0.00,"-0.55(-1.16, 0.06)","-0.44(-1.10, 0.23)","-0.89(-1.63, -0.15)","0.00(-0.77, 0.78)"
C61,2000_2005,2006_2010,5,EQI_Built,0.00,"1.62(0.92, 2.31)***†","1.35(0.66, 2.03)***†","0.63(-0.05, 1.31)","0.79(0.09, 1.50)"
C61,2000_2005,2006_2010,5,EQI_Social,0.00,"-1.19(-1.81, -0.57)***†","-2.04(-2.68, -1.39)***†","-1.86(-2.53, -1.19)***†","-2.62(-3.36, -1.88)***†"
C61,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.94(-1.52, -0.36)**†","-1.67(-2.27, -1.06)***†","-2.30(-2.95, -1.66)***†","-2.39(-3.10, -1.69)***†"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Air,0.00,"-2.01(-2.59, -1.43)***†","-2.91(-3.49, -2.33)***†","-2.60(-3.20, -2.01)***†","-2.67(-3.28, -2.06)***†"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Water,0.00,"-0.05(-0.77, 0.66)","-0.24(-0.95, 0.48)","-0.23(-0.92, 0.46)","0.08(-0.63, 0.80)"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Land,0.00,"-0.00(-0.60, 0.59)","-0.53(-1.15, 0.09)","-0.48(-1.14, 0.18)","-0.27(-0.96, 0.41)"
