ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C25,2000_2005,2006_2010,5,EQI,0.00,"0.84(0.24, 1.43)*†","-0.13(-0.74, 0.48)","-1.51(-2.16, -0.86)***†","-2.57(-3.28, -1.85)***†"
C25,2000_2005,2006_2010,5,EQI_air,0.00,"-0.18(-0.82, 0.46)","-2.42(-3.08, -1.76)***†","-3.73(-4.41, -3.06)***†","-3.72(-4.44, -3.01)***†"
C25,2000_2005,2006_2010,5,EQI_water,0.00,"-1.18(-2.00, -0.36)*†","-0.88(-1.73, -0.03)","-1.13(-1.98, -0.29)*†","-1.45(-2.33, -0.58)**†"
C25,2000_2005,2006_2010,5,EQI_land,0.00,"0.17(-0.47, 0.81)","-0.00(-0.69, 0.68)","-0.01(-0.77, 0.74)","0.45(-0.34, 1.24)"
C25,2000_2005,2006_2010,5,EQI_built,0.00,"0.55(-0.05, 1.15)","0.18(-0.43, 0.79)","-0.80(-1.41, -0.18)*†","-0.48(-1.14, 0.17)"
C25,2000_2005,2006_2010,5,EQI_Sociodemographic,0.00,"-0.44(-1.05, 0.16)","-0.95(-1.60, -0.31)*†","-0.89(-1.59, -0.20)*†","-1.94(-2.70, -1.18)***†"
C25,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-1.19(-1.75, -0.63)***†","-1.63(-2.22, -1.05)***†","-1.94(-2.57, -1.32)***†","-1.81(-2.50, -1.12)***†"
C25,2000_2005,2006_2010,5,RUCC1_EQI_air,0.00,"-1.64(-2.19, -1.09)***†","-2.10(-2.66, -1.54)***†","-1.90(-2.47, -1.32)***†","-1.69(-2.29, -1.10)***†"
C25,2000_2005,2006_2010,5,RUCC1_EQI_water,0.00,"0.01(-0.71, 0.73)","-0.11(-0.85, 0.62)","-0.53(-1.25, 0.19)","-0.62(-1.37, 0.14)"
C25,2000_2005,2006_2010,5,RUCC1_EQI_land,0.00,"0.11(-0.50, 0.72)","0.25(-0.39, 0.89)","0.03(-0.66, 0.71)","0.14(-0.57, 0.85)"
C25,2000_2005,2006_2010,5,RUCC1_EQI_built,0.00,"-0.52(-1.08, 0.04)","-1.23(-1.80, -0.65)***†","-1.57(-2.16, -0.97)***†","-1.23(-1.86, -0.60)***†"
C25,2000_2005,2006_2010,5,RUCC1_EQI_Sociodemographic,0.00,"0.38(-0.21, 0.96)","0.08(-0.54, 0.70)","-0.23(-0.87, 0.41)","0.21(-0.45, 0.87)"
C25,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.55(-0.20, 1.31)","0.07(-0.74, 0.87)","0.17(-0.67, 1.01)","0.30(-0.57, 1.17)"
C25,2000_2005,2006_2010,5,RUCC2_EQI_air,0.00,"0.81(0.05, 1.56)","1.16(0.37, 1.94)*†","0.90(0.07, 1.72)","0.97(0.13, 1.81)"
C25,2000_2005,2006_2010,5,RUCC2_EQI_water,0.00,"-0.73(-1.68, 0.23)","0.24(-0.79, 1.28)","-0.80(-1.73, 0.12)","-0.91(-1.84, 0.03)"
C25,2000_2005,2006_2010,5,RUCC2_EQI_land,0.00,"-0.64(-1.40, 0.13)","-0.13(-0.93, 0.68)","-0.55(-1.37, 0.28)","-0.16(-1.00, 0.68)"
