ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C61,2000_2005,2006_2010,5,EQI,0.00,"0.84(0.43, 1.24)***","1.04(0.62, 1.46)***","0.38(-0.07, 0.83)","-0.66(-1.16, -0.17)**"
C61,2000_2005,2006_2010,5,EQI_air,0.00,"1.64(1.20, 2.08)***","0.92(0.46, 1.37)***","-0.30(-0.77, 0.16)","-0.97(-1.46, -0.47)***"
C61,2000_2005,2006_2010,5,EQI_water,0.00,"-0.00(-0.60, 0.60)","0.60(-0.04, 1.23)","0.83(0.20, 1.46)**","0.71(0.05, 1.37)*"
C61,2000_2005,2006_2010,5,EQI_land,0.00,"-0.33(-0.76, 0.11)","-0.22(-0.70, 0.25)","-0.53(-1.05, -0.00)*","0.08(-0.47, 0.64)"
C61,2000_2005,2006_2010,5,EQI_built,0.00,"1.26(0.85, 1.66)***","1.29(0.88, 1.71)***","0.67(0.25, 1.09)**","0.82(0.37, 1.26)***"
C61,2000_2005,2006_2010,5,EQI_Sociodemographic,0.00,"-0.52(-0.93, -0.11)*","-1.05(-1.49, -0.61)***","-0.94(-1.41, -0.47)***","-1.69(-2.22, -1.17)***"
C61,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.36(-0.83, 0.10)","-0.95(-1.44, -0.46)***","-1.57(-2.09, -1.05)***","-1.68(-2.25, -1.11)***"
C61,2000_2005,2006_2010,5,RUCC1_EQI_air,0.00,"-0.96(-1.42, -0.50)***","-1.81(-2.28, -1.34)***","-1.48(-1.97, -1.00)***","-1.59(-2.09, -1.09)***"
C61,2000_2005,2006_2010,5,RUCC1_EQI_water,0.00,"-0.04(-0.64, 0.57)","-0.20(-0.83, 0.43)","-0.17(-0.78, 0.45)","0.07(-0.57, 0.71)"
C61,2000_2005,2006_2010,5,RUCC1_EQI_land,0.00,"-0.03(-0.54, 0.48)","-0.48(-1.02, 0.06)","-0.51(-1.08, 0.06)","-0.29(-0.89, 0.31)"
C61,2000_2005,2006_2010,5,RUCC1_EQI_built,0.00,"-0.01(-0.48, 0.47)","-0.85(-1.34, -0.36)***","-0.89(-1.39, -0.38)***","-0.65(-1.18, -0.11)*"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Sociodemographic,0.00,"0.25(-0.24, 0.74)","0.36(-0.16, 0.87)","0.50(-0.04, 1.03)","1.11(0.56, 1.67)***"
C61,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.24(-0.57, 1.05)","-0.33(-1.21, 0.55)","-0.67(-1.61, 0.26)","-0.50(-1.47, 0.47)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_air,0.00,"0.19(-0.64, 1.02)","0.09(-0.78, 0.96)","-0.06(-0.99, 0.86)","-0.27(-1.23, 0.68)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_water,0.00,"-0.69(-1.75, 0.38)","-0.67(-1.80, 0.46)","-0.66(-1.73, 0.40)","-0.67(-1.81, 0.46)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_land,0.00,"-0.44(-1.25, 0.38)","-0.57(-1.45, 0.32)","0.75(-0.17, 1.67)","0.18(-0.76, 1.12)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_built,0.00,"0.17(-0.62, 0.96)","0.20(-0.62, 1.03)","-0.13(-0.97, 0.70)","-0.03(-0.91, 0.85)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_Sociodemographic,0.00,"-1.35(-2.16, -0.53)**","-1.58(-2.44, -0.72)***","-1.64(-2.53, -0.75)***","-1.48(-2.41, -0.55)**"
C61,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"0.07(-0.71, 0.85)","-0.41(-1.24, 0.43)","-0.25(-1.14, 0.63)","-0.03(-1.00, 0.95)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_air,0.00,"0.79(0.02, 1.56)*","0.90(0.09, 1.70)*","0.22(-0.60, 1.04)","-0.70(-1.57, 0.17)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_water,0.00,"0.31(-0.63, 1.24)","0.40(-0.57, 1.37)","1.04(0.07, 2.02)*","0.92(-0.06, 1.91)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_land,0.00,"-0.68(-1.46, 0.10)","-0.71(-1.53, 0.10)","-0.95(-1.84, -0.05)*","-0.30(-1.26, 0.67)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_built,0.00,"-0.08(-0.82, 0.67)","-0.13(-0.88, 0.63)","0.59(-0.19, 1.37)","0.05(-0.80, 0.90)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_Sociodemographic,0.00,"-0.82(-1.56, -0.08)*","-0.94(-1.73, -0.14)*","-1.44(-2.33, -0.56)**","-1.77(-2.80, -0.75)***"
C61,2000_2005,2006_2010,5,RUCC4_EQI,0.00,"1.56(0.43, 2.69)**","2.00(0.78, 3.23)**","3.81(2.53, 5.09)***","3.80(2.42, 5.18)***"
C61,2000_2005,2006_2010,5,RUCC4_EQI_air,0.00,"2.80(1.70, 3.90)***","5.11(3.93, 6.30)***","5.38(4.00, 6.75)***","5.57(4.12, 7.02)***"
C61,2000_2005,2006_2010,5,RUCC4_EQI_water,0.00,"-0.47(-1.88, 0.93)","0.55(-0.95, 2.05)","0.96(-0.53, 2.46)","0.94(-0.60, 2.48)"
C61,2000_2005,2006_2010,5,RUCC4_EQI_land,0.00,"0.45(-0.76, 1.67)","0.76(-0.50, 2.01)","0.28(-1.14, 1.70)","1.29(-0.20, 2.78)"
C61,2000_2005,2006_2010,5,RUCC4_EQI_built,0.00,"2.05(1.00, 3.10)***","2.77(1.72, 3.82)***","3.87(2.80, 4.95)***","3.60(2.47, 4.74)***"
C61,2000_2005,2006_2010,5,RUCC4_EQI_Sociodemographic,0.00,"-0.55(-1.68, 0.58)","-0.26(-1.54, 1.02)","0.72(-0.69, 2.13)","0.71(-0.81, 2.22)"
C61,2000_2005,2011_2015,10,EQI,0.00,"0.92(0.53, 1.31)***","1.02(0.62, 1.42)***","0.10(-0.33, 0.53)","-0.77(-1.24, -0.29)**"
C61,2000_2005,2011_2015,10,EQI_air,0.00,"1.82(1.41, 2.24)***","0.57(0.15, 1.00)**","-0.49(-0.93, -0.06)*","-1.50(-1.95, -1.04)***"
C61,2000_2005,2011_2015,10,EQI_water,0.00,"-0.08(-0.65, 0.49)","0.48(-0.12, 1.07)","0.45(-0.14, 1.05)","0.40(-0.22, 1.02)"
C61,2000_2005,2011_2015,10,EQI_land,0.00,"-0.21(-0.63, 0.21)","-0.52(-0.97, -0.07)*","-0.39(-0.89, 0.12)","0.36(-0.17, 0.89)"
C61,2000_2005,2011_2015,10,EQI_built,0.00,"0.66(0.27, 1.05)***","0.85(0.45, 1.25)***","0.23(-0.18, 0.63)","0.54(0.11, 0.97)*"
C61,2000_2005,2011_2015,10,EQI_Sociodemographic,0.00,"-0.36(-0.75, 0.04)","-1.16(-1.59, -0.74)***","-1.19(-1.64, -0.74)***","-1.45(-1.95, -0.95)***"
C61,2000_2005,2011_2015,10,RUCC1_EQI,0.00,"-0.71(-1.11, -0.31)***","-1.15(-1.57, -0.73)***","-1.67(-2.11, -1.22)***","-2.04(-2.53, -1.54)***"
C61,2000_2005,2011_2015,10,RUCC1_EQI_air,0.00,"-1.31(-1.69, -0.92)***","-2.25(-2.64, -1.86)***","-2.24(-2.65, -1.83)***","-2.10(-2.52, -1.68)***"
C61,2000_2005,2011_2015,10,RUCC1_EQI_water,0.00,"0.08(-0.49, 0.64)","-0.12(-0.70, 0.46)","-0.28(-0.85, 0.29)","-0.22(-0.83, 0.39)"
C61,2000_2005,2011_2015,10,RUCC1_EQI_land,0.00,"-0.00(-0.45, 0.45)","-0.36(-0.84, 0.12)","-0.10(-0.62, 0.41)","-0.20(-0.74, 0.34)"
C61,2000_2005,2011_2015,10,RUCC1_EQI_built,0.00,"-0.42(-0.82, -0.01)*","-1.20(-1.62, -0.78)***","-1.31(-1.75, -0.88)***","-1.21(-1.68, -0.75)***"
C61,2000_2005,2011_2015,10,RUCC1_EQI_Sociodemographic,0.00,"0.03(-0.40, 0.46)","-0.10(-0.55, 0.35)","-0.00(-0.47, 0.46)","1.00(0.52, 1.49)***"
C61,2000_2005,2011_2015,10,RUCC2_EQI,0.00,"0.01(-0.70, 0.73)","-0.67(-1.45, 0.11)","-0.64(-1.46, 0.19)","-0.42(-1.27, 0.44)"
C61,2000_2005,2011_2015,10,RUCC2_EQI_air,0.00,"0.51(-0.20, 1.22)","0.33(-0.41, 1.08)","-0.25(-1.05, 0.56)","-0.93(-1.76, -0.10)*"
C61,2000_2005,2011_2015,10,RUCC2_EQI_water,0.00,"-0.50(-1.45, 0.45)","-0.62(-1.62, 0.39)","-0.20(-1.16, 0.75)","-0.44(-1.45, 0.56)"
C61,2000_2005,2011_2015,10,RUCC2_EQI_land,0.00,"-0.63(-1.35, 0.10)","-0.93(-1.72, -0.15)*","-0.41(-1.23, 0.42)","-0.28(-1.12, 0.56)"
C61,2000_2005,2011_2015,10,RUCC2_EQI_built,0.00,"-0.15(-0.83, 0.54)","0.53(-0.19, 1.24)","-0.20(-0.93, 0.52)","0.45(-0.32, 1.22)"
C61,2000_2005,2011_2015,10,RUCC2_EQI_Sociodemographic,0.00,"-1.52(-2.23, -0.82)***","-1.74(-2.48, -0.99)***","-1.86(-2.62, -1.09)***","-1.26(-2.06, -0.45)**"
C61,2000_2005,2011_2015,10,RUCC3_EQI,0.00,"-0.29(-1.05, 0.47)","-0.41(-1.22, 0.41)","-0.14(-1.00, 0.72)","-0.45(-1.39, 0.49)"
