ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C64_C68,2000_2005,2006_2010,5,EQI,0.00,"1.75(1.21, 2.29)***†","1.76(1.20, 2.32)***†","0.60(0.00, 1.20)","-0.25(-0.92, 0.41)"
C64_C68,2000_2005,2006_2010,5,EQI_air,0.00,"2.55(1.97, 3.14)***†","0.48(-0.12, 1.09)","-1.01(-1.63, -0.39)**†","-1.32(-1.97, -0.66)***†"
C64_C68,2000_2005,2006_2010,5,EQI_water,0.00,"0.11(-0.67, 0.90)","1.02(0.20, 1.84)*†","0.61(-0.20, 1.42)","0.99(0.14, 1.84)*†"
C64_C68,2000_2005,2006_2010,5,EQI_land,0.00,"-0.30(-0.89, 0.28)","-0.00(-0.63, 0.62)","-0.22(-0.91, 0.47)","0.95(0.22, 1.69)*†"
C64_C68,2000_2005,2006_2010,5,EQI_built,0.00,"1.24(0.70, 1.78)***†","0.99(0.44, 1.55)**†","0.57(0.01, 1.13)","0.87(0.28, 1.47)**†"
C64_C68,2000_2005,2006_2010,5,EQI_Sociodemographic,0.00,"-0.36(-0.91, 0.19)","-0.79(-1.38, -0.20)*†","-0.29(-0.92, 0.34)","-0.86(-1.56, -0.17)*†"
C64_C68,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.87(-1.41, -0.33)**†","-1.46(-2.03, -0.88)***†","-1.99(-2.62, -1.36)***†","-1.88(-2.59, -1.18)***†"
C64_C68,2000_2005,2006_2010,5,RUCC1_EQI_air,0.00,"-1.94(-2.46, -1.42)***†","-2.52(-3.06, -1.98)***†","-2.33(-2.89, -1.78)***†","-2.49(-3.07, -1.92)***†"
C64_C68,2000_2005,2006_2010,5,RUCC1_EQI_water,0.00,"0.22(-0.53, 0.97)","0.29(-0.49, 1.07)","0.13(-0.63, 0.89)","-0.13(-0.93, 0.67)"
C64_C68,2000_2005,2006_2010,5,RUCC1_EQI_land,0.00,"0.01(-0.58, 0.60)","0.13(-0.50, 0.76)","0.68(0.01, 1.35)","0.81(0.11, 1.50)*†"
C64_C68,2000_2005,2006_2010,5,RUCC1_EQI_built,0.00,"-0.32(-0.85, 0.22)","-1.36(-1.91, -0.80)***†","-1.40(-1.98, -0.82)***†","-1.50(-2.12, -0.89)***†"
C64_C68,2000_2005,2006_2010,5,RUCC1_EQI_Sociodemographic,0.00,"-0.03(-0.60, 0.54)","-0.31(-0.91, 0.29)","-0.34(-0.97, 0.29)","-0.34(-1.00, 0.32)"
C64_C68,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.64(-0.05, 1.32)","0.83(0.13, 1.54)*†","0.96(0.25, 1.67)*†","0.82(0.11, 1.53)*†"
C64_C68,2000_2005,2006_2010,5,RUCC2_EQI_air,0.00,"0.12(-0.58, 0.83)","0.11(-0.61, 0.82)","0.11(-0.64, 0.86)","0.03(-0.73, 0.79)"
C64_C68,2000_2005,2006_2010,5,RUCC2_EQI_water,0.00,"0.46(-0.25, 1.17)","0.81(0.07, 1.55)","0.10(-0.59, 0.79)","0.10(-0.59, 0.79)"
C64_C68,2000_2005,2006_2010,5,RUCC2_EQI_land,0.00,"0.87(0.18, 1.55)*†","0.48(-0.21, 1.17)","0.71(0.01, 1.40)","1.10(0.40, 1.79)**†"
C64_C68,2000_2005,2006_2010,5,RUCC2_EQI_built,0.00,"-0.16(-0.84, 0.52)","0.49(-0.19, 1.18)","0.56(-0.14, 1.27)","0.35(-0.38, 1.08)"
C64_C68,2000_2005,2006_2010,5,RUCC2_EQI_Sociodemographic,0.00,"-0.07(-0.77, 0.62)","-0.01(-0.71, 0.69)","0.27(-0.45, 0.99)","0.26(-0.47, 1.00)"
C64_C68,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"-0.09(-1.01, 0.83)","0.24(-0.77, 1.24)","-0.05(-1.12, 1.02)","-0.38(-1.57, 0.80)"
C64_C68,2000_2005,2006_2010,5,RUCC3_EQI_air,0.00,"0.96(0.07, 1.85)","-0.25(-1.18, 0.67)","-1.48(-2.43, -0.53)**†","-2.48(-3.48, -1.48)***†"
C64_C68,2000_2005,2006_2010,5,RUCC3_EQI_water,0.00,"-0.22(-1.32, 0.88)","-0.52(-1.66, 0.62)","-0.49(-1.63, 0.65)","-0.55(-1.72, 0.61)"
C64_C68,2000_2005,2006_2010,5,RUCC3_EQI_land,0.00,"-0.65(-1.57, 0.27)","0.36(-0.60, 1.33)","0.78(-0.29, 1.84)","0.71(-0.45, 1.86)"
C64_C68,2000_2005,2006_2010,5,RUCC3_EQI_built,0.00,"-0.34(-1.21, 0.53)","-0.42(-1.31, 0.47)","0.16(-0.77, 1.08)","0.81(-0.19, 1.81)"
