ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C76_C80,2000_2005,2006_2010,5,EQI,0.00,"1.65(0.97, 2.32)***","0.93(0.23, 1.63)**","-0.74(-1.49, 0.00)","-2.12(-2.95, -1.29)***"
C76_C80,2000_2005,2006_2010,5,EQI_air,0.00,"1.40(0.66, 2.15)***","-1.10(-1.88, -0.32)**","-2.87(-3.66, -2.07)***","-3.27(-4.12, -2.41)***"
C76_C80,2000_2005,2006_2010,5,EQI_water,0.00,"0.05(-0.89, 1.00)","0.76(-0.22, 1.74)","0.44(-0.53, 1.41)","0.76(-0.25, 1.77)"
C76_C80,2000_2005,2006_2010,5,EQI_land,0.00,"-0.82(-1.55, -0.09)*","-0.44(-1.22, 0.33)","-0.91(-1.76, -0.05)*","0.18(-0.73, 1.08)"
C76_C80,2000_2005,2006_2010,5,EQI_built,0.00,"0.76(0.08, 1.44)*","0.45(-0.25, 1.15)","-0.23(-0.93, 0.48)","0.19(-0.55, 0.93)"
C76_C80,2000_2005,2006_2010,5,EQI_Sociodemographic,0.00,"-1.05(-1.73, -0.36)**","-1.63(-2.36, -0.90)***","-1.50(-2.28, -0.72)***","-3.20(-4.07, -2.33)***"
C76_C80,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-1.76(-2.37, -1.15)***","-2.66(-3.30, -2.02)***","-2.71(-3.40, -2.02)***","-2.80(-3.59, -2.02)***"
C76_C80,2000_2005,2006_2010,5,RUCC1_EQI_air,0.00,"-1.77(-2.37, -1.17)***","-2.56(-3.19, -1.94)***","-2.49(-3.14, -1.84)***","-2.34(-3.02, -1.66)***"
C76_C80,2000_2005,2006_2010,5,RUCC1_EQI_water,0.00,"0.29(-0.58, 1.17)","0.16(-0.74, 1.06)","0.16(-0.72, 1.04)","0.35(-0.60, 1.29)"
C76_C80,2000_2005,2006_2010,5,RUCC1_EQI_land,0.00,"-0.63(-1.32, 0.05)","-0.92(-1.66, -0.19)*","-0.91(-1.71, -0.12)*","-1.09(-1.93, -0.25)*"
C76_C80,2000_2005,2006_2010,5,RUCC1_EQI_built,0.00,"-0.91(-1.53, -0.29)**","-1.77(-2.42, -1.13)***","-1.73(-2.39, -1.06)***","-1.39(-2.10, -0.69)***"
C76_C80,2000_2005,2006_2010,5,RUCC1_EQI_Sociodemographic,0.00,"0.59(-0.06, 1.24)","0.38(-0.31, 1.07)","1.25(0.53, 1.97)***","1.29(0.54, 2.05)***"
C76_C80,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.07(-0.88, 1.03)","-0.40(-1.45, 0.64)","-0.71(-1.81, 0.39)","-0.65(-1.79, 0.49)"
C76_C80,2000_2005,2006_2010,5,RUCC2_EQI_air,0.00,"-0.37(-1.36, 0.61)","-0.29(-1.33, 0.75)","-0.64(-1.76, 0.48)","-0.27(-1.42, 0.87)"
C76_C80,2000_2005,2006_2010,5,RUCC2_EQI_water,0.00,"1.15(-0.09, 2.39)","0.61(-0.70, 1.92)","0.59(-0.65, 1.84)","1.17(-0.13, 2.48)"
C76_C80,2000_2005,2006_2010,5,RUCC2_EQI_land,0.00,"-0.04(-1.01, 0.94)","0.28(-0.79, 1.34)","-0.66(-1.79, 0.46)","-0.26(-1.41, 0.88)"
C76_C80,2000_2005,2006_2010,5,RUCC2_EQI_built,0.00,"-0.38(-1.31, 0.55)","0.12(-0.84, 1.08)","-0.51(-1.50, 0.47)","-0.27(-1.32, 0.77)"
C76_C80,2000_2005,2006_2010,5,RUCC2_EQI_Sociodemographic,0.00,"-1.61(-2.58, -0.65)**","-1.52(-2.53, -0.50)**","-1.35(-2.40, -0.30)*","-1.73(-2.82, -0.63)**"
C76_C80,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"-0.57(-1.72, 0.58)","-0.12(-1.36, 1.13)","-0.81(-2.13, 0.52)","-1.33(-2.79, 0.13)"
C76_C80,2000_2005,2006_2010,5,RUCC3_EQI_air,0.00,"0.38(-0.73, 1.50)","-1.81(-2.98, -0.64)**","-2.52(-3.72, -1.33)***","-3.70(-4.96, -2.43)***"
C76_C80,2000_2005,2006_2010,5,RUCC3_EQI_water,0.00,"-0.39(-1.75, 0.96)","-0.01(-1.40, 1.38)","0.07(-1.32, 1.46)","0.23(-1.20, 1.66)"
C76_C80,2000_2005,2006_2010,5,RUCC3_EQI_land,0.00,"-0.12(-1.27, 1.03)","0.18(-1.02, 1.39)","0.99(-0.32, 2.31)","0.92(-0.49, 2.34)"
C76_C80,2000_2005,2006_2010,5,RUCC3_EQI_built,0.00,"-0.19(-1.28, 0.91)","-0.51(-1.62, 0.60)","-0.05(-1.20, 1.10)","1.05(-0.19, 2.30)"
C76_C80,2000_2005,2006_2010,5,RUCC3_EQI_Sociodemographic,0.00,"-1.16(-2.25, -0.06)*","-1.51(-2.69, -0.34)*","-2.24(-3.58, -0.91)**","-2.68(-4.24, -1.13)***"
C76_C80,2000_2005,2006_2010,5,RUCC4_EQI,0.00,"3.50(1.26, 5.75)**","4.63(2.20, 7.06)***","7.47(4.93, 10.02)***","8.88(6.13, 11.63)***"
C76_C80,2000_2005,2006_2010,5,RUCC4_EQI_air,0.00,"6.91(4.80, 9.02)***","11.70(9.57, 13.83)***","11.35(9.09, 13.61)***","12.13(9.81, 14.44)***"
C76_C80,2000_2005,2006_2010,5,RUCC4_EQI_water,0.00,"-1.25(-4.08, 1.59)","-0.43(-3.45, 2.59)","0.82(-2.21, 3.86)","1.50(-1.64, 4.63)"
C76_C80,2000_2005,2006_2010,5,RUCC4_EQI_land,0.00,"-0.95(-3.34, 1.44)","1.43(-1.02, 3.89)","0.16(-2.64, 2.95)","4.55(1.63, 7.47)**"
C76_C80,2000_2005,2006_2010,5,RUCC4_EQI_built,0.00,"2.59(0.46, 4.72)*","4.90(2.77, 7.03)***","5.34(3.15, 7.52)***","5.23(2.94, 7.52)***"
C76_C80,2000_2005,2006_2010,5,RUCC4_EQI_Sociodemographic,0.00,"-0.07(-2.33, 2.19)","1.67(-0.88, 4.21)","2.15(-0.66, 4.97)","3.25(0.22, 6.28)*"
C76_C80,2000_2005,2011_2015,10,EQI,0.00,"0.99(0.30, 1.69)**","-0.37(-1.09, 0.35)","-1.78(-2.55, -1.01)***","-3.50(-4.35, -2.65)***"
C76_C80,2000_2005,2011_2015,10,EQI_air,0.00,"0.60(-0.15, 1.35)","-2.38(-3.17, -1.60)***","-4.29(-5.10, -3.49)***","-4.93(-5.79, -4.07)***"
C76_C80,2000_2005,2011_2015,10,EQI_water,0.00,"-0.06(-1.07, 0.95)","0.18(-0.87, 1.22)","-0.04(-1.08, 1.00)","0.05(-1.03, 1.14)"
C76_C80,2000_2005,2011_2015,10,EQI_land,0.00,"-0.35(-1.10, 0.40)","-0.74(-1.56, 0.07)","-0.99(-1.89, -0.09)*","0.10(-0.85, 1.05)"
C76_C80,2000_2005,2011_2015,10,EQI_built,0.00,"0.27(-0.43, 0.97)","-0.26(-0.98, 0.46)","-0.91(-1.64, -0.19)*","-0.67(-1.44, 0.10)"
C76_C80,2000_2005,2011_2015,10,EQI_Sociodemographic,0.00,"-1.16(-1.86, -0.45)**","-2.15(-2.91, -1.40)***","-2.52(-3.33, -1.71)***","-3.48(-4.37, -2.58)***"
C76_C80,2000_2005,2011_2015,10,RUCC1_EQI,0.00,"-1.60(-2.26, -0.94)***","-2.61(-3.31, -1.92)***","-2.92(-3.67, -2.17)***","-3.22(-4.06, -2.38)***"
