ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C15_C26,2000_2005,2006_2010,5,EQI,0.00,"-2.46(-3.63, -1.30)***†","-5.13(-6.33, -3.94)***†","-6.46(-7.74, -5.19)***†","-6.76(-8.18, -5.34)***†"
C15_C26,2000_2005,2006_2010,5,EQI_Air,0.00,"-6.45(-7.71, -5.20)***†","-6.91(-8.21, -5.62)***†","-7.29(-8.61, -5.97)***†","-6.60(-7.99, -5.21)***†"
C15_C26,2000_2005,2006_2010,5,EQI_Water,0.00,"-2.46(-4.05, -0.87)**†","-4.04(-5.71, -2.38)***†","-3.92(-5.59, -2.25)***†","-6.04(-7.79, -4.29)***†"
C15_C26,2000_2005,2006_2010,5,EQI_Land,0.00,"1.27(0.02, 2.51)","1.06(-0.28, 2.41)","1.26(-0.24, 2.75)","0.09(-1.51, 1.68)"
C15_C26,2000_2005,2006_2010,5,EQI_Built,0.00,"-2.00(-3.16, -0.84)**†","-2.94(-4.12, -1.75)***†","-3.83(-5.03, -2.63)***†","-3.81(-5.05, -2.56)***†"
C15_C26,2000_2005,2006_2010,5,EQI_Social,0.00,"-2.07(-3.24, -0.90)**†","-3.34(-4.59, -2.08)***†","-4.36(-5.71, -3.02)***†","-5.95(-7.45, -4.45)***†"
C15_C26,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.20(-1.35, 0.96)","-0.46(-1.68, 0.76)","-0.16(-1.48, 1.16)","-0.14(-1.60, 1.33)"
C15_C26,2000_2005,2006_2010,5,RUCC1_EQI_Air,0.00,"-0.24(-1.39, 0.92)","-0.83(-2.02, 0.36)","0.06(-1.15, 1.27)","1.86(0.60, 3.12)**†"
C15_C26,2000_2005,2006_2010,5,RUCC1_EQI_Water,0.00,"-2.80(-4.31, -1.28)***†","-3.05(-4.64, -1.46)***†","-4.03(-5.60, -2.45)***†","-3.90(-5.59, -2.21)***†"
C15_C26,2000_2005,2006_2010,5,RUCC1_EQI_Land,0.00,"1.11(-0.12, 2.34)","-0.34(-1.68, 0.99)","-0.51(-1.99, 0.97)","-0.12(-1.69, 1.44)"
C15_C26,2000_2005,2006_2010,5,RUCC1_EQI_Built,0.00,"-0.28(-1.44, 0.88)","0.23(-0.96, 1.42)","-0.14(-1.36, 1.09)","1.29(0.03, 2.54)"
C15_C26,2000_2005,2006_2010,5,RUCC1_EQI_Social,0.00,"1.32(0.12, 2.52)","1.73(0.46, 2.99)*†","1.46(0.13, 2.79)","3.38(2.00, 4.77)***†"
C15_C26,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"-0.47(-2.42, 1.48)","-2.02(-4.12, 0.07)","-2.23(-4.45, -0.02)","-2.72(-5.02, -0.41)*†"
C15_C26,2000_2005,2006_2010,5,RUCC2_EQI_Air,0.00,"1.24(-0.75, 3.24)","1.22(-0.86, 3.30)","0.93(-1.28, 3.13)","1.02(-1.22, 3.27)"
C15_C26,2000_2005,2006_2010,5,RUCC2_EQI_Water,0.00,"-3.03(-5.42, -0.65)*†","0.54(-1.98, 3.06)","-2.21(-4.63, 0.21)","-2.97(-5.53, -0.42)*†"
C15_C26,2000_2005,2006_2010,5,RUCC2_EQI_Land,0.00,"-1.08(-3.05, 0.90)","-0.27(-2.42, 1.89)","-1.05(-3.31, 1.21)","-0.33(-2.65, 2.00)"
C15_C26,2000_2005,2006_2010,5,RUCC2_EQI_Built,0.00,"0.05(-1.82, 1.93)","-0.89(-2.82, 1.04)","-2.13(-4.08, -0.18)","-1.87(-3.92, 0.18)"
C15_C26,2000_2005,2006_2010,5,RUCC2_EQI_Social,0.00,"-5.07(-6.97, -3.16)***†","-4.00(-5.99, -2.01)***†","-5.08(-7.11, -3.04)***†","-5.73(-7.84, -3.62)***†"
C15_C26,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"0.21(-1.49, 1.91)","-1.95(-3.79, -0.10)","-3.06(-5.01, -1.11)**†","-3.59(-5.76, -1.43)**†"
C15_C26,2000_2005,2006_2010,5,RUCC3_EQI_Air,0.00,"-2.32(-4.01, -0.63)*†","-1.39(-3.17, 0.39)","-1.94(-3.77, -0.11)","-2.78(-4.71, -0.85)*†"
C15_C26,2000_2005,2006_2010,5,RUCC3_EQI_Water,0.00,"-0.96(-2.92, 1.00)","-1.55(-3.58, 0.48)","-2.01(-4.05, 0.03)","-3.48(-5.55, -1.41)**†"
C15_C26,2000_2005,2006_2010,5,RUCC3_EQI_Land,0.00,"-0.20(-1.91, 1.52)","-0.04(-1.85, 1.77)","-1.03(-3.02, 0.96)","-0.45(-2.65, 1.75)"
C15_C26,2000_2005,2006_2010,5,RUCC3_EQI_Built,0.00,"-0.99(-2.60, 0.62)","-0.28(-1.92, 1.36)","-1.66(-3.35, 0.04)","-1.70(-3.51, 0.12)"
