ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C61,2000_2005,2006_2010,5,EQI,0.00,"0.27(-0.22, 0.76)","-0.26(-0.77, 0.24)","-1.25(-1.79, -0.71)***†","-2.41(-3.01, -1.81)***†"
C61,2000_2005,2006_2010,5,EQI_Air,0.00,"0.81(0.29, 1.34)**†","-0.71(-1.25, -0.17)*†","-2.12(-2.67, -1.57)***†","-2.77(-3.35, -2.18)***†"
C61,2000_2005,2006_2010,5,EQI_Water,0.00,"-0.11(-0.77, 0.56)","0.37(-0.33, 1.06)","0.41(-0.29, 1.11)","0.34(-0.39, 1.07)"
C61,2000_2005,2006_2010,5,EQI_Land,0.00,"-0.28(-0.79, 0.24)","-0.10(-0.66, 0.45)","-0.16(-0.78, 0.45)","0.24(-0.41, 0.89)"
C61,2000_2005,2006_2010,5,EQI_Built,0.00,"0.43(-0.06, 0.92)","0.00(-0.49, 0.50)","-0.57(-1.07, -0.07)","-0.60(-1.13, -0.08)"
C61,2000_2005,2006_2010,5,EQI_Social,0.00,"-1.13(-1.62, -0.64)***†","-1.77(-2.29, -1.24)***†","-1.86(-2.42, -1.31)***†","-2.56(-3.18, -1.95)***†"
C61,2000_2005,2006_2010,5,RUCC1_EQI,0.00,"-0.53(-1.07, 0.01)","-1.19(-1.75, -0.63)***†","-1.77(-2.36, -1.17)***†","-1.70(-2.35, -1.06)***†"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Air,0.00,"-1.45(-1.99, -0.92)***†","-2.02(-2.56, -1.47)***†","-1.65(-2.20, -1.10)***†","-1.59(-2.15, -1.02)***†"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Water,0.00,"-0.01(-0.64, 0.62)","-0.26(-0.91, 0.39)","-0.15(-0.79, 0.48)","0.15(-0.52, 0.81)"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Land,0.00,"-0.31(-0.88, 0.25)","-0.62(-1.20, -0.03)","-0.67(-1.29, -0.04)","-0.42(-1.07, 0.23)"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Built,0.00,"-0.30(-0.85, 0.25)","-0.96(-1.52, -0.40)**†","-1.00(-1.58, -0.43)**†","-0.67(-1.26, -0.08)"
C61,2000_2005,2006_2010,5,RUCC1_EQI_Social,0.00,"0.21(-0.34, 0.77)","0.42(-0.17, 1.00)","0.57(-0.03, 1.17)","1.35(0.74, 1.97)***†"
C61,2000_2005,2006_2010,5,RUCC2_EQI,0.00,"0.47(-0.39, 1.33)","-0.11(-1.04, 0.81)","-0.37(-1.35, 0.61)","-0.20(-1.22, 0.82)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_Air,0.00,"0.04(-0.84, 0.93)","0.04(-0.88, 0.96)","-0.06(-1.04, 0.91)","-0.16(-1.15, 0.83)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_Water,0.00,"-0.89(-1.95, 0.18)","-0.76(-1.90, 0.38)","-0.67(-1.74, 0.41)","-0.62(-1.76, 0.53)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_Land,0.00,"-0.29(-1.14, 0.57)","-0.46(-1.39, 0.47)","1.15(0.18, 2.12)*†","0.38(-0.61, 1.37)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_Built,0.00,"0.21(-0.63, 1.05)","0.10(-0.77, 0.98)","0.21(-0.67, 1.09)","0.07(-0.85, 0.99)"
C61,2000_2005,2006_2010,5,RUCC2_EQI_Social,0.00,"-1.22(-2.09, -0.34)*†","-1.55(-2.46, -0.63)**†","-1.69(-2.62, -0.75)**†","-1.70(-2.67, -0.73)**†"
C61,2000_2005,2006_2010,5,RUCC3_EQI,0.00,"-0.67(-1.57, 0.22)","-1.53(-2.49, -0.58)**†","-1.10(-2.11, -0.10)","-1.01(-2.12, 0.10)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_Air,0.00,"0.50(-0.38, 1.39)","0.17(-0.74, 1.09)","-0.79(-1.72, 0.14)","-1.91(-2.88, -0.95)***†"
C61,2000_2005,2006_2010,5,RUCC3_EQI_Water,0.00,"-0.28(-1.30, 0.73)","-0.10(-1.15, 0.95)","0.35(-0.71, 1.40)","0.74(-0.31, 1.79)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_Land,0.00,"-0.70(-1.59, 0.19)","-1.09(-2.02, -0.17)*†","-0.40(-1.39, 0.59)","0.24(-0.83, 1.31)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_Built,0.00,"-0.13(-0.99, 0.72)","-0.57(-1.45, 0.30)","0.16(-0.74, 1.06)","-0.29(-1.26, 0.67)"
C61,2000_2005,2006_2010,5,RUCC3_EQI_Social,0.00,"-1.26(-2.12, -0.41)*†","-1.13(-2.03, -0.22)*†","-1.64(-2.65, -0.63)**†","-1.87(-3.02, -0.71)**†"
C61,2000_2005,2006_2010,5,RUCC4_EQI,0.00,"2.06(0.59, 3.53)*†","2.85(1.28, 4.41)**†","4.07(2.44, 5.70)***†","5.01(3.26, 6.76)***†"
C61,2000_2005,2006_2010,5,RUCC4_EQI_Air,0.00,"4.03(2.61, 5.45)***†","5.41(3.94, 6.87)***†","5.91(4.32, 7.50)***†","5.49(3.86, 7.12)***†"
C61,2000_2005,2006_2010,5,RUCC4_EQI_Water,0.00,"-0.57(-2.28, 1.15)","0.43(-1.36, 2.23)","1.07(-0.72, 2.87)","0.79(-1.04, 2.62)"
C61,2000_2005,2006_2010,5,RUCC4_EQI_Land,0.00,"1.42(-0.13, 2.97)","2.12(0.54, 3.70)*†","2.01(0.26, 3.76)","3.39(1.56, 5.21)**†"
C61,2000_2005,2006_2010,5,RUCC4_EQI_Built,0.00,"3.48(2.08, 4.89)***†","3.64(2.23, 5.04)***†","3.69(2.26, 5.11)***†","4.20(2.72, 5.68)***†"
C61,2000_2005,2006_2010,5,RUCC4_EQI_Social,0.00,"-0.76(-2.24, 0.71)","-1.11(-2.77, 0.54)","0.02(-1.77, 1.81)","0.74(-1.19, 2.67)"
C61,2000_2005,2011_2015,10,EQI,0.00,"0.43(-0.05, 0.91)","-0.10(-0.59, 0.39)","-1.24(-1.77, -0.72)***†","-2.28(-2.86, -1.70)***†"
C61,2000_2005,2011_2015,10,EQI_Air,0.00,"0.89(0.39, 1.39)**†","-0.63(-1.15, -0.12)*†","-1.92(-2.44, -1.40)***†","-2.85(-3.39, -2.31)***†"
C61,2000_2005,2011_2015,10,EQI_Water,0.00,"-0.13(-0.78, 0.53)","0.13(-0.55, 0.81)","-0.05(-0.74, 0.63)","-0.15(-0.87, 0.56)"
C61,2000_2005,2011_2015,10,EQI_Land,0.00,"-0.29(-0.80, 0.22)","-0.40(-0.95, 0.14)","-0.28(-0.88, 0.33)","0.28(-0.36, 0.92)"
C61,2000_2005,2011_2015,10,EQI_Built,0.00,"0.39(-0.09, 0.87)","0.17(-0.32, 0.66)","-0.65(-1.15, -0.16)*†","-0.61(-1.12, -0.09)*†"
