ICD_Code,Outcome,Lag,Model,Q1,Q2,Q3,Q4,Q5
K70_K76_C22,CLD,5,EQI,0.0,"3.70(2.89,4.51)","4.14(3.31,4.96)","4.92(4.02,5.80)","6.44(5.45,7.41)"
K70_K76_C22,CLD,5,Air,0.0,"3.90(3.06,4.75)","4.03(3.15,4.90)","4.24(3.32,5.16)","5.24(4.24,6.24)"
K70_K76_C22,CLD,5,Water,0.0,"-0.23(-1.28,0.80)","0.61(-0.42,1.63)","1.10(0.05,2.11)","1.20(0.10,2.30)"
K70_K76_C22,CLD,5,Land,0.0,"0.21(-0.50,0.93)","0.58(-0.24,1.41)","-0.29(-1.15,0.58)","0.02(-0.91,0.93)"
K70_K76_C22,CLD,5,Built,0.0,"2.27(1.54,3.00)","2.85(2.08,3.64)","3.20(2.44,4.00)","4.30(3.44,5.14)"
K70_K76_C22,CLD,5,Social,0.0,"-2.33(-3.10,-1.53)","-2.75(-3.62,-1.86)","-2.75(-3.70,-1.75)","-2.96(-4.06,-1.82)"
K70_K76_C22,CLD,10,EQI,0.0,"4.05(3.15,4.99)","4.91(3.99,5.87)","5.62(4.56,6.65)","7.25(6.09,8.41)"
K70_K76_C22,CLD,10,Air,0.0,"3.57(2.60,4.55)","3.49(2.45,4.49)","4.01(2.94,5.08)","5.41(4.20,6.58)"
K70_K76_C22,CLD,10,Water,0.0,"-0.03(-1.19,1.13)","0.82(-0.35,2.02)","1.75(0.57,2.91)","2.23(0.99,3.47)"
K70_K76_C22,CLD,10,Land,0.0,"0.99(0.16,1.81)","0.78(-0.08,1.65)","0.46(-0.56,1.44)","0.76(-0.31,1.81)"
K70_K76_C22,CLD,10,Built,0.0,"2.65(1.79,3.49)","3.33(2.49,4.18)","4.18(3.30,5.03)","5.04(4.09,5.96)"
K70_K76_C22,CLD,10,Social,0.0,"-1.37(-2.26,-0.50)","-2.60(-3.61,-1.64)","-2.85(-3.94,-1.77)","-3.25(-4.51,-2.04)"
K70_K76_C22,CLD,15,EQI,0.0,"4.17(3.23,5.10)","4.79(3.83,5.77)","5.31(4.28,6.34)","6.70(5.53,7.83)"
K70_K76_C22,CLD,15,Air,0.0,"3.81(2.76,4.84)","3.50(2.43,4.53)","4.13(3.05,5.20)","4.68(3.52,5.86)"
K70_K76_C22,CLD,15,Water,0.0,"1.07(-0.15,2.26)","2.91(1.66,4.10)","3.60(2.33,4.83)","3.18(1.88,4.47)"
K70_K76_C22,CLD,15,Land,0.0,"1.25(0.44,2.07)","0.34(-0.56,1.22)","0.18(-0.80,1.18)","0.25(-0.82,1.33)"
K70_K76_C22,CLD,15,Built,0.0,"2.25(1.39,3.07)","3.35(2.48,4.22)","4.34(3.43,5.26)","5.34(4.37,6.31)"
K70_K76_C22,CLD,15,Social,0.0,"-1.85(-2.76,-0.95)","-3.12(-4.12,-2.11)","-3.39(-4.44,-2.29)","-3.50(-4.78,-2.20)"
K70_K76_C22,CLD,20,EQI,0.0,"5.16(3.73,6.70)","5.81(4.29,7.29)","6.15(4.55,7.72)","6.92(5.10,8.69)"
K70_K76_C22,CLD,20,Air,0.0,"6.77(5.26,8.33)","5.71(4.19,7.24)","5.95(4.34,7.56)","5.83(4.10,7.62)"
K70_K76_C22,CLD,20,Water,0.0,"0.96(-0.84,2.68)","2.22(0.46,3.99)","4.28(2.47,6.11)","3.04(1.12,4.92)"
K70_K76_C22,CLD,20,Land,0.0,"2.42(1.09,3.70)","1.74(0.32,3.11)","0.70(-0.90,2.23)","1.40(-0.31,3.12)"
K70_K76_C22,CLD,20,Built,0.0,"3.40(2.17,4.65)","4.50(3.16,5.82)","6.43(5.17,7.76)","7.11(5.67,8.54)"
K70_K76_C22,CLD,20,Social,0.0,"-2.66(-4.01,-1.21)","-5.21(-6.73,-3.67)","-5.64(-7.23,-4.01)","-6.13(-8.05,-4.17)"
K70,Alcoholic,5,EQI,0.0,"1.21(0.92,1.50)","1.81(1.50,2.14)","2.03(1.67,2.38)","2.46(2.06,2.86)"
K70,Alcoholic,5,Air,0.0,"1.64(1.29,1.99)","1.82(1.46,2.18)","1.82(1.44,2.19)","1.68(1.27,2.09)"
K70,Alcoholic,5,Water,0.0,"0.26(-0.14,0.67)","0.42(0.01,0.86)","0.70(0.26,1.13)","0.84(0.38,1.31)"
K70,Alcoholic,5,Land,0.0,"0.07(-0.23,0.37)","0.26(-0.08,0.57)","0.05(-0.32,0.41)","0.30(-0.10,0.70)"
K70,Alcoholic,5,Built,0.0,"0.77(0.49,1.04)","1.05(0.76,1.35)","1.20(0.90,1.51)","1.74(1.41,2.08)"
K70,Alcoholic,5,Social,0.0,"-0.77(-1.08,-0.46)","-1.05(-1.41,-0.67)","-0.96(-1.37,-0.54)","-1.30(-1.79,-0.80)"
K70,Alcoholic,10,EQI,0.0,"1.32(0.97,1.67)","2.31(1.92,2.69)","2.44(2.02,2.84)","2.89(2.43,3.35)"
K70,Alcoholic,10,Air,0.0,"1.96(1.59,2.34)","1.95(1.55,2.35)","1.93(1.50,2.34)","1.77(1.33,2.22)"
K70,Alcoholic,10,Water,0.0,"0.17(-0.26,0.60)","0.33(-0.13,0.81)","0.58(0.13,1.05)","0.76(0.25,1.28)"
K70,Alcoholic,10,Land,0.0,"0.23(-0.12,0.56)","0.37(-0.01,0.74)","0.36(-0.08,0.78)","0.70(0.25,1.15)"
K70,Alcoholic,10,Built,0.0,"0.70(0.40,1.01)","1.23(0.90,1.55)","1.63(1.30,1.96)","2.00(1.63,2.37)"
K70,Alcoholic,10,Social,0.0,"-0.59(-0.94,-0.25)","-1.02(-1.42,-0.63)","-0.85(-1.30,-0.41)","-1.38(-1.89,-0.84)"
K70,Alcoholic,15,EQI,0.0,"1.57(1.11,2.02)","2.57(2.10,3.04)","2.67(2.15,3.20)","3.07(2.47,3.65)"
K70,Alcoholic,15,Air,0.0,"2.33(1.81,2.83)","2.08(1.55,2.58)","1.92(1.39,2.46)","1.75(1.16,2.34)"
K70,Alcoholic,15,Water,0.0,"0.61(0.01,1.21)","1.11(0.50,1.74)","1.54(0.94,2.15)","1.39(0.73,2.07)"
K70,Alcoholic,15,Land,0.0,"0.66(0.23,1.10)","0.34(-0.11,0.82)","0.15(-0.38,0.68)","0.56(0.00,1.15)"
K70,Alcoholic,15,Built,0.0,"0.63(0.21,1.04)","1.32(0.89,1.76)","1.92(1.48,2.35)","2.50(2.02,2.99)"
K70,Alcoholic,15,Social,0.0,"-0.86(-1.32,-0.41)","-1.44(-1.95,-0.93)","-1.41(-1.99,-0.86)","-1.50(-2.16,-0.86)"
K70,Alcoholic,20,EQI,0.0,"2.55(1.82,3.30)","4.09(3.30,4.89)","4.22(3.34,5.10)","4.48(3.49,5.45)"
K70,Alcoholic,20,Air,0.0,"4.03(3.22,4.87)","3.39(2.51,4.27)","3.34(2.40,4.23)","2.67(1.66,3.67)"
K70,Alcoholic,20,Water,0.0,"0.51(-0.45,1.51)","1.27(0.26,2.32)","1.48(0.48,2.56)","1.97(0.87,3.09)"
K70,Alcoholic,20,Land,0.0,"0.74(0.02,1.44)","0.58(-0.17,1.36)","0.50(-0.37,1.36)","0.39(-0.54,1.32)"
K70,Alcoholic,20,Built,0.0,"1.67(0.98,2.37)","2.49(1.76,3.19)","3.68(2.86,4.43)","4.32(3.48,5.12)"
K70,Alcoholic,20,Social,0.0,"-1.10(-1.87,-0.34)","-2.52(-3.34,-1.66)","-2.36(-3.29,-1.43)","-2.65(-3.74,-1.52)"
