ICD_Code,Outcome,Lag,Model,Q1,Q2,Q3,Q4,Q5
J40_J47_J60_J70_J84_D86_C34,CRD,5,EQI,0.0,"7.73(5.17,10.21)","9.05(6.50,11.62)","10.22(7.39,12.98)","13.63(10.53,16.85)"
J40_J47_J60_J70_J84_D86_C34,CRD,5,Air,0.0,"6.00(3.34,8.64)","9.18(6.31,11.75)","10.85(8.00,13.65)","11.87(8.72,14.86)"
J40_J47_J60_J70_J84_D86_C34,CRD,5,Water,0.0,"-1.31(-4.37,1.84)","2.23(-0.84,5.41)","3.75(0.51,7.04)","4.54(1.14,7.92)"
J40_J47_J60_J70_J84_D86_C34,CRD,5,Land,0.0,"-2.30(-4.71,0.10)","-1.56(-4.03,1.01)","-2.50(-5.27,0.28)","-1.59(-4.64,1.44)"
J40_J47_J60_J70_J84_D86_C34,CRD,5,Built,0.0,"3.07(0.64,5.49)","3.89(1.44,6.39)","4.88(2.37,7.38)","4.60(1.83,7.41)"
J40_J47_J60_J70_J84_D86_C34,CRD,5,Social,0.0,"2.13(-0.37,4.62)","-0.35(-3.09,2.34)","1.09(-1.86,3.91)","3.15(-0.20,6.53)"
J40_J47_J60_J70_J84_D86_C34,CRD,10,EQI,0.0,"7.84(5.48,10.16)","8.69(6.22,11.17)","9.80(7.07,12.47)","11.01(8.00,14.05)"
J40_J47_J60_J70_J84_D86_C34,CRD,10,Air,0.0,"6.68(4.13,9.26)","8.91(6.31,11.46)","9.82(7.09,12.52)","8.50(5.60,11.48)"
J40_J47_J60_J70_J84_D86_C34,CRD,10,Water,0.0,"-0.59(-3.63,2.49)","0.39(-2.63,3.46)","3.17(0.03,6.40)","3.52(0.24,6.76)"
J40_J47_J60_J70_J84_D86_C34,CRD,10,Land,0.0,"-1.41(-3.76,0.83)","-1.70(-4.18,0.70)","-1.16(-3.92,1.64)","0.18(-2.79,3.20)"
J40_J47_J60_J70_J84_D86_C34,CRD,10,Built,0.0,"4.28(2.03,6.52)","5.57(3.28,7.95)","5.95(3.60,8.35)","6.11(3.52,8.75)"
J40_J47_J60_J70_J84_D86_C34,CRD,10,Social,0.0,"2.40(0.12,4.80)","0.51(-2.03,3.15)","0.80(-2.01,3.53)","1.89(-1.35,5.06)"
J40_J47_J60_J70_J84_D86_C34,CRD,15,EQI,0.0,"6.97(4.74,9.27)","7.97(5.68,10.30)","9.10(6.57,11.67)","10.00(7.12,12.90)"
J40_J47_J60_J70_J84_D86_C34,CRD,15,Air,0.0,"6.07(3.72,8.44)","8.17(5.70,10.61)","9.71(7.17,12.30)","7.29(4.45,10.10)"
J40_J47_J60_J70_J84_D86_C34,CRD,15,Water,0.0,"-0.02(-2.84,2.83)","0.61(-2.30,3.43)","2.68(-0.24,5.59)","3.23(0.01,6.24)"
J40_J47_J60_J70_J84_D86_C34,CRD,15,Land,0.0,"-1.95(-4.10,0.25)","-2.79(-5.25,-0.47)","-2.51(-5.15,0.10)","-0.72(-3.52,2.06)"
J40_J47_J60_J70_J84_D86_C34,CRD,15,Built,0.0,"4.92(2.79,7.08)","7.31(5.13,9.48)","6.87(4.67,9.11)","6.79(4.30,9.20)"
J40_J47_J60_J70_J84_D86_C34,CRD,15,Social,0.0,"3.00(0.84,5.16)","0.87(-1.45,3.19)","0.52(-2.12,3.02)","0.75(-2.28,3.64)"
J40_J47_J60_J70_J84_D86_C34,CRD,20,EQI,0.0,"7.78(5.09,10.42)","5.38(2.60,8.12)","5.04(2.19,8.05)","3.22(-0.22,6.72)"
J40_J47_J60_J70_J84_D86_C34,CRD,20,Air,0.0,"6.48(3.59,9.36)","7.84(4.85,10.71)","7.74(4.70,10.81)","2.91(-0.34,6.37)"
J40_J47_J60_J70_J84_D86_C34,CRD,20,Water,0.0,"-0.11(-3.55,3.15)","-0.49(-3.96,2.89)","3.22(-0.27,6.62)","1.24(-2.53,5.00)"
J40_J47_J60_J70_J84_D86_C34,CRD,20,Land,0.0,"-3.37(-5.90,-0.91)","-2.83(-5.60,-0.09)","-4.13(-7.16,-1.00)","-1.75(-5.00,1.60)"
J40_J47_J60_J70_J84_D86_C34,CRD,20,Built,0.0,"5.91(3.40,8.50)","7.33(4.70,9.90)","6.35(3.75,8.94)","6.96(4.19,9.89)"
J40_J47_J60_J70_J84_D86_C34,CRD,20,Social,0.0,"1.18(-1.44,3.85)","-2.44(-5.31,0.58)","-3.54(-6.73,-0.32)","-4.58(-8.33,-0.88)"
J43_J44,COPD,5,EQI,0.0,"3.63(2.11,5.19)","4.23(2.61,5.83)","4.38(2.66,6.12)","5.22(3.25,7.23)"
J43_J44,COPD,5,Air,0.0,"1.94(0.27,3.66)","3.15(1.43,4.88)","3.72(1.95,5.55)","3.35(1.39,5.33)"
J43_J44,COPD,5,Water,0.0,"-0.11(-2.14,1.91)","0.88(-1.23,2.92)","2.75(0.65,4.79)","3.29(1.04,5.48)"
J43_J44,COPD,5,Land,0.0,"-1.26(-2.72,0.19)","-0.52(-2.03,1.03)","-0.67(-2.43,1.11)","0.65(-1.21,2.54)"
J43_J44,COPD,5,Built,0.0,"1.85(0.33,3.34)","2.17(0.59,3.70)","2.60(0.98,4.12)","2.02(0.29,3.74)"
J43_J44,COPD,5,Social,0.0,"2.01(0.52,3.48)","0.78(-0.82,2.43)","0.66(-1.16,2.52)","1.39(-0.74,3.59)"
J43_J44,COPD,10,EQI,0.0,"4.22(2.61,5.75)","4.76(3.17,6.35)","4.90(3.15,6.59)","5.15(3.21,7.07)"
J43_J44,COPD,10,Air,0.0,"2.20(0.55,3.83)","2.96(1.16,4.68)","3.49(1.62,5.30)","2.41(0.40,4.40)"
J43_J44,COPD,10,Water,0.0,"0.77(-1.17,2.94)","0.76(-1.29,2.88)","3.76(1.63,5.88)","3.91(1.74,6.09)"
J43_J44,COPD,10,Land,0.0,"-0.30(-1.77,1.20)","-0.01(-1.60,1.62)","-0.11(-1.90,1.73)","1.23(-0.67,3.29)"
J43_J44,COPD,10,Built,0.0,"1.78(0.27,3.30)","2.49(1.00,4.03)","2.96(1.36,4.57)","2.08(0.30,3.76)"
