ICD_Code,Outcome,Lag,Model,Q1,Q2,Q3,Q4,Q5
I00_I99,CVD,5,EQI,0.0,"17.89(14.43,21.22)","20.12(16.59,23.69)","21.42(17.49,25.09)","26.25(21.97,30.57)"
I00_I99,CVD,5,Air,0.0,"19.09(15.67,22.69)","21.47(17.85,25.15)","18.98(15.09,22.73)","20.82(16.74,24.97)"
I00_I99,CVD,5,Water,0.0,"-4.51(-8.57,-0.26)","0.61(-3.68,4.79)","2.02(-2.28,6.36)","2.21(-2.35,6.80)"
I00_I99,CVD,5,Land,0.0,"-2.99(-6.31,0.17)","-1.37(-4.94,2.01)","4.41(0.61,8.17)","4.74(0.60,8.71)"
I00_I99,CVD,5,Built,0.0,"14.08(10.93,17.37)","17.89(14.76,21.16)","18.53(15.10,22.08)","22.99(19.38,26.56)"
I00_I99,CVD,5,Social,0.0,"-0.24(-3.52,3.00)","-5.53(-9.01,-1.89)","-6.08(-9.84,-2.33)","-6.08(-10.59,-1.72)"
I00_I99,CVD,10,EQI,0.0,"15.76(12.61,18.87)","18.24(14.94,21.52)","20.78(17.20,24.20)","24.41(20.33,28.43)"
I00_I99,CVD,10,Air,0.0,"16.87(13.54,20.22)","19.23(15.66,22.79)","17.20(13.68,20.75)","17.89(13.92,21.78)"
I00_I99,CVD,10,Water,0.0,"-6.53(-10.42,-2.79)","1.59(-2.31,5.61)","4.78(0.72,8.86)","3.18(-1.26,7.31)"
I00_I99,CVD,10,Land,0.0,"-4.24(-7.22,-1.19)","-2.54(-5.62,0.72)","2.23(-1.42,5.78)","4.64(0.65,8.49)"
I00_I99,CVD,10,Built,0.0,"14.11(11.14,17.09)","16.80(13.71,19.84)","18.68(15.54,21.84)","22.84(19.35,26.25)"
I00_I99,CVD,10,Social,0.0,"-0.98(-4.09,1.93)","-7.17(-10.41,-3.87)","-5.44(-8.99,-1.88)","-7.94(-12.03,-3.68)"
I00_I99,CVD,15,EQI,0.0,"19.09(16.10,22.21)","20.46(17.21,23.66)","24.38(20.86,27.90)","30.58(26.56,34.62)"
I00_I99,CVD,15,Air,0.0,"16.30(13.12,19.54)","20.37(17.07,23.75)","21.48(17.89,25.00)","24.66(20.81,28.61)"
I00_I99,CVD,15,Water,0.0,"-5.84(-9.59,-2.02)","2.19(-1.75,6.13)","2.94(-0.95,7.05)","1.86(-2.28,6.19)"
I00_I99,CVD,15,Land,0.0,"-2.21(-5.14,0.66)","-1.31(-4.47,1.87)","1.55(-2.01,5.17)","4.55(0.67,8.32)"
I00_I99,CVD,15,Built,0.0,"16.26(13.31,19.20)","19.89(16.89,22.90)","21.55(18.34,24.69)","25.99(22.60,29.38)"
I00_I99,CVD,15,Social,0.0,"0.76(-2.19,3.87)","-4.33(-7.64,-1.03)","-5.65(-9.22,-2.16)","-7.02(-11.14,-2.80)"
I00_I99,CVD,20,EQI,0.0,"11.86(6.98,16.61)","11.55(6.58,16.49)","14.13(9.03,19.42)","21.07(15.07,26.85)"
I00_I99,CVD,20,Air,0.0,"11.92(7.23,16.76)","15.53(10.69,20.42)","16.09(11.13,21.17)","17.95(12.53,23.51)"
I00_I99,CVD,20,Water,0.0,"-8.19(-13.86,-2.75)","1.42(-4.09,7.10)","6.16(0.38,11.71)","1.97(-4.08,8.22)"
I00_I99,CVD,20,Land,0.0,"-4.42(-9.09,0.32)","-4.02(-9.14,1.04)","-0.98(-6.29,4.41)","2.97(-2.35,8.64)"
I00_I99,CVD,20,Built,0.0,"8.97(4.16,13.73)","13.21(8.41,17.96)","18.37(13.43,23.20)","23.75(18.26,29.20)"
I00_I99,CVD,20,Social,0.0,"1.12(-3.55,5.88)","-7.46(-12.14,-2.52)","-6.09(-11.25,-0.85)","-7.21(-13.12,-1.22)"
I20_I25,IHD,5,EQI,0.0,"7.08(3.82,10.26)","7.16(3.87,10.56)","7.45(3.85,11.08)","7.96(3.79,12.15)"
I20_I25,IHD,5,Air,0.0,"6.22(2.77,9.60)","9.55(6.06,12.97)","7.35(3.75,10.92)","9.90(5.75,14.07)"
I20_I25,IHD,5,Water,0.0,"-0.38(-4.67,3.71)","-0.90(-5.12,3.11)","-1.17(-5.46,2.90)","0.39(-4.09,4.99)"
I20_I25,IHD,5,Land,0.0,"2.12(-1.02,5.40)","2.03(-1.40,5.58)","3.08(-0.73,6.85)","4.68(0.56,8.72)"
I20_I25,IHD,5,Built,0.0,"5.79(2.67,8.99)","7.30(4.00,10.53)","6.13(2.85,9.43)","7.46(3.94,11.08)"
I20_I25,IHD,5,Social,0.0,"-0.35(-3.60,2.80)","-2.43(-5.92,0.94)","-4.87(-8.68,-1.09)","-3.86(-8.23,0.56)"
I20_I25,IHD,10,EQI,0.0,"7.31(4.38,10.32)","6.46(3.38,9.50)","6.71(3.38,10.08)","5.56(1.73,9.33)"
I20_I25,IHD,10,Air,0.0,"5.49(2.18,8.55)","8.33(5.08,11.55)","6.52(3.16,9.96)","5.75(2.08,9.53)"
I20_I25,IHD,10,Water,0.0,"-2.36(-6.05,1.31)","0.17(-3.80,4.12)","1.69(-2.20,5.66)","0.25(-3.82,4.39)"
I20_I25,IHD,10,Land,0.0,"0.65(-2.21,3.52)","1.53(-1.73,4.54)","2.87(-0.59,6.29)","5.16(1.53,8.81)"
I20_I25,IHD,10,Built,0.0,"6.22(3.35,9.18)","7.40(4.40,10.29)","6.47(3.44,9.48)","7.13(3.81,10.43)"
I20_I25,IHD,10,Social,0.0,"0.00(-3.05,2.92)","-3.50(-6.78,-0.21)","-5.39(-8.86,-1.79)","-7.04(-11.16,-2.97)"
I20_I25,IHD,15,EQI,0.0,"7.23(4.26,10.19)","6.02(2.99,9.07)","5.89(2.55,9.17)","5.18(1.27,8.84)"
I20_I25,IHD,15,Air,0.0,"3.52(0.45,6.67)","6.39(3.14,9.65)","6.12(2.73,9.37)","5.22(1.49,8.76)"
I20_I25,IHD,15,Water,0.0,"-1.23(-5.21,2.51)","0.53(-3.28,4.32)","1.08(-2.89,4.96)","0.88(-3.10,4.87)"
I20_I25,IHD,15,Land,0.0,"1.15(-1.83,4.08)","1.81(-1.32,4.92)","2.40(-1.01,5.83)","4.23(0.59,7.83)"
I20_I25,IHD,15,Built,0.0,"4.54(1.56,7.48)","7.44(4.50,10.53)","6.84(3.77,9.97)","7.51(4.21,10.92)"
I20_I25,IHD,15,Social,0.0,"0.71(-2.12,3.56)","-3.30(-6.43,-0.05)","-5.52(-9.04,-1.94)","-7.64(-11.79,-3.70)"
I20_I25,IHD,20,EQI,0.0,"6.23(2.72,9.65)","5.88(2.41,9.39)","2.94(-0.82,6.62)","4.13(-0.13,8.47)"
I20_I25,IHD,20,Air,0.0,"3.43(0.01,6.97)","6.54(2.97,9.96)","5.78(2.20,9.47)","3.89(-0.19,7.93)"
I20_I25,IHD,20,Water,0.0,"-3.98(-8.13,0.19)","0.59(-3.61,4.89)","1.39(-3.05,5.60)","2.00(-2.47,6.51)"
I20_I25,IHD,20,Land,0.0,"-1.36(-4.77,2.10)","-0.45(-3.95,3.09)","0.01(-3.69,3.98)","2.94(-1.14,7.19)"
I20_I25,IHD,20,Built,0.0,"3.36(-0.13,6.76)","6.10(2.63,9.44)","7.86(4.22,11.32)","7.90(4.13,11.63)"
I20_I25,IHD,20,Social,0.0,"-0.31(-3.64,3.08)","-5.45(-8.98,-1.72)","-9.37(-13.31,-5.31)","-11.68(-16.11,-7.04)"
I60_I69,Stroke,5,EQI,0.0,"6.27(4.84,7.70)","7.68(6.20,9.19)","7.90(6.34,9.48)","8.14(6.34,9.97)"
I60_I69,Stroke,5,Air,0.0,"4.91(3.40,6.38)","5.44(3.83,7.07)","5.34(3.62,7.00)","4.58(2.72,6.37)"
I60_I69,Stroke,5,Water,0.0,"-0.82(-2.68,1.05)","0.72(-1.15,2.58)","0.49(-1.36,2.34)","0.86(-1.10,2.83)"
I60_I69,Stroke,5,Land,0.0,"-0.55(-1.82,0.78)","0.16(-1.24,1.55)","0.79(-0.79,2.46)","0.83(-0.90,2.52)"
I60_I69,Stroke,5,Built,0.0,"4.60(3.22,6.02)","5.55(4.16,6.95)","5.89(4.46,7.36)","6.68(5.16,8.28)"
I60_I69,Stroke,5,Social,0.0,"0.72(-0.62,2.07)","-0.55(-2.06,0.95)","-0.42(-2.07,1.22)","-1.02(-3.03,0.88)"
I60_I69,Stroke,10,EQI,0.0,"5.16(3.93,6.43)","6.63(5.35,7.91)","6.81(5.46,8.21)","7.69(6.15,9.24)"
I60_I69,Stroke,10,Air,0.0,"3.63(2.29,5.01)","4.25(2.89,5.63)","4.93(3.46,6.35)","4.51(2.95,6.05)"
I60_I69,Stroke,10,Water,0.0,"-1.23(-2.79,0.35)","0.06(-1.52,1.66)","-0.01(-1.64,1.57)","-0.13(-1.81,1.57)"
I60_I69,Stroke,10,Land,0.0,"-0.19(-1.27,0.94)","-0.33(-1.57,0.90)","0.59(-0.79,1.99)","0.64(-0.85,2.13)"
I60_I69,Stroke,10,Built,0.0,"3.53(2.34,4.74)","4.49(3.31,5.69)","5.37(4.15,6.59)","5.84(4.54,7.15)"
I60_I69,Stroke,10,Social,0.0,"0.05(-1.16,1.23)","-1.50(-2.82,-0.20)","-1.30(-2.76,0.12)","-1.64(-3.33,0.02)"
I60_I69,Stroke,15,EQI,0.0,"5.93(4.72,7.14)","6.77(5.53,8.07)","7.73(6.38,9.16)","9.29(7.71,10.91)"
I60_I69,Stroke,15,Air,0.0,"4.36(3.07,5.59)","4.75(3.43,6.04)","5.59(4.22,6.91)","6.94(5.43,8.37)"
I60_I69,Stroke,15,Water,0.0,"-1.10(-2.66,0.38)","0.52(-1.02,2.10)","0.42(-1.13,2.03)","0.38(-1.23,2.01)"
I60_I69,Stroke,15,Land,0.0,"-1.03(-2.13,0.05)","-1.09(-2.30,0.08)","-1.29(-2.61,0.05)","0.04(-1.33,1.45)"
I60_I69,Stroke,15,Built,0.0,"3.70(2.59,4.84)","4.71(3.56,5.88)","4.71(3.50,5.92)","5.87(4.59,7.16)"
I60_I69,Stroke,15,Social,0.0,"0.81(-0.41,1.95)","-0.59(-1.86,0.73)","-0.38(-1.81,1.04)","-0.71(-2.36,0.94)"
I60_I69,Stroke,20,EQI,0.0,"6.81(5.29,8.34)","6.71(5.13,8.25)","8.66(6.96,10.30)","11.56(9.62,13.43)"
I60_I69,Stroke,20,Air,0.0,"5.83(4.27,7.43)","7.13(5.50,8.78)","8.36(6.66,10.04)","10.11(8.33,11.94)"
I60_I69,Stroke,20,Water,0.0,"-2.53(-4.47,-0.56)","-0.57(-2.54,1.48)","0.15(-1.88,2.20)","-1.41(-3.47,0.73)"
I60_I69,Stroke,20,Land,0.0,"-0.71(-2.13,0.68)","-1.69(-3.24,-0.13)","-1.29(-3.02,0.46)","0.09(-1.76,1.95)"
I60_I69,Stroke,20,Built,0.0,"4.01(2.58,5.47)","4.74(3.27,6.19)","5.31(3.79,6.86)","5.82(4.22,7.47)"
I60_I69,Stroke,20,Social,0.0,"-0.14(-1.65,1.35)","-2.32(-3.96,-0.67)","-1.42(-3.26,0.41)","-1.96(-4.05,0.09)"
I10_I15,HD,5,EQI,0.0,"2.55(1.51,3.56)","3.28(2.17,4.37)","4.21(3.05,5.40)","6.25(4.91,7.60)"
I10_I15,HD,5,Air,0.0,"1.70(0.58,2.79)","3.42(2.26,4.64)","3.48(2.24,4.78)","5.47(4.09,6.85)"
I10_I15,HD,5,Water,0.0,"-2.49(-3.93,-1.06)","-2.07(-3.48,-0.63)","-1.50(-2.97,-0.01)","-2.26(-3.86,-0.74)"
I10_I15,HD,5,Land,0.0,"-1.26(-2.26,-0.24)","-1.50(-2.60,-0.37)","0.16(-1.08,1.46)","-0.15(-1.47,1.25)"
I10_I15,HD,5,Built,0.0,"1.24(0.26,2.21)","1.26(0.28,2.26)","1.56(0.49,2.65)","2.70(1.54,3.83)"
I10_I15,HD,5,Social,0.0,"-1.11(-2.18,-0.07)","-2.30(-3.51,-1.15)","-1.70(-3.04,-0.39)","-2.18(-3.78,-0.60)"
I10_I15,HD,10,EQI,0.0,"2.23(1.11,3.35)","3.75(2.54,4.94)","4.55(3.22,5.85)","6.89(5.39,8.34)"
I10_I15,HD,10,Air,0.0,"2.91(1.67,4.15)","4.17(2.87,5.46)","3.95(2.56,5.28)","5.77(4.26,7.28)"
I10_I15,HD,10,Water,0.0,"-2.09(-3.63,-0.49)","-2.25(-3.96,-0.61)","-1.46(-3.20,0.21)","-2.16(-3.98,-0.43)"
I10_I15,HD,10,Land,0.0,"-1.51(-2.63,-0.41)","-0.71(-1.91,0.50)","0.45(-0.83,1.79)","0.92(-0.54,2.34)"
I10_I15,HD,10,Built,0.0,"1.48(0.37,2.55)","1.02(-0.07,2.15)","2.23(1.06,3.40)","3.14(1.86,4.42)"
I10_I15,HD,10,Social,0.0,"-0.65(-1.83,0.51)","-1.43(-2.69,-0.18)","-1.03(-2.42,0.41)","-1.52(-3.20,0.13)"
I10_I15,HD,15,EQI,0.0,"2.73(1.36,4.13)","4.37(2.90,5.82)","5.10(3.48,6.73)","7.97(6.12,9.78)"
I10_I15,HD,15,Air,0.0,"2.40(0.89,3.89)","4.60(2.99,6.19)","4.73(3.02,6.36)","7.16(5.21,9.05)"
I10_I15,HD,15,Water,0.0,"-1.88(-3.80,0.03)","-1.71(-3.69,0.26)","-1.23(-3.23,0.78)","-1.33(-3.52,0.81)"
I10_I15,HD,15,Land,0.0,"-0.55(-1.89,0.83)","-1.14(-2.52,0.37)","-0.35(-2.02,1.31)","-0.28(-2.00,1.52)"
I10_I15,HD,15,Built,0.0,"1.67(0.37,3.00)","1.19(-0.24,2.57)","2.54(1.13,4.02)","3.06(1.50,4.67)"
I10_I15,HD,15,Social,0.0,"-0.92(-2.28,0.47)","-1.02(-2.60,0.51)","-1.08(-2.82,0.64)","-1.36(-3.41,0.70)"
I10_I15,HD,20,EQI,0.0,"5.40(3.15,7.61)","6.74(4.43,9.04)","8.86(6.29,11.47)","12.92(9.96,16.01)"
I10_I15,HD,20,Air,0.0,"4.55(2.10,6.89)","7.58(5.07,9.99)","8.05(5.33,10.69)","10.40(7.41,13.23)"
I10_I15,HD,20,Water,0.0,"-2.51(-5.46,0.33)","-1.59(-4.61,1.47)","-0.23(-3.32,2.95)","-1.86(-5.10,1.37)"
I10_I15,HD,20,Land,0.0,"-1.19(-3.34,0.92)","-0.62(-3.08,1.68)","0.59(-2.03,3.17)","0.15(-2.68,2.97)"
I10_I15,HD,20,Built,0.0,"2.73(0.71,4.86)","3.34(1.18,5.51)","4.92(2.72,7.19)","6.20(3.77,8.70)"
I10_I15,HD,20,Social,0.0,"-2.09(-4.20,0.14)","-3.46(-5.91,-0.97)","-2.94(-5.58,-0.35)","-2.28(-5.34,0.91)"
I50,HF,5,EQI,0.0,"0.27(-1.02,1.55)","-0.82(-2.12,0.54)","-1.62(-3.03,-0.14)","-1.85(-3.49,-0.24)"
I50,HF,5,Air,0.0,"2.51(1.09,3.90)","0.95(-0.55,2.43)","-0.01(-1.53,1.49)","-0.13(-1.83,1.56)"
I50,HF,5,Water,0.0,"-0.81(-2.58,0.88)","-0.20(-1.97,1.58)","0.51(-1.33,2.31)","-0.12(-2.11,1.78)"
I50,HF,5,Land,0.0,"0.01(-1.23,1.27)","0.73(-0.61,2.12)","0.04(-1.46,1.56)","-1.30(-2.95,0.27)"
I50,HF,5,Built,0.0,"0.36(-0.89,1.62)","-0.04(-1.32,1.23)","-0.69(-2.08,0.65)","-1.02(-2.49,0.38)"
I50,HF,5,Social,0.0,"-0.11(-1.40,1.18)","-1.57(-3.03,-0.07)","-1.31(-2.90,0.34)","-0.86(-2.72,0.99)"
I50,HF,10,EQI,0.0,"-0.33(-1.54,0.88)","-1.26(-2.52,-0.02)","-1.44(-2.81,-0.02)","-1.22(-2.75,0.38)"
I50,HF,10,Air,0.0,"0.54(-0.78,1.87)","-0.11(-1.48,1.31)","-1.19(-2.66,0.27)","-1.03(-2.67,0.62)"
I50,HF,10,Water,0.0,"-0.77(-2.35,0.90)","-0.07(-1.77,1.57)","1.14(-0.58,2.85)","0.65(-1.16,2.52)"
I50,HF,10,Land,0.0,"0.30(-0.86,1.48)","0.73(-0.54,2.06)","-0.07(-1.49,1.37)","-0.66(-2.22,0.85)"
I50,HF,10,Built,0.0,"0.20(-0.96,1.33)","0.22(-0.98,1.39)","-0.52(-1.76,0.68)","-0.44(-1.82,0.88)"
I50,HF,10,Social,0.0,"-0.36(-1.58,0.88)","-1.05(-2.37,0.38)","-0.60(-2.12,0.97)","-0.08(-1.84,1.75)"
I50,HF,15,EQI,0.0,"2.16(0.95,3.36)","1.86(0.60,3.09)","2.82(1.44,4.21)","4.72(3.12,6.30)"
I50,HF,15,Air,0.0,"1.45(0.14,2.70)","1.59(0.29,2.89)","1.16(-0.22,2.51)","1.82(0.29,3.35)"
I50,HF,15,Water,0.0,"0.26(-1.34,1.85)","0.72(-0.93,2.38)","1.92(0.24,3.59)","1.03(-0.75,2.80)"
I50,HF,15,Land,0.0,"0.22(-0.91,1.32)","0.73(-0.52,1.95)","1.22(-0.19,2.62)","0.51(-1.02,2.04)"
I50,HF,15,Built,0.0,"2.08(0.91,3.23)","2.27(1.11,3.42)","1.36(0.17,2.53)","1.66(0.36,2.92)"
I50,HF,15,Social,0.0,"0.52(-0.64,1.72)","0.42(-0.85,1.71)","0.91(-0.54,2.37)","2.63(0.93,4.37)"
I50,HF,20,EQI,0.0,"1.95(0.52,3.33)","1.53(0.08,2.99)","2.22(0.62,3.84)","3.06(1.12,4.93)"
