Timestamp,Disease,Exposure,Category,Measure,Estimate,Lag,Model,Dose_Response_Type,RR_Per_SD,RR_Per_SD_Lower,RR_Per_SD_Upper,RR_P90_vs_P10,RR_P90_vs_P10_Lower,RR_P90_vs_P10_Upper,P_Value,DIC,WAIC,N_Counties,N_Records,Status_Message
2025-09-15 12:00:11,C81-C96,"2,4-D",Herbicide,Weight,min,5,M0,Linear,0.9925,0.9755,1.0097,0.9904,0.9687,1.0125,0.390,35120.631754730755,35974.404202315956,421,4107,SUCCESS
2025-09-15 12:01:13,C81-C96,"2,4-D",Herbicide,Weight,min,5,M1,Linear,1.0013,0.9841,1.0187,1.0016,0.9797,1.0241,0.886,35020.86175261233,35731.154410159485,421,4107,SUCCESS
2025-09-15 12:02:15,C81-C96,"2,4-D",Herbicide,Weight,min,5,M2,Linear,0.9931,0.9761,1.0104,0.9912,0.9696,1.0134,0.435,35111.62875502684,36061.50761459949,421,4107,SUCCESS
2025-09-15 12:03:17,C81-C96,"2,4-D",Herbicide,Weight,min,5,M3,Linear,1.0015,0.9843,1.0190,1.0019,0.9800,1.0243,0.865,35016.629581384,35822.56051987763,421,4107,SUCCESS
2025-09-15 12:04:18,C81-C96,"2,4-D",Herbicide,Weight,avg,5,M0,Linear,0.9954,0.9781,1.0130,0.9941,0.9720,1.0167,0.605,35121.55140746445,35982.091678725374,421,4107,SUCCESS
2025-09-15 12:05:18,C81-C96,"2,4-D",Herbicide,Weight,avg,5,M1,Linear,1.0047,0.9872,1.0225,1.0060,0.9836,1.0289,0.600,35021.47314487907,35732.95278060954,421,4107,SUCCESS
2025-09-15 12:06:20,C81-C96,"2,4-D",Herbicide,Weight,avg,5,M2,Linear,0.9957,0.9783,1.0133,0.9944,0.9724,1.0170,0.626,35112.577537452,36066.984734065765,421,4107,SUCCESS
2025-09-15 12:07:19,C81-C96,"2,4-D",Herbicide,Weight,avg,5,M3,Linear,1.0046,0.9870,1.0224,1.0058,0.9834,1.0287,0.612,35011.85346668809,35897.994450733764,421,4107,SUCCESS
2025-09-15 12:08:19,C81-C96,"2,4-D",Herbicide,Weight,max,5,M0,Linear,0.9972,0.9800,1.0148,0.9965,0.9744,1.0190,0.757,35121.86912709326,35989.222639789805,421,4107,SUCCESS
2025-09-15 12:09:19,C81-C96,"2,4-D",Herbicide,Weight,max,5,M1,Linear,1.0065,0.9890,1.0243,1.0083,0.9859,1.0312,0.469,35021.70544518129,35733.74946679562,421,4107,SUCCESS
2025-09-15 12:10:18,C81-C96,"2,4-D",Herbicide,Weight,max,5,M2,Linear,0.9972,0.9799,1.0147,0.9964,0.9743,1.0189,0.749,35113.23671905534,36067.56498901411,421,4107,SUCCESS
2025-09-15 12:11:18,C81-C96,"2,4-D",Herbicide,Weight,max,5,M3,Linear,1.0060,0.9885,1.0238,1.0077,0.9853,1.0306,0.501,35012.08129515863,35899.1020385568,421,4107,SUCCESS
2025-09-15 12:12:17,C81-C96,"2,4-D",Herbicide,Density,min,5,M0,Linear,0.9890,0.9807,0.9972,0.9859,0.9754,0.9965,0.009**,35137.378649709804,35879.86253716926,421,4107,SUCCESS
2025-09-15 12:13:16,C81-C96,"2,4-D",Herbicide,Density,min,5,M1,Linear,0.9945,0.9862,1.0030,0.9930,0.9824,1.0038,0.202,35034.94496693346,35734.41075275111,421,4107,SUCCESS
2025-09-15 12:14:17,C81-C96,"2,4-D",Herbicide,Density,min,5,M2,Linear,0.9891,0.9809,0.9974,0.9861,0.9756,0.9967,0.010*,35128.33238277879,35992.93607203002,421,4107,SUCCESS
2025-09-15 12:15:18,C81-C96,"2,4-D",Herbicide,Density,min,5,M3,Linear,0.9945,0.9861,1.0029,0.9929,0.9823,1.0037,0.196,35032.03401014048,35812.68840850787,421,4107,SUCCESS
2025-09-15 12:16:17,C81-C96,"2,4-D",Herbicide,Density,avg,5,M0,Linear,0.9884,0.9801,0.9968,0.9852,0.9746,0.9959,0.007**,35097.421101306885,35838.60201799959,421,4105,SUCCESS
2025-09-15 12:17:17,C81-C96,"2,4-D",Herbicide,Density,avg,5,M1,Linear,0.9943,0.9858,1.0027,0.9926,0.9819,1.0035,0.184,34992.03210276955,35690.00360078615,421,4105,SUCCESS
2025-09-15 12:18:17,C81-C96,"2,4-D",Herbicide,Density,avg,5,M2,Linear,0.9884,0.9801,0.9968,0.9852,0.9746,0.9959,0.007**,35089.13592449104,35952.61395506661,421,4105,SUCCESS
2025-09-15 12:19:17,C81-C96,"2,4-D",Herbicide,Density,avg,5,M3,Linear,0.9940,0.9856,1.0025,0.9924,0.9816,1.0032,0.167,34989.75912731416,35768.23045069165,421,4105,SUCCESS
2025-09-15 12:20:18,C81-C96,"2,4-D",Herbicide,Density,max,5,M0,Linear,0.9894,0.9810,0.9978,0.9864,0.9758,0.9972,0.014*,35063.49736476526,35804.77476690229,421,4102,SUCCESS
2025-09-15 12:21:17,C81-C96,"2,4-D",Herbicide,Density,max,5,M1,Linear,0.9950,0.9865,1.0036,0.9936,0.9828,1.0045,0.250,34958.61761597039,35656.37216657201,421,4102,SUCCESS
2025-09-15 12:22:17,C81-C96,"2,4-D",Herbicide,Density,max,5,M2,Linear,0.9891,0.9808,0.9976,0.9861,0.9755,0.9969,0.012*,35055.48877211584,35919.50738436198,421,4102,SUCCESS
2025-09-15 12:23:19,C81-C96,"2,4-D",Herbicide,Density,max,5,M3,Linear,0.9946,0.9861,1.0031,0.9931,0.9822,1.0040,0.214,34956.67457025548,35735.07109291813,421,4102,SUCCESS
