ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C00_C97_Female,2000_2005,2006_2010,5,Stratified_EQI,Q1,1,1,1,0,NA
C00_C97_Female,2000_2005,2006_2010,5,Stratified_EQI,Q2,1.1788,1.1479,1.21,17.8778,0.0002
C00_C97_Female,2000_2005,2006_2010,5,Stratified_EQI,Q3,1.2636,1.2318,1.2983,26.3649,0.0002
C00_C97_Female,2000_2005,2006_2010,5,Stratified_EQI,Q4,1.336,1.3006,1.3732,33.6014,0.0002
C00_C97_Female,2000_2005,2006_2010,5,Stratified_EQI,Q5,1.4362,1.396,1.4786,43.6234,0.0002
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q1",0.8245,0.7666,0.8864,-17.55,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q2",1.0617,0.9943,1.1322,6.1651,"0.0752"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q3",1.1319,1.0615,1.2044,13.1856,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q4",1.1539,1.0813,1.2298,15.3932,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q5",1.175,1.0986,1.2502,17.4991,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q1",0.8245,0.7666,0.8864,-17.55,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q2",0.7999,0.7424,0.8624,-20.015,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q3",0.8598,0.7967,0.9235,-14.0238,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q4",0.8905,0.8287,0.9565,-10.949,"0.0007"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q5",0.9094,0.8462,0.9743,-9.0569,"0.0072"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q1",0.8245,0.7666,0.8864,-17.55,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q2",0.8146,0.7545,0.8771,-18.544,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q3",0.8324,0.7711,0.8957,-16.755,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q4",0.8104,0.7507,0.8718,-18.957,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q5",0.829,0.7673,0.8931,-17.1023,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q1",0.8245,0.7666,0.8864,-17.55,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q2",0.943,0.8802,1.0113,-5.7011,"0.0952"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q3",0.9892,0.9231,1.0576,-1.0832,"0.7346"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q4",1.0167,0.9504,1.0867,1.6719,"0.6476"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q5",1.0395,0.9715,1.1107,3.948,"0.2567"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q1",0.8245,0.7666,0.8864,-17.55,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q2",0.812,0.754,0.8722,-18.8015,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q3",0.8078,0.7471,0.8702,-19.2191,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q4",0.8494,0.7864,0.9144,-15.0638,"0.0002"
"C00_C97_Female","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q5",0.8851,0.8192,0.9527,-11.4856,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI","Q1",0.9719,0.9148,1.0322,-2.814,"0.3427"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI","Q2",1.1341,1.0702,1.1991,13.4076,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI","Q3",1.2106,1.1449,1.2779,21.0611,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI","Q4",1.2742,1.2045,1.3422,27.4178,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI","Q5",1.3604,1.2858,1.435,36.0351,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q1",0.8045,0.7489,0.8634,-19.5454,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q2",1.0239,0.9616,1.0909,2.3857,"0.4846"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q3",1.0987,1.0346,1.17,9.8692,"0.0027"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q4",1.1115,1.0454,1.1829,11.1484,"0.0007"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q5",1.1181,1.0502,1.1909,11.8064,"0.0012"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q1",0.8045,0.7489,0.8634,-19.5454,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q2",0.7745,0.7192,0.8327,-22.548,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q3",0.8363,0.7784,0.8982,-16.3655,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q4",0.8631,0.8042,0.9258,-13.692,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q5",0.8917,0.8317,0.9547,-10.831,"0.0007"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Land","Q1",0.8045,0.7489,0.8634,-19.5454,"0.0002"
"C00_C97_Female","2000_2005","2011_2015",10,"Stratified_EQI_Land","Q2",0.8011,0.7433,0.8614,-19.8908,"0.0002"
