ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C00_C97_Indian,2000_2005,2006_2010,5,Stratified_EQI,Q1,1,1,1,0,NA
C00_C97_Indian,2000_2005,2006_2010,5,Stratified_EQI,Q2,1.0533,0.8637,1.2751,5.3298,0.6176
C00_C97_Indian,2000_2005,2006_2010,5,Stratified_EQI,Q3,1.1245,0.9358,1.3587,12.4495,0.2157
C00_C97_Indian,2000_2005,2006_2010,5,Stratified_EQI,Q4,1.3043,1.0846,1.6063,30.4347,0.0057
C00_C97_Indian,2000_2005,2006_2010,5,Stratified_EQI,Q5,1.7962,1.4614,2.2899,79.6207,0.0002
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q1",1.1045,0.5677,1.8416,10.4513,"0.8180"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q2",1.3013,0.7283,2.1143,30.1328,"0.3972"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q3",1.5868,0.9303,2.5016,58.6826,"0.0867"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q4",1.8377,1.1169,2.8845,83.7726,"0.0132"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q5",2.1909,1.3777,3.4049,119.0913,"0.0017"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q1",1.1045,0.5677,1.8416,10.4513,"0.8180"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q2",1.1414,0.5982,1.933,14.1414,"0.7381"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q3",1.2912,0.7045,2.1106,29.1169,"0.4306"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q4",1.2434,0.6719,2.0534,24.3439,"0.5216"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q5",1.2098,0.6459,2.0105,20.983,"0.5901"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q1",1.1045,0.5677,1.8416,10.4513,"0.8180"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q2",1.1694,0.6137,1.9433,16.9428,"0.6641"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q3",0.9412,0.4309,1.6312,-5.8829,"0.7691"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q4",0.8822,0.373,1.5718,-11.7799,"0.6161"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q5",0.8609,0.3479,1.5514,-13.9089,"0.5716"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q1",1.1045,0.5677,1.8416,10.4513,"0.8180"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q2",1.0476,0.5117,1.786,4.7592,"0.9640"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q3",0.998,0.466,1.7307,-0.1975,"0.9060"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q4",1.2533,0.6672,2.0665,25.327,"0.4826"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q5",1.3309,0.7252,2.1774,33.0888,"0.3672"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q1",1.1045,0.5677,1.8416,10.4513,"0.8180"
"C00_C97_Indian","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q2",0.7253,0.2391,1.3523,-27.4725,"0.3107"
