ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C00_C97,2000_2005,2006_2010,5,Typology_Farming_EQI,Q1,1,1,1,0,NA
C00_C97,2000_2005,2006_2010,5,Typology_Farming_EQI,Q2,1.0706,1.0201,1.1208,7.0612,0.0097
C00_C97,2000_2005,2006_2010,5,Typology_Farming_EQI,Q3,1.0895,1.0329,1.1461,8.9497,0.0012
C00_C97,2000_2005,2006_2010,5,Typology_Farming_EQI,Q4,1.0507,0.9894,1.1121,5.066,0.1027
C00_C97,2000_2005,2006_2010,5,Typology_Farming_EQI,Q5,1.006,0.939,1.0749,0.595,0.8580
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q1",0.9913,0.9133,1.0716,-0.8744,"0.8235"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q2",1.0569,0.9691,1.1469,5.6941,"0.2052"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q3",1.0502,0.9539,1.1519,5.0167,"0.3172"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q4",1.0148,0.9178,1.1151,1.4826,"0.7816"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q5",0.9913,0.8868,1.0966,-0.8704,"0.8645"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q1",0.9913,0.9133,1.0716,-0.8744,"0.8235"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q2",0.9319,0.8513,1.0151,-6.8062,"0.1102"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q3",0.9927,0.9063,1.086,-0.7278,"0.8525"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q4",1.0301,0.9431,1.1246,3.0086,"0.5156"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q5",1.0244,0.9296,1.1186,2.4439,"0.6166"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q1",0.9913,0.9133,1.0716,-0.8744,"0.8235"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q2",0.9518,0.8601,1.0397,-4.8176,"0.3007"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q3",0.9884,0.903,1.0777,-1.1612,"0.7781"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q4",0.9724,0.8871,1.0619,-2.7626,"0.5311"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q5",1.0359,0.9467,1.1279,3.585,"0.4636"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q1",0.9913,0.9133,1.0716,-0.8744,"0.8235"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q2",1.0412,0.9543,1.1297,4.1162,"0.3577"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q3",1.0518,0.9601,1.1472,5.1767,"0.2747"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q4",1.0234,0.9323,1.1169,2.3409,"0.6391"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q5",1.003,0.9028,1.1063,0.2988,"0.9765"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q1",0.9913,0.9133,1.0716,-0.8744,"0.8235"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q2",0.9725,0.8897,1.0582,-2.7508,"0.5056"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q3",0.959,0.8741,1.0524,-4.1034,"0.3727"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q4",1.011,0.9193,1.1062,1.0977,"0.8295"
"C00_C97","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q5",1.0282,0.9308,1.1268,2.8204,"0.5891"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q1",0.9364,0.8754,1.004,-6.3572,"0.0602"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q2",1.0163,0.9469,1.092,1.634,"0.6676"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q3",1.0267,0.9505,1.1066,2.6687,"0.5071"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q4",0.9914,0.9073,1.0798,-0.8573,"0.8340"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q5",0.9438,0.8531,1.036,-5.624,"0.2352"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q1",0.9237,0.85,1.0005,-7.6262,"0.0517"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q2",0.9792,0.9006,1.0628,-2.0828,"0.6231"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q3",0.978,0.8915,1.0705,-2.2003,"0.6096"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q4",0.9491,0.856,1.0471,-5.0857,"0.2892"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q5",0.9244,0.83,1.0257,-7.5647,"0.1357"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q1",0.9237,0.85,1.0005,-7.6262,"0.0517"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q2",0.875,0.8015,0.9537,-12.5039,"0.0012"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q3",0.9263,0.8441,1.012,-7.3708,"0.0892"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q4",0.9745,0.893,1.0618,-2.5489,"0.5461"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q5",0.9506,0.8649,1.0433,-4.941,"0.2752"
"C00_C97","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","Q1",0.9237,0.85,1.0005,-7.6262,"0.0517"
