ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C00_C97_White,2000_2005,2006_2010,5,Stratified_EQI,Q1,1,1,1,0,NA
C00_C97_White,2000_2005,2006_2010,5,Stratified_EQI,Q2,1.1352,1.1102,1.1612,13.5164,0.0002
C00_C97_White,2000_2005,2006_2010,5,Stratified_EQI,Q3,1.1612,1.1363,1.1864,16.1179,0.0002
C00_C97_White,2000_2005,2006_2010,5,Stratified_EQI,Q4,1.1788,1.1526,1.2046,17.8823,0.0002
C00_C97_White,2000_2005,2006_2010,5,Stratified_EQI,Q5,1.2166,1.1879,1.2454,21.6604,0.0002
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q1",0.8992,0.8387,0.9633,-10.0848,"0.0022"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q2",1.0303,0.9651,1.1014,3.0253,"0.4081"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q3",1.0455,0.9781,1.117,4.5528,"0.1947"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q4",1.04,0.9715,1.1108,4.0044,"0.2657"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q5",1.0348,0.966,1.1081,3.4779,"0.3597"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q1",0.8992,0.8387,0.9633,-10.0848,"0.0022"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q2",0.8993,0.8376,0.9653,-10.0705,"0.0037"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q3",0.9281,0.8649,0.9951,-7.1868,"0.0372"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q4",0.9506,0.8879,1.0195,-4.9378,"0.1622"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q5",0.949,0.8838,1.0161,-5.1003,"0.1532"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q1",0.8992,0.8387,0.9633,-10.0848,"0.0022"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q2",0.9017,0.839,0.9675,-9.8292,"0.0037"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q3",0.911,0.8486,0.9759,-8.8981,"0.0082"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q4",0.9114,0.8476,0.9772,-8.8587,"0.0102"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q5",0.941,0.8769,1.0092,-5.9046,"0.0967"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q1",0.8992,0.8387,0.9633,-10.0848,"0.0022"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q2",0.9982,0.9337,1.0696,-0.1764,"0.9425"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q3",1.0065,0.9402,1.0762,0.6528,"0.8720"
"C00_C97_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q4",1.0083,0.9426,1.079,0.8299,"0.8480"
