ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
NDD_Female,2000_2005,2006_2010,5,Stratified_EQI,Q1,1,1,1,0,NA
NDD_Female,2000_2005,2006_2010,5,Stratified_EQI,Q2,1.2809,1.2216,1.3451,28.0938,0.0002
NDD_Female,2000_2005,2006_2010,5,Stratified_EQI,Q3,1.4027,1.3365,1.4742,40.2724,0.0002
NDD_Female,2000_2005,2006_2010,5,Stratified_EQI,Q4,1.5112,1.4379,1.5882,51.1161,0.0002
NDD_Female,2000_2005,2006_2010,5,Stratified_EQI,Q5,1.6491,1.5684,1.7358,64.9052,0.0002
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q1",0.7662,0.6663,0.8677,-23.3803,"0.0007"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q2",0.9532,0.847,1.0625,-4.6813,"0.4011"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q3",1.0335,0.9252,1.1462,3.3474,"0.5671"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q4",1.1343,1.0221,1.2533,13.4332,"0.0227"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q5",1.1309,1.0157,1.2515,13.0929,"0.0272"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q1",0.7662,0.6663,0.8677,-23.3803,"0.0007"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q2",0.7818,0.6851,0.8808,-21.8245,"0.0007"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q3",0.8342,0.7313,0.9384,-16.5836,"0.0017"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q4",0.8791,0.7758,0.9848,-12.0861,"0.0257"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q5",0.8976,0.7919,1.0079,-10.243,"0.0707"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q1",0.7662,0.6663,0.8677,-23.3803,"0.0007"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q2",0.7993,0.6966,0.9033,-20.0717,"0.0007"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q3",0.8039,0.7024,0.9069,-19.6121,"0.0012"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q4",0.7775,0.6762,0.8824,-22.2533,"0.0002"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q5",0.8027,0.6969,0.9068,-19.7349,"0.0012"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q1",0.7662,0.6663,0.8677,-23.3803,"0.0007"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q2",0.8772,0.7679,0.9868,-12.285,"0.0227"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q3",0.9053,0.7941,1.0189,-9.4726,"0.1027"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q4",0.9303,0.8188,1.0473,-6.9713,"0.2222"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q5",0.9004,0.7879,1.0131,-9.9558,"0.0902"
"NDD_Female","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q1",0.7662,0.6663,0.8677,-23.3803,"0.0007"
