ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,koppen_major_B_EQI,Q1,1,1,1,0,NA
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,koppen_major_B_EQI,Q2,1.0952,0.9799,1.2124,9.5226,0.1027
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,koppen_major_B_EQI,Q3,1.1832,1.0562,1.3117,18.322,0.0037
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,koppen_major_B_EQI,Q4,1.2552,1.1199,1.3959,25.5157,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,koppen_major_B_EQI,Q5,1.3249,1.1752,1.4869,32.4893,0.0002
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","Q1",0.8228,0.6518,1.0033,-17.7246,"0.0532"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","Q2",0.8354,0.6478,1.0352,-16.4617,"0.0967"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","Q3",0.9228,0.7085,1.1373,-7.7198,"0.4751"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","Q4",0.9679,0.7534,1.1903,-3.2125,"0.7681"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","Q5",0.94,0.7185,1.1951,-5.996,"0.6121"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","Q1",0.8228,0.6518,1.0033,-17.7246,"0.0532"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","Q2",0.7683,0.5912,0.9572,-23.167,"0.0197"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","Q3",0.816,0.6261,1.0186,-18.3998,"0.0752"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","Q4",1.0019,0.8103,1.2026,0.1919,"0.9790"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","Q5",0.9582,0.7785,1.1595,-4.1821,"0.6461"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","Q1",0.8228,0.6518,1.0033,-17.7246,"0.0532"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","Q2",0.9366,0.7377,1.1472,-6.3353,"0.5336"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","Q3",0.8807,0.7065,1.067,-11.9333,"0.1997"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","Q4",0.9023,0.7316,1.0837,-9.7677,"0.2702"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","Q5",0.9326,0.7476,1.1309,-6.7426,"0.4791"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","Q1",0.8228,0.6518,1.0033,-17.7246,"0.0532"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","Q2",0.851,0.6612,1.0512,-14.9002,"0.1532"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","Q3",0.9375,0.7432,1.1553,-6.2485,"0.5261"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","Q4",0.943,0.753,1.1519,-5.7025,"0.5631"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","Q5",0.9567,0.7554,1.1665,-4.3319,"0.6651"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","Q1",0.8228,0.6518,1.0033,-17.7246,"0.0532"
