ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
NDD_Male,2000_2005,2006_2010,5,Stratified_EQI,Q1,1,1,1,0,NA
NDD_Male,2000_2005,2006_2010,5,Stratified_EQI,Q2,1.3298,1.2574,1.4097,32.9817,0.0002
NDD_Male,2000_2005,2006_2010,5,Stratified_EQI,Q3,1.4853,1.4095,1.5721,48.529,0.0002
NDD_Male,2000_2005,2006_2010,5,Stratified_EQI,Q4,1.6236,1.5347,1.7196,62.3564,0.0002
NDD_Male,2000_2005,2006_2010,5,Stratified_EQI,Q5,1.7861,1.6869,1.8986,78.6089,0.0002
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q1",0.7342,0.6286,0.8469,-26.5776,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q2",1.0105,0.8969,1.1347,1.0528,"0.8855"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q3",1.0976,0.9738,1.2292,9.7637,"0.1212"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q4",1.2055,1.0791,1.3388,20.5503,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q5",1.2385,1.1084,1.3779,23.8521,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q1",0.7342,0.6286,0.8469,-26.5776,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q2",0.6928,0.5885,0.8032,-30.7241,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q3",0.8038,0.6947,0.9219,-19.6222,"0.0017"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q4",0.8268,0.7159,0.9478,-17.3249,"0.0067"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q5",0.8299,0.7155,0.9484,-17.008,"0.0067"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q1",0.7342,0.6286,0.8469,-26.5776,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q2",0.7534,0.6456,0.8658,-24.663,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q3",0.7881,0.6807,0.9,-21.1916,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q4",0.7683,0.6591,0.8857,-23.1713,"0.0007"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q5",0.8017,0.6847,0.9232,-19.8336,"0.0032"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q1",0.7342,0.6286,0.8469,-26.5776,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q2",0.895,0.7792,1.0178,-10.5016,"0.0937"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q3",0.933,0.8165,1.0587,-6.7029,"0.2652"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q4",0.9499,0.8312,1.0812,-5.0055,"0.3937"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q5",0.9621,0.8435,1.0915,-3.7939,"0.5281"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q1",0.7342,0.6286,0.8469,-26.5776,"0.0002"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q2",0.8314,0.7193,0.9506,-16.8575,"0.0052"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q3",0.8932,0.7749,1.02,-10.6791,"0.0937"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q4",0.9347,0.8083,1.0681,-6.5349,"0.3037"
"NDD_Male","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q5",1.0269,0.8954,1.1687,2.6941,"0.7001"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI","Q1",1.1546,1.0473,1.2743,15.457,"0.0037"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI","Q2",1.546,1.4196,1.6874,54.602,"0.0002"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI","Q3",1.6757,1.5447,1.8231,67.5705,"0.0002"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI","Q4",1.8229,1.6885,1.9825,82.2944,"0.0002"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI","Q5",2.0132,1.8677,2.1844,101.318,"0.0002"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q1",0.846,0.726,0.9717,-15.3963,"0.0177"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q2",1.1364,1.008,1.2734,13.6385,"0.0402"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q3",1.2334,1.096,1.3794,23.3414,"0.0002"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q4",1.3418,1.1984,1.494,34.1761,"0.0002"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Air","Q5",1.3824,1.2311,1.5428,38.2403,"0.0002"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q1",0.846,0.726,0.9717,-15.3963,"0.0177"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q2",0.825,0.7089,0.9502,-17.5027,"0.0087"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q3",0.9354,0.81,1.0736,-6.4598,"0.3122"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q4",0.9853,0.8581,1.1215,-1.4749,"0.7971"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Water","Q5",0.9685,0.8397,1.1069,-3.1497,"0.6146"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Land","Q1",0.846,0.726,0.9717,-15.3963,"0.0177"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Land","Q2",0.8515,0.7293,0.9775,-14.8537,"0.0242"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Land","Q3",0.903,0.7818,1.0316,-9.7005,"0.1267"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Land","Q4",0.8869,0.7655,1.0166,-11.3116,"0.0807"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Land","Q5",0.9041,0.7769,1.0369,-9.588,"0.1507"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Built","Q1",0.846,0.726,0.9717,-15.3963,"0.0177"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Built","Q2",1.1021,0.9685,1.2441,10.2147,"0.1307"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Built","Q3",1.1147,0.9814,1.2593,11.473,"0.0892"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Built","Q4",1.1382,1.0039,1.2836,13.8157,"0.0457"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Built","Q5",1.1477,1.0123,1.2939,14.7679,"0.0337"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Social","Q1",0.846,0.726,0.9717,-15.3963,"0.0177"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Social","Q2",0.93,0.8097,1.0613,-7.0023,"0.2757"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Social","Q3",0.9722,0.8497,1.1087,-2.7767,"0.6651"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Social","Q4",1.0527,0.9209,1.1934,5.2684,"0.4586"
"NDD_Male","2000_2005","2011_2015",10,"Stratified_EQI_Social","Q5",1.1474,1.0093,1.3008,14.7386,"0.0397"
"NDD_Male","2000_2005","2016_2020",15,"Stratified_EQI","Q1",1.3168,1.2008,1.4464,31.6774,"0.0002"
"NDD_Male","2000_2005","2016_2020",15,"Stratified_EQI","Q2",1.6306,1.4988,1.7726,63.0585,"0.0002"
"NDD_Male","2000_2005","2016_2020",15,"Stratified_EQI","Q3",1.7039,1.5739,1.8513,70.3909,"0.0002"
"NDD_Male","2000_2005","2016_2020",15,"Stratified_EQI","Q4",1.8581,1.7209,2.011,85.8136,"0.0002"
"NDD_Male","2000_2005","2016_2020",15,"Stratified_EQI","Q5",2.0529,1.9036,2.2186,105.2935,"0.0002"
"NDD_Male","2000_2005","2016_2020",15,"Stratified_EQI_Air","Q1",1.0722,0.9491,1.2062,7.2184,"0.2647"
