ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Typology_Farming_EQI,Q1,1,1,1,0,NA
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Typology_Farming_EQI,Q2,1.179,1.072,1.2916,17.9021,0.0012
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Typology_Farming_EQI,Q3,1.1813,1.062,1.3106,18.1343,0.0057
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Typology_Farming_EQI,Q4,1.1912,1.0493,1.3412,19.1204,0.0052
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Typology_Farming_EQI,Q5,1.1017,0.9044,1.2995,10.1738,0.3202
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q1",0.8959,0.757,1.0481,-10.4126,"0.1742"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q2",1.0043,0.8468,1.1637,0.4261,"0.9725"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q3",1.0809,0.8819,1.2926,8.0902,"0.4216"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q4",0.9468,0.7326,1.1617,-5.3245,"0.6226"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Air","Q5",0.8962,0.6478,1.1506,-10.3756,"0.4171"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q1",0.8959,0.757,1.0481,-10.4126,"0.1742"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q2",0.8704,0.7257,1.0234,-12.9564,"0.1047"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q3",0.94,0.7697,1.111,-5.999,"0.5026"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q4",1.0091,0.8443,1.1854,0.906,"0.9275"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Water","Q5",0.9657,0.7849,1.1556,-3.4337,"0.7061"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q1",0.8959,0.757,1.0481,-10.4126,"0.1742"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q2",0.8838,0.7091,1.0649,-11.6221,"0.1992"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q3",0.9261,0.7718,1.0906,-7.3912,"0.3632"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q4",0.9352,0.7875,1.0909,-6.478,"0.4036"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Land","Q5",1.0123,0.8505,1.1787,1.2257,"0.8950"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q1",0.8959,0.757,1.0481,-10.4126,"0.1742"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q2",0.9599,0.7979,1.1241,-4.0133,"0.6331"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q3",0.981,0.8107,1.164,-1.9035,"0.8205"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q4",0.933,0.7601,1.1175,-6.7029,"0.4686"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Built","Q5",0.8534,0.6382,1.0796,-14.6572,"0.1877"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q1",0.8959,0.757,1.0481,-10.4126,"0.1742"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q2",0.9296,0.7795,1.0894,-7.0383,"0.3747"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q3",0.9609,0.7985,1.1336,-3.9124,"0.6366"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q4",0.9674,0.803,1.1364,-3.2619,"0.6896"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Typology_Farming_EQI_Social","Q5",1.083,0.8832,1.293,8.3011,"0.4361"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q1",1.1805,1.0639,1.3064,18.0503,"0.0022"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q2",1.3787,1.2391,1.5277,37.8745,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q3",1.4336,1.2713,1.6025,43.3647,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q4",1.3865,1.1983,1.5787,38.6464,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI","Q5",1.2522,1.0221,1.4861,25.2238,"0.0312"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q1",1.0799,0.9183,1.2503,7.9949,"0.3427"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q2",1.1999,1.0209,1.3861,19.9869,"0.0277"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q3",1.2662,1.0597,1.4855,26.6204,"0.0137"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q4",1.1775,0.9475,1.4142,17.7539,"0.1352"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Air","Q5",1.0792,0.8119,1.3548,7.925,"0.5716"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q1",1.0799,0.9183,1.2503,7.9949,"0.3427"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q2",1.034,0.8662,1.2061,3.4036,"0.6906"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q3",1.1577,0.9666,1.3547,15.7679,"0.1082"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q4",1.2232,1.0354,1.422,22.3181,"0.0162"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Water","Q5",1.153,0.9565,1.3619,15.2954,"0.1307"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","Q1",1.0799,0.9183,1.2503,7.9949,"0.3427"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","Q2",1.0482,0.8583,1.2467,4.8161,"0.6406"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","Q3",1.0416,0.8789,1.2178,4.1643,"0.6476"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","Q4",1.121,0.953,1.2998,12.1046,"0.1547"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Land","Q5",1.2531,1.0674,1.4416,25.3063,"0.0037"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Built","Q1",1.0799,0.9183,1.2503,7.9949,"0.3427"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Built","Q2",1.1622,0.9796,1.3578,16.2248,"0.0857"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Built","Q3",1.1894,0.9935,1.3983,18.9354,"0.0582"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Built","Q4",1.1067,0.9056,1.3183,10.6663,"0.3097"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Built","Q5",1.0308,0.8084,1.2643,3.0756,"0.8045"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Social","Q1",1.0799,0.9183,1.2503,7.9949,"0.3427"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Social","Q2",1.0283,0.8602,1.2078,2.8349,"0.7516"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Social","Q3",1.1196,0.9379,1.3054,11.9616,"0.1922"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Social","Q4",1.2467,1.0578,1.4521,24.6723,"0.0117"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Typology_Farming_EQI_Social","Q5",1.2684,1.0459,1.503,26.839,"0.0172"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI","Q1",1.2399,1.1243,1.3635,23.9942,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI","Q2",1.431,1.2867,1.5847,43.103,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI","Q3",1.4867,1.3251,1.6653,48.6684,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI","Q4",1.4428,1.2533,1.6399,44.2835,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI","Q5",1.2811,1.0572,1.5146,28.1105,"0.0172"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Air","Q1",1.1215,0.9647,1.2977,12.1453,"0.1437"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Air","Q2",1.2561,1.0803,1.4463,25.6089,"0.0032"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Air","Q3",1.3315,1.1141,1.5505,33.1536,"0.0017"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Air","Q4",1.1733,0.9414,1.4181,17.3275,"0.1397"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Air","Q5",1.1216,0.8529,1.3971,12.164,"0.3712"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Water","Q1",1.1215,0.9647,1.2977,12.1453,"0.1437"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Water","Q2",1.104,0.9309,1.279,10.4013,"0.2212"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Water","Q3",1.1661,0.9784,1.3598,16.6052,"0.0852"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Water","Q4",1.1922,1.0152,1.3751,19.2232,"0.0287"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Water","Q5",1.2127,1.0135,1.4223,21.2689,"0.0372"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Land","Q1",1.1215,0.9647,1.2977,12.1453,"0.1437"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Land","Q2",1.1658,0.9687,1.3696,16.5841,"0.1047"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Land","Q3",1.0927,0.9163,1.2754,9.2705,"0.3047"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Land","Q4",1.1488,0.9802,1.3314,14.8773,"0.0782"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Land","Q5",1.2554,1.0764,1.4527,25.5401,"0.0087"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Built","Q1",1.1215,0.9647,1.2977,12.1453,"0.1437"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Built","Q2",1.2445,1.0648,1.4368,24.4496,"0.0072"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Built","Q3",1.2651,1.0721,1.4701,26.51,"0.0057"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Built","Q4",1.1187,0.9131,1.3336,11.8705,"0.2462"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Built","Q5",1.096,0.8632,1.3344,9.599,"0.4231"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Social","Q1",1.1215,0.9647,1.2977,12.1453,"0.1437"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Social","Q2",1.0834,0.9123,1.2627,8.3441,"0.3497"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Social","Q3",1.1892,1.0095,1.3874,18.919,"0.0362"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Typology_Farming_EQI_Social","Q4",1.304,1.1154,1.5079,30.3974,"0.0022"
