ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
NDD_White,2000_2005,2006_2010,5,Stratified_EQI,Q1,1,1,1,0,NA
NDD_White,2000_2005,2006_2010,5,Stratified_EQI,Q2,1.2257,1.1724,1.282,22.5716,0.0002
NDD_White,2000_2005,2006_2010,5,Stratified_EQI,Q3,1.329,1.2712,1.3922,32.8981,0.0002
NDD_White,2000_2005,2006_2010,5,Stratified_EQI,Q4,1.4317,1.3661,1.5013,43.1676,0.0002
NDD_White,2000_2005,2006_2010,5,Stratified_EQI,Q5,1.5643,1.4885,1.6467,56.4277,0.0002
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q1",0.7895,0.69,0.8968,-21.0511,"0.0017"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q2",0.9544,0.853,1.0684,-4.5569,"0.4031"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q3",1.0312,0.9237,1.1499,3.1168,"0.6091"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q4",1.1263,1.0126,1.251,12.6302,"0.0247"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Air","Q5",1.1424,1.0265,1.2703,14.2377,"0.0157"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q1",0.7895,0.69,0.8968,-21.0511,"0.0017"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q2",0.7982,0.7022,0.9044,-20.179,"0.0017"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q3",0.8267,0.7288,0.9361,-17.3262,"0.0047"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q4",0.8753,0.7716,0.9877,-12.4743,"0.0292"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Water","Q5",0.8724,0.7692,0.9877,-12.7635,"0.0302"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q1",0.7895,0.69,0.8968,-21.0511,"0.0017"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q2",0.8199,0.7191,0.9336,-18.0107,"0.0037"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q3",0.832,0.7329,0.9419,-16.7996,"0.0037"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q4",0.8333,0.7339,0.9456,-16.668,"0.0047"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Land","Q5",0.8513,0.7517,0.9667,-14.8744,"0.0127"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q1",0.7895,0.69,0.8968,-21.0511,"0.0017"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q2",0.8787,0.7751,0.9944,-12.125,"0.0407"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q3",0.8961,0.7906,1.0152,-10.3874,"0.0837"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q4",0.9197,0.8126,1.0422,-8.0289,"0.1722"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Built","Q5",0.9027,0.7967,1.026,-9.7347,"0.1087"
"NDD_White","2000_2005","2006_2010",5,"Stratified_EQI_Social","Q1",0.7895,0.69,0.8968,-21.0511,"0.0017"
