Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
CKD,"314,955 (0.21‰)",19.74 ± 0.04,"303,847 (0.19‰)",17.11 ± 0.03,"362,740 (0.22‰)",18.21 ± 0.03,"304,431 (0.23‰)",20.31 ± 0.04
CKD(M),"162,590 (0.22‰)",24.98 ± 0.06,"168,656 (0.22‰)",23.12 ± 0.06,"195,176 (0.24‰)",22.79 ± 0.05,"165,743 (0.25‰)",25.18 ± 0.06
CKD(F),"152,365 (0.20‰)",16.14 ± 0.04,"135,191 (0.17‰)",12.98 ± 0.04,"167,564 (0.20‰)",14.74 ± 0.04,"138,688 (0.21‰)",16.40 ± 0.05
Non-cancer CKD,"250,862 (0.17‰)",15.76 ± 0.03,"256,611 (0.16‰)",14.40 ± 0.03,"292,424 (0.18‰)",14.72 ± 0.03,"245,868 (0.19‰)",16.31 ± 0.03
RF,"175,525 (0.12‰)",11.04 ± 0.03,"191,327 (0.12‰)",10.74 ± 0.02,"211,236 (0.13‰)",10.62 ± 0.02,"172,604 (0.13‰)",11.43 ± 0.03
Kidney cancer,"64,093 (0.04‰)",3.97 ± 0.02,"47,236 (0.03‰)",2.71 ± 0.01,"70,316 (0.04‰)",3.50 ± 0.01,"58,563 (0.04‰)",4.00 ± 0.02
GRTI,"25,832 (0.02‰)",1.62 ± 0.01,"9,222 (0.01‰)",0.52 ± 0.01,"12,295 (0.01‰)",0.63 ± 0.01,"12,792 (0.01‰)",0.85 ± 0.01
Race,,,,,,,,
CKD(White),"255,950 (0.21‰)",18.38 ± 0.04,"264,059 (0.21‰)",17.18 ± 0.03,"287,867 (0.23‰)",17.07 ± 0.03,"238,243 (0.24‰)",19.21 ± 0.04
CKD(Black),"49,782 (0.24‰)",34.35 ± 0.16,"51,116 (0.23‰)",30.12 ± 0.14,"60,651 (0.26‰)",30.37 ± 0.13,"51,294 (0.28‰)",33.55 ± 0.15
CKD(Others),"9,239 (0.09‰)",14.31 ± 0.15,"8,524 (0.07‰)",10.60 ± 0.12,"14,222 (0.11‰)",12.38 ± 0.11,"14,894 (0.10‰)",12.98 ± 0.11
RUCC (Metropolitan urbanized),,,,,,,,
CKD,"251,016 (0.19‰)",19.16 ± 0.04,"242,242 (0.18‰)",16.51 ± 0.03,"291,052 (0.21‰)",17.51 ± 0.03,"246,458 (0.22‰)",19.53 ± 0.04
Non-cancer CKD,"199,650 (0.15‰)",15.29 ± 0.03,"204,183 (0.15‰)",13.85 ± 0.03,"234,811 (0.17‰)",14.16 ± 0.03,"199,214 (0.18‰)",15.71 ± 0.04
RF,"139,301 (0.11‰)",10.67 ± 0.03,"152,843 (0.11‰)",10.37 ± 0.03,"170,726 (0.12‰)",10.29 ± 0.03,"140,983 (0.12‰)",11.10 ± 0.03
Kidney cancer,"51,366 (0.04‰)",3.88 ± 0.02,"38,059 (0.02‰)",2.66 ± 0.01,"56,241 (0.04‰)",3.35 ± 0.01,"47,244 (0.04‰)",3.82 ± 0.02
GRTI,"20,944 (0.02‰)",1.60 ± 0.01,"7,369 (0.01‰)",0.50 ± 0.01,"9,852 (0.01‰)",0.60 ± 0.01,"10,339 (0.01‰)",0.82 ± 0.01
RUCC (Non-metropolitan urbanized),,,,,,,,
CKD,"23,209 (0.25‰)",21.66 ± 0.14,"22,081 (0.24‰)",18.98 ± 0.13,"26,519 (0.28‰)",21.09 ± 0.13,"21,364 (0.29‰)",23.42 ± 0.17
Non-cancer CKD,"18,470 (0.20‰)",17.27 ± 0.13,"18,805 (0.20‰)",16.17 ± 0.12,"21,210 (0.23‰)",16.91 ± 0.12,"17,173 (0.23‰)",18.70 ± 0.15
RF,"12,990 (0.14‰)",12.16 ± 0.11,"13,758 (0.15‰)",11.82 ± 0.10,"14,908 (0.16‰)",11.86 ± 0.10,"11,721 (0.16‰)",12.72 ± 0.12
Kidney cancer,"4,739 (0.05‰)",4.39 ± 0.06,"3,276 (0.03‰)",2.81 ± 0.05,"5,309 (0.06‰)",4.17 ± 0.06,"4,191 (0.06‰)",4.72 ± 0.08
GRTI,"1,864 (0.02‰)",1.73 ± 0.04,683 (0.01‰),0.60 ± 0.02,963 (0.01‰),0.79 ± 0.03,944 (0.01‰),1.05 ± 0.04
RUCC (Less urbanized),,,,,,,,
CKD,"33,278 (0.29‰)",22.99 ± 0.13,"32,458 (0.28‰)",20.94 ± 0.12,"37,385 (0.33‰)",22.72 ± 0.12,"30,210 (0.34‰)",25.69 ± 0.16
Non-cancer CKD,"26,733 (0.23‰)",18.48 ± 0.11,"27,643 (0.24‰)",17.88 ± 0.11,"30,177 (0.27‰)",18.36 ± 0.11,"24,362 (0.27‰)",20.54 ± 0.14
RF,"18,902 (0.16‰)",13.08 ± 0.10,"20,314 (0.18‰)",13.13 ± 0.09,"21,294 (0.19‰)",12.95 ± 0.09,"16,456 (0.18‰)",13.80 ± 0.11
Kidney cancer,"6,545 (0.06‰)",4.51 ± 0.06,"4,815 (0.04‰)",3.06 ± 0.04,"7,208 (0.06‰)",4.36 ± 0.05,"5,848 (0.07‰)",5.15 ± 0.07
GRTI,"2,544 (0.02‰)",1.75 ± 0.03,965 (0.01‰),0.63 ± 0.02,"1,218 (0.01‰)",0.76 ± 0.02,"1,254 (0.01‰)",1.06 ± 0.03
RUCC (Thinly populated),,,,,,,,
CKD,"7,452 (0.31‰)",22.22 ± 0.26,"7,066 (0.30‰)",19.73 ± 0.24,"7,784 (0.33‰)",20.54 ± 0.24,"6,399 (0.36‰)",23.92 ± 0.32
Non-cancer CKD,"6,009 (0.25‰)",17.91 ± 0.23,"5,980 (0.25‰)",16.78 ± 0.22,"6,226 (0.27‰)",16.46 ± 0.21,"5,119 (0.29‰)",18.94 ± 0.28
RF,"4,332 (0.18‰)",12.92 ± 0.20,"4,412 (0.19‰)",12.38 ± 0.19,"4,308 (0.18‰)",11.33 ± 0.18,"3,444 (0.19‰)",12.68 ± 0.23
Kidney cancer,"1,443 (0.06‰)",4.31 ± 0.11,"1,086 (0.04‰)",2.96 ± 0.09,"1,558 (0.07‰)",4.08 ± 0.11,"1,280 (0.07‰)",4.97 ± 0.15
GRTI,480 (0.02‰),1.43 ± 0.07,205 (0.01‰),0.59 ± 0.04,262 (0.01‰),0.68 ± 0.04,255 (0.01‰),0.91 ± 0.06
Climate Zone (Dry),,,,,,,,
CKD,"28,112 (0.17‰)",16.56 ± 0.10,"26,052 (0.14‰)",13.28 ± 0.08,"32,962 (0.17‰)",14.54 ± 0.08,"29,026 (0.18‰)",16.81 ± 0.10
Non-cancer CKD,"21,654 (0.13‰)",12.81 ± 0.09,"21,131 (0.12‰)",10.75 ± 0.07,"25,089 (0.13‰)",11.09 ± 0.07,"22,387 (0.14‰)",12.86 ± 0.09
RF,"15,367 (0.09‰)",9.09 ± 0.07,"15,913 (0.09‰)",8.10 ± 0.06,"18,417 (0.10‰)",8.13 ± 0.06,"15,736 (0.10‰)",9.02 ± 0.07
Kidney cancer,"6,458 (0.04‰)",3.74 ± 0.05,"4,921 (0.02‰)",2.53 ± 0.04,"7,873 (0.04‰)",3.46 ± 0.04,"6,639 (0.04‰)",3.95 ± 0.05
GRTI,"2,387 (0.01‰)",1.42 ± 0.03,"1,058 (0.01‰)",0.54 ± 0.02,"1,361 (0.01‰)",0.61 ± 0.02,"1,477 (0.01‰)",0.86 ± 0.02
Climate Zone (Temperate),,,,,,,,
CKD,"198,511 (0.21‰)",20.01 ± 0.05,"193,880 (0.19‰)",17.47 ± 0.04,"234,321 (0.22‰)",18.66 ± 0.04,"197,779 (0.23‰)",20.82 ± 0.05
Non-cancer CKD,"158,563 (0.16‰)",16.05 ± 0.04,"164,412 (0.16‰)",14.78 ± 0.04,"189,799 (0.18‰)",15.17 ± 0.04,"160,645 (0.19‰)",16.84 ± 0.04
RF,"110,746 (0.12‰)",11.20 ± 0.03,"122,334 (0.12‰)",11.00 ± 0.03,"136,597 (0.13‰)",10.91 ± 0.03,"112,494 (0.13‰)",11.78 ± 0.04
Kidney cancer,"39,948 (0.04‰)",3.96 ± 0.02,"29,468 (0.03‰)",2.70 ± 0.02,"44,522 (0.04‰)",3.50 ± 0.02,"37,134 (0.04‰)",3.98 ± 0.02
GRTI,"16,188 (0.02‰)",1.64 ± 0.01,"5,703 (0.01‰)",0.52 ± 0.01,"7,639 (0.01‰)",0.62 ± 0.01,"7,799 (0.01‰)",0.82 ± 0.01
Climate Zone (Continental),,,,,,,,
CKD,"86,370 (0.23‰)",20.14 ± 0.07,"82,133 (0.21‰)",17.67 ± 0.06,"93,567 (0.24‰)",18.57 ± 0.06,"76,279 (0.25‰)",20.52 ± 0.08
Non-cancer CKD,"68,973 (0.18‰)",16.04 ± 0.06,"69,473 (0.18‰)",14.85 ± 0.06,"75,906 (0.19‰)",15.07 ± 0.06,"61,701 (0.20‰)",16.45 ± 0.07
RF,"48,230 (0.13‰)",11.25 ± 0.05,"51,891 (0.13‰)",11.09 ± 0.05,"54,951 (0.14‰)",10.90 ± 0.05,"43,519 (0.14‰)",11.59 ± 0.06
Kidney cancer,"17,397 (0.05‰)",4.10 ± 0.03,"12,660 (0.03‰)",2.82 ± 0.03,"17,661 (0.05‰)",3.51 ± 0.03,"14,578 (0.05‰)",4.07 ± 0.04
