Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
CLD,"291,314 (0.19‰)",17.81 ± 0.03,"362,589 (0.23‰)",19.97 ± 0.03,"423,977 (0.26‰)",21.43 ± 0.03,"391,643 (0.30‰)",29.21 ± 0.05
CLD(M),"186,485 (0.25‰)",24.55 ± 0.06,"231,067 (0.30‰)",27.09 ± 0.06,"265,026 (0.33‰)",28.47 ± 0.06,"238,880 (0.36‰)",37.70 ± 0.08
CLD(F),"104,829 (0.14‰)",11.93 ± 0.04,"131,522 (0.16‰)",13.67 ± 0.04,"158,951 (0.19‰)",15.21 ± 0.04,"152,763 (0.23‰)",21.43 ± 0.06
Non-cancer CLD,"199,868 (0.13‰)",12.21 ± 0.03,"243,608 (0.15‰)",13.53 ± 0.03,"286,520 (0.18‰)",14.78 ± 0.03,"273,610 (0.21‰)",21.19 ± 0.04
Liver cancer,"91,446 (0.06‰)",5.60 ± 0.02,"118,981 (0.08‰)",6.44 ± 0.02,"137,457 (0.08‰)",6.64 ± 0.02,"118,033 (0.09‰)",8.02 ± 0.02
Toxic & chronic,"75,634 (0.05‰)",4.64 ± 0.02,"90,805 (0.06‰)",5.01 ± 0.02,"100,305 (0.06‰)",5.03 ± 0.02,"95,517 (0.07‰)",7.00 ± 0.02
Alcoholic,"73,295 (0.05‰)",4.46 ± 0.02,"92,501 (0.06‰)",5.19 ± 0.02,"120,524 (0.07‰)",6.42 ± 0.02,"119,952 (0.09‰)",10.00 ± 0.03
Non-alcoholic,"26,971 (0.02‰)",1.65 ± 0.01,"35,980 (0.02‰)",1.98 ± 0.01,"39,003 (0.02‰)",1.96 ± 0.01,"35,106 (0.03‰)",2.49 ± 0.01
HRS,"2,394 (0.00‰)",0.15 ± 0.00,"2,561 (0.00‰)",0.14 ± 0.00,"2,424 (0.00‰)",0.12 ± 0.00,"1,942 (0.00‰)",0.15 ± 0.00
Race,,,,,,,,
CLD(White),"245,652 (0.20‰)",17.82 ± 0.04,"305,969 (0.25‰)",20.30 ± 0.04,"358,686 (0.28‰)",22.15 ± 0.04,"331,414 (0.34‰)",31.09 ± 0.06
CLD(Black),"30,524 (0.15‰)",17.36 ± 0.10,"37,292 (0.17‰)",18.28 ± 0.10,"41,784 (0.18‰)",18.14 ± 0.09,"35,400 (0.19‰)",22.46 ± 0.12
CLD(Others),"15,155 (0.15‰)",18.99 ± 0.16,"19,340 (0.17‰)",19.03 ± 0.14,"23,507 (0.18‰)",18.57 ± 0.12,"24,829 (0.16‰)",21.47 ± 0.14
RUCC (Metropolitan urbanized),,,,,,,,
CLD,"241,582 (0.19‰)",17.81 ± 0.04,"299,685 (0.22‰)",19.74 ± 0.04,"347,891 (0.25‰)",20.87 ± 0.04,"318,795 (0.28‰)",27.94 ± 0.05
Non-cancer CLD,"164,417 (0.13‰)",12.08 ± 0.03,"199,293 (0.15‰)",13.20 ± 0.03,"232,490 (0.17‰)",14.19 ± 0.03,"220,120 (0.19‰)",20.00 ± 0.04
Liver cancer,"77,165 (0.06‰)",5.73 ± 0.02,"100,392 (0.07‰)",6.54 ± 0.02,"115,401 (0.08‰)",6.67 ± 0.02,"98,675 (0.09‰)",7.94 ± 0.03
Toxic & chronic,"61,532 (0.05‰)",4.56 ± 0.02,"72,996 (0.05‰)",4.82 ± 0.02,"80,284 (0.06‰)",4.79 ± 0.02,"76,039 (0.07‰)",6.56 ± 0.02
Alcoholic,"61,042 (0.05‰)",4.43 ± 0.02,"77,374 (0.06‰)",5.14 ± 0.02,"99,814 (0.07‰)",6.24 ± 0.02,"98,225 (0.09‰)",9.54 ± 0.03
Non-alcoholic,"22,699 (0.02‰)",1.67 ± 0.01,"29,758 (0.02‰)",1.96 ± 0.01,"31,406 (0.02‰)",1.88 ± 0.01,"27,745 (0.02‰)",2.32 ± 0.01
HRS,"1,930 (0.00‰)",0.14 ± 0.00,"2,030 (0.00‰)",0.14 ± 0.00,"1,899 (0.00‰)",0.12 ± 0.00,"1,503 (0.00‰)",0.13 ± 0.00
RUCC (Non-metropolitan urbanized),,,,,,,,
CLD,"19,308 (0.21‰)",18.27 ± 0.13,"24,842 (0.27‰)",21.83 ± 0.14,"30,134 (0.32‰)",25.16 ± 0.15,"28,730 (0.39‰)",37.07 ± 0.23
Non-cancer CLD,"13,906 (0.15‰)",13.29 ± 0.11,"17,596 (0.19‰)",15.78 ± 0.12,"21,573 (0.23‰)",18.61 ± 0.13,"21,195 (0.29‰)",28.61 ± 0.21
Toxic & chronic,"5,311 (0.06‰)",5.00 ± 0.07,"6,885 (0.07‰)",6.04 ± 0.07,"7,686 (0.08‰)",6.29 ± 0.07,"7,364 (0.10‰)",9.21 ± 0.11
Alcoholic,"5,138 (0.06‰)",5.00 ± 0.07,"6,447 (0.07‰)",5.99 ± 0.08,"8,707 (0.09‰)",8.02 ± 0.09,"9,115 (0.12‰)",13.58 ± 0.15
Liver cancer,"5,402 (0.06‰)",4.98 ± 0.07,"7,246 (0.08‰)",6.06 ± 0.07,"8,561 (0.09‰)",6.55 ± 0.07,"7,535 (0.10‰)",8.46 ± 0.10
Non-alcoholic,"1,698 (0.02‰)",1.61 ± 0.04,"2,382 (0.03‰)",2.08 ± 0.04,"3,012 (0.03‰)",2.48 ± 0.05,"2,889 (0.04‰)",3.47 ± 0.07
HRS,186 (0.00‰),0.18 ± 0.01,184 (0.00‰),0.16 ± 0.01,199 (0.00‰),0.16 ± 0.01,164 (0.00‰),0.22 ± 0.02
RUCC (Less urbanized),,,,,,,,
CLD,"25,293 (0.22‰)",18.10 ± 0.12,"31,725 (0.28‰)",21.36 ± 0.12,"38,127 (0.34‰)",24.82 ± 0.13,"36,494 (0.41‰)",36.94 ± 0.21
Non-cancer CLD,"17,950 (0.16‰)",13.03 ± 0.10,"22,282 (0.19‰)",15.35 ± 0.11,"26,963 (0.24‰)",18.22 ± 0.12,"26,744 (0.30‰)",28.35 ± 0.18
Toxic & chronic,"7,345 (0.06‰)",5.21 ± 0.06,"9,101 (0.08‰)",6.09 ± 0.07,"10,273 (0.09‰)",6.59 ± 0.07,"10,069 (0.11‰)",9.85 ± 0.11
Liver cancer,"7,343 (0.06‰)",5.06 ± 0.06,"9,443 (0.08‰)",6.01 ± 0.06,"11,164 (0.10‰)",6.60 ± 0.06,"9,750 (0.11‰)",8.59 ± 0.09
Alcoholic,"5,899 (0.05‰)",4.43 ± 0.06,"7,279 (0.06‰)",5.31 ± 0.06,"9,953 (0.09‰)",7.29 ± 0.08,"10,408 (0.12‰)",12.45 ± 0.13
Non-alcoholic,"2,180 (0.02‰)",1.58 ± 0.03,"3,198 (0.03‰)",2.12 ± 0.04,"3,831 (0.03‰)",2.44 ± 0.04,"3,685 (0.04‰)",3.48 ± 0.06
HRS,244 (0.00‰),0.18 ± 0.01,286 (0.00‰),0.19 ± 0.01,265 (0.00‰),0.18 ± 0.01,226 (0.00‰),0.23 ± 0.02
RUCC (Thinly populated),,,,,,,,
CLD,"5,131 (0.22‰)",16.14 ± 0.23,"6,337 (0.27‰)",18.89 ± 0.25,"7,825 (0.33‰)",22.68 ± 0.27,"7,624 (0.43‰)",35.37 ± 0.44
Non-cancer CLD,"3,595 (0.15‰)",11.53 ± 0.20,"4,437 (0.19‰)",13.59 ± 0.21,"5,494 (0.23‰)",16.65 ± 0.24,"5,551 (0.31‰)",27.28 ± 0.40
Liver cancer,"1,536 (0.06‰)",4.61 ± 0.12,"1,900 (0.08‰)",5.31 ± 0.12,"2,331 (0.10‰)",6.02 ± 0.13,"2,073 (0.12‰)",8.10 ± 0.20
Toxic & chronic,"1,446 (0.06‰)",4.49 ± 0.12,"1,823 (0.08‰)",5.41 ± 0.13,"2,062 (0.09‰)",5.87 ± 0.14,"2,045 (0.11‰)",9.20 ± 0.22
Alcoholic,"1,216 (0.05‰)",4.10 ± 0.12,"1,401 (0.06‰)",4.59 ± 0.13,"2,050 (0.09‰)",6.81 ± 0.16,"2,204 (0.12‰)",12.36 ± 0.28
Non-alcoholic,394 (0.02‰),1.24 ± 0.06,642 (0.03‰),1.91 ± 0.08,754 (0.03‰),2.18 ± 0.08,787 (0.04‰),3.35 ± 0.13
HRS,34 (0.00‰),0.10 ± 0.02,61 (0.00‰),0.18 ± 0.02,61 (0.00‰),0.19 ± 0.03,49 (0.00‰),0.24 ± 0.04
