Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
CRD,"1,631,134 (1.07‰)",102.57 ± 0.08,"1,707,683 (1.08‰)",95.63 ± 0.07,"1,701,741 (1.04‰)",84.35 ± 0.07,"1,281,117 (0.97‰)",84.12 ± 0.08
CRD(M),"849,673 (1.14‰)",127.38 ± 0.14,"878,129 (1.13‰)",114.84 ± 0.12,"867,792 (1.08‰)",98.88 ± 0.11,"646,951 (0.99‰)",95.17 ± 0.12
CRD(F),"781,461 (1.01‰)",85.34 ± 0.10,"829,554 (1.03‰)",81.77 ± 0.09,"833,949 (1.01‰)",73.51 ± 0.08,"634,166 (0.96‰)",75.59 ± 0.10
Lung cancer,"791,897 (0.52‰)",49.44 ± 0.06,"779,508 (0.49‰)",43.26 ± 0.05,"712,324 (0.44‰)",34.91 ± 0.04,"526,491 (0.40‰)",35.20 ± 0.05
COPD,"643,341 (0.42‰)",40.76 ± 0.05,"711,764 (0.45‰)",40.13 ± 0.05,"758,223 (0.46‰)",37.70 ± 0.04,"560,585 (0.43‰)",36.20 ± 0.05
ILD,"82,382 (0.05‰)",5.23 ± 0.02,"93,187 (0.06‰)",5.30 ± 0.02,"105,111 (0.06‰)",5.31 ± 0.02,"92,658 (0.07‰)",5.95 ± 0.02
Asthma,"15,806 (0.01‰)",1.00 ± 0.01,"16,008 (0.01‰)",0.93 ± 0.01,"16,408 (0.01‰)",0.90 ± 0.01,"12,854 (0.01‰)",0.96 ± 0.01
Pneumoconiosis,"4,347 (0.00‰)",0.28 ± 0.00,"3,715 (0.00‰)",0.21 ± 0.00,"3,203 (0.00‰)",0.16 ± 0.00,"2,015 (0.00‰)",0.13 ± 0.00
Race,,,,,,,,
CRD(White),"1,459,911 (1.20‰)",105.71 ± 0.09,"1,519,169 (1.22‰)",99.31 ± 0.08,"1,501,744 (1.18‰)",88.17 ± 0.07,"1,118,871 (1.14‰)",89.10 ± 0.09
CRD(Black),"135,880 (0.66‰)",90.87 ± 0.25,"145,415 (0.66‰)",83.00 ± 0.22,"151,016 (0.65‰)",73.19 ± 0.19,"116,499 (0.64‰)",74.67 ± 0.22
CRD(Others),"35,400 (0.35‰)",54.58 ± 0.30,"43,140 (0.37‰)",49.61 ± 0.25,"48,981 (0.37‰)",42.58 ± 0.20,"45,747 (0.30‰)",39.87 ± 0.19
RUCC (Metropolitan urbanized),,,,,,,,
CRD,"1,289,837 (1.00‰)",99.00 ± 0.09,"1,347,359 (1.00‰)",91.36 ± 0.08,"1,339,812 (0.95‰)",79.80 ± 0.07,"1,003,983 (0.88‰)",78.26 ± 0.08
Lung cancer,"630,764 (0.49‰)",48.04 ± 0.06,"619,837 (0.46‰)",41.66 ± 0.05,"565,258 (0.40‰)",33.28 ± 0.04,"416,784 (0.37‰)",33.01 ± 0.05
COPD,"501,227 (0.39‰)",38.83 ± 0.06,"551,501 (0.41‰)",37.69 ± 0.05,"584,458 (0.42‰)",34.95 ± 0.05,"426,025 (0.37‰)",32.69 ± 0.05
ILD,"67,124 (0.05‰)",5.19 ± 0.02,"76,717 (0.06‰)",5.28 ± 0.02,"86,873 (0.06‰)",5.28 ± 0.02,"76,989 (0.07‰)",5.89 ± 0.02
Asthma,"13,079 (0.01‰)",0.99 ± 0.01,"13,272 (0.01‰)",0.92 ± 0.01,"13,810 (0.01‰)",0.89 ± 0.01,"10,804 (0.01‰)",0.95 ± 0.01
Pneumoconiosis,"2,850 (0.00‰)",0.22 ± 0.00,"2,411 (0.00‰)",0.17 ± 0.00,"2,101 (0.00‰)",0.13 ± 0.00,"1,169 (0.00‰)",0.09 ± 0.00
RUCC (Non-metropolitan urbanized),,,,,,,,
CRD,"127,409 (1.39‰)",118.67 ± 0.33,"133,763 (1.44‰)",113.98 ± 0.32,"134,080 (1.44‰)",104.18 ± 0.29,"102,422 (1.39‰)",110.92 ± 0.37
Lung cancer,"59,251 (0.65‰)",54.95 ± 0.23,"58,866 (0.63‰)",49.79 ± 0.21,"54,134 (0.58‰)",41.67 ± 0.18,"40,362 (0.55‰)",44.86 ± 0.24
COPD,"53,306 (0.58‰)",49.77 ± 0.22,"59,251 (0.64‰)",50.60 ± 0.21,"63,606 (0.68‰)",49.40 ± 0.20,"48,906 (0.66‰)",51.83 ± 0.25
ILD,"6,057 (0.07‰)",5.71 ± 0.07,"6,471 (0.07‰)",5.61 ± 0.07,"7,225 (0.08‰)",5.71 ± 0.07,"6,315 (0.09‰)",6.59 ± 0.09
