Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
CVD,"4,011,687 (2.64‰)",250.47 ± 0.13,"4,012,312 (2.54‰)",223.38 ± 0.11,"4,368,394 (2.67‰)",218.77 ± 0.11,"3,708,320 (2.81‰)",247.49 ± 0.13
CVD(M),"1,941,053 (2.60‰)",299.05 ± 0.22,"2,006,505 (2.58‰)",268.82 ± 0.19,"2,253,290 (2.80‰)",264.91 ± 0.18,"1,949,980 (2.98‰)",300.72 ± 0.22
CVD(F),"2,070,634 (2.68‰)",211.77 ± 0.15,"2,005,807 (2.50‰)",186.37 ± 0.13,"2,115,104 (2.55‰)",180.37 ± 0.13,"1,758,340 (2.65‰)",200.89 ± 0.16
IHD,"2,001,795 (1.32‰)",124.72 ± 0.09,"1,847,275 (1.17‰)",102.48 ± 0.08,"1,837,930 (1.12‰)",91.48 ± 0.07,"1,440,632 (1.09‰)",96.69 ± 0.08
Stroke,"665,032 (0.44‰)",41.74 ± 0.05,"659,425 (0.42‰)",36.98 ± 0.05,"746,176 (0.46‰)",37.53 ± 0.04,"657,381 (0.50‰)",43.06 ± 0.05
HD,"300,038 (0.20‰)",18.61 ± 0.03,"357,252 (0.23‰)",19.79 ± 0.03,"490,582 (0.30‰)",24.61 ± 0.04,"526,244 (0.40‰)",35.54 ± 0.05
HF,"287,769 (0.19‰)",17.94 ± 0.03,"327,530 (0.21‰)",18.11 ± 0.03,"414,378 (0.25‰)",20.64 ± 0.03,"354,828 (0.27‰)",22.94 ± 0.04
Race,,,,,,,,
CVD(White),"3,435,551 (2.83‰)",244.78 ± 0.13,"3,410,560 (2.73‰)",219.86 ± 0.12,"3,647,859 (2.87‰)",215.16 ± 0.11,"3,056,353 (3.11‰)",245.58 ± 0.15
CVD(Black),"466,778 (2.28‰)",323.04 ± 0.49,"475,581 (2.17‰)",279.60 ± 0.42,"560,764 (2.43‰)",280.58 ± 0.38,"488,329 (2.67‰)",322.07 ± 0.47
CVD(Others),"109,499 (1.09‰)",175.31 ± 0.55,"126,243 (1.09‰)",147.58 ± 0.43,"159,771 (1.22‰)",140.49 ± 0.36,"163,638 (1.08‰)",143.18 ± 0.36
RUCC (Metropolitan urbanized),,,,,,,,
CVD,"3,219,048 (2.50‰)",244.76 ± 0.14,"3,234,373 (2.39‰)",217.24 ± 0.12,"3,551,703 (2.53‰)",212.95 ± 0.11,"3,016,434 (2.65‰)",238.99 ± 0.14
IHD,"1,615,352 (1.25‰)",122.64 ± 0.10,"1,486,536 (1.10‰)",99.53 ± 0.08,"1,484,059 (1.06‰)",88.44 ± 0.07,"1,161,015 (1.02‰)",92.45 ± 0.09
Stroke,"528,490 (0.41‰)",40.43 ± 0.06,"530,477 (0.39‰)",35.92 ± 0.05,"614,489 (0.44‰)",37.05 ± 0.05,"547,304 (0.48‰)",42.63 ± 0.06
HD,"252,885 (0.20‰)",19.05 ± 0.04,"302,099 (0.22‰)",20.14 ± 0.04,"411,723 (0.29‰)",24.68 ± 0.04,"434,244 (0.38‰)",34.83 ± 0.05
HF,"219,672 (0.17‰)",16.72 ± 0.04,"256,536 (0.19‰)",17.14 ± 0.03,"332,434 (0.24‰)",19.86 ± 0.03,"286,862 (0.25‰)",22.07 ± 0.04
RUCC (Non-metropolitan urbanized),,,,,,,,
CVD,"291,744 (3.18‰)",271.45 ± 0.51,"288,587 (3.11‰)",247.75 ± 0.47,"306,536 (3.29‰)",244.56 ± 0.45,"261,769 (3.55‰)",289.31 ± 0.59
IHD,"142,821 (1.56‰)",132.54 ± 0.35,"133,701 (1.44‰)",114.43 ± 0.32,"133,630 (1.43‰)",105.89 ± 0.30,"106,528 (1.44‰)",118.75 ± 0.38
Stroke,"50,305 (0.55‰)",46.89 ± 0.21,"48,426 (0.52‰)",41.61 ± 0.19,"49,795 (0.53‰)",39.67 ± 0.18,"42,667 (0.58‰)",45.94 ± 0.23
HF,"22,464 (0.25‰)",20.72 ± 0.14,"23,925 (0.26‰)",20.22 ± 0.13,"28,701 (0.31‰)",22.62 ± 0.13,"24,076 (0.33‰)",25.59 ± 0.17
HD,"18,399 (0.20‰)",17.10 ± 0.13,"21,291 (0.23‰)",18.32 ± 0.13,"30,029 (0.32‰)",24.07 ± 0.14,"34,184 (0.46‰)",37.96 ± 0.21
RUCC (Less urbanized),,,,,,,,
CVD,"410,439 (3.58‰)",283.25 ± 0.45,"401,742 (3.50‰)",260.28 ± 0.42,"420,044 (3.69‰)",255.97 ± 0.40,"353,844 (3.97‰)",301.68 ± 0.54
IHD,"199,711 (1.74‰)",137.65 ± 0.31,"186,566 (1.63‰)",120.59 ± 0.28,"180,707 (1.59‰)",109.66 ± 0.26,"141,877 (1.59‰)",122.27 ± 0.34
Stroke,"70,753 (0.62‰)",48.75 ± 0.18,"66,110 (0.58‰)",42.78 ± 0.17,"67,621 (0.59‰)",40.99 ± 0.16,"55,654 (0.62‰)",46.16 ± 0.21
HF,"36,565 (0.32‰)",24.89 ± 0.13,"37,690 (0.33‰)",23.99 ± 0.12,"43,437 (0.38‰)",25.96 ± 0.13,"35,584 (0.40‰)",28.89 ± 0.16
HD,"23,893 (0.21‰)",16.57 ± 0.11,"28,036 (0.24‰)",18.35 ± 0.11,"40,312 (0.35‰)",24.83 ± 0.13,"48,264 (0.54‰)",41.43 ± 0.20
RUCC (Thinly populated),,,,,,,,
CVD,"90,456 (3.81‰)",269.36 ± 0.90,"87,610 (3.72‰)",246.14 ± 0.85,"90,111 (3.85‰)",237.63 ± 0.82,"76,273 (4.25‰)",285.01 ± 1.11
IHD,"43,911 (1.85‰)",130.81 ± 0.63,"40,472 (1.72‰)",113.71 ± 0.58,"39,534 (1.69‰)",104.13 ± 0.54,"31,212 (1.74‰)",118.89 ± 0.73
Stroke,"15,484 (0.65‰)",46.00 ± 0.37,"14,412 (0.61‰)",40.31 ± 0.34,"14,271 (0.61‰)",37.37 ± 0.32,"11,756 (0.66‰)",42.53 ± 0.42
HF,"9,068 (0.38‰)",26.57 ± 0.28,"9,379 (0.40‰)",25.84 ± 0.27,"9,806 (0.42‰)",25.25 ± 0.26,"8,306 (0.46‰)",29.58 ± 0.34
HD,"4,861 (0.20‰)",14.61 ± 0.21,"5,826 (0.25‰)",16.58 ± 0.22,"8,518 (0.36‰)",22.84 ± 0.26,"9,552 (0.53‰)",35.67 ± 0.39
Köppen-Geiger Climate Zone (koppen_major: A),,,,,,,,
CVD,"98,949 (2.82‰)",212.31 ± 0.68,"100,054 (2.68‰)",185.66 ± 0.60,"114,455 (2.92‰)",186.99 ± 0.57,"96,689 (3.06‰)",204.48 ± 0.69
IHD,"53,036 (1.51‰)",113.22 ± 0.49,"48,032 (1.29‰)",89.01 ± 0.41,"50,455 (1.29‰)",82.41 ± 0.37,"39,475 (1.25‰)",84.40 ± 0.45
Stroke,"15,662 (0.45‰)",33.63 ± 0.27,"17,821 (0.48‰)",32.89 ± 0.25,"27,306 (0.70‰)",43.43 ± 0.27,"25,238 (0.80‰)",50.43 ± 0.33
HD,"6,747 (0.19‰)",14.96 ± 0.18,"7,487 (0.20‰)",14.41 ± 0.17,"11,414 (0.29‰)",19.47 ± 0.19,"12,650 (0.40‰)",28.03 ± 0.26
HF,"3,801 (0.11‰)",7.84 ± 0.13,"5,823 (0.16‰)",10.19 ± 0.14,"6,488 (0.17‰)",10.07 ± 0.13,"5,312 (0.17‰)",10.57 ± 0.15
Köppen-Geiger Climate Zone (Dry),,,,,,,,
CVD,"287,223 (2.13‰)",234.24 ± 0.44,"300,793 (2.09‰)",208.81 ± 0.38,"347,988 (2.28‰)",208.55 ± 0.36,"305,083 (2.42‰)",235.42 ± 0.44
IHD,"143,494 (1.07‰)",116.54 ± 0.31,"142,310 (0.99‰)",98.18 ± 0.26,"155,064 (1.02‰)",92.06 ± 0.24,"125,928 (1.00‰)",97.19 ± 0.28
Stroke,"48,405 (0.36‰)",39.89 ± 0.18,"48,727 (0.34‰)",34.22 ± 0.16,"57,438 (0.38‰)",34.72 ± 0.15,"51,180 (0.41‰)",39.11 ± 0.18
HD,"23,900 (0.18‰)",19.30 ± 0.13,"32,100 (0.22‰)",22.18 ± 0.12,"45,013 (0.30‰)",27.03 ± 0.13,"48,987 (0.39‰)",38.12 ± 0.18
HF,"19,507 (0.14‰)",16.35 ± 0.12,"19,947 (0.14‰)",14.06 ± 0.10,"26,082 (0.17‰)",15.82 ± 0.10,"22,609 (0.18‰)",17.11 ± 0.12
Köppen-Geiger Climate Zone (Temperate),,,,,,,,
CVD,"2,552,374 (2.66‰)",257.15 ± 0.16,"2,552,541 (2.54‰)",227.88 ± 0.14,"2,795,968 (2.68‰)",222.73 ± 0.13,"2,384,640 (2.82‰)",251.72 ± 0.17
IHD,"1,276,883 (1.33‰)",128.29 ± 0.11,"1,172,068 (1.16‰)",104.15 ± 0.10,"1,171,433 (1.12‰)",92.62 ± 0.09,"919,889 (1.09‰)",97.59 ± 0.11
Stroke,"423,726 (0.44‰)",42.98 ± 0.07,"423,430 (0.42‰)",38.13 ± 0.06,"482,796 (0.46‰)",38.69 ± 0.06,"429,042 (0.51‰)",44.48 ± 0.07
HD,"196,042 (0.20‰)",19.60 ± 0.04,"233,347 (0.23‰)",20.70 ± 0.04,"324,186 (0.31‰)",25.85 ± 0.05,"347,141 (0.41‰)",37.08 ± 0.06
HF,"180,165 (0.19‰)",18.25 ± 0.04,"207,417 (0.21‰)",18.52 ± 0.04,"266,603 (0.26‰)",21.22 ± 0.04,"231,256 (0.27‰)",23.75 ± 0.05
Köppen-Geiger Climate Zone (Continental),,,,,,,,
CVD,"1,050,292 (2.75‰)",241.99 ± 0.24,"1,038,085 (2.68‰)",219.73 ± 0.22,"1,089,148 (2.78‰)",214.48 ± 0.21,"905,165 (2.93‰)",244.14 ± 0.26
IHD,"517,518 (1.36‰)",119.35 ± 0.17,"475,971 (1.23‰)",100.76 ± 0.15,"452,812 (1.16‰)",88.98 ± 0.13,"349,388 (1.13‰)",95.12 ± 0.17
Stroke,"173,522 (0.45‰)",40.00 ± 0.10,"165,926 (0.43‰)",35.26 ± 0.09,"175,019 (0.45‰)",34.52 ± 0.08,"148,902 (0.48‰)",39.31 ± 0.10
HF,"82,955 (0.22‰)",18.70 ± 0.07,"92,974 (0.24‰)",19.19 ± 0.06,"113,598 (0.29‰)",21.98 ± 0.07,"94,339 (0.31‰)",24.38 ± 0.08
HD,"70,745 (0.19‰)",16.21 ± 0.06,"81,557 (0.21‰)",17.20 ± 0.06,"106,847 (0.27‰)",21.08 ± 0.07,"114,806 (0.37‰)",31.30 ± 0.10
Köppen-Geiger Climate Zone (koppen_major: E),,,,,,,,
CVD,102 (1.15‰),245.85 ± 27.60,85 (0.90‰),157.69 ± 19.33,135 (1.44‰),211.95 ± 19.57,126 (1.58‰),215.39 ± 19.82
IHD,42 (0.47‰),99.30 ± 17.03,41 (0.44‰),68.85 ± 12.15,50 (0.53‰),80.97 ± 12.27,39 (0.49‰),66.24 ± 10.97
Stroke,12 (0.13‰),34.30 ± 10.79,18 (0.19‰),38.11 ± 9.96,27 (0.29‰),46.30 ± 9.38,20 (0.25‰),35.78 ± 8.22
HD,11 (0.12‰),28.87 ± 10.28,4 (0.04‰),8.14 ± 4.72,14 (0.15‰),20.97 ± 6.11,12 (0.15‰),21.84 ± 6.48
HF,7 (0.08‰),15.89 ± 7.09,1 (0.01‰),2.79 ± 2.79,8 (0.09‰),13.63 ± 5.17,12 (0.15‰),21.13 ± 6.35
County Economic Typology (Farming),,,,,,,,
CVD,"66,766 (3.21‰)",260.36 ± 1.01,"64,225 (3.03‰)",236.83 ± 0.95,"66,300 (3.12‰)",231.50 ± 0.91,"54,737 (3.21‰)",269.88 ± 1.21
IHD,"32,519 (1.56‰)",127.01 ± 0.71,"29,525 (1.39‰)",109.03 ± 0.64,"28,917 (1.36‰)",101.02 ± 0.60,"22,273 (1.30‰)",110.78 ± 0.78
Stroke,"11,787 (0.57‰)",45.88 ± 0.43,"10,776 (0.51‰)",39.68 ± 0.39,"10,755 (0.51‰)",37.55 ± 0.37,"8,647 (0.51‰)",41.96 ± 0.47
HF,"6,166 (0.30‰)",23.44 ± 0.30,"6,187 (0.29‰)",22.28 ± 0.29,"6,586 (0.31‰)",22.51 ± 0.28,"5,547 (0.32‰)",26.45 ± 0.37
HD,"4,351 (0.21‰)",16.97 ± 0.26,"5,378 (0.25‰)",19.87 ± 0.28,"7,557 (0.36‰)",26.46 ± 0.31,"7,876 (0.46‰)",38.90 ± 0.46
County Economic Typology (Mining),,,,,,,,
CVD,"45,959 (3.14‰)",297.83 ± 1.40,"44,709 (3.00‰)",267.14 ± 1.28,"47,808 (3.24‰)",263.96 ± 1.23,"40,860 (3.53‰)",315.14 ± 1.62
IHD,"23,647 (1.62‰)",151.80 ± 0.99,"22,076 (1.48‰)",130.66 ± 0.89,"21,628 (1.47‰)",118.32 ± 0.82,"17,109 (1.48‰)",132.88 ± 1.06
Stroke,"7,099 (0.49‰)",46.56 ± 0.56,"6,909 (0.46‰)",41.73 ± 0.51,"7,260 (0.49‰)",40.24 ± 0.48,"6,132 (0.53‰)",46.46 ± 0.61
HF,"4,323 (0.30‰)",28.64 ± 0.44,"4,138 (0.28‰)",25.17 ± 0.39,"4,838 (0.33‰)",26.86 ± 0.39,"4,037 (0.35‰)",29.97 ± 0.48
HD,"2,457 (0.17‰)",15.96 ± 0.32,"3,039 (0.20‰)",18.20 ± 0.33,"5,139 (0.35‰)",28.42 ± 0.40,"6,085 (0.53‰)",47.65 ± 0.64
County Economic Typology (Manufacturing),,,,,,,,
CVD,"881,658 (3.00‰)",266.85 ± 0.29,"883,676 (2.95‰)",243.10 ± 0.26,"946,901 (3.11‰)",239.04 ± 0.25,"812,392 (3.32‰)",277.34 ± 0.32
IHD,"429,886 (1.46‰)",129.73 ± 0.20,"402,849 (1.35‰)",110.33 ± 0.18,"393,718 (1.29‰)",98.73 ± 0.16,"313,990 (1.28‰)",108.09 ± 0.20
Stroke,"150,181 (0.51‰)",45.65 ± 0.12,"146,140 (0.49‰)",40.41 ± 0.11,"156,993 (0.52‰)",39.69 ± 0.10,"138,196 (0.56‰)",46.12 ± 0.13
HF,"70,710 (0.24‰)",21.31 ± 0.08,"80,394 (0.27‰)",21.92 ± 0.08,"100,890 (0.33‰)",25.28 ± 0.08,"84,804 (0.35‰)",27.99 ± 0.10
HD,"58,129 (0.20‰)",17.54 ± 0.07,"67,473 (0.23‰)",18.56 ± 0.07,"94,944 (0.31‰)",24.09 ± 0.08,"108,597 (0.44‰)",37.39 ± 0.12
County Economic Typology (Government),,,,,,,,
CVD,"422,798 (2.39‰)",252.26 ± 0.39,"430,899 (2.32‰)",225.71 ± 0.35,"478,471 (2.49‰)",222.36 ± 0.33,"417,929 (2.67‰)",255.55 ± 0.41
IHD,"197,914 (1.12‰)",117.58 ± 0.27,"189,570 (1.02‰)",98.68 ± 0.23,"192,696 (1.00‰)",88.72 ± 0.20,"155,109 (0.99‰)",95.26 ± 0.25
Stroke,"73,820 (0.42‰)",44.50 ± 0.16,"73,455 (0.40‰)",38.92 ± 0.14,"84,054 (0.44‰)",39.39 ± 0.14,"75,819 (0.49‰)",45.50 ± 0.17
HD,"33,625 (0.19‰)",19.87 ± 0.11,"39,820 (0.21‰)",20.68 ± 0.10,"55,980 (0.29‰)",26.01 ± 0.11,"61,453 (0.39‰)",38.08 ± 0.16
HF,"31,990 (0.18‰)",19.41 ± 0.11,"34,728 (0.19‰)",18.34 ± 0.10,"44,668 (0.23‰)",20.89 ± 0.10,"38,651 (0.25‰)",23.06 ± 0.12
County Economic Typology (Services),,,,,,,,
CVD,"1,670,503 (2.57‰)",237.44 ± 0.18,"1,656,079 (2.43‰)",209.02 ± 0.16,"1,805,813 (2.56‰)",204.18 ± 0.15,"1,501,331 (2.66‰)",226.36 ± 0.19
IHD,"872,437 (1.34‰)",123.87 ± 0.13,"785,456 (1.15‰)",98.94 ± 0.11,"781,838 (1.11‰)",88.03 ± 0.10,"599,301 (1.06‰)",90.92 ± 0.12
Stroke,"262,041 (0.40‰)",37.39 ± 0.07,"264,087 (0.39‰)",33.53 ± 0.07,"311,467 (0.44‰)",35.30 ± 0.06,"274,809 (0.49‰)",40.57 ± 0.08
HD,"133,812 (0.21‰)",18.93 ± 0.05,"156,968 (0.23‰)",19.77 ± 0.05,"207,839 (0.29‰)",23.58 ± 0.05,"208,766 (0.37‰)",31.97 ± 0.07
HF,"102,446 (0.16‰)",14.42 ± 0.05,"121,986 (0.18‰)",15.12 ± 0.04,"157,210 (0.22‰)",17.51 ± 0.04,"135,353 (0.24‰)",19.61 ± 0.05
County Economic Typology (Nonspecialized),,,,,,,,
CVD,"924,144 (2.55‰)",256.93 ± 0.27,"932,775 (2.46‰)",229.40 ± 0.24,"1,022,959 (2.59‰)",224.64 ± 0.22,"880,941 (2.71‰)",254.29 ± 0.28
IHD,"445,458 (1.23‰)",123.39 ± 0.19,"417,817 (1.10‰)",102.14 ± 0.16,"419,067 (1.06‰)",91.16 ± 0.14,"332,797 (1.03‰)",96.28 ± 0.17
Stroke,"160,128 (0.44‰)",44.89 ± 0.11,"158,064 (0.42‰)",39.29 ± 0.10,"175,622 (0.44‰)",38.91 ± 0.09,"153,755 (0.47‰)",43.84 ± 0.11
HF,"72,143 (0.20‰)",20.26 ± 0.08,"80,098 (0.21‰)",19.84 ± 0.07,"100,172 (0.25‰)",22.16 ± 0.07,"86,428 (0.27‰)",24.46 ± 0.08
HD,"67,674 (0.19‰)",18.64 ± 0.07,"84,575 (0.22‰)",20.64 ± 0.07,"119,109 (0.30‰)",26.13 ± 0.08,"133,439 (0.41‰)",38.92 ± 0.11
EQI Quintile (Q1 (best)),,,,,,,,
CVD,"168,960 (3.12‰)",284.18 ± 0.69,"168,524 (3.03‰)",252.34 ± 0.62,"183,861 (3.27‰)",247.39 ± 0.58,"158,249 (3.58‰)",293.24 ± 0.77
IHD,"84,083 (1.55‰)",140.72 ± 0.49,"78,387 (1.41‰)",116.64 ± 0.42,"80,094 (1.42‰)",107.14 ± 0.38,"63,659 (1.44‰)",118.94 ± 0.49
Stroke,"26,199 (0.48‰)",44.29 ± 0.27,"26,301 (0.47‰)",39.54 ± 0.25,"31,496 (0.56‰)",42.28 ± 0.24,"28,018 (0.63‰)",50.40 ± 0.31
HF,"14,682 (0.27‰)",25.03 ± 0.21,"15,710 (0.28‰)",23.56 ± 0.19,"17,258 (0.31‰)",23.00 ± 0.18,"14,259 (0.32‰)",25.68 ± 0.22
HD,"12,133 (0.22‰)",20.47 ± 0.19,"14,110 (0.25‰)",21.30 ± 0.18,"20,030 (0.36‰)",27.31 ± 0.20,"22,952 (0.52‰)",42.73 ± 0.29
EQI Quintile (Q2),,,,,,,,
CVD,"320,961 (3.32‰)",276.15 ± 0.49,"320,242 (3.22‰)",248.39 ± 0.44,"349,928 (3.42‰)",243.95 ± 0.42,"304,951 (3.65‰)",286.05 ± 0.55
IHD,"160,893 (1.66‰)",137.76 ± 0.35,"152,393 (1.53‰)",117.60 ± 0.30,"152,825 (1.50‰)",105.84 ± 0.28,"123,233 (1.48‰)",116.43 ± 0.35
Stroke,"52,580 (0.54‰)",45.31 ± 0.20,"51,561 (0.52‰)",39.94 ± 0.18,"58,283 (0.57‰)",40.37 ± 0.17,"52,099 (0.62‰)",47.39 ± 0.22
HF,"25,291 (0.26‰)",21.77 ± 0.14,"27,034 (0.27‰)",20.74 ± 0.13,"32,206 (0.32‰)",21.99 ± 0.12,"27,077 (0.32‰)",24.22 ± 0.15
HD,"21,215 (0.22‰)",18.43 ± 0.13,"25,595 (0.26‰)",20.13 ± 0.13,"38,970 (0.38‰)",27.60 ± 0.14,"45,503 (0.55‰)",43.18 ± 0.21
EQI Quintile (Q3),,,,,,,,
CVD,"538,147 (2.98‰)",264.99 ± 0.36,"540,704 (2.89‰)",239.35 ± 0.33,"593,271 (3.08‰)",235.95 ± 0.31,"512,245 (3.25‰)",270.38 ± 0.39
IHD,"266,422 (1.48‰)",130.69 ± 0.25,"250,652 (1.34‰)",110.40 ± 0.22,"253,342 (1.31‰)",99.97 ± 0.20,"204,465 (1.30‰)",108.59 ± 0.25
Stroke,"90,564 (0.50‰)",44.75 ± 0.15,"90,171 (0.48‰)",40.03 ± 0.13,"103,261 (0.54‰)",41.03 ± 0.13,"92,225 (0.59‰)",47.33 ± 0.16
HD,"41,069 (0.23‰)",20.26 ± 0.10,"48,091 (0.26‰)",21.39 ± 0.10,"67,363 (0.35‰)",27.06 ± 0.11,"74,502 (0.47‰)",39.93 ± 0.15
HF,"38,336 (0.21‰)",18.84 ± 0.10,"42,802 (0.23‰)",18.78 ± 0.09,"52,029 (0.27‰)",20.47 ± 0.09,"44,897 (0.29‰)",22.78 ± 0.11
EQI Quintile (Q4),,,,,,,,
CVD,"764,731 (2.93‰)",266.01 ± 0.31,"760,509 (2.81‰)",239.29 ± 0.28,"822,501 (2.95‰)",235.27 ± 0.26,"698,152 (3.05‰)",266.63 ± 0.33
IHD,"384,173 (1.47‰)",133.34 ± 0.22,"354,312 (1.31‰)",111.07 ± 0.19,"354,088 (1.27‰)",100.65 ± 0.17,"273,613 (1.20‰)",105.00 ± 0.21
Stroke,"126,713 (0.49‰)",44.20 ± 0.12,"124,260 (0.46‰)",39.26 ± 0.11,"135,552 (0.49‰)",38.84 ± 0.11,"118,107 (0.52‰)",44.14 ± 0.13
HF,"55,689 (0.21‰)",19.24 ± 0.08,"61,252 (0.23‰)",19.06 ± 0.08,"75,918 (0.27‰)",21.53 ± 0.08,"66,967 (0.29‰)",24.71 ± 0.10
HD,"52,502 (0.20‰)",18.22 ± 0.08,"64,089 (0.24‰)",20.18 ± 0.08,"90,214 (0.32‰)",25.91 ± 0.09,"98,716 (0.43‰)",38.14 ± 0.13
EQI Quintile (Q5 (worst)),,,,,,,,
CVD,"2,218,704 (2.39‰)",237.51 ± 0.16,"2,221,927 (2.29‰)",210.62 ± 0.14,"2,418,207 (2.41‰)",205.87 ± 0.13,"2,034,141 (2.53‰)",230.35 ± 0.17
IHD,"1,106,124 (1.19‰)",118.32 ± 0.11,"1,011,364 (1.04‰)",95.64 ± 0.10,"997,343 (0.99‰)",84.43 ± 0.09,"775,451 (0.96‰)",88.27 ± 0.10
Stroke,"368,938 (0.40‰)",39.76 ± 0.07,"367,043 (0.38‰)",35.14 ± 0.06,"417,454 (0.42‰)",35.81 ± 0.06,"366,816 (0.46‰)",40.96 ± 0.07
HD,"173,120 (0.19‰)",18.30 ± 0.04,"205,348 (0.21‰)",19.25 ± 0.04,"273,951 (0.27‰)",23.24 ± 0.04,"284,488 (0.35‰)",32.58 ± 0.06
HF,"153,759 (0.17‰)",16.43 ± 0.04,"180,688 (0.19‰)",17.01 ± 0.04,"236,920 (0.24‰)",20.12 ± 0.04,"201,574 (0.25‰)",22.22 ± 0.05
