Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
Cancer,"2,825,477 (1.86‰)",176.33 ± 0.11,"2,926,757 (1.85‰)",163.23 ± 0.10,"2,994,374 (1.83‰)",149.14 ± 0.09,,
Colorectal,"265,133 (0.17‰)",16.54 ± 0.03,"261,648 (0.17‰)",14.61 ± 0.03,"265,502 (0.16‰)",13.37 ± 0.03,,
Liver,"91,402 (0.06‰)",5.60 ± 0.02,"118,921 (0.08‰)",6.43 ± 0.02,"137,418 (0.08‰)",6.64 ± 0.02,,
Pancreatic,"175,157 (0.12‰)",10.90 ± 0.03,"196,991 (0.12‰)",10.92 ± 0.02,"224,198 (0.14‰)",11.05 ± 0.02,,
Lung,"791,556 (0.52‰)",49.42 ± 0.06,"779,260 (0.49‰)",43.25 ± 0.05,"712,171 (0.44‰)",34.91 ± 0.04,,
Breast,"205,413 (0.14‰)",12.71 ± 0.03,"207,617 (0.13‰)",11.60 ± 0.03,"212,665 (0.13‰)",10.81 ± 0.02,,
Ovarian,"72,747 (0.05‰)",4.51 ± 0.02,"71,067 (0.04‰)",3.96 ± 0.02,"68,985 (0.04‰)",3.44 ± 0.01,,
Prostate,"142,538 (0.09‰)",9.03 ± 0.02,"140,034 (0.09‰)",7.89 ± 0.02,"156,629 (0.10‰)",7.80 ± 0.02,,
Kidney,"64,036 (0.04‰)",3.97 ± 0.02,"69,227 (0.04‰)",3.83 ± 0.01,"70,284 (0.04‰)",3.49 ± 0.01,,
NHL,"102,002 (0.07‰)",6.43 ± 0.02,"101,206 (0.06‰)",5.73 ± 0.02,"101,358 (0.06‰)",5.12 ± 0.02,,
Leukemia,"110,587 (0.07‰)",7.01 ± 0.02,"115,179 (0.07‰)",6.59 ± 0.02,"115,949 (0.07‰)",5.94 ± 0.02,,
RUCC (Metropolitan urbanized),,,,,,,,
Cancer,"2,294,619 (1.78‰)",174.23 ± 0.12,"2,383,759 (1.76‰)",160.49 ± 0.11,"2,446,144 (1.74‰)",145.93 ± 0.09,,
Colorectal,"213,938 (0.17‰)",16.23 ± 0.04,"211,222 (0.16‰)",14.21 ± 0.03,"215,097 (0.15‰)",12.94 ± 0.03,,
Liver,"77,155 (0.06‰)",5.73 ± 0.02,"100,380 (0.07‰)",6.54 ± 0.02,"115,393 (0.08‰)",6.67 ± 0.02,,
Pancreatic,"144,355 (0.11‰)",10.95 ± 0.03,"162,972 (0.12‰)",10.92 ± 0.03,"185,786 (0.13‰)",10.98 ± 0.03,,
Lung,"630,725 (0.49‰)",48.04 ± 0.06,"619,799 (0.46‰)",41.65 ± 0.05,"565,246 (0.40‰)",33.28 ± 0.04,,
Breast,"171,216 (0.13‰)",12.83 ± 0.03,"173,422 (0.13‰)",11.64 ± 0.03,"178,758 (0.13‰)",10.83 ± 0.03,,
Ovarian,"60,192 (0.05‰)",4.54 ± 0.02,"59,120 (0.04‰)",3.97 ± 0.02,"58,110 (0.04‰)",3.46 ± 0.01,,
Prostate,"115,263 (0.09‰)",8.92 ± 0.03,"114,151 (0.08‰)",7.79 ± 0.02,"128,832 (0.09‰)",7.71 ± 0.02,,
Kidney,"51,358 (0.04‰)",3.88 ± 0.02,"55,805 (0.04‰)",3.73 ± 0.02,"56,232 (0.04‰)",3.35 ± 0.01,,
NHL,"83,129 (0.06‰)",6.38 ± 0.02,"82,818 (0.06‰)",5.67 ± 0.02,"83,468 (0.06‰)",5.06 ± 0.02,,
Leukemia,"90,376 (0.07‰)",6.96 ± 0.02,"94,627 (0.07‰)",6.53 ± 0.02,"95,548 (0.07‰)",5.87 ± 0.02,,
RUCC (Non-metropolitan urbanized),,,,,,,,
Cancer,"199,087 (2.17‰)",185.75 ± 0.42,"204,708 (2.20‰)",175.50 ± 0.39,"207,960 (2.23‰)",164.11 ± 0.37,,
Colorectal,"18,751 (0.20‰)",17.51 ± 0.13,"18,587 (0.20‰)",16.09 ± 0.12,"18,710 (0.20‰)",15.10 ± 0.11,,
Liver,"5,400 (0.06‰)",4.98 ± 0.07,"7,246 (0.08‰)",6.06 ± 0.07,"8,560 (0.09‰)",6.55 ± 0.07,,
Pancreatic,"11,684 (0.13‰)",10.83 ± 0.10,"12,901 (0.14‰)",10.94 ± 0.10,"14,773 (0.16‰)",11.49 ± 0.10,,
Lung,"59,250 (0.65‰)",54.94 ± 0.23,"58,866 (0.63‰)",49.79 ± 0.21,"54,134 (0.58‰)",41.67 ± 0.18,,
Breast,"13,150 (0.14‰)",12.34 ± 0.11,"13,313 (0.14‰)",11.60 ± 0.10,"13,319 (0.14‰)",10.90 ± 0.10,,
Ovarian,"4,938 (0.05‰)",4.62 ± 0.07,"4,693 (0.05‰)",4.04 ± 0.06,"4,327 (0.05‰)",3.45 ± 0.05,,
Prostate,"9,830 (0.11‰)",9.18 ± 0.09,"9,600 (0.10‰)",8.19 ± 0.08,"10,415 (0.11‰)",8.10 ± 0.08,,
Kidney,"4,739 (0.05‰)",4.39 ± 0.06,"4,875 (0.05‰)",4.14 ± 0.06,"5,309 (0.06‰)",4.17 ± 0.06,,
NHL,"7,289 (0.08‰)",6.85 ± 0.08,"7,157 (0.08‰)",6.22 ± 0.07,"6,821 (0.07‰)",5.43 ± 0.07,,
Leukemia,"7,623 (0.08‰)",7.21 ± 0.08,"7,766 (0.08‰)",6.81 ± 0.08,"7,707 (0.08‰)",6.22 ± 0.07,,
RUCC (Less urbanized),,,,,,,,
Cancer,"272,516 (2.37‰)",188.60 ± 0.36,"277,719 (2.42‰)",179.49 ± 0.35,"279,522 (2.46‰)",168.95 ± 0.33,,
Colorectal,"26,520 (0.23‰)",18.36 ± 0.11,"26,156 (0.23‰)",17.07 ± 0.11,"25,955 (0.23‰)",16.06 ± 0.10,,
Liver,"7,336 (0.06‰)",5.06 ± 0.06,"9,437 (0.08‰)",6.00 ± 0.06,"11,161 (0.10‰)",6.60 ± 0.06,,
Pancreatic,"15,693 (0.14‰)",10.81 ± 0.09,"17,292 (0.15‰)",11.07 ± 0.09,"19,446 (0.17‰)",11.59 ± 0.08,,
Lung,"83,228 (0.73‰)",57.05 ± 0.20,"82,247 (0.72‰)",52.29 ± 0.18,"76,032 (0.67‰)",44.75 ± 0.17,,
Breast,"17,465 (0.15‰)",12.27 ± 0.09,"17,308 (0.15‰)",11.47 ± 0.09,"17,098 (0.15‰)",10.80 ± 0.09,,
Ovarian,"6,253 (0.05‰)",4.33 ± 0.06,"5,920 (0.05‰)",3.86 ± 0.05,"5,446 (0.05‰)",3.33 ± 0.05,,
Prostate,"14,110 (0.12‰)",9.67 ± 0.08,"13,234 (0.12‰)",8.43 ± 0.07,"14,131 (0.12‰)",8.31 ± 0.07,,
Kidney,"6,535 (0.06‰)",4.50 ± 0.06,"7,034 (0.06‰)",4.52 ± 0.05,"7,203 (0.06‰)",4.35 ± 0.05,,
NHL,"9,564 (0.08‰)",6.67 ± 0.07,"9,288 (0.08‰)",6.03 ± 0.06,"9,155 (0.08‰)",5.52 ± 0.06,,
Leukemia,"10,384 (0.09‰)",7.30 ± 0.07,"10,464 (0.09‰)",6.89 ± 0.07,"10,384 (0.09‰)",6.41 ± 0.06,,
RUCC (Thinly populated),,,,,,,,
Cancer,"59,255 (2.49‰)",177.07 ± 0.73,"60,571 (2.57‰)",169.90 ± 0.70,"60,748 (2.60‰)",158.93 ± 0.66,,
Colorectal,"5,924 (0.25‰)",17.76 ± 0.23,"5,683 (0.24‰)",16.09 ± 0.22,"5,740 (0.25‰)",15.39 ± 0.21,,
Liver,"1,511 (0.06‰)",4.53 ± 0.12,"1,858 (0.08‰)",5.18 ± 0.12,"2,304 (0.10‰)",5.94 ± 0.13,,
Pancreatic,"3,425 (0.14‰)",10.17 ± 0.17,"3,826 (0.16‰)",10.65 ± 0.18,"4,193 (0.18‰)",10.86 ± 0.17,,
Lung,"18,353 (0.77‰)",54.36 ± 0.40,"18,348 (0.78‰)",50.70 ± 0.38,"16,759 (0.72‰)",42.95 ± 0.34,,
Breast,"3,582 (0.15‰)",10.86 ± 0.18,"3,574 (0.15‰)",10.30 ± 0.18,"3,490 (0.15‰)",9.50 ± 0.17,,
Ovarian,"1,364 (0.06‰)",4.08 ± 0.11,"1,334 (0.06‰)",3.81 ± 0.11,"1,102 (0.05‰)",2.93 ± 0.09,,
Prostate,"3,335 (0.14‰)",9.82 ± 0.17,"3,049 (0.13‰)",8.41 ± 0.15,"3,251 (0.14‰)",8.23 ± 0.15,,
Kidney,"1,404 (0.06‰)",4.19 ± 0.11,"1,513 (0.06‰)",4.20 ± 0.11,"1,540 (0.07‰)",4.02 ± 0.11,,
NHL,"2,020 (0.08‰)",6.06 ± 0.14,"1,943 (0.08‰)",5.47 ± 0.13,"1,914 (0.08‰)",4.99 ± 0.12,,
Leukemia,"2,204 (0.09‰)",6.64 ± 0.14,"2,322 (0.10‰)",6.57 ± 0.14,"2,310 (0.10‰)",6.06 ± 0.13,,
Census Region (Northeast),,,,,,,,
Cancer,"552,311 (2.01‰)",175.03 ± 0.24,"548,545 (1.96‰)",160.90 ± 0.22,"536,373 (1.91‰)",144.99 ± 0.20,,
Colorectal,"52,973 (0.19‰)",16.65 ± 0.07,"48,809 (0.17‰)",14.24 ± 0.07,"46,196 (0.16‰)",12.59 ± 0.06,,
Liver,"17,245 (0.06‰)",5.44 ± 0.04,"20,808 (0.07‰)",6.01 ± 0.04,"22,569 (0.08‰)",6.00 ± 0.04,,
Pancreatic,"36,033 (0.13‰)",11.38 ± 0.06,"38,929 (0.14‰)",11.35 ± 0.06,"42,458 (0.15‰)",11.38 ± 0.06,,
Lung,"147,076 (0.54‰)",46.92 ± 0.12,"140,660 (0.50‰)",41.33 ± 0.11,"123,606 (0.44‰)",33.05 ± 0.10,,
Breast,"41,408 (0.15‰)",13.08 ± 0.06,"39,474 (0.14‰)",11.63 ± 0.06,"38,329 (0.14‰)",10.58 ± 0.06,,
Ovarian,"14,923 (0.05‰)",4.71 ± 0.04,"14,054 (0.05‰)",4.12 ± 0.04,"12,997 (0.05‰)",3.53 ± 0.03,,
Prostate,"27,184 (0.10‰)",8.45 ± 0.05,"25,739 (0.09‰)",7.41 ± 0.05,"26,933 (0.10‰)",7.11 ± 0.04,,
Kidney,"11,382 (0.04‰)",3.60 ± 0.03,"11,627 (0.04‰)",3.39 ± 0.03,"10,905 (0.04‰)",2.95 ± 0.03,,
NHL,"20,145 (0.07‰)",6.39 ± 0.05,"19,246 (0.07‰)",5.69 ± 0.04,"18,719 (0.07‰)",5.10 ± 0.04,,
Leukemia,"21,424 (0.08‰)",6.87 ± 0.05,"21,821 (0.08‰)",6.52 ± 0.04,"21,123 (0.08‰)",5.83 ± 0.04,,
Census Region (Midwest),,,,,,,,
Cancer,"661,223 (2.00‰)",182.71 ± 0.23,"674,453 (2.01‰)",171.10 ± 0.21,"677,918 (2.00‰)",157.68 ± 0.19,,
Colorectal,"62,455 (0.19‰)",17.16 ± 0.07,"59,979 (0.18‰)",15.22 ± 0.06,"58,977 (0.17‰)",13.88 ± 0.06,,
