Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
Suicide,"176,454 (0.12‰)",11.37 ± 0.03,"204,535 (0.13‰)",12.52 ± 0.03,"229,538 (0.14‰)",13.54 ± 0.03,"193,447 (0.15‰)",15.62 ± 0.04
Suicide(M),"137,044 (0.18‰)",18.39 ± 0.05,"156,450 (0.20‰)",19.77 ± 0.05,"176,821 (0.22‰)",21.37 ± 0.05,"149,973 (0.23‰)",24.56 ± 0.06
Suicide(F),"39,410 (0.05‰)",4.98 ± 0.03,"48,085 (0.06‰)",5.83 ± 0.03,"52,717 (0.06‰)",6.21 ± 0.03,"43,474 (0.07‰)",7.09 ± 0.03
VS,"144,385 (0.10‰)",9.32 ± 0.02,"170,842 (0.11‰)",10.48 ± 0.03,"198,355 (0.12‰)",11.73 ± 0.03,"168,346 (0.13‰)",13.57 ± 0.03
NVS,"31,708 (0.02‰)",2.03 ± 0.01,"33,347 (0.02‰)",2.02 ± 0.01,"30,929 (0.02‰)",1.79 ± 0.01,"23,104 (0.02‰)",1.89 ± 0.01
SI,361 (0.00‰),0.02 ± 0.00,346 (0.00‰),0.02 ± 0.00,254 (0.00‰),0.01 ± 0.00,"1,997 (0.00‰)",0.17 ± 0.00
Race,,,,,,,,
Suicide(White),"159,038 (0.13‰)",12.62 ± 0.03,"183,641 (0.15‰)",14.04 ± 0.03,"202,043 (0.16‰)",15.13 ± 0.03,"163,089 (0.17‰)",17.24 ± 0.04
Suicide(Black),"9,417 (0.05‰)",4.72 ± 0.05,"10,800 (0.05‰)",5.02 ± 0.05,"14,535 (0.06‰)",6.27 ± 0.05,"14,574 (0.08‰)",8.48 ± 0.07
Suicide(Others),"8,006 (0.08‰)",7.91 ± 0.09,"10,097 (0.09‰)",8.51 ± 0.09,"12,960 (0.10‰)",9.58 ± 0.08,"15,784 (0.10‰)",11.56 ± 0.09
RUCC (Metropolitan urbanized),,,,,,,,
Suicide,"144,668 (0.11‰)",11.01 ± 0.03,"168,177 (0.12‰)",12.07 ± 0.03,"188,859 (0.13‰)",12.97 ± 0.03,"159,333 (0.14‰)",14.92 ± 0.04
VS,"117,206 (0.09‰)",8.94 ± 0.03,"139,125 (0.10‰)",10.01 ± 0.03,"161,993 (0.12‰)",11.16 ± 0.03,"137,534 (0.12‰)",12.86 ± 0.04
NVS,"27,151 (0.02‰)",2.05 ± 0.01,"28,761 (0.02‰)",2.04 ± 0.01,"26,639 (0.02‰)",1.80 ± 0.01,"19,993 (0.02‰)",1.89 ± 0.01
SI,311 (0.00‰),0.02 ± 0.00,291 (0.00‰),0.02 ± 0.00,227 (0.00‰),0.02 ± 0.00,"1,806 (0.00‰)",0.17 ± 0.00
RUCC (Non-metropolitan urbanized),,,,,,,,
Suicide,"12,938 (0.14‰)",13.87 ± 0.12,"14,914 (0.16‰)",15.73 ± 0.13,"17,036 (0.18‰)",17.94 ± 0.14,"14,233 (0.19‰)",20.72 ± 0.18
VS,"10,838 (0.12‰)",11.60 ± 0.11,"12,870 (0.14‰)",13.58 ± 0.12,"15,101 (0.16‰)",15.91 ± 0.13,"12,739 (0.17‰)",18.49 ± 0.17
