Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,Dry,269032,169761951,157.2789,0.3044,156.6852,157.8744,157.28 ± 0.30
2006-2010,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,Temperate,1790493,962061770,178.3828,0.1341,178.1216,178.6443,178.38 ± 0.13
2006-2010,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,Continental,751259,380838258,178.3841,0.2072,177.9809,178.7879,178.38 ± 0.21
2006-2010,C00_C97,All-site Cancer,Cancer,Köppen-Geiger Climate Zone,National,2810784,1512661979,176.1299,0.1056,175.9241,176.336,176.13 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,Dry,25847,169761951,15.1269,0.0944,14.9431,15.3125,15.13 ± 0.09
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,Temperate,167536,962061770,16.7043,0.041,16.6244,16.7845,16.70 ± 0.04
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,Continental,70262,380838258,16.5787,0.063,16.4563,16.7018,16.58 ± 0.06
2006-2010,C18_C21,Colorectal Cancer,Colorectal,Köppen-Geiger Climate Zone,National,263645,1512661979,16.5107,0.0323,16.4478,16.5739,16.51 ± 0.03
2006-2010,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,Dry,10101,169761951,5.8069,0.058,5.6942,5.9212,5.81 ± 0.06
2006-2010,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,Temperate,59818,962061770,5.8268,0.024,5.7802,5.8737,5.83 ± 0.02
2006-2010,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,Continental,20900,380838258,4.9075,0.0342,4.8411,4.9744,4.91 ± 0.03
2006-2010,C22,Liver Cancer,Liver,Köppen-Geiger Climate Zone,National,90819,1512661979,5.5849,0.0187,5.5486,5.6213,5.58 ± 0.02
2006-2010,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,Dry,17403,169761951,10.1385,0.0771,9.9884,10.2903,10.14 ± 0.08
2006-2010,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,Temperate,109568,962061770,10.9002,0.0331,10.8357,10.9649,10.90 ± 0.03
2006-2010,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,Continental,47267,380838258,11.1806,0.0518,11.0801,11.2819,11.18 ± 0.05
2006-2010,C25,Pancreatic Cancer,Pancreatic,Köppen-Geiger Climate Zone,National,174238,1512661979,10.8897,0.0262,10.8386,10.9409,10.89 ± 0.03
2006-2010,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,Dry,67954,169761951,39.7116,0.1529,39.4136,40.0113,39.71 ± 0.15
2006-2010,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,Temperate,511138,962061770,50.8666,0.0716,50.7272,51.0062,50.87 ± 0.07
2006-2010,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,Continental,208144,380838258,49.7216,0.1096,49.5083,49.9357,49.72 ± 0.11
2006-2010,C34,Lung Cancer,Lung,Köppen-Geiger Climate Zone,National,787236,1512661979,49.3533,0.0559,49.2444,49.4625,49.35 ± 0.06
2006-2010,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,Dry,19680,169761951,11.4188,0.0818,11.2598,11.5795,11.42 ± 0.08
2006-2010,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,Temperate,130850,962061770,12.9097,0.0359,12.8399,12.9799,12.91 ± 0.04
2006-2010,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,Continental,53752,380838258,12.6722,0.0551,12.5653,12.7798,12.67 ± 0.06
2006-2010,C50,Breast Cancer,Breast,Köppen-Geiger Climate Zone,National,204282,1512661979,12.6924,0.0283,12.6375,12.7476,12.69 ± 0.03
2006-2010,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,Dry,7074,169761951,4.1051,0.049,4.01,4.2019,4.11 ± 0.05
2006-2010,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,Temperate,45666,962061770,4.5227,0.0213,4.4813,4.5643,4.52 ± 0.02
2006-2010,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,Continental,19709,380838258,4.6604,0.0334,4.5956,4.7259,4.66 ± 0.03
2006-2010,C56,Ovary Cancer,Ovarian,Köppen-Geiger Climate Zone,National,72449,1512661979,4.513,0.0169,4.4802,4.5459,4.51 ± 0.02
2006-2010,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,Dry,15089,169761951,9.0014,0.0734,8.8583,9.1462,9.00 ± 0.07
2006-2010,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,Temperate,88676,962061770,9.0467,0.0305,8.9872,9.1064,9.05 ± 0.03
2006-2010,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,Continental,37951,380838258,8.9374,0.0461,8.8477,9.0278,8.94 ± 0.05
2006-2010,C61,Prostate Cancer,Prostate,Köppen-Geiger Climate Zone,National,141716,1512661979,9.0137,0.024,8.9668,9.0608,9.01 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,Dry,6446,169761951,3.7388,0.0468,3.6481,3.8313,3.74 ± 0.05
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,Temperate,39973,962061770,3.9552,0.0199,3.9165,3.9941,3.96 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,Continental,17328,380838258,4.0953,0.0313,4.0345,4.1567,4.10 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Kidney,Köppen-Geiger Climate Zone,National,63747,1512661979,3.9682,0.0158,3.9375,3.9992,3.97 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,Dry,10173,169761951,6.0087,0.0598,5.8925,6.1266,6.01 ± 0.06
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,Temperate,63148,962061770,6.3727,0.0255,6.3231,6.4226,6.37 ± 0.03
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,Continental,28302,380838258,6.7398,0.0403,6.6615,6.8188,6.74 ± 0.04
2006-2010,C82_C85,Non-Hodgkin Lymphoma,NHL,Köppen-Geiger Climate Zone,National,101623,1512661979,6.4346,0.0203,6.3951,6.4743,6.43 ± 0.02
2006-2010,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,Dry,11095,169761951,6.5643,0.0625,6.4427,6.6876,6.56 ± 0.06
2006-2010,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,Temperate,68529,962061770,6.9429,0.0267,6.891,6.9951,6.94 ± 0.03
2006-2010,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,Continental,30521,380838258,7.3275,0.0422,7.2455,7.4101,7.33 ± 0.04
2006-2010,C91_C95,Leukemia,Leukemia,Köppen-Geiger Climate Zone,National,110145,1512661979,7.0062,0.0212,6.9648,7.0477,7.01 ± 0.02
2006-2010,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,Dry,4357,169761951,2.6127,0.0396,2.5357,2.6914,2.61 ± 0.04
2006-2010,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,Temperate,29809,962061770,3.0361,0.0176,3.0017,3.0707,3.04 ± 0.02
2006-2010,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,Continental,11795,380838258,2.6569,0.0246,2.6092,2.7053,2.66 ± 0.02
2006-2010,F01,Vascular Dementia (VD),VD,Köppen-Geiger Climate Zone,National,45961,1512661979,2.8859,0.0135,2.8595,2.9124,2.89 ± 0.01
2006-2010,F03,Unspecified Dementia (UD),UD,Köppen-Geiger Climate Zone,Dry,36729,169761951,21.9964,0.1149,21.772,22.2225,22.00 ± 0.11
2006-2010,F03,Unspecified Dementia (UD),UD,Köppen-Geiger Climate Zone,Temperate,242368,962061770,24.6341,0.0501,24.5361,24.7323,24.63 ± 0.05
2006-2010,F03,Unspecified Dementia (UD),UD,Köppen-Geiger Climate Zone,Continental,122365,380838258,27.2945,0.0784,27.1418,27.4479,27.29 ± 0.08
2006-2010,F03,Unspecified Dementia (UD),UD,Köppen-Geiger Climate Zone,National,401462,1512661979,25.1091,0.0397,25.0315,25.1869,25.11 ± 0.04
2006-2010,G10,Huntington's Disease (HD),HD,Köppen-Geiger Climate Zone,Dry,385,169761951,0.2203,0.0113,0.1988,0.2434,0.22 ± 0.01
2006-2010,G10,Huntington's Disease (HD),HD,Köppen-Geiger Climate Zone,Temperate,2603,962061770,0.2536,0.005,0.244,0.2636,0.25 ± 0.01
