Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,C00_C97,Cancer,EQI Cluster,Low-burden,173953,80928570,185.8406,0.4492,184.9683,186.716,185.84 ± 0.45
2006-2010,C00_C97,C00_C97,Cancer,EQI Cluster,Mixed-burden,864634,428952656,178.3514,0.1927,177.9757,178.7277,178.35 ± 0.19
2006-2010,C00_C97,C00_C97,Cancer,EQI Cluster,High-burden,1786847,1008867606,174.6942,0.1316,174.4381,174.9505,174.69 ± 0.13
2006-2010,C00_C97,C00_C97,Cancer,EQI Cluster,National,2825434,1518748832,176.3614,0.1055,176.1558,176.5672,176.36 ± 0.11
2006-2010,C00_C97,C00_C97,Cancer,Land Use Cluster,Natural,1039198,571554527,174.8978,0.1727,174.5617,175.2344,174.90 ± 0.17
2006-2010,C00_C97,C00_C97,Cancer,Land Use Cluster,Water-sensitive,527710,249881527,176.3577,0.244,175.8822,176.8342,176.36 ± 0.24
2006-2010,C00_C97,C00_C97,Cancer,Land Use Cluster,Agricultural,495782,256231205,180.9791,0.2585,180.4756,181.4835,180.98 ± 0.26
2006-2010,C00_C97,C00_C97,Cancer,Land Use Cluster,Urban,762744,441081573,175.6369,0.2026,175.2429,176.0315,175.64 ± 0.20
2006-2010,C00_C97,C00_C97,Cancer,Land Use Cluster,National,2825434,1518748832,176.3614,0.1055,176.1558,176.5672,176.36 ± 0.11
2006-2010,C18_C21,C18_C21,Colorectal,EQI Cluster,Low-burden,16670,80928570,17.9642,0.1403,17.6926,18.239,17.96 ± 0.14
2006-2010,C18_C21,C18_C21,Colorectal,EQI Cluster,Mixed-burden,82220,428952656,16.9271,0.0593,16.8116,17.0432,16.93 ± 0.06
2006-2010,C18_C21,C18_C21,Colorectal,EQI Cluster,High-burden,166327,1008867606,16.2499,0.0401,16.1719,16.3282,16.25 ± 0.04
2006-2010,C18_C21,C18_C21,Colorectal,EQI Cluster,National,265217,1518748832,16.5442,0.0323,16.4813,16.6073,16.54 ± 0.03
2006-2010,C18_C21,C18_C21,Colorectal,Land Use Cluster,Natural,96378,571554527,16.2673,0.0527,16.1647,16.3703,16.27 ± 0.05
2006-2010,C18_C21,C18_C21,Colorectal,Land Use Cluster,Water-sensitive,48102,249881527,16.0411,0.0735,15.8981,16.1851,16.04 ± 0.07
