Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,Cancer,EQI Quintile,National,2825257,1518958033,176.33,0.1055,176.1245,176.5358,176.33 ± 0.11
2006-2010,C00_C97,All-site Cancer,Cancer,EQI Quintile,Q1 (best),108639,54149792,176.7989,0.5398,175.7492,177.8534,176.80 ± 0.54
2006-2010,C00_C97,All-site Cancer,Cancer,EQI Quintile,Q2,216142,96778284,182.7814,0.396,182.0117,183.5537,182.78 ± 0.40
2006-2010,C00_C97,All-site Cancer,Cancer,EQI Quintile,Q3,374287,180414358,182.7817,0.3003,182.1966,183.3682,182.78 ± 0.30
2006-2010,C00_C97,All-site Cancer,Cancer,EQI Quintile,Q4,523453,260777432,182.6834,0.2538,182.1888,183.179,182.68 ± 0.25
2006-2010,C00_C97,All-site Cancer,Cancer,EQI Quintile,Q5 (worst),1602736,926838167,172.3996,0.1372,172.1328,172.6667,172.40 ± 0.14
2006-2010,C18_C21,Colorectal Cancer,Colorectal,EQI Quintile,National,265107,1518958033,16.5355,0.0323,16.4727,16.5986,16.54 ± 0.03
2006-2010,C18_C21,Colorectal Cancer,Colorectal,EQI Quintile,Q1 (best),10756,54149792,17.644,0.1712,17.3121,17.9806,17.64 ± 0.17
2006-2010,C18_C21,Colorectal Cancer,Colorectal,EQI Quintile,Q2,20130,96778284,17.121,0.1216,16.8853,17.3592,17.12 ± 0.12
2006-2010,C18_C21,Colorectal Cancer,Colorectal,EQI Quintile,Q3,35238,180414358,17.259,0.0924,17.0793,17.4402,17.26 ± 0.09
2006-2010,C18_C21,Colorectal Cancer,Colorectal,EQI Quintile,Q4,49860,260777432,17.3904,0.0783,17.2381,17.5438,17.39 ± 0.08
2006-2010,C18_C21,Colorectal Cancer,Colorectal,EQI Quintile,Q5 (worst),149123,926838167,15.9985,0.0417,15.9174,16.0799,16.00 ± 0.04
2006-2010,C22,Liver Cancer,Liver,EQI Quintile,National,91397,1518958033,5.5974,0.0186,5.5612,5.6338,5.60 ± 0.02
2006-2010,C22,Liver Cancer,Liver,EQI Quintile,Q1 (best),3687,54149792,5.9455,0.0986,5.7551,6.1406,5.95 ± 0.10
2006-2010,C22,Liver Cancer,Liver,EQI Quintile,Q2,6587,96778284,5.5622,0.069,5.4287,5.6982,5.56 ± 0.07
2006-2010,C22,Liver Cancer,Liver,EQI Quintile,Q3,11615,180414358,5.6014,0.0523,5.5,5.7042,5.60 ± 0.05
