Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,Cancer,RUCC,Metropolitan urbanized,2294619,1288964259,174.2294,0.1157,174.0041,174.455,174.23 ± 0.12
2006-2010,C00_C97,All-site Cancer,Cancer,RUCC,Non-metropolitan urbanized,199087,91640982,185.7512,0.4191,184.9361,186.5689,185.75 ± 0.42
2006-2010,C00_C97,All-site Cancer,Cancer,RUCC,Less urbanized,272516,114771138,188.6015,0.3641,187.894,189.3109,188.60 ± 0.36
2006-2010,C00_C97,All-site Cancer,Cancer,RUCC,Thinly populated,59255,23771547,177.0655,0.7346,175.6426,178.497,177.07 ± 0.73
2006-2010,C00_C97,All-site Cancer,Cancer,RUCC,National,2825477,1519147926,176.3278,0.1055,176.1222,176.5335,176.33 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,Colorectal,RUCC,Metropolitan urbanized,213938,1288964259,16.2294,0.0353,16.1607,16.2983,16.23 ± 0.04
2006-2010,C18_C21,Colorectal Cancer,Colorectal,RUCC,Non-metropolitan urbanized,18751,91640982,17.509,0.1287,17.2593,17.7614,17.51 ± 0.13
2006-2010,C18_C21,Colorectal Cancer,Colorectal,RUCC,Less urbanized,26520,114771138,18.3621,0.1137,18.1418,18.5845,18.36 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,Colorectal,RUCC,Thinly populated,5924,23771547,17.7574,0.2332,17.3081,18.2155,17.76 ± 0.23
2006-2010,C18_C21,Colorectal Cancer,Colorectal,RUCC,National,265133,1519147926,16.5357,0.0323,16.4729,16.5988,16.54 ± 0.03
2006-2010,C22,Liver Cancer,Liver,RUCC,Metropolitan urbanized,77155,1288964259,5.7311,0.0208,5.6907,5.7717,5.73 ± 0.02
2006-2010,C22,Liver Cancer,Liver,RUCC,Non-metropolitan urbanized,5400,91640982,4.9794,0.0683,4.8475,5.114,4.98 ± 0.07
2006-2010,C22,Liver Cancer,Liver,RUCC,Less urbanized,7336,114771138,5.0594,0.0595,4.9442,5.1765,5.06 ± 0.06
