File,Time_Period,ICD_Group,Total_Records,Valid_FIPS,Surpassed(%),Unreliable(%),Zero(%),Missing(%),Completed(%)
2006-2010 C00-C97.csv,2006-2010,C00-C97,3232,3146,34(1%),45(1%),0(0%),85(3%),3062(95%)
2011-2015 C00-C97.csv,2011-2015,C00-C97,3238,3146,29(1%),46(1%),2(0%),91(3%),3069(95%)
2016-2020 C00-C97.csv,2016-2020,C00-C97,3226,3146,26(1%),47(1%),1(0%),79(2%),3068(95%)
2006-2010 C00-C14.csv,2006-2010,C00-C14,3262,3146,1899(58%),415(13%),399(12%),115(4%),428(13%)
2011-2015 C00-C14.csv,2011-2015,C00-C14,3268,3146,1833(56%),467(14%),366(11%),121(4%),480(15%)
2016-2020 C00-C14.csv,2016-2020,C00-C14,3256,3146,1764(54%),496(15%),308(9%),109(3%),574(18%)
2006-2010 C15-C26.csv,2006-2010,C15-C26,3260,3146,194(6%),266(8%),8(0%),113(3%),2673(82%)
2011-2015 C15-C26.csv,2011-2015,C15-C26,3266,3146,194(6%),264(8%),9(0%),119(4%),2679(82%)
2016-2020 C15-C26.csv,2016-2020,C15-C26,3254,3146,167(5%),246(8%),7(0%),107(3%),2722(84%)
2006-2010 C30-C39.csv,2006-2010,C30-C39,3247,3146,174(5%),212(7%),10(0%),100(3%),2745(85%)
2011-2015 C30-C39.csv,2011-2015,C30-C39,3253,3146,190(6%),219(7%),12(0%),106(3%),2725(84%)
2016-2020 C30-C39.csv,2016-2020,C30-C39,3241,3146,207(6%),249(8%),12(0%),94(3%),2674(83%)
2006-2010 C40-C41.csv,2006-2010,C40-C41,3240,3146,1583(49%),95(3%),1422(44%),93(3%),41(1%)
2011-2015 C40-C41.csv,2011-2015,C40-C41,3246,3146,1626(50%),103(3%),1363(42%),99(3%),54(2%)
2016-2020 C40-C41.csv,2016-2020,C40-C41,3234,3146,1641(51%),135(4%),1292(40%),87(3%),74(2%)
2006-2010 C43-C44.csv,2006-2010,C43-C44,3244,3146,1743(54%),505(16%),252(8%),97(3%),641(20%)
2011-2015 C43-C44.csv,2011-2015,C43-C44,3250,3146,1667(51%),539(17%),255(8%),103(3%),685(21%)
2016-2020 C43-C44.csv,2016-2020,C43-C44,3238,3146,1663(51%),520(16%),277(9%),91(3%),682(21%)
2006-2010 C45-C49.csv,2006-2010,C45-C49,3251,3146,1903(59%),334(10%),488(15%),104(3%),416(13%)
2011-2015 C45-C49.csv,2011-2015,C45-C49,3257,3146,1847(57%),372(11%),479(15%),110(3%),448(14%)
2016-2020 C45-C49.csv,2016-2020,C45-C49,3245,3146,1835(57%),377(12%),467(14%),98(3%),463(14%)
2006-2010 C50.csv,2006-2010,C50,3238,3146,828(26%),705(22%),68(2%),91(3%),1540(48%)
2011-2015 C50.csv,2011-2015,C50,3244,3146,855(26%),677(21%),60(2%),97(3%),1554(48%)
2016-2020 C50.csv,2016-2020,C50,3232,3146,865(27%),658(20%),61(2%),85(3%),1558(48%)
2006-2010 C51-C58.csv,2006-2010,C51-C58,3245,3146,1135(35%),713(22%),106(3%),98(3%),1187(37%)
2011-2015 C51-C58.csv,2011-2015,C51-C58,3251,3146,1104(34%),716(22%),118(4%),104(3%),1208(37%)
2016-2020 C51-C58.csv,2016-2020,C51-C58,3239,3146,1123(35%),635(20%),97(3%),92(3%),1287(40%)
2006-2010 C60-C63.csv,2006-2010,C60-C63,3240,3146,994(31%),779(24%),76(2%),93(3%),1292(40%)
2011-2015 C60-C63.csv,2011-2015,C60-C63,3246,3146,1080(33%),740(23%),79(2%),99(3%),1247(38%)
2016-2020 C60-C63.csv,2016-2020,C60-C63,3234,3146,1007(31%),704(22%),65(2%),87(3%),1366(42%)
2006-2010 C64-C68.csv,2006-2010,C64-C68,3240,3146,1101(34%),703(22%),78(2%),93(3%),1259(39%)
2011-2015 C64-C68.csv,2011-2015,C64-C68,3246,3146,1006(31%),722(22%),68(2%),99(3%),1350(42%)
2016-2020 C64-C68.csv,2016-2020,C64-C68,3234,3146,977(30%),661(20%),84(3%),87(3%),1420(44%)
2006-2010 C69-C72.csv,2006-2010,C69-C72,3246,3146,1633(50%),562(17%),223(7%),99(3%),723(22%)
