ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,MRD_mean,MRD_lower,MRD_upper
C00_C97,All Cancer,2000_2005,2006_2010,5,Q2,1.1,1.08,1.12,15.71,12.61,18.75
C00_C97,All Cancer,2000_2005,2006_2010,5,Q3,1.13,1.11,1.15,19.61,16.55,22.52
C00_C97,All Cancer,2000_2005,2006_2010,5,Q4,1.15,1.12,1.17,22.7,19.54,25.75
C00_C97,All Cancer,2000_2005,2006_2010,5,Q5,1.2,1.17,1.22,30.39,26.99,33.61
C00_C97,All Cancer,2000_2005,2011_2015,10,Q2,1.11,1.08,1.13,15.45,12.63,18.32
C00_C97,All Cancer,2000_2005,2011_2015,10,Q3,1.13,1.11,1.15,18.65,15.86,21.49
C00_C97,All Cancer,2000_2005,2011_2015,10,Q4,1.15,1.13,1.17,21.93,19.03,25.0
C00_C97,All Cancer,2000_2005,2011_2015,10,Q5,1.18,1.16,1.21,26.63,23.51,29.84
C00_C97,All Cancer,2000_2005,2016_2020,15,Q2,1.1,1.08,1.12,14.18,11.52,16.83
C00_C97,All Cancer,2000_2005,2016_2020,15,Q3,1.11,1.09,1.13,15.37,12.77,17.99
C00_C97,All Cancer,2000_2005,2016_2020,15,Q4,1.12,1.1,1.14,17.47,14.77,20.22
C00_C97,All Cancer,2000_2005,2016_2020,15,Q5,1.15,1.13,1.17,20.86,18.08,23.79
C18_C21,Colorectal,2000_2005,2006_2010,5,Q2,1.3,1.24,1.36,3.84,3.16,4.49
C18_C21,Colorectal,2000_2005,2006_2010,5,Q3,1.35,1.29,1.42,4.55,3.89,5.2
C18_C21,Colorectal,2000_2005,2006_2010,5,Q4,1.37,1.31,1.44,4.83,4.16,5.47
C18_C21,Colorectal,2000_2005,2006_2010,5,Q5,1.37,1.3,1.44,4.79,4.09,5.46
C18_C21,Colorectal,2000_2005,2011_2015,10,Q2,1.26,1.2,1.31,3.2,2.58,3.8
C18_C21,Colorectal,2000_2005,2011_2015,10,Q3,1.26,1.2,1.31,3.22,2.6,3.79
C18_C21,Colorectal,2000_2005,2011_2015,10,Q4,1.28,1.22,1.34,3.5,2.88,4.11
C18_C21,Colorectal,2000_2005,2011_2015,10,Q5,1.28,1.22,1.34,3.51,2.86,4.12
C18_C21,Colorectal,2000_2005,2016_2020,15,Q2,1.3,1.24,1.36,3.45,2.85,4.06
C18_C21,Colorectal,2000_2005,2016_2020,15,Q3,1.27,1.22,1.33,3.14,2.57,3.71
C18_C21,Colorectal,2000_2005,2016_2020,15,Q4,1.28,1.22,1.34,3.24,2.64,3.82
C18_C21,Colorectal,2000_2005,2016_2020,15,Q5,1.27,1.21,1.33,3.14,2.53,3.75
C22,Liver,2000_2005,2006_2010,5,Q2,1.41,1.29,1.55,1.19,0.91,1.46
C22,Liver,2000_2005,2006_2010,5,Q3,1.69,1.54,1.86,1.99,1.71,2.27
C22,Liver,2000_2005,2006_2010,5,Q4,1.8,1.64,1.99,2.32,2.02,2.63
C22,Liver,2000_2005,2006_2010,5,Q5,2.0,1.81,2.22,2.91,2.58,3.23
