Model	Lag	Q1	Q2	Q3	Q4	Q5
Sex (Male)
EQI	5	0.0	20.22(15.76,24.57)	25.90(21.55,30.23)	28.62(24.13,32.96)	36.95(32.29,41.44)
EQI	10	0.0	22.34(18.23,26.41)	26.89(22.80,30.91)	30.64(26.52,34.82)	34.73(30.57,39.04)
EQI	15	0.0	18.10(14.39,21.81)	20.95(17.23,24.65)	24.15(20.47,27.87)	28.41(24.54,32.26)
Air	5	0.0	21.86(17.40,26.28)	26.98(22.47,31.59)	26.93(22.31,31.48)	27.74(22.80,32.55)
Air	10	0.0	23.80(19.53,28.12)	27.81(23.62,32.04)	27.38(23.10,31.73)	25.19(20.50,29.96)
Air	15	0.0	19.08(15.24,22.89)	22.07(18.10,26.03)	23.83(19.78,27.87)	20.33(16.05,24.85)
Water	5	0.0	-8.83(-13.80,-3.81)	5.27(0.55,10.26)	5.95(1.11,11.01)	7.51(2.18,12.83)
Water	10	0.0	-5.91(-10.48,-1.38)	3.20(-1.42,7.73)	6.86(2.24,11.50)	8.45(3.62,13.46)
Water	15	0.0	-6.59(-11.07,-2.23)	1.91(-2.39,6.04)	4.29(-0.21,8.64)	6.88(2.22,11.53)
Land	5	0.0	-3.24(-7.36,0.95)	0.53(-3.75,4.89)	-1.20(-5.83,3.54)	4.72(-0.04,9.57)
Land	10	0.0	-1.45(-5.42,2.48)	-1.32(-5.36,2.65)	0.07(-4.48,4.64)	4.30(-0.43,9.15)
Land	15	0.0	-1.44(-4.94,2.13)	-0.23(-3.90,3.54)	0.67(-3.36,4.94)	5.78(1.33,10.12)
Built	5	0.0	18.09(14.07,22.25)	18.25(14.04,22.36)	19.71(15.56,23.86)	21.55(17.10,25.90)
Built	10	0.0	17.16(13.45,20.88)	19.94(16.19,23.90)	21.37(17.60,25.33)	23.85(19.98,27.81)
Built	15	0.0	15.42(11.81,19.06)	18.04(14.45,21.68)	17.58(14.05,21.18)	20.42(16.71,24.00)
Social	5	0.0	-1.30(-5.14,2.71)	-1.84(-5.97,2.28)	3.43(-0.78,7.60)	7.20(2.56,11.83)
Social	10	0.0	-0.17(-4.11,3.70)	-1.65(-5.59,2.52)	2.12(-1.86,6.20)	2.78(-1.61,7.27)
Social	15	0.0	-2.37(-5.83,1.03)	-4.83(-8.39,-1.35)	-2.77(-6.70,0.97)	-1.56(-5.82,2.51)
Sex (Female)
EQI	5	0.0	19.43(16.17,22.67)	28.66(25.43,31.85)	36.54(33.26,39.76)	47.44(44.07,50.83)
EQI	10	0.0	17.68(14.57,20.72)	26.03(22.94,29.06)	32.92(29.70,36.00)	42.32(39.09,45.56)
EQI	15	0.0	18.98(16.11,21.96)	24.64(21.81,27.45)	30.27(27.38,33.25)	37.42(34.30,40.66)
Air	5	0.0	25.79(22.49,29.15)	33.44(30.16,36.76)	35.86(32.36,39.36)	38.13(34.40,41.88)
Air	10	0.0	23.90(20.79,27.04)	32.08(28.85,35.26)	33.51(30.19,36.82)	34.19(30.51,37.81)
Air	15	0.0	24.40(21.35,27.37)	30.63(27.51,33.68)	32.61(29.48,35.70)	31.37(27.92,34.69)
Water	5	0.0	-2.66(-6.34,1.00)	3.85(0.15,7.50)	7.23(3.46,10.91)	9.28(5.26,13.23)
Water	10	0.0	-3.22(-6.70,0.34)	3.53(-0.07,7.26)	6.41(2.76,10.02)	9.51(5.56,13.45)
Water	15	0.0	-3.03(-6.28,0.37)	3.27(-0.17,6.74)	4.47(1.01,7.96)	6.65(2.97,10.42)
Land	5	0.0	-1.08(-3.98,1.87)	0.86(-2.16,3.87)	-1.57(-4.85,1.94)	0.48(-3.10,4.08)
Land	10	0.0	-0.36(-3.13,2.41)	0.32(-2.74,3.39)	-0.57(-3.88,2.82)	2.09(-1.45,5.66)
Land	15	0.0	0.19(-2.50,2.84)	-0.50(-3.41,2.34)	-0.59(-3.68,2.41)	2.21(-1.03,5.62)
Built	5	0.0	12.91(9.93,15.83)	17.93(14.90,20.79)	20.95(17.85,24.00)	23.40(20.28,26.59)
Built	10	0.0	12.73(9.96,15.47)	16.91(14.05,19.75)	20.17(17.32,23.05)	22.35(19.30,25.27)
Built	15	0.0	14.65(11.98,17.27)	17.65(14.89,20.47)	19.37(16.62,22.14)	20.41(17.54,23.26)
Social	5	0.0	-1.38(-4.34,1.56)	-1.85(-4.97,1.14)	2.71(-0.63,6.08)	6.61(3.04,10.10)
Social	10	0.0	-1.25(-4.00,1.48)	-2.98(-5.96,-0.14)	-0.55(-3.64,2.52)	2.65(-0.80,6.04)
Social	15	0.0	-1.36(-4.16,1.33)	-4.16(-7.00,-1.33)	-1.54(-4.50,1.45)	1.29(-1.95,4.49)
Race (White)
EQI	5	0.0	19.08(15.91,22.38)	22.82(19.50,26.27)	25.30(21.90,28.72)	30.62(26.94,34.28)
EQI	10	0.0	17.68(14.42,20.86)	21.21(18.09,24.20)	24.00(20.83,27.26)	26.99(23.59,30.36)
EQI	15	0.0	17.29(14.43,20.19)	18.08(15.22,20.93)	19.75(16.75,22.78)	21.17(18.05,24.43)
Air	5	0.0	18.69(15.15,21.94)	20.92(17.37,24.40)	20.17(16.53,23.81)	19.42(15.43,23.39)
Air	10	0.0	17.90(14.59,21.13)	20.94(17.54,24.35)	20.07(16.59,23.56)	17.68(13.93,21.50)
Air	15	0.0	14.55(11.37,17.72)	16.56(13.38,19.90)	16.79(13.41,20.27)	12.40(8.72,16.09)
Water	5	0.0	0.09(-3.88,4.07)	4.14(0.18,8.11)	7.34(3.24,11.34)	7.10(2.79,11.27)
Water	10	0.0	-0.53(-4.20,2.97)	2.80(-1.05,6.53)	7.87(3.96,11.74)	7.59(3.63,11.69)
Water	15	0.0	-0.29(-3.96,3.38)	3.22(-0.41,6.95)	6.02(2.34,9.67)	5.96(1.98,9.84)
Land	5	0.0	0.36(-2.72,3.52)	1.63(-1.75,4.97)	1.74(-1.97,5.40)	5.91(2.02,9.74)
Land	10	0.0	1.56(-1.40,4.59)	1.07(-2.16,4.26)	2.16(-1.38,5.70)	5.77(1.92,9.56)
Land	15	0.0	1.39(-1.41,4.10)	-0.23(-3.25,2.74)	0.63(-2.63,3.88)	6.04(2.52,9.68)
Built	5	0.0	13.99(10.80,17.28)	15.10(11.91,18.40)	15.34(12.09,18.57)	16.04(12.64,19.48)
Built	10	0.0	13.16(10.14,16.11)	14.49(11.50,17.53)	15.23(12.22,18.27)	16.55(13.25,19.67)
Built	15	0.0	13.23(10.43,16.03)	14.54(11.66,17.42)	14.30(11.34,17.30)	14.52(11.41,17.65)
Social	5	0.0	3.43(0.25,6.53)	4.42(1.05,7.82)	7.96(4.40,11.40)	11.05(7.14,14.89)
Social	10	0.0	2.45(-0.47,5.41)	3.01(0.02,6.11)	4.61(1.45,7.76)	5.53(2.01,8.99)
Social	15	0.0	2.97(0.17,5.71)	2.81(-0.08,5.67)	2.90(-0.12,6.02)	3.20(-0.21,6.60)
Race (Black)
EQI	5	0.0	-1.86(-7.59,3.97)	5.62(0.07,11.29)	16.83(10.98,22.76)	47.00(40.74,53.38)
EQI	10	0.0	-1.40(-6.95,4.07)	6.55(1.10,11.84)	16.95(11.37,22.40)	47.96(41.93,53.90)
EQI	15	0.0	-2.17(-7.32,2.86)	6.08(0.85,11.17)	17.58(12.07,23.04)	50.70(44.85,56.42)
Air	5	0.0	-7.84(-13.06,-2.56)	2.77(-3.34,8.30)	19.34(13.59,25.26)	61.32(54.88,67.62)
Air	10	0.0	-7.37(-12.62,-2.20)	4.71(-0.62,9.94)	20.92(15.37,26.53)	61.38(55.17,67.52)
Air	15	0.0	-6.02(-11.00,-1.01)	6.56(1.39,11.66)	23.22(17.88,28.56)	63.15(57.16,68.79)
Water	5	0.0	-3.58(-9.77,2.49)	1.57(-4.72,7.99)	-1.85(-8.34,4.57)	3.43(-3.47,10.28)
Water	10	0.0	-3.59(-9.61,2.40)	0.43(-5.71,6.51)	-1.68(-7.85,4.41)	2.29(-4.41,9.15)
Water	15	0.0	-3.38(-8.98,2.17)	-0.71(-6.29,5.05)	-2.42(-8.26,3.39)	2.10(-4.23,8.57)
Land	5	0.0	-8.42(-14.04,-2.92)	-6.99(-12.65,-1.50)	-3.44(-9.57,2.73)	2.27(-4.15,8.49)
Land	10	0.0	-8.51(-13.85,-3.34)	-8.28(-13.75,-2.99)	-3.55(-9.37,1.95)	3.18(-2.84,9.25)
Land	15	0.0	-8.64(-13.75,-3.40)	-8.37(-13.31,-3.19)	-1.32(-6.75,4.25)	4.11(-1.81,10.10)
Built	5	0.0	0.98(-4.57,6.38)	10.42(5.02,15.74)	17.66(12.13,23.20)	18.57(12.81,24.34)
Built	10	0.0	1.86(-3.19,7.00)	12.71(7.49,17.81)	15.89(10.34,21.10)	18.05(12.53,23.47)
Built	15	0.0	2.70(-2.40,7.59)	12.19(7.06,17.21)	15.67(10.62,20.73)	16.20(11.01,21.61)
Social	5	0.0	3.10(-2.51,8.78)	-2.71(-8.40,3.13)	7.34(1.73,12.79)	2.01(-4.25,8.28)
Social	10	0.0	2.21(-2.77,7.15)	-3.19(-8.51,2.23)	5.33(0.13,10.79)	1.41(-4.45,7.28)
Social	15	0.0	1.79(-2.94,6.65)	-3.95(-8.98,1.02)	2.84(-2.59,7.99)	2.93(-2.63,8.37)
Race (Asian)
EQI	5	0.0	1.04(-0.77,2.94)	2.86(1.00,4.79)	4.66(2.66,6.70)	17.73(15.51,20.01)
EQI	10	0.0	1.07(-0.90,3.01)	3.02(0.95,5.06)	5.93(3.74,8.09)	21.89(19.48,24.29)
EQI	15	0.0	1.69(-0.23,3.64)	4.36(2.39,6.36)	8.00(5.89,10.22)	26.32(23.84,28.74)
Air	5	0.0	2.30(0.29,4.28)	4.80(2.65,7.00)	7.98(5.70,10.26)	23.18(20.66,25.75)
Air	10	0.0	2.49(0.39,4.55)	5.26(3.07,7.47)	9.19(6.76,11.61)	26.15(23.44,28.82)
Air	15	0.0	2.10(0.10,4.21)	5.24(2.94,7.44)	9.82(7.39,12.25)	28.85(26.19,31.55)
Water	5	0.0	-1.17(-3.61,1.35)	0.22(-2.42,2.92)	-1.79(-4.51,0.93)	1.04(-1.84,3.96)
Water	10	0.0	-1.37(-4.05,1.19)	-0.64(-3.41,2.08)	-2.58(-5.35,0.10)	0.63(-2.39,3.67)
Water	15	0.0	-1.27(-3.88,1.23)	-0.65(-3.56,2.06)	-2.54(-5.36,0.22)	1.21(-1.81,4.21)
Land	5	0.0	-0.22(-2.18,1.66)	0.22(-1.90,2.35)	-2.35(-4.69,0.07)	0.02(-2.58,2.61)
Land	10	0.0	-0.31(-2.22,1.58)	0.67(-1.45,2.85)	-1.08(-3.63,1.32)	1.60(-1.07,4.26)
Land	15	0.0	-0.35(-2.38,1.57)	-0.24(-2.44,1.84)	-2.25(-4.63,0.11)	0.07(-2.40,2.68)
Built	5	0.0	-1.40(-3.18,0.43)	-1.02(-2.86,0.84)	0.21(-1.74,2.14)	2.50(0.46,4.60)
Built	10	0.0	-1.55(-3.42,0.31)	-0.97(-2.94,0.98)	0.02(-1.95,2.02)	3.56(1.34,5.69)
Built	15	0.0	-1.08(-2.96,0.72)	0.03(-1.95,2.00)	1.16(-0.88,3.17)	4.29(2.18,6.42)
Social	5	0.0	-2.19(-3.94,-0.42)	-2.26(-4.16,-0.26)	-2.40(-4.59,-0.25)	-0.23(-2.65,2.19)
Social	10	0.0	-2.19(-4.08,-0.30)	-2.66(-4.71,-0.53)	-1.72(-3.94,0.57)	0.54(-2.08,3.22)
Social	15	0.0	-2.13(-3.99,-0.19)	-1.85(-3.93,0.18)	-0.52(-2.86,1.79)	2.73(0.18,5.41)
Race (Indian)
EQI	5	0.0	0.64(-2.06,3.39)	1.57(-1.15,4.28)	4.04(1.26,6.90)	10.87(7.70,14.06)
EQI	10	0.0	0.80(-0.16,1.76)	1.67(0.68,2.68)	2.58(1.50,3.65)	5.27(4.04,6.50)
EQI	15	0.0	1.78(-1.06,4.60)	3.23(0.34,6.09)	5.27(2.36,8.18)	12.82(9.55,16.00)
Air	5	0.0	2.69(-0.19,5.58)	6.63(3.59,9.58)	10.11(6.87,13.33)	14.96(11.35,18.65)
Air	10	0.0	2.25(1.13,3.33)	3.64(2.47,4.81)	4.97(3.68,6.27)	7.01(5.57,8.44)
Air	15	0.0	4.06(0.97,7.08)	7.48(4.26,10.58)	12.26(8.79,15.65)	15.79(11.95,19.49)
Water	5	0.0	0.56(-3.07,4.15)	2.62(-1.11,6.34)	1.96(-1.59,5.72)	1.49(-2.53,5.62)
Water	10	0.0	0.88(-0.51,2.26)	2.13(0.69,3.58)	1.79(0.32,3.27)	2.61(0.96,4.21)
Water	15	0.0	0.05(-3.54,3.78)	2.49(-1.36,6.35)	1.14(-2.74,5.06)	2.80(-1.36,6.86)
Land	5	0.0	0.88(-1.83,3.77)	-2.29(-5.16,0.68)	-3.10(-6.29,0.21)	-3.39(-6.80,0.25)
Land	10	0.0	0.17(-0.89,1.17)	-1.22(-2.30,-0.13)	-2.07(-3.32,-0.83)	-1.99(-3.35,-0.61)
Land	15	0.0	0.59(-2.35,3.57)	-2.91(-5.98,0.03)	-5.01(-8.49,-1.61)	-4.95(-8.75,-1.32)
Built	5	0.0	-0.78(-3.38,1.81)	-1.43(-4.16,1.36)	2.04(-0.74,4.76)	3.11(0.17,6.05)
Built	10	0.0	0.14(-0.83,1.08)	-0.29(-1.29,0.72)	0.66(-0.42,1.69)	0.93(-0.19,2.09)
Built	15	0.0	-0.09(-2.89,2.65)	-0.52(-3.50,2.35)	2.83(-0.15,5.83)	5.58(2.42,8.82)
Social	5	0.0	-5.27(-7.83,-2.70)	-7.31(-10.07,-4.54)	-6.08(-9.17,-3.12)	-3.43(-6.76,-0.07)
Social	10	0.0	-1.09(-2.04,-0.13)	-2.12(-3.21,-1.07)	-1.13(-2.31,0.07)	-0.67(-2.01,0.68)
Social	15	0.0	-5.87(-8.74,-2.97)	-8.79(-11.71,-5.84)	-6.41(-9.51,-3.23)	-4.27(-7.66,-0.88)
RUCC: Metropolitan urbanized
EQI	5	0.0	4.85(0.84,8.84)	6.99(3.25,10.63)	8.83(5.29,12.28)	13.01(9.54,16.49)
EQI	10	0.0	4.55(0.77,8.50)	8.30(4.60,11.88)	9.38(6.00,12.83)	11.49(8.10,14.93)
EQI	15	0.0	2.39(-1.64,6.34)	7.02(3.31,10.73)	7.41(3.86,10.90)	8.35(4.82,11.77)
Air	5	0.0	6.37(1.19,11.65)	8.73(4.00,13.31)	9.34(4.82,13.79)	13.54(9.06,17.98)
Air	10	0.0	2.18(-2.72,7.18)	8.51(4.15,12.95)	9.74(5.43,13.98)	12.00(7.80,16.14)
Air	15	0.0	6.50(1.48,11.52)	7.94(3.34,12.59)	9.56(5.15,14.01)	10.08(5.56,14.64)
Water	5	0.0	0.32(-3.29,4.00)	-0.36(-3.81,3.10)	-1.10(-4.54,2.32)	0.14(-3.26,3.70)
Water	10	0.0	0.36(-3.07,3.78)	-0.14(-3.49,3.22)	-0.42(-3.78,2.97)	1.43(-2.03,4.81)
Water	15	0.0	0.19(-3.15,3.50)	0.60(-2.71,3.76)	1.04(-2.21,4.31)	1.87(-1.40,5.07)
Land	5	0.0	2.23(-0.57,5.05)	2.79(-0.08,5.60)	1.15(-2.03,4.33)	2.44(-0.80,5.65)
Land	10	0.0	1.45(-1.37,4.26)	1.57(-1.36,4.39)	1.14(-2.03,4.34)	3.03(-0.28,6.35)
Land	15	0.0	3.28(0.53,6.01)	1.28(-1.42,4.04)	-0.80(-4.02,2.30)	2.26(-0.89,5.49)
Built	5	0.0	3.76(0.62,6.87)	3.44(0.22,6.53)	4.16(1.01,7.17)	6.49(3.32,9.64)
Built	10	0.0	6.36(3.27,9.42)	3.65(0.58,6.80)	4.51(1.49,7.55)	6.55(3.54,9.57)
Built	15	0.0	5.31(2.37,8.25)	3.29(0.20,6.39)	4.30(1.20,7.29)	3.84(0.79,6.86)
Social	5	0.0	3.62(-0.12,7.34)	2.50(-0.90,5.79)	2.11(-1.31,5.46)	4.13(0.84,7.37)
Social	10	0.0	4.39(0.78,8.15)	2.37(-0.84,5.72)	1.20(-1.97,4.39)	1.25(-1.81,4.49)
Social	15	0.0	4.85(1.12,8.67)	2.86(-0.63,6.45)	1.61(-1.75,4.89)	2.72(-0.51,5.95)
RUCC: Non-metropolitan urbanized
EQI	5	0.0	0.78(-5.32,6.91)	7.54(2.06,12.95)	6.89(1.59,12.08)	6.80(1.37,12.25)
EQI	10	0.0	0.25(-5.31,6.07)	6.02(0.78,11.14)	5.88(0.92,10.77)	4.15(-1.07,9.56)
EQI	15	0.0	1.19(-4.68,6.83)	2.80(-2.61,7.92)	3.79(-1.38,8.90)	3.81(-1.48,9.19)
Air	5	0.0	1.52(-4.78,7.71)	5.49(-0.26,11.09)	8.07(2.47,13.51)	8.15(2.30,14.16)
Air	10	0.0	2.76(-3.45,8.72)	5.16(-0.18,10.52)	7.49(2.31,12.79)	7.17(1.52,12.93)
