Model	Lag	Q1	Q2	Q3	Q4	Q5
Sex (Male)
EQI	5	1.00	1.11(1.08,1.13)	1.14(1.11,1.16)	1.15(1.13,1.18)	1.20(1.17,1.22)
EQI	10	1.00	1.03(0.98,1.08)	1.06(1.00,1.11)	1.08(1.02,1.13)	1.10(1.04,1.15)
EQI	15	1.00	0.97(0.93,1.02)	0.99(0.94,1.04)	1.00(0.96,1.05)	1.03(0.98,1.08)
Air	5	1.00	1.04(0.99,1.09)	1.07(1.01,1.12)	1.06(1.01,1.12)	1.07(1.01,1.13)
Air	10	1.00	0.95(0.90,1.01)	0.97(0.92,1.03)	0.97(0.92,1.03)	0.96(0.91,1.01)
Air	15	1.00	0.91(0.86,0.96)	0.93(0.88,0.98)	0.94(0.89,0.99)	0.92(0.87,0.97)
Water	5	1.00	0.87(0.82,0.92)	0.95(0.90,1.00)	0.95(0.90,1.00)	0.96(0.91,1.02)
Water	10	1.00	0.79(0.74,0.84)	0.84(0.79,0.89)	0.86(0.81,0.91)	0.87(0.82,0.92)
Water	15	1.00	0.77(0.73,0.82)	0.82(0.77,0.87)	0.83(0.79,0.88)	0.84(0.80,0.89)
Land	5	1.00	0.90(0.85,0.96)	0.92(0.87,0.98)	0.91(0.86,0.97)	0.95(0.89,1.00)
Land	10	1.00	0.82(0.77,0.87)	0.82(0.77,0.87)	0.82(0.77,0.88)	0.85(0.79,0.90)
Land	15	1.00	0.80(0.75,0.85)	0.81(0.76,0.85)	0.81(0.77,0.86)	0.84(0.79,0.89)
Built	5	1.00	1.02(0.96,1.07)	1.02(0.96,1.07)	1.03(0.97,1.08)	1.04(0.98,1.09)
Built	10	1.00	0.92(0.87,0.97)	0.93(0.88,0.98)	0.94(0.89,0.99)	0.95(0.90,1.01)
Built	15	1.00	0.89(0.84,0.94)	0.91(0.86,0.95)	0.90(0.85,0.95)	0.92(0.87,0.97)
Social	5	1.00	0.91(0.86,0.97)	0.91(0.86,0.97)	0.94(0.89,0.99)	0.96(0.91,1.02)
Social	10	1.00	0.82(0.78,0.87)	0.82(0.77,0.86)	0.84(0.79,0.89)	0.84(0.79,0.89)
Social	15	1.00	0.80(0.75,0.84)	0.78(0.74,0.83)	0.79(0.75,0.84)	0.80(0.75,0.85)
Sex (Female)
EQI	5	1.00	1.18(1.15,1.21)	1.26(1.23,1.30)	1.34(1.30,1.37)	1.44(1.40,1.48)
EQI	10	1.00	1.13(1.07,1.20)	1.21(1.14,1.28)	1.27(1.20,1.34)	1.36(1.29,1.44)
EQI	15	1.00	1.11(1.05,1.17)	1.16(1.10,1.23)	1.21(1.15,1.28)	1.28(1.21,1.35)
