Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
National,,,,,,
NDD,"974,989 (0.64‰)",61.05 ± 0.06,"1,276,738 (0.81‰)",71.00 ± 0.06,"1,411,043 (0.86‰)",70.74 ± 0.06
NDD (M),"333,310 (0.45‰)",57.00 ± 0.10,"445,296 (0.57‰)",65.61 ± 0.10,"509,362 (0.63‰)",64.99 ± 0.09
NDD (F),"641,679 (0.83‰)",62.55 ± 0.08,"831,442 (1.04‰)",73.41 ± 0.08,"901,681 (1.09‰)",73.62 ± 0.08
Dementia,"841,938 (0.55‰)",52.57 ± 0.06,"1,115,613 (0.71‰)",61.76 ± 0.06,"1,206,362 (0.74‰)",60.31 ± 0.06
AD,"391,951 (0.26‰)",24.54 ± 0.04,"457,432 (0.29‰)",25.43 ± 0.04,"615,224 (0.38‰)",30.85 ± 0.04
PD,"101,868 (0.07‰)",6.54 ± 0.02,"125,402 (0.08‰)",7.25 ± 0.02,"169,917 (0.10‰)",8.72 ± 0.02
VD,"46,181 (0.03‰)",2.89 ± 0.01,"64,966 (0.04‰)",3.60 ± 0.01,"85,449 (0.05‰)",4.26 ± 0.01
ALS,"31,183 (0.02‰)",1.94 ± 0.01,"35,723 (0.02‰)",1.99 ± 0.01,"34,764 (0.02‰)",1.71 ± 0.01
HD,"4,409 (0.00‰)",0.27 ± 0.00,"5,067 (0.00‰)",0.29 ± 0.00,"5,641 (0.00‰)",0.29 ± 0.00
Race,,,,,,
NDD,"974,989 (0.64‰)",61.05 ± 0.06,"1,276,738 (0.81‰)",71.00 ± 0.06,"1,411,043 (0.86‰)",70.74 ± 0.06
NDD (White),"892,941 (0.74‰)",62.76 ± 0.07,"1,157,186 (0.93‰)",73.30 ± 0.07,"1,263,466 (0.99‰)",73.52 ± 0.07
NDD (Black),"65,532 (0.32‰)",53.99 ± 0.21,"92,092 (0.42‰)",63.94 ± 0.21,"108,801 (0.47‰)",63.42 ± 0.19
NDD (Asian),"12,032 (0.15‰)",26.93 ± 0.25,"20,897 (0.22‰)",32.08 ± 0.22,"31,143 (0.29‰)",33.89 ± 0.19
NDD (Indian),"1,790 (0.09‰)",25.18 ± 0.61,675 (0.03‰),6.52 ± 0.25,"3,616 (0.15‰)",27.50 ± 0.46
RUCC: Metropolitan urbanized,,,,,,
NDD,"798,048 (0.62‰)",61.04 ± 0.07,"1,051,219 (0.78‰)",70.71 ± 0.07,"1,158,736 (0.83‰)",69.80 ± 0.07
Dementia,"688,425 (0.53‰)",52.51 ± 0.06,"917,361 (0.68‰)",61.41 ± 0.06,"988,290 (0.70‰)",59.34 ± 0.06
AD,"313,794 (0.24‰)",23.99 ± 0.04,"370,108 (0.27‰)",24.88 ± 0.04,"503,328 (0.36‰)",30.32 ± 0.04
PD,"84,097 (0.07‰)",6.60 ± 0.02,"104,473 (0.08‰)",7.33 ± 0.02,"141,497 (0.10‰)",8.75 ± 0.02
VD,"39,130 (0.03‰)",2.99 ± 0.02,"55,547 (0.04‰)",3.72 ± 0.02,"73,047 (0.05‰)",4.38 ± 0.02
ALS,"25,526 (0.02‰)",1.93 ± 0.01,"29,385 (0.02‰)",1.97 ± 0.01,"28,949 (0.02‰)",1.70 ± 0.01
HD,"3,527 (0.00‰)",0.26 ± 0.00,"4,009 (0.00‰)",0.27 ± 0.00,"4,541 (0.00‰)",0.28 ± 0.00
RUCC: Non-metropolitan urbanized,,,,,,
NDD,"69,731 (0.76‰)",64.36 ± 0.24,"88,678 (0.95‰)",75.18 ± 0.25,"99,035 (1.06‰)",77.94 ± 0.25
Dementia,"60,242 (0.66‰)",55.43 ± 0.23,"77,836 (0.84‰)",65.75 ± 0.24,"85,409 (0.92‰)",67.07 ± 0.23
AD,"29,856 (0.33‰)",27.54 ± 0.16,"33,349 (0.36‰)",28.27 ± 0.16,"43,057 (0.46‰)",33.91 ± 0.16
PD,"7,259 (0.08‰)",6.85 ± 0.08,"8,363 (0.09‰)",7.29 ± 0.08,"11,239 (0.12‰)",8.97 ± 0.09
VD,"3,024 (0.03‰)",2.78 ± 0.05,"3,988 (0.04‰)",3.37 ± 0.05,"5,043 (0.05‰)",3.95 ± 0.06
ALS,"2,230 (0.02‰)",2.09 ± 0.04,"2,479 (0.03‰)",2.14 ± 0.04,"2,387 (0.03‰)",1.90 ± 0.04
HD,342 (0.00‰),0.33 ± 0.02,406 (0.00‰),0.38 ± 0.02,448 (0.00‰),0.40 ± 0.02
RUCC: Less urbanized,,,,,,
