ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q2,1.21,1.16,1.26
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q2,1.21,1.16,1.26
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q3,1.32,1.27,1.37
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q3,1.32,1.27,1.37
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q4,1.42,1.37,1.49
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q4,1.42,1.37,1.49
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q5,1.56,1.49,1.63
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q5,1.56,1.49,1.63
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q2,1.41,1.3,1.52
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q2,1.41,1.3,1.52
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q3,1.5,1.39,1.61
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q3,1.5,1.39,1.61
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q4,1.62,1.5,1.74
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q4,1.62,1.5,1.74
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q5,1.78,1.66,1.91
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q5,1.78,1.66,1.91
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q2,1.44,1.33,1.55
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q2,1.44,1.33,1.55
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q3,1.5,1.39,1.61
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q3,1.5,1.39,1.61
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q4,1.61,1.49,1.72
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q4,1.61,1.49,1.72
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q5,1.74,1.63,1.87
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q5,1.74,1.63,1.87
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q2,1.21,1.15,1.26
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q2,1.21,1.15,1.26
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q3,1.31,1.25,1.37
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q3,1.31,1.25,1.37
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q4,1.41,1.35,1.48
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q4,1.41,1.35,1.48
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q5,1.54,1.47,1.62
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q5,1.54,1.47,1.62
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q2,1.43,1.32,1.55
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q2,1.43,1.32,1.55
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q3,1.51,1.4,1.64
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q3,1.51,1.4,1.64
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q4,1.63,1.51,1.76
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q4,1.63,1.51,1.76
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q5,1.79,1.67,1.93
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q5,1.79,1.67,1.93
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q2,1.45,1.34,1.57
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q2,1.45,1.34,1.57
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q3,1.5,1.39,1.62
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q3,1.5,1.39,1.62
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q4,1.61,1.49,1.73
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q4,1.61,1.49,1.73
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q5,1.74,1.62,1.87
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q5,1.74,1.62,1.87
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q2,1.23,1.15,1.31
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q2,1.23,1.15,1.31
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q3,1.27,1.2,1.36
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q3,1.27,1.2,1.36
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q4,1.38,1.3,1.48
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q4,1.38,1.3,1.48
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q5,1.43,1.34,1.53
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q5,1.43,1.34,1.53
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q2,1.25,1.11,1.4
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q2,1.25,1.11,1.4
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q3,1.28,1.14,1.44
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q3,1.28,1.14,1.44
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q4,1.37,1.23,1.53
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q4,1.37,1.23,1.53
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q5,1.43,1.28,1.6
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q5,1.43,1.28,1.6
