Model	Lag	Q1	Q2	Q3	Q4	Q5
Sex (Male)
EQI	5	0.0	12.02(9.82,14.29)	17.70(15.52,19.86)	22.72(20.59,24.98)	28.65(26.30,31.06)
EQI	10	0.0	14.32(12.00,16.71)	19.05(16.74,21.33)	24.44(22.08,26.84)	31.38(28.84,33.93)
EQI	15	0.0	11.46(9.19,13.83)	14.18(11.87,16.43)	19.79(17.41,22.09)	26.90(24.33,29.32)
Air	5	0.0	10.12(7.72,12.57)	13.32(10.73,15.69)	17.28(14.67,19.78)	18.48(15.71,21.14)
Air	10	0.0	10.60(8.13,13.06)	14.12(11.53,16.61)	18.06(15.30,20.70)	19.58(16.49,22.56)
Air	15	0.0	10.25(7.76,12.79)	13.32(10.79,15.88)	16.84(14.23,19.46)	16.81(14.01,19.64)
Water	5	0.0	-1.54(-4.27,1.27)	2.51(-0.25,5.34)	3.37(0.54,6.24)	3.47(0.66,6.52)
Water	10	0.0	-0.72(-3.58,2.09)	3.32(0.33,6.31)	5.13(2.13,8.00)	4.51(1.49,7.57)
Water	15	0.0	-2.42(-5.27,0.48)	0.59(-2.32,3.59)	2.45(-0.38,5.52)	4.56(1.35,7.82)
Land	5	0.0	0.71(-1.35,2.79)	2.00(-0.29,4.32)	1.24(-1.28,3.78)	2.51(-0.23,5.21)
Land	10	0.0	0.19(-2.04,2.38)	2.08(-0.27,4.47)	1.50(-1.25,4.22)	2.14(-0.61,4.82)
Land	15	0.0	-0.20(-2.37,2.01)	2.21(-0.18,4.60)	2.52(-0.08,5.08)	3.75(1.00,6.54)
Built	5	0.0	5.87(3.70,8.09)	7.27(5.04,9.52)	7.87(5.63,10.24)	8.34(6.02,10.71)
Built	10	0.0	9.35(7.11,11.66)	9.81(7.57,12.07)	10.67(8.32,13.01)	11.01(8.63,13.40)
Built	15	0.0	7.10(4.83,9.42)	8.82(6.55,11.09)	9.76(7.48,12.09)	10.25(7.86,12.65)
Social	5	0.0	3.53(1.44,5.67)	5.81(3.61,8.04)	7.27(4.91,9.63)	10.62(7.99,13.11)
Social	10	0.0	3.07(0.97,5.23)	4.62(2.33,6.89)	7.54(5.05,9.95)	11.01(8.30,13.69)
Social	15	0.0	0.62(-1.62,2.78)	0.19(-2.16,2.48)	3.37(0.98,5.81)	5.88(3.18,8.57)
Sex (Female)
EQI	5	0.0	12.13(9.90,14.36)	17.37(15.11,19.62)	22.04(19.79,24.34)	27.96(25.45,30.49)
EQI	10	0.0	13.58(11.24,15.85)	17.85(15.48,20.13)	23.05(20.60,25.47)	30.11(27.50,32.73)
EQI	15	0.0	11.71(9.14,14.17)	14.67(12.19,17.10)	19.66(17.11,22.18)	25.63(22.92,28.43)
Air	5	0.0	8.04(5.66,10.43)	11.50(9.00,14.03)	15.86(13.20,18.53)	15.72(12.92,18.67)
Air	10	0.0	11.08(8.53,13.64)	15.80(13.19,18.31)	19.22(16.52,22.04)	19.22(16.27,22.29)
Air	15	0.0	11.21(8.72,13.98)	14.07(11.37,16.70)	17.12(14.35,19.88)	16.27(13.20,19.22)
Water	5	0.0	0.69(-2.16,3.48)	2.97(-0.05,5.94)	4.93(1.97,7.86)	5.74(2.60,8.83)
Water	10	0.0	1.00(-1.94,3.90)	2.26(-0.80,5.31)	4.39(1.36,7.42)	6.51(3.35,9.71)
Water	15	0.0	-1.03(-4.06,2.03)	0.70(-2.49,3.80)	3.06(-0.13,6.20)	4.80(1.39,8.12)
Land	5	0.0	1.38(-0.78,3.55)	1.62(-0.72,4.02)	0.47(-2.05,3.06)	1.59(-1.12,4.36)
Land	10	0.0	0.16(-2.17,2.44)	1.60(-0.86,3.99)	0.53(-2.26,3.30)	2.29(-0.72,5.30)
Land	15	0.0	1.15(-1.16,3.55)	1.92(-0.72,4.48)	2.99(0.03,5.85)	4.36(1.26,7.45)
Built	5	0.0	4.75(2.55,6.96)	5.98(3.73,8.22)	7.04(4.79,9.37)	5.76(3.39,8.19)
Built	10	0.0	6.45(4.16,8.78)	6.69(4.41,9.06)	7.19(4.74,9.57)	6.09(3.62,8.59)
Built	15	0.0	6.88(4.44,9.24)	6.65(4.25,9.10)	7.01(4.51,9.52)	6.77(4.22,9.36)
Social	5	0.0	6.28(4.07,8.61)	7.91(5.61,10.21)	9.93(7.35,12.41)	14.11(11.34,16.82)
Social	10	0.0	5.24(3.01,7.42)	7.87(5.58,10.28)	9.23(6.68,11.70)	13.75(11.04,16.51)
Social	15	0.0	2.91(0.64,5.25)	4.75(2.17,7.20)	5.86(3.18,8.51)	9.98(6.93,12.76)
Race (White)
EQI	5	0.0	9.90(7.82,11.93)	14.42(12.39,16.40)	18.91(16.78,20.96)	24.71(22.42,26.93)
EQI	10	0.0	10.83(8.58,13.08)	14.73(12.63,16.92)	19.69(17.32,21.95)	26.85(24.38,29.25)
EQI	15	0.0	9.30(7.06,11.56)	11.84(9.56,14.10)	16.43(14.11,18.85)	22.58(19.97,25.19)
Air	5	0.0	7.23(4.96,9.43)	10.58(8.27,12.82)	14.77(12.37,17.12)	15.47(12.77,18.15)
Air	10	0.0	8.22(5.93,10.51)	13.15(10.76,15.62)	16.90(14.41,19.44)	17.94(15.18,20.82)
Air	15	0.0	8.88(6.56,11.18)	11.94(9.59,14.32)	15.55(13.04,18.02)	15.59(12.85,18.39)
Water	5	0.0	0.44(-2.13,3.00)	1.72(-0.96,4.39)	3.80(1.05,6.50)	3.66(0.80,6.52)
Water	10	0.0	0.56(-2.23,3.38)	1.83(-1.24,4.80)	4.73(1.71,7.71)	4.76(1.70,7.77)
Water	15	0.0	-0.88(-3.76,1.97)	0.01(-2.98,2.87)	2.06(-1.01,5.10)	3.36(0.11,6.57)
Land	5	0.0	1.31(-0.73,3.33)	1.85(-0.36,4.03)	1.91(-0.47,4.40)	2.69(0.01,5.40)
Land	10	0.0	0.59(-1.57,2.78)	1.99(-0.28,4.40)	1.17(-1.39,3.76)	2.86(0.17,5.61)
Land	15	0.0	0.99(-1.11,3.11)	2.17(-0.23,4.38)	3.21(0.63,5.85)	5.07(2.27,7.81)
Built	5	0.0	3.88(1.86,5.92)	4.64(2.63,6.67)	5.67(3.55,7.68)	4.93(2.86,7.04)
Built	10	0.0	5.49(3.43,7.58)	5.53(3.42,7.64)	6.35(4.17,8.60)	5.75(3.42,8.14)
Built	15	0.0	5.60(3.48,7.73)	6.18(4.01,8.41)	6.69(4.42,8.94)	6.65(4.27,8.97)
Social	5	0.0	5.75(3.69,7.74)	7.08(4.93,9.21)	8.38(6.06,10.69)	12.41(9.79,14.97)
Social	10	0.0	3.92(1.77,6.05)	5.80(3.50,8.02)	7.35(4.88,9.80)	11.42(8.70,14.04)
Social	15	0.0	2.25(0.12,4.35)	2.80(0.58,5.07)	3.94(1.56,6.37)	7.06(4.46,9.72)
Race (Black)
