Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,census_region,1,1,552311,274502288,175.0283,0.2371,174.567,175.4905,175.03 ± 0.24
2006-2010,C00_C97,All-site Cancer,census_region,2,2,661151,330860308,182.7077,0.2261,182.2675,183.1486,182.71 ± 0.23
2006-2010,C00_C97,All-site Cancer,census_region,3,3,1048346,555088977,181.3804,0.1782,181.0333,181.7279,181.38 ± 0.18
2006-2010,C00_C97,All-site Cancer,census_region,4,4,548747,352032073,161.2097,0.2193,160.7835,161.6368,161.21 ± 0.22
2006-2010,C00_C97,All-site Cancer,census_region,National,National,2810555,1512483646,176.129,0.1056,175.9232,176.3351,176.13 ± 0.11
2006-2010,C00_C97,All-site Cancer,doe_major,2,2,407023,222863568,168.8651,0.2656,168.3467,169.3847,168.87 ± 0.27
2006-2010,C00_C97,All-site Cancer,doe_major,3,3,668606,399271612,174.6394,0.2152,174.221,175.0585,174.64 ± 0.22
2006-2010,C00_C97,All-site Cancer,doe_major,4,4,724351,374246351,180.2225,0.213,179.8077,180.638,180.22 ± 0.21
2006-2010,C00_C97,All-site Cancer,doe_major,5,5,794083,404858364,178.958,0.2021,178.5646,179.352,178.96 ± 0.20
2006-2010,C00_C97,All-site Cancer,doe_major,6,6,190765,98015958,171.583,0.3957,170.8138,172.3547,171.58 ± 0.40
2006-2010,C00_C97,All-site Cancer,doe_major,7,7,25727,13227793,171.5398,1.0788,169.45,173.6489,171.54 ± 1.08
2006-2010,C00_C97,All-site Cancer,doe_major,National,National,2810555,1512483646,176.129,0.1056,175.9232,176.3351,176.13 ± 0.11
2006-2010,C00_C97,All-site Cancer,koppen_major,B,B,268960,169694823,157.2673,0.3044,156.6735,157.8628,157.27 ± 0.30
2006-2010,C00_C97,All-site Cancer,koppen_major,C,C,1790458,962034267,178.3836,0.1341,178.1224,178.645,178.38 ± 0.13
2006-2010,C00_C97,All-site Cancer,koppen_major,D,D,751137,380754556,178.3826,0.2072,177.9794,178.7865,178.38 ± 0.21
2006-2010,C00_C97,All-site Cancer,koppen_major,National,National,2810555,1512483646,176.129,0.1056,175.9232,176.3351,176.13 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,census_region,1,1,52973,274502288,16.6521,0.0728,16.5106,16.7945,16.65 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,census_region,2,2,62446,330860308,17.1624,0.0691,17.0281,17.2976,17.16 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,census_region,3,3,97260,555088977,16.8851,0.0545,16.7792,16.9916,16.89 ± 0.05
2006-2010,C18_C21,Colorectal Cancer,census_region,4,4,50939,352032073,14.9602,0.0668,14.8306,15.0907,14.96 ± 0.07
