Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,Cluster_k3,0,Low EQI,173996,81106909,185.6363,0.4487,184.7651,186.5107,185.64 ± 0.45
2006-2010,C00_C97,All-site Cancer,Cluster_k3,1,Medium EQI,864605,428983518,178.3236,0.1927,177.9479,178.6998,178.32 ± 0.19
2006-2010,C00_C97,All-site Cancer,Cluster_k3,2,High EQI,1786656,1008867606,174.675,0.1315,174.419,174.9313,174.67 ± 0.13
2006-2010,C00_C97,All-site Cancer,Cluster_k3,National,National,2825257,1518958033,176.33,0.1055,176.1245,176.5358,176.33 ± 0.11
2006-2010,C00_C97,All-site Cancer,Cluster_k4,0,Very Low EQI,100165,51121576,173.4118,0.5512,172.3395,174.489,173.41 ± 0.55
2006-2010,C00_C97,All-site Cancer,Cluster_k4,1,Low EQI,260741,125026104,183.0685,0.3611,182.3665,183.7726,183.07 ± 0.36
2006-2010,C00_C97,All-site Cancer,Cluster_k4,2,Medium EQI,806224,398153791,179.2226,0.2005,178.8316,179.6142,179.22 ± 0.20
2006-2010,C00_C97,All-site Cancer,Cluster_k4,3,High EQI,1658127,944656562,174.3047,0.1363,174.0394,174.5702,174.30 ± 0.14
2006-2010,C00_C97,All-site Cancer,Cluster_k4,National,National,2825257,1518958033,176.33,0.1055,176.1245,176.5358,176.33 ± 0.11
2006-2010,C00_C97,All-site Cancer,Cluster_k5,0,Very Low EQI,47602,29434252,154.1264,0.7094,152.7449,155.5172,154.13 ± 0.71
2006-2010,C00_C97,All-site Cancer,Cluster_k5,1,Low EQI,46688,20495378,185.9022,0.8671,184.2197,187.5962,185.90 ± 0.87
2006-2010,C00_C97,All-site Cancer,Cluster_k5,2,Medium EQI,800938,393303442,180.1776,0.2023,179.7832,180.5726,180.18 ± 0.20
2006-2010,C00_C97,All-site Cancer,Cluster_k5,3,High EQI,306871,148681280,183.7008,0.334,183.0514,184.3519,183.70 ± 0.33
2006-2010,C00_C97,All-site Cancer,Cluster_k5,4,Very High EQI,1623158,927043681,173.8479,0.1374,173.5806,174.1156,173.85 ± 0.14
2006-2010,C00_C97,All-site Cancer,Cluster_k5,National,National,2825257,1518958033,176.33,0.1055,176.1245,176.5358,176.33 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,Cluster_k3,0,Low EQI,16604,81106909,17.8693,0.1398,17.5985,18.1432,17.87 ± 0.14
2006-2010,C18_C21,Colorectal Cancer,Cluster_k3,1,Medium EQI,82212,428983518,16.9231,0.0593,16.8076,17.0392,16.92 ± 0.06
2006-2010,C18_C21,Colorectal Cancer,Cluster_k3,2,High EQI,166291,1008867606,16.2462,0.0401,16.1682,16.3245,16.25 ± 0.04
2006-2010,C18_C21,Colorectal Cancer,Cluster_k3,National,National,265107,1518958033,16.5355,0.0323,16.4727,16.5986,16.54 ± 0.03
2006-2010,C18_C21,Colorectal Cancer,Cluster_k4,0,Very Low EQI,9879,51121576,17.2483,0.1746,16.9098,17.5918,17.25 ± 0.17
2006-2010,C18_C21,Colorectal Cancer,Cluster_k4,1,Low EQI,24763,125026104,17.5009,0.112,17.2836,17.7202,17.50 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,Cluster_k4,2,Medium EQI,76368,398153791,16.9331,0.0616,16.8132,17.0536,16.93 ± 0.06
2006-2010,C18_C21,Colorectal Cancer,Cluster_k4,3,High EQI,154097,944656562,16.1797,0.0415,16.099,16.2607,16.18 ± 0.04
2006-2010,C18_C21,Colorectal Cancer,Cluster_k4,National,National,265107,1518958033,16.5355,0.0323,16.4727,16.5986,16.54 ± 0.03
2006-2010,C18_C21,Colorectal Cancer,Cluster_k5,0,Very Low EQI,4957,29434252,16.094,0.2295,15.6491,16.5484,16.09 ± 0.23
2006-2010,C18_C21,Colorectal Cancer,Cluster_k5,1,Low EQI,4582,20495378,18.446,0.2749,17.9157,18.988,18.45 ± 0.27
2006-2010,C18_C21,Colorectal Cancer,Cluster_k5,2,Medium EQI,75691,393303442,16.9915,0.0621,16.8707,17.113,16.99 ± 0.06
2006-2010,C18_C21,Colorectal Cancer,Cluster_k5,3,High EQI,29001,148681280,17.4684,0.1033,17.2679,17.6706,17.47 ± 0.10
2006-2010,C18_C21,Colorectal Cancer,Cluster_k5,4,Very High EQI,150876,927043681,16.1371,0.0418,16.0557,16.2187,16.14 ± 0.04
2006-2010,C18_C21,Colorectal Cancer,Cluster_k5,National,National,265107,1518958033,16.5355,0.0323,16.4727,16.5986,16.54 ± 0.03
2006-2010,C22,Liver Cancer,Cluster_k3,0,Low EQI,5437,81106909,5.7431,0.0785,5.5915,5.8978,5.74 ± 0.08
2006-2010,C22,Liver Cancer,Cluster_k3,1,Medium EQI,27700,428983518,5.656,0.0342,5.5896,5.723,5.66 ± 0.03
2006-2010,C22,Liver Cancer,Cluster_k3,2,High EQI,58260,1008867606,5.5645,0.0232,5.5194,5.6099,5.56 ± 0.02
2006-2010,C22,Liver Cancer,Cluster_k3,National,National,91397,1518958033,5.5974,0.0186,5.5612,5.6338,5.60 ± 0.02
2006-2010,C22,Liver Cancer,Cluster_k4,0,Very Low EQI,3423,51121576,5.8557,0.1007,5.6611,6.0552,5.86 ± 0.10
2006-2010,C22,Liver Cancer,Cluster_k4,1,Low EQI,8253,125026104,5.7427,0.0637,5.6195,5.868,5.74 ± 0.06
2006-2010,C22,Liver Cancer,Cluster_k4,2,Medium EQI,25591,398153791,5.631,0.0354,5.5622,5.7004,5.63 ± 0.04
2006-2010,C22,Liver Cancer,Cluster_k4,3,High EQI,54130,944656562,5.5539,0.0241,5.5072,5.6009,5.55 ± 0.02
2006-2010,C22,Liver Cancer,Cluster_k4,National,National,91397,1518958033,5.5974,0.0186,5.5612,5.6338,5.60 ± 0.02
2006-2010,C22,Liver Cancer,Cluster_k5,0,Very Low EQI,1931,29434252,6.1497,0.1406,5.8785,6.4303,6.15 ± 0.14
2006-2010,C22,Liver Cancer,Cluster_k5,1,Low EQI,1320,20495378,5.2108,0.1446,4.9335,5.4997,5.21 ± 0.14
2006-2010,C22,Liver Cancer,Cluster_k5,2,Medium EQI,25432,393303442,5.6617,0.0357,5.5923,5.7317,5.66 ± 0.04
2006-2010,C22,Liver Cancer,Cluster_k5,3,High EQI,9689,148681280,5.7411,0.0588,5.6274,5.8566,5.74 ± 0.06
2006-2010,C22,Liver Cancer,Cluster_k5,4,Very High EQI,53025,927043681,5.544,0.0243,5.4969,5.5914,5.54 ± 0.02
