Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,Typology,1,Farming,41416,20793236,166.4856,0.8227,164.886,168.0968,166.49 ± 0.82
2006-2010,C00_C97,All-site Cancer,Typology,2,Mining,31395,14617184,195.3856,1.1116,193.2302,197.559,195.39 ± 1.11
2006-2010,C00_C97,All-site Cancer,Typology,3,Manufacturing,615099,294175065,186.0805,0.2386,185.6158,186.5461,186.08 ± 0.24
2006-2010,C00_C97,All-site Cancer,Typology,4,Government,305256,176788820,177.7079,0.3243,177.0781,178.3395,177.71 ± 0.32
2006-2010,C00_C97,All-site Cancer,Typology,5,Services,1180078,650908678,170.1052,0.1574,169.7984,170.4123,170.11 ± 0.16
2006-2010,C00_C97,All-site Cancer,Typology,6,Nonspecialized,652343,361939164,178.3369,0.2223,177.9044,178.7702,178.34 ± 0.22
2006-2010,C00_C97,All-site Cancer,Typology,National,National,2825587,1519222147,176.3267,0.1055,176.1211,176.5324,176.33 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,Typology,1,Farming,4228,20793236,16.8902,0.2614,16.3849,17.4071,16.89 ± 0.26
2006-2010,C18_C21,Colorectal Cancer,Typology,2,Mining,2942,14617184,18.4142,0.3422,17.7548,19.0919,18.41 ± 0.34
2006-2010,C18_C21,Colorectal Cancer,Typology,3,Manufacturing,57229,294175065,17.3183,0.0728,17.1767,17.4608,17.32 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,Typology,4,Government,28183,176788820,16.449,0.0987,16.2575,16.6422,16.45 ± 0.10
2006-2010,C18_C21,Colorectal Cancer,Typology,5,Services,111444,650908678,16.0105,0.0482,15.9166,16.1048,16.01 ± 0.05
2006-2010,C18_C21,Colorectal Cancer,Typology,6,Nonspecialized,61118,361939164,16.7368,0.0681,16.6043,16.87,16.74 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,Typology,National,National,265144,1519222147,16.5357,0.0323,16.4729,16.5988,16.54 ± 0.03
2006-2010,C22,Liver Cancer,Typology,1,Farming,1169,20793236,4.7252,0.139,4.4582,5.0041,4.73 ± 0.14
2006-2010,C22,Liver Cancer,Typology,2,Mining,934,14617184,5.7221,0.1888,5.3609,6.1011,5.72 ± 0.19
2006-2010,C22,Liver Cancer,Typology,3,Manufacturing,16885,294175065,5.0364,0.039,4.9607,5.1129,5.04 ± 0.04
2006-2010,C22,Liver Cancer,Typology,4,Government,10443,176788820,5.8885,0.0582,5.7761,6.0026,5.89 ± 0.06
2006-2010,C22,Liver Cancer,Typology,5,Services,40902,650908678,5.8067,0.0289,5.7506,5.8632,5.81 ± 0.03
2006-2010,C22,Liver Cancer,Typology,6,Nonspecialized,21070,361939164,5.6177,0.039,5.5421,5.6941,5.62 ± 0.04
2006-2010,C22,Liver Cancer,Typology,National,National,91403,1519222147,5.597,0.0186,5.5607,5.6334,5.60 ± 0.02
2006-2010,C25,Pancreatic Cancer,Typology,1,Farming,2391,20793236,9.5898,0.1971,9.2092,9.9821,9.59 ± 0.20
2006-2010,C25,Pancreatic Cancer,Typology,2,Mining,1683,14617184,10.3818,0.255,9.8917,10.89,10.38 ± 0.25
2006-2010,C25,Pancreatic Cancer,Typology,3,Manufacturing,37006,294175065,11.132,0.0582,11.0188,11.246,11.13 ± 0.06
2006-2010,C25,Pancreatic Cancer,Typology,4,Government,18968,176788820,11.0391,0.0808,10.8825,11.1973,11.04 ± 0.08
2006-2010,C25,Pancreatic Cancer,Typology,5,Services,75637,650908678,10.8843,0.0398,10.8068,10.9621,10.88 ± 0.04
2006-2010,C25,Pancreatic Cancer,Typology,6,Nonspecialized,39477,361939164,10.7603,0.0545,10.6544,10.867,10.76 ± 0.05
2006-2010,C25,Pancreatic Cancer,Typology,National,National,175162,1519222147,10.9023,0.0262,10.8513,10.9535,10.90 ± 0.03
2006-2010,C34,Lung Cancer,Typology,1,Farming,11587,20793236,46.5501,0.4339,45.7063,47.4055,46.55 ± 0.43
2006-2010,C34,Lung Cancer,Typology,2,Mining,9886,14617184,60.6775,0.6147,59.4872,61.8856,60.68 ± 0.61
2006-2010,C34,Lung Cancer,Typology,3,Manufacturing,184470,294175065,55.5839,0.1301,55.3305,55.8382,55.58 ± 0.13
