Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
National,,,,,,
All-site Cancer,"2,825,477 (1.86‰)",176.33 ± 0.11,"2,926,757 (1.85‰)",163.23 ± 0.10,"2,994,374 (1.83‰)",149.14 ± 0.09
I00-I99,"4,011,687 (2.64‰)",250.47 ± 0.13,"4,012,312 (2.54‰)",223.38 ± 0.11,"4,368,394 (2.67‰)",218.77 ± 0.11
I20_I25,"2,001,795 (1.32‰)",124.72 ± 0.09,"1,847,275 (1.17‰)",102.48 ± 0.08,"1,837,930 (1.12‰)",91.48 ± 0.07
Lung Cancer,"791,556 (0.52‰)",49.42 ± 0.06,"779,260 (0.49‰)",43.25 ± 0.05,"712,171 (0.44‰)",34.91 ± 0.04
I60_I69,"665,032 (0.44‰)",41.74 ± 0.05,"659,425 (0.42‰)",36.98 ± 0.05,"746,176 (0.46‰)",37.53 ± 0.04
I10_I15,"300,038 (0.20‰)",18.61 ± 0.03,"357,252 (0.23‰)",19.79 ± 0.03,"490,582 (0.30‰)",24.61 ± 0.04
RUCC: Metropolitan urbanized,,,,,,
All-site Cancer,"2,294,619 (1.78‰)",174.23 ± 0.12,"2,383,759 (1.76‰)",160.49 ± 0.11,"2,446,144 (1.74‰)",145.93 ± 0.09
I00-I99,"3,219,048 (2.50‰)",244.76 ± 0.14,"3,234,373 (2.39‰)",217.24 ± 0.12,"3,551,703 (2.53‰)",212.95 ± 0.11
I20_I25,"1,615,352 (1.25‰)",122.64 ± 0.10,"1,486,536 (1.10‰)",99.53 ± 0.08,"1,484,059 (1.06‰)",88.44 ± 0.07
Lung Cancer,"630,725 (0.49‰)",48.04 ± 0.06,"619,799 (0.46‰)",41.65 ± 0.05,"565,246 (0.40‰)",33.28 ± 0.04
I60_I69,"528,490 (0.41‰)",40.43 ± 0.06,"530,477 (0.39‰)",35.92 ± 0.05,"614,489 (0.44‰)",37.05 ± 0.05
I10_I15,"252,885 (0.20‰)",19.05 ± 0.04,"302,099 (0.22‰)",20.14 ± 0.04,"411,723 (0.29‰)",24.68 ± 0.04
RUCC: Non-metropolitan urbanized,,,,,,
All-site Cancer,"199,087 (2.17‰)",185.75 ± 0.42,"204,708 (2.20‰)",175.50 ± 0.39,"207,960 (2.23‰)",164.11 ± 0.37
I00-I99,"291,744 (3.18‰)",271.45 ± 0.51,"288,587 (3.11‰)",247.75 ± 0.47,"306,536 (3.29‰)",244.56 ± 0.45
I20_I25,"142,821 (1.56‰)",132.54 ± 0.35,"133,701 (1.44‰)",114.43 ± 0.32,"133,630 (1.43‰)",105.89 ± 0.30
Lung Cancer,"59,250 (0.65‰)",54.94 ± 0.23,"58,866 (0.63‰)",49.79 ± 0.21,"54,134 (0.58‰)",41.67 ± 0.18
I60_I69,"50,305 (0.55‰)",46.89 ± 0.21,"48,426 (0.52‰)",41.61 ± 0.19,"49,795 (0.53‰)",39.67 ± 0.18
I10_I15,"18,399 (0.20‰)",17.10 ± 0.13,"21,291 (0.23‰)",18.32 ± 0.13,"30,029 (0.32‰)",24.07 ± 0.14
RUCC: Less urbanized,,,,,,
All-site Cancer,"272,516 (2.37‰)",188.60 ± 0.36,"277,719 (2.42‰)",179.49 ± 0.35,"279,522 (2.46‰)",168.95 ± 0.33
I00-I99,"410,439 (3.58‰)",283.25 ± 0.45,"401,742 (3.50‰)",260.28 ± 0.42,"420,044 (3.69‰)",255.97 ± 0.40
I20_I25,"199,711 (1.74‰)",137.65 ± 0.31,"186,566 (1.63‰)",120.59 ± 0.28,"180,707 (1.59‰)",109.66 ± 0.26
Lung Cancer,"83,228 (0.73‰)",57.05 ± 0.20,"82,247 (0.72‰)",52.29 ± 0.18,"76,032 (0.67‰)",44.75 ± 0.17
I60_I69,"70,753 (0.62‰)",48.75 ± 0.18,"66,110 (0.58‰)",42.78 ± 0.17,"67,621 (0.59‰)",40.99 ± 0.16
I10_I15,"23,893 (0.21‰)",16.57 ± 0.11,"28,036 (0.24‰)",18.35 ± 0.11,"40,312 (0.35‰)",24.83 ± 0.13
RUCC: Thinly populated,,,,,,
All-site Cancer,"59,255 (2.49‰)",177.07 ± 0.73,"60,571 (2.57‰)",169.90 ± 0.70,"60,748 (2.60‰)",158.93 ± 0.66
I00-I99,"90,456 (3.81‰)",269.36 ± 0.90,"87,610 (3.72‰)",246.14 ± 0.85,"90,111 (3.85‰)",237.63 ± 0.82
I20_I25,"43,911 (1.85‰)",130.81 ± 0.63,"40,472 (1.72‰)",113.71 ± 0.58,"39,534 (1.69‰)",104.13 ± 0.54
Lung Cancer,"18,353 (0.77‰)",54.36 ± 0.40,"18,348 (0.78‰)",50.70 ± 0.38,"16,759 (0.72‰)",42.95 ± 0.34
I60_I69,"15,484 (0.65‰)",46.00 ± 0.37,"14,412 (0.61‰)",40.31 ± 0.34,"14,271 (0.61‰)",37.37 ± 0.32
I10_I15,"4,861 (0.20‰)",14.61 ± 0.21,"5,826 (0.25‰)",16.58 ± 0.22,"8,518 (0.36‰)",22.84 ± 0.26
Census Region National,,,,,,
All-site Cancer,"2,810,555 (1.86‰)",176.13 ± 0.11,"2,912,572 (1.85‰)",163.07 ± 0.10,"2,981,057 (1.83‰)",149.03 ± 0.09
I00-I99,"3,988,661 (2.64‰)",250.09 ± 0.13,"3,991,342 (2.53‰)",223.07 ± 0.11,"4,347,500 (2.67‰)",218.52 ± 0.11
I20_I25,"1,990,833 (1.32‰)",124.57 ± 0.09,"1,838,320 (1.17‰)",102.38 ± 0.08,"1,829,717 (1.12‰)",91.40 ± 0.07
Lung Cancer,"787,175 (0.52‰)",49.35 ± 0.06,"775,309 (0.49‰)",43.20 ± 0.05,"708,787 (0.44‰)",34.87 ± 0.04
I60_I69,"661,271 (0.44‰)",41.68 ± 0.05,"655,878 (0.42‰)",36.92 ± 0.05,"742,555 (0.46‰)",37.49 ± 0.04
I10_I15,"297,429 (0.20‰)",18.53 ± 0.03,"354,479 (0.23‰)",19.72 ± 0.03,"487,458 (0.30‰)",24.54 ± 0.04
Census Region: Northeast,,,,,,
